u,v,key,osmid,name,highway,oneway,reversed,length,geometry
2448395560,2449927684,0,237022772,群贤路,service,False,True,44.731,"LINESTRING (118.7891527 32.057303, 118.7896266 32.0572804)"
2448395560,2449713763,0,237022771,,service,False,False,21.591,"LINESTRING (118.7891527 32.057303, 118.789045 32.0572061, 118.788973 32.057208)"
2448395560,2449927686,0,237022771,,service,False,True,15.922,"LINESTRING (118.7891527 32.057303, 118.7891554 32.0574155, 118.7891312 32.0574383)"
2448395562,2449927719,0,236879446,南高路,service,False,True,71.559,"LINESTRING (118.7888107 32.0573087, 118.7880536 32.057358)"
2448395562,2449927733,0,237022771,,service,False,False,18.023,"LINESTRING (118.7888107 32.0573087, 118.7888147 32.0574269, 118.7888523 32.057457)"
2448395562,2449713763,0,237022771,,service,False,True,20.366,"LINESTRING (118.7888107 32.0573087, 118.7889066 32.0572114, 118.788973 32.057208)"
2449059351,2449059360,0,236946069,,service,False,False,55.417,"LINESTRING (118.7888965 32.0559011, 118.7894829 32.055864)"
2449059351,9711688991,0,237022770,中央大道,service,False,False,3.429,"LINESTRING (118.7888965 32.0559011, 118.7888948 32.0558703)"
2449059351,2450052111,0,237022770,中央大道,service,False,True,18.975,"LINESTRING (118.7888965 32.0559011, 118.7889074 32.0560715)"
2449059357,2450052104,0,236946071,,service,False,False,48.675,"LINESTRING (118.7889198 32.0562807, 118.7894349 32.0562485)"
2449059357,2450052111,0,237022770,中央大道,service,False,False,23.291,"LINESTRING (118.7889198 32.0562807, 118.7889074 32.0560715)"
2449059357,2449059361,0,237022770,中央大道,service,False,True,57.193,"LINESTRING (118.7889198 32.0562807, 118.7889249 32.0563662, 118.7889503 32.0567944)"
2449059359,2449059362,0,236946074,,service,False,False,57.413,"LINESTRING (118.7899957 32.0562134, 118.7900376 32.0567285)"
2449059359,9084269757,0,236946074,,service,False,True,22.453,"LINESTRING (118.7899957 32.0562134, 118.7899786 32.056012)"
2449059359,2450052106,0,237057059,,service,False,True,39.075,"LINESTRING (118.7899957 32.0562134, 118.7895823 32.0562404)"
2449059360,2496987648,0,236946069,,service,False,False,45.453,"LINESTRING (118.7894829 32.055864, 118.7899635 32.0558297)"
