osmid,y,x,street_count,geometry
2448395560,32.057303,118.7891527,3,POINT (118.7891527 32.057303)
2448395562,32.0573087,118.7888107,3,POINT (118.7888107 32.0573087)
2449059351,32.0559011,118.7888965,3,POINT (118.7888965 32.0559011)
2449059357,32.0562807,118.7889198,3,POINT (118.7889198 32.0562807)
2449059359,32.0562134,118.7899957,3,POINT (118.7899957 32.0562134)
2449059360,32.055864,118.7894829,3,POINT (118.7894829 32.055864)
2449059361,32.0567944,118.7889503,3,POINT (118.7889503 32.0567944)
2449059362,32.0567285,118.7900376,3,POINT (118.7900376 32.0567285)
2449059364,32.0572588,118.790081,3,POINT (118.790081 32.0572588)
2449713763,32.057208,118.788973,3,POINT (118.788973 32.057208)
2449713780,32.0594975,118.7869293,1,POINT (118.7869293 32.0594975)
2449713781,32.0579094,118.7867818,3,POINT (118.7867818 32.0579094)
2449927684,32.0572804,118.7896266,3,POINT (118.7896266 32.0572804)
2449927686,32.0574383,118.7891312,3,POINT (118.7891312 32.0574383)
2449927694,32.058123,118.7898225,3,POINT (118.7898225 32.058123)
2449927696,32.058123,118.789653,3,POINT (118.789653 32.058123)
2449927702,32.0585812,118.790011,3,POINT (118.790011 32.0585812)
2449927704,32.0577954,118.7896475,3,POINT (118.7896475 32.0577954)
2449927713,32.0580952,118.7905528,3,POINT (118.7905528 32.0580952)
2449927717,32.0576833,118.7883852,3,POINT (118.7883852 32.0576833)
2449927719,32.057358,118.7880536,3,POINT (118.7880536 32.057358)
2449927725,32.0576319,118.7886741,3,POINT (118.7886741 32.0576319)
2449927731,32.0585971,118.7896716,3,POINT (118.7896716 32.0585971)
2449927733,32.057457,118.7888523,3,POINT (118.7888523 32.057457)
2450052103,32.0563041,118.7895156,3,POINT (118.7895156 32.0563041)
2450052104,32.0562485,118.7894349,3,POINT (118.7894349 32.0562485)
2450052105,32.0561841,118.7895066,3,POINT (118.7895066 32.0561841)
2450052106,32.0562404,118.7895823,3,POINT (118.7895823 32.0562404)
2450052108,32.0572242,118.79073,3,POINT (118.79073 32.0572242)
2450052111,32.0560715,118.7889074,3,POINT (118.7889074 32.0560715)
2450052112,32.0561574,118.7878608,3,POINT (118.7878608 32.0561574)
2450052114,32.0573558,118.7880029,3,POINT (118.7880029 32.0573558)
2450172906,32.0555483,118.7888717,4,POINT (118.7888717 32.0555483)
2452364610,32.0590927,118.7868809,4,POINT (118.7868809 32.0590927)
2452364612,32.0596855,118.7885096,1,POINT (118.7885096 32.0596855)
2496987648,32.0558297,118.7899635,4,POINT (118.7899635 32.0558297)
2496987649,32.0567585,118.789542,3,POINT (118.789542 32.0567585)
2497009555,32.0578371,118.7883952,3,POINT (118.7883952 32.0578371)
2519404092,32.057236,118.7905086,3,POINT (118.7905086 32.057236)
9081237764,32.0591491,118.7860023,1,POINT (118.7860023 32.0591491)
9084269757,32.056012,118.7899786,3,POINT (118.7899786 32.056012)
9084269759,32.0558128,118.7903434,3,POINT (118.7903434 32.0558128)
9084412767,32.0572644,118.7899637,3,POINT (118.7899637 32.0572644)
9084412771,32.0574753,118.7896345,3,POINT (118.7896345 32.0574753)
9708723661,32.0580893,118.7907677,1,POINT (118.7907677 32.0580893)
9708723666,32.0594674,118.7884962,3,POINT (118.7884962 32.0594674)
9711688988,32.0561116,118.7884193,3,POINT (118.7884193 32.0561116)
9711688991,32.0558703,118.7888948,3,POINT (118.7888948 32.0558703)
