u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge,maxspeed,width,tunnel,service
662291021,6531598530,0,864686956,立心路,unclassified,False,False,44.102999999999994,"LINESTRING (113.9934635 22.6054693, 113.9934995 22.6054046, 113.9936211 22.6051856, 113.9936596 22.6051164)",,,,,,,
662291021,7947470087,0,926524852,二线关路,unclassified,False,True,192.13600000000002,"LINESTRING (113.9934635 22.6054693, 113.9935225 22.6054923, 113.993536 22.6054976, 113.9936353 22.605542, 113.9937289 22.6055877, 113.9938164 22.6056359, 113.9946465 22.6061355, 113.9947339 22.6061801, 113.9948233 22.6062178, 113.994908 22.606248, 113.9950026 22.6062792, 113.9950922 22.6063071)",,,,,,,
662291021,6531598525,0,926524853,二线关路,unclassified,False,False,183.42499999999998,"LINESTRING (113.9934635 22.6054693, 113.9933696 22.6054365, 113.9933064 22.6054169, 113.9932643 22.6054039, 113.9931426 22.6053745, 113.992891 22.6053237, 113.9928768 22.6053209, 113.9921077 22.6051657, 113.9920195 22.6051465, 113.9919312 22.6051259, 113.9918442 22.605111, 113.991726 22.6050914)",,,,,,,
662291027,6531598505,0,926524845,大学路,unclassified,False,True,47.973,"LINESTRING (113.9902838 22.6050337, 113.9902833 22.6049906, 113.9902822 22.6048839, 113.9901242 22.604643)",,,,,,,
662291027,6531598525,0,955564009,二线关路,unclassified,False,True,148.377,"LINESTRING (113.9902838 22.6050337, 113.9911244 22.6050365, 113.9914103 22.6050538, 113.9916018 22.6050773, 113.991726 22.6050914)",,,,,,,
662292227,8059555087,0,927406262,,unclassified,False,False,35.85,"LINESTRING (113.9963879 22.6061748, 113.9962809 22.6058679)",,,,,,,
662292227,7947470077,0,243419558,二线关路,unclassified,False,False,107.541,"LINESTRING (113.9963879 22.6061748, 113.9961949 22.6062451, 113.996049 22.6062983, 113.9959779 22.6063226, 113.9959068 22.6063427, 113.9958423 22.6063593, 113.9957785 22.6063718, 113.9957168 22.6063797, 113.9956536 22.6063849, 113.9955903 22.6063872, 113.9955209 22.606385, 113.9954517 22.6063802, 113.9953793 22.6063716)",,,,,,,
662292227,6017944235,0,243419558,二线关路,unclassified,False,True,199.379,"LINESTRING (113.9963879 22.6061748, 113.9973424 22.6058208, 113.9973886 22.6058071, 113.9974342 22.6057968, 113.9974848 22.6057877, 113.9975306 22.6057818, 113.9975764 22.6057769, 113.9976199 22.605775, 113.9976731 22.6057735, 113.9977156 22.6057739, 113.9977565 22.6057763, 113.9977975 22.6057811, 113.997837 22.6057874, 113.9978754 22.605795, 113.997915 22.6058071, 113.9979531 22.6058227, 113.9981222 22.6059019, 113.9982116 22.6059439)",,,,,,,
662292231,7947470077,0,243419558,二线关路,unclassified,False,True,14.622,"LINESTRING (113.9952395 22.6063466, 113.9953135 22.6063615, 113.9953793 22.6063716)",,,,,,,
662292231,6017944245,0,638544910,,unclassified,False,False,38.834,"LINESTRING (113.9952395 22.6063466, 113.9952518 22.6064386, 113.9952682 22.6065374, 113.9952938 22.6066922)",1,,,,,,
