element_type,osmid,amenity,geometry,nodes,parking
node,9007446730,parking,POINT (114.0028458 22.5998165),,
way,638544901,parking,"POLYGON ((113.9985037 22.6075223, 113.9987137 22.607497, 113.9986805 22.6072623, 113.9984706 22.6072876, 113.9985037 22.6075223))","[6017944215, 8604526615, 6017944216, 6017944217, 6017944215]",
way,638544906,parking,"POLYGON ((113.9978777 22.6064899, 113.9982079 22.6064545, 113.9981656 22.6062844, 113.9978278 22.606171, 113.9978777 22.6064899))","[6017944227, 6017944228, 6017944229, 6017944230, 6017944227]",
way,638544907,parking,"POLYGON ((113.998387 22.606639, 113.9986097 22.6066107, 113.9984868 22.6063555, 113.9983525 22.6063803, 113.998387 22.606639))","[6017944231, 6017944232, 6017944233, 6017944234, 6017944231]",
way,638544913,parking,"POLYGON ((113.9978138 22.6036062, 113.9983771 22.603631, 113.9980847 22.6030119, 113.9980391 22.6032348, 113.9979453 22.6034378, 113.9978138 22.6036062))","[6017944253, 6017944254, 6017944255, 6017944256, 6017944257, 6017944253]",
way,663702942,parking,"POLYGON ((113.9987025 22.5993869, 113.9987689 22.599433, 113.9992752 22.5997845, 113.9993122 22.5998102, 113.9996745 22.5995173, 113.9991467 22.5989998, 113.9987025 22.5993869))","[6212266799, 8535834668, 8535834670, 6212266801, 6212266802, 6212266803, 6212266799]",
way,664021236,parking,"POLYGON ((113.9937558 22.5951614, 113.9937784 22.5950607, 113.9931725 22.5950155, 113.9931387 22.5951232, 113.993737 22.5952344, 113.9937558 22.5951614))","[6215111562, 6215111563, 6215111564, 6215111565, 6215111566, 6215111562]",
way,916382132,parking,"POLYGON ((113.9902181 22.5977139, 113.9902642 22.59771, 113.9902706 22.5978656, 113.9902233 22.5978669, 113.9902181 22.5977139))","[8511293056, 8511293057, 8511293058, 4526106690, 8511293056]",street_side
way,916382133,parking,"POLYGON ((113.9902343 22.5979761, 113.9902778 22.5979728, 113.9902862 22.5980867, 113.990246 22.5980916, 113.9902343 22.5979761))","[8511293059, 8511293060, 8511293061, 8511293062, 8511293059]",street_side
way,916382134,parking,"POLYGON ((113.9902712 22.5983406, 113.9903202 22.5983397, 113.9903371 22.5985171, 113.9902901 22.5985204, 113.9902712 22.5983406))","[8511293063, 8511293064, 8511293065, 8511293066, 8511293063]",street_side
way,916382135,parking,"POLYGON ((113.9902993 22.5986049, 113.9903475 22.5986032, 113.9903616 22.5987675, 113.9903172 22.5987702, 113.9902993 22.5986049))","[8511293067, 8511293068, 8511293069, 8511293070, 8511293067]",street_side
way,916382136,parking,"POLYGON ((113.990709 22.5992375, 113.9907288 22.599204, 113.9913076 22.5994964, 113.9912877 22.5995299, 113.990709 22.5992375))","[8511293072, 8511293073, 8511293074, 8511293075, 8511293072]",street_side
way,921134250,parking,"POLYGON ((113.9904297 22.5973891, 113.9904239 22.5973369, 113.991139 22.5972694, 113.9911448 22.5973216, 113.9904297 22.5973891))","[8552162828, 8552162827, 8552162826, 8552162825, 8552162828]",street_side
way,927413270,parking,"POLYGON ((113.9948603 22.6067406, 113.9950645 22.606689, 113.995016 22.6065256, 113.9948118 22.6065772, 113.9948603 22.6067406))","[8604526575, 8604526574, 8604526573, 8604526572, 8604526575]",
way,956651861,parking,"POLYGON ((113.9982768 22.605515, 113.9981834 22.6054037, 113.9982207 22.605377, 113.9983141 22.6054883, 113.9982768 22.605515))","[8853613987, 8853613986, 8853613985, 8853613984, 8853613987]",
way,956651862,parking,"POLYGON ((113.9983144 22.6056975, 113.9980913 22.605434, 113.9981315 22.605405, 113.9983546 22.6056685, 113.9983144 22.6056975))","[8853613991, 8853613990, 8853613989, 8853613988, 8853613991]",
