element_type,osmid,amenity,bicycle_parking,level,geometry,nodes,covered,area
node,8509492585,bicycle_parking,building,0,POINT (113.9936215 22.6030039),,,
node,8509492586,bicycle_parking,building,0,POINT (113.9937753 22.6025438),,,
node,8509492587,bicycle_parking,building,0,POINT (113.9935631 22.6020603),,,
node,8548842399,bicycle_parking,floor,,POINT (113.9932745 22.5983587),,,
way,664021235,bicycle_parking,,,"POLYGON ((113.994436 22.5953595, 113.9943871 22.5954429, 113.9938 22.5951962, 113.9938339 22.5950989, 113.9942252 22.5952309, 113.994436 22.5953595))","[6215111557, 6215111558, 6215111559, 6215111560, 6215111561, 6215111557]",,
way,913843020,bicycle_parking,shed,,"POLYGON ((113.9907311 22.6033786, 113.9907372 22.6033171, 113.9913873 22.6034135, 113.9913798 22.6034719, 113.9907311 22.6033786))","[8488930773, 8488930774, 8488930775, 8488930776, 8488930773]",partial,
way,916139427,bicycle_parking,floor,,"POLYGON ((113.993532 22.6018507, 113.9935327 22.6018357, 113.99373 22.6018498, 113.9937299 22.6018658, 113.993532 22.6018507))","[8509411428, 8509411429, 8509411430, 8509411431, 8509411428]",,yes
way,916139428,bicycle_parking,informal,,"POLYGON ((113.9932526 22.6019948, 113.9932418 22.6019927, 113.9932654 22.6018895, 113.9932754 22.6018916, 113.9932526 22.6019948))","[8509411432, 8509411433, 8509411434, 8509411435, 8509411432]",,
way,957046614,bicycle_parking,shed,,"POLYGON ((113.9926167 22.6041917, 113.9926407 22.6040387, 113.9929292 22.6042007, 113.9929062 22.6042552, 113.9926167 22.6041917))","[8856030878, 8856030877, 8856030875, 8856030876, 8856030878]",yes,yes
way,957053494,bicycle_parking,shed,,"POLYGON ((113.9957916 22.6056197, 113.9957408 22.6054752, 113.9958131 22.6054535, 113.9958283 22.6054968, 113.9959018 22.6054747, 113.9959374 22.605576, 113.9957916 22.6056197))","[8856081405, 8856081402, 8856081396, 8856081409, 8856081407, 8856081408, 8856081405]",yes,
way,957053495,bicycle_parking,shed,,"POLYGON ((113.9955634 22.6053857, 113.9953906 22.6053533, 113.9953967 22.6053256, 113.9952263 22.6052937, 113.9952314 22.6052707, 113.9954378 22.6053094, 113.9954323 22.6053347, 113.995569 22.6053604, 113.9955634 22.6053857))","[8856081398, 8856081403, 8856081397, 8856081401, 8856081406, 8856081400, 8856081404, 8856081399, 8856081398]",yes,
