element_type,osmid,geometry,nodes,amenity,building,building:levels,internet_access,internet_access:fee,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,opening_hours,operator,addr:city,addr:district,addr:province,addr:street,layer,leisure,sport,access,historic,historic:civilization,ruins,bridge,level,building:min_level,ways,type
way,533170974,"POLYGON ((113.9929466 22.5977788, 113.9931505 22.5977762, 113.9932711 22.5977701, 113.9932903 22.5977691, 113.9933045 22.5977684, 113.9933219 22.5977658, 113.9934669 22.597745, 113.9936546 22.5977119, 113.9937938 22.5976807, 113.9937935 22.5977521, 113.9937917 22.5981461, 113.9936061 22.5981403, 113.9934838 22.5981481, 113.9933597 22.5981622, 113.9933298 22.5981656, 113.993289 22.5981731, 113.9932349 22.5981831, 113.9930508 22.5982349, 113.9929466 22.5977788))","[5173028397, 5173028398, 8511339799, 9055227475, 5173028399, 9055227474, 5173028400, 5173028401, 5173028402, 6265111317, 5173028403, 5173028404, 5173028405, 8552127807, 5173028406, 8511339798, 5173028407, 5173028408, 5173028397]",library,yes,6,wlan,no,南方科技大学图书馆,Lynn Library,南方科技大学图书馆,南方科技大学图书馆,南方科技大學圖書館,08:00-22:00,SUSTech,,,,,,,,,,,,,,,,
way,533170975,"POLYGON ((113.9927242 22.5972411, 113.9930752 22.5970009, 113.99313 22.5969634, 113.9934273 22.5970982, 113.9935537 22.5972066, 113.9933438 22.5974746, 113.9933205 22.5974813, 113.9932837 22.5974919, 113.9932315 22.5975043, 113.9929831 22.5975645, 113.9927242 22.5972411))","[8511324040, 9053038610, 5173028410, 6673677453, 5173028412, 5173028413, 9055227473, 9055227476, 9053038605, 5173028414, 8511324040]",,university,4,,,南方科技大学行政楼,SUSTech Administration Building,南方科技大学行政楼,南方科技大学行政楼,南方科技大學行政樓,,,,,,,,,,,,,,,,,,
way,533170976,"POLYGON ((113.9916138 22.5973328, 113.9920742 22.5972919, 113.992115 22.5976804, 113.9919642 22.5976877, 113.9918306 22.5976906, 113.9916398 22.5977001, 113.9916138 22.5973328))","[5173028415, 5173028416, 5173028417, 5173028418, 5173028419, 5173028420, 5173028415]",,university,,,,第二教学楼,Teaching Building 2,第二教学楼,第二教学楼,第二教學樓,,,,,,,,,,,,,,,,,,
way,533170977,"POLYGON ((113.9917216 22.5978948, 113.992189 22.5978744, 113.9923163 22.598258, 113.9919969 22.5982855, 113.9917593 22.5983647, 113.9917216 22.5978948))","[5173028621, 5173028622, 5173028623, 5173028624, 5173028625, 5173028621]",,university,4,,,检测中心,Core Research Center,检测中心,检测中心,檢測中心,,,,,,,,,,,,,,,,,,
way,533170978,"POLYGON ((113.9904224 22.5974098, 113.9908655 22.5973855, 113.9908693 22.5974444, 113.9909951 22.5974375, 113.9909908 22.5973704, 113.9912208 22.5973578, 113.9912432 22.5977042, 113.9910103 22.597717, 113.991008 22.597681, 113.990885 22.5976877, 113.9908877 22.5977299, 113.9904446 22.5977542, 113.9904224 22.5974098))","[5173028626, 9070679227, 9070679225, 9070679224, 9070679226, 5173028627, 5173028628, 7057414612, 7057414613, 7057414614, 7057414615, 5173028629, 5173028626]",,university,,,,台州楼（第四科研楼）,Taizhou Hall (Faculty Building 4),台州楼（第四科研楼）,台州楼（第四科研楼）,台州樓（第四科研樓）,,,,,,,,,,,,,,,,,,
way,533170979,"POLYGON ((113.9904671 22.5979826, 113.9909006 22.5979536, 113.9909047 22.5980052, 113.9910291 22.5979969, 113.9910251 22.5979465, 113.9912664 22.5979304, 113.9912927 22.5982668, 113.9910622 22.5982822, 113.991059 22.5982417, 113.9909371 22.5982498, 113.9909405 22.5982937, 113.9904938 22.5983235, 113.9904671 22.5979826))","[5173028630, 9070679251, 9070679249, 9070679248, 9070679250, 5173028631, 5173028632, 7057414618, 7057414617, 7057414616, 5173028634, 5173028633, 5173028630]",,university,6,,,第三科研楼,Faculty Building 3,第三科研楼,第三科研楼,第三科研樓,,,,,,,,,,,,,,,,,,
way,533170980,"POLYGON ((113.991008 22.5989027, 113.9911717 22.598841, 113.9915349 22.5987106, 113.9913866 22.5983891, 113.9909583 22.5985544, 113.990654 22.5986855, 113.9907978 22.5989925, 113.991008 22.5989027))","[5173028640, 5173028639, 5173028638, 5173028637, 5173028636, 9070679273, 9070679272, 5173028640]",,university,6,,,第二科研楼,Faculty Building 2,第二科研楼,第二科研楼,第二科研樓,,,,,,,,,,,,,,,,,,
way,533170981,"POLYGON ((113.9911849 22.5991955, 113.9917064 22.5988776, 113.9920831 22.5993546, 113.9917021 22.5996014, 113.991595 22.599455, 113.9911849 22.5991955))","[9070679299, 9070679298, 5173028644, 5173028645, 5173028646, 9070679299]",,university,6,,,第一科研楼,Faculty Building 1,第一科研楼,第一科研楼,第一科研樓,,,,,,,,,,,,,,,,,,
way,533170982,"POLYGON ((113.9924054 22.5983909, 113.9925178 22.5986179, 113.9921461 22.5987785, 113.9922051 22.5989965, 113.9926463 22.5989134, 113.9927634 22.5991361, 113.9922016 22.5992631, 113.9918776 22.5986204, 113.9924054 22.5983909))","[5173028648, 5173028649, 5173028650, 5173028651, 5173028652, 5173028653, 5173028654, 9070679297, 5173028648]",,university,5,,,第一教学楼,Teaching Building 1,第一教学楼,第一教学楼,第一教學樓,,,,,,,,,,,,,,,,,,
way,533171008,"POLYGON ((113.9976869 22.6039317, 113.9976517 22.6040493, 113.9976219 22.6042075, 113.9976167 22.6042962, 113.9976193 22.6043873, 113.9976443 22.6045515, 113.9977191 22.6049329, 113.9977511 22.6049299, 113.9977697 22.6039328, 113.9976869 22.6039317))","[5173029009, 5173029010, 5173029011, 5173029013, 5173029012, 5173029014, 5173029006, 5173029007, 5173029008, 5173029009]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
way,533171021,"POLYGON ((113.9930642 22.6032847, 113.9934669 22.6032269, 113.993452 22.6031525, 113.9938074 22.6030964, 113.9937894 22.6030154, 113.9937635 22.6028986, 113.9934627 22.6029474, 113.9933395 22.6029674, 113.9933575 22.6030607, 113.993026 22.6031011, 113.9930642 22.6032847))","[5173029339, 5173029340, 5173029341, 5173029342, 6024421196, 5173029343, 8509221954, 5173029344, 5173029345, 5173029346, 5173029339]",,dormitory,6,,,湖畔宿舍3栋,Dorm Block 3,湖畔宿舍3栋,湖畔宿舍3栋,湖畔宿舍3棟,,,shenzhen,Nanshan,Guangdong,,,,,,,,,,,,,
way,533171022,"POLYGON ((113.9934578 22.6026064, 113.993626 22.6026295, 113.9938608 22.6026609, 113.9938641 22.6025788, 113.993846 22.6025775, 113.9938478 22.6025402, 113.9938495 22.6025036, 113.9938711 22.6025017, 113.9938705 22.6024125, 113.9936021 22.6024141, 113.9934732 22.6024148, 113.9934738 22.6024908, 113.9934905 22.6024921, 113.9934898 22.6025229, 113.9934675 22.6025216, 113.9934578 22.6026064))","[5173029347, 8509221955, 5173029348, 5173029349, 5173029350, 6024421194, 5173029351, 5173029352, 5173029353, 8509221956, 5173029354, 5173029355, 5173029356, 5173029357, 5173029358, 5173029347]",,dormitory,6,,,湖畔宿舍2栋,Dorm Block 2,湖畔宿舍2栋,湖畔宿舍2栋,湖畔宿舍2棟,,,shenzhen,Nanshan,,,,,,,,,,,,,,
way,533171023,"POLYGON ((113.9933005 22.6018881, 113.9938731 22.6019337, 113.993867 22.6020383, 113.9938614 22.6021339, 113.9936367 22.6021098, 113.993481 22.6020931, 113.9932987 22.6021015, 113.9933005 22.6018881))","[5173029359, 5173029360, 6024421192, 5173029361, 8509411438, 5173029362, 5173029363, 5173029359]",,dormitory,6,,,湖畔宿舍1栋,Dorm Block 1,湖畔宿舍1栋,湖畔宿舍1栋,湖畔宿舍1棟,,,shenzhen,Nanshan,,南科一路,,,,,,,,,,,,
way,533171024,"POLYGON ((113.9936196 22.6033769, 113.9939204 22.6034052, 113.994055 22.6034606, 113.9941312 22.603492, 113.994095 22.6036362, 113.9937356 22.6035713, 113.993572 22.6035255, 113.9936196 22.6033769))","[5173029364, 5173029365, 6024421198, 5173029366, 5173029367, 5173029368, 5173029369, 5173029364]",,dormitory,7,,,湖畔宿舍4栋,Dorm Block 4,湖畔宿舍4栋,湖畔宿舍4栋,湖畔宿舍4棟,,,,,,,,,,,,,,,,,,
way,533171025,"POLYGON ((113.9947414 22.6036152, 113.9944037 22.6036212, 113.9944 22.6034416, 113.9947376 22.6034356, 113.9947414 22.6036152))","[5173029370, 5173029371, 5173029372, 5173029373, 5173029370]",,dormitory,,,,湖畔宿舍6栋,Dorm block 6,湖畔宿舍6栋,湖畔宿舍6栋,湖畔宿舍6棟,,,,,,,,,,,,,,,,,,
way,533171026,"POLYGON ((113.9941196 22.6037188, 113.9944835 22.6037578, 113.9944719 22.6039262, 113.9941017 22.6038824, 113.9941196 22.6037188))","[5173029374, 5173029375, 5173029376, 5173029377, 5173029374]",,dormitory,,,,湖畔宿舍5栋,Dorm block 5,湖畔宿舍5栋,湖畔宿舍5栋,湖畔宿舍5棟,,,,,,,,,,,,,,,,,,
way,533171027,"POLYGON ((113.99393 22.6033128, 113.9942591 22.6034491, 113.9943086 22.6033635, 113.9939764 22.6032233, 113.99393 22.6033128))","[5173029378, 5173029379, 5173029380, 5173029381, 5173029378]",,school,2,,,树德书院活动室,Shude Colleague,树德书院活动室,树德书院活动室,樹德書院活動室,,,,,,,,,,,,,,,,,,
way,533171028,"POLYGON ((113.9938937 22.60311, 113.994017 22.6030925, 113.9939622 22.6028131, 113.9939854 22.6027595, 113.9938662 22.6027585, 113.9938304 22.6028306, 113.9938937 22.60311))","[5173029382, 5173029383, 5173029384, 5173029385, 5173029386, 5173029387, 5173029382]",,school,2,,,舞蹈室与健身房,dance & fit,舞蹈室与健身房,舞蹈室与健身房,舞蹈室與健身房,,,,,,,,,,,,,,,,,,
way,533171029,"POLYGON ((113.9939331 22.6023713, 113.9940549 22.6023712, 113.9940553 22.6026331, 113.9939335 22.6026332, 113.9939331 22.6023713))","[5173029388, 5173029389, 5173029390, 5173029391, 5173029388]",,school,2,,,致诚书院活动室,Zhicheng Colleague,致诚书院活动室,致诚书院活动室,致誠書院活動室,,,,,,,,,,,,,,,,,,
