osmid,y,x,street_count,highway,geometry
662291021,22.6054693,113.9934635,3,,POINT (113.9934635 22.6054693)
662291027,22.6050337,113.9902838,3,,POINT (113.9902838 22.6050337)
662292227,22.6061748,113.9963879,3,,POINT (113.9963879 22.6061748)
662292231,22.6063466,113.9952395,3,,POINT (113.9952395 22.6063466)
662292241,22.6059934,113.9983662,3,,POINT (113.9983662 22.6059934)
662292287,22.6075146,113.9988,3,,POINT (113.9988 22.6075146)
5164226692,22.6033427,113.9978764,3,,POINT (113.9978764 22.6033427)
5173027934,22.6004642,113.9991206,4,,POINT (113.9991206 22.6004642)
5173027937,22.600085,113.9980054,3,,POINT (113.9980054 22.600085)
5173027948,22.5985952,113.9967575,3,,POINT (113.9967575 22.5985952)
5173027965,22.5960421,113.9942406,4,,POINT (113.9942406 22.5960421)
5173027972,22.5971384,113.9922578,3,,POINT (113.9922578 22.5971384)
5173027989,22.5975263,113.9956507,3,,POINT (113.9956507 22.5975263)
5173027992,22.5986145,113.9933156,4,,POINT (113.9933156 22.5986145)
5173027995,22.5991838,113.9930433,3,,POINT (113.9930433 22.5991838)
5173027997,22.5996356,113.9937532,3,,POINT (113.9937532 22.5996356)
5173028009,22.6000013,113.99968,4,,POINT (113.99968 22.6000013)
5173028017,22.5972878,113.996579,5,,POINT (113.996579 22.5972878)
5173028123,22.5955404,113.9945397,4,,POINT (113.9945397 22.5955404)
5173028146,22.5962689,113.9916475,5,,POINT (113.9916475 22.5962689)
5173028147,22.5972379,113.9920855,4,,POINT (113.9920855 22.5972379)
5173028153,22.5984518,113.9931791,3,,POINT (113.9931791 22.5984518)
5173028166,22.6029011,113.9956108,3,,POINT (113.9956108 22.6029011)
5173028185,22.6029918,113.9968281,3,,POINT (113.9968281 22.6029918)
5173028191,22.6042475,113.9941968,4,,POINT (113.9941968 22.6042475)
5173028198,22.6032703,113.9927999,3,,POINT (113.9927999 22.6032703)
5173028220,22.5989922,113.9930469,3,,POINT (113.9930469 22.5989922)
5173028321,22.5981599,113.9940601,4,,POINT (113.9940601 22.5981599)
5173028326,22.597492,113.9938206,3,,POINT (113.9938206 22.597492)
5173028327,22.5976948,113.992775,4,,POINT (113.992775 22.5976948)
5173028328,22.5977257,113.9923464,4,,POINT (113.9923464 22.5977257)
5173028329,22.5977705,113.9916226,3,,POINT (113.9916226 22.5977705)
5173028332,22.5973063,113.9902918,3,,POINT (113.9902918 22.5973063)
5173028344,22.6002008,113.9919456,3,,POINT (113.9919456 22.6002008)
5173028350,22.6016063,113.9915179,3,,POINT (113.9915179 22.6016063)
5173028355,22.5972166,113.9915824,3,,POINT (113.9915824 22.5972166)
5173028356,22.5985019,113.991769,3,,POINT (113.991769 22.5985019)
5173028358,22.5971142,113.9912408,3,,POINT (113.9912408 22.5971142)
5173028360,22.5983284,113.9913525,3,,POINT (113.9913525 22.5983284)
5173028364,22.5997682,113.9917167,4,,POINT (113.9917167 22.5997682)
5173028369,22.5995815,113.9921579,3,,POINT (113.9921579 22.5995815)
5173028371,22.5993415,113.9930254,3,,POINT (113.9930254 22.5993415)
5173028372,22.5985673,113.9915657,3,,POINT (113.9915657 22.5985673)
5173028373,22.5983048,113.9924834,4,,POINT (113.9924834 22.5983048)
5173028376,22.5992019,113.9908145,3,,POINT (113.9908145 22.5992019)
5173028377,22.5986937,113.9916599,3,,POINT (113.9916599 22.5986937)
5173028703,22.6013152,113.9943647,1,,POINT (113.9943647 22.6013152)
5173028705,22.601274,113.9940592,4,,POINT (113.9940592 22.601274)
5173029159,22.6029753,113.9967524,3,,POINT (113.9967524 22.6029753)
5173029160,22.6012796,113.9973834,3,,POINT (113.9973834 22.6012796)
5173029161,22.6015998,113.9986255,3,,POINT (113.9986255 22.6015998)
5173029316,22.6031729,113.9949225,3,,POINT (113.9949225 22.6031729)
5173029317,22.6014184,113.9940946,3,,POINT (113.9940946 22.6014184)
5173029324,22.6033109,113.9936786,3,,POINT (113.9936786 22.6033109)
5173029325,22.6035021,113.9942254,3,,POINT (113.9942254 22.6035021)
5173029327,22.6018813,113.9939339,3,,POINT (113.9939339 22.6018813)
5173029328,22.6018436,113.9934392,3,,POINT (113.9934392 22.6018436)
5173029335,22.6027441,113.9933855,3,,POINT (113.9933855 22.6027441)
5173029463,22.6030141,113.9947549,3,,POINT (113.9947549 22.6030141)
