element_type,osmid,nodes,natural,water,geometry,name,name:en,name:zh,area,fixme,ways,intermittent,name:zh-Hans,name:zh-Hant,type
way,536044864,"[5193738341, 5193738342, 5193738343, 5193738344, 5193738345, 5193738346, 5193738347, 5193738348, 5193738349, 5193738350, 5193738351, 5193738352, 5193738353, 5193738354, 5193738355, 5193738356, 5193738357, 5193738358, 5193738359, 5193738360, 5193738361, 5193738362, 5193738363, 5193738364, 5193738365, 5193738366, 5193738367, 5193738368, 5193738369, 5193738370, 5193738371, 5193738372, 5193738373, 5193738374, 5193738375, 5193738376, 5193738377, 5193738378, 5193738379, 9181839860, 5193738380, 5193738381, 5193738382, 5193738383, 5193738384, 5193738385, 5193738420, 5193738386, 5193738387, 5193738388, 5193738389, 5193738390, 5193738391, 5193738392, 5193738393, 5193738394, 5193738395, 5193738396, 5193738397, 5193738398, 5193738399, 5193738400, 5193738401, 5193738402, 5193738403, 5193738404, 5193738405, 5193738406, 5193738407, 5193738408, 5193738409, 5193738410, 5193738411, 5193738412, 5193738413, 5193738414, 5193738415, 5193738416, 5193738417, 5193738418, 5193738419, 5193738341]",water,ditch,"POLYGON ((113.992294 22.5972437, 113.9923666 22.597363, 113.9922639 22.597412, 113.9922692 22.5974691, 113.9922869 22.5975214, 113.9923259 22.5975672, 113.9923896 22.5976195, 113.9924055 22.5976423, 113.9924179 22.5976979, 113.9925276 22.5977534, 113.9925825 22.5977992, 113.9926108 22.5978318, 113.9926161 22.5978612, 113.9926072 22.5978939, 113.9925347 22.5980442, 113.9925258 22.5980736, 113.9925258 22.5981079, 113.9925418 22.5981471, 113.9925895 22.5982354, 113.9926391 22.5982746, 113.9926833 22.5983154, 113.9927063 22.5983514, 113.9927187 22.598402, 113.9927293 22.5985327, 113.9927346 22.598549, 113.9927698 22.5986125, 113.9928909 22.5986736, 113.9930079 22.5987123, 113.9931645 22.5987892, 113.9932422 22.5988171, 113.9932997 22.5988437, 113.9933672 22.5988888, 113.993465 22.5989618, 113.9935038 22.5990215, 113.9935483 22.5990878, 113.9936877 22.5992656, 113.9937381 22.5993492, 113.9937481 22.5994129, 113.9937438 22.5994687, 113.9937707 22.5994591, 113.9937956 22.5994501, 113.9937826 22.599397, 113.9937596 22.5993413, 113.993728 22.5992882, 113.9936906 22.5992351, 113.9935785 22.5990666, 113.9934693 22.5989379, 113.9933241 22.5988317, 113.9932364 22.5987826, 113.9930381 22.5986711, 113.9929159 22.5985862, 113.9928541 22.5985384, 113.992821 22.5984973, 113.9928081 22.5984522, 113.9928066 22.5984044, 113.9928009 22.5983566, 113.9927635 22.5983036, 113.9927147 22.5982784, 113.9926672 22.5982571, 113.9926313 22.5982385, 113.9926097 22.5982133, 113.9925637 22.5981257, 113.9925594 22.59807, 113.9925795 22.5980169, 113.9926485 22.5978895, 113.9926572 22.5978457, 113.9926557 22.5978099, 113.992627 22.5977714, 113.9925724 22.5977237, 113.9925494 22.5976905, 113.992535 22.5976255, 113.9925249 22.5975976, 113.9924919 22.5975644, 113.9924574 22.5975419, 113.9924171 22.5975034, 113.9924128 22.5974384, 113.9924056 22.5974118, 113.9924372 22.5973322, 113.9924372 22.5972884, 113.9924186 22.5972021, 113.9923539 22.5972141, 113.992294 22.5972437))",,,,,,,,,,
way,642817497,"[6050668050, 6050668051, 6265111195, 6265111196, 8552170450, 8552170449, 6265111197, 6265111198, 6050668052, 6050668053, 6050668054, 6050668055, 6050668056, 6050668057, 6050668058, 6050668059, 6050668060, 8552170451, 6050668061, 6050668062, 6265111194, 6050668063, 6050668050]",water,lake,"POLYGON ((113.9956913 22.6045886, 113.9957392 22.6046339, 113.9958261 22.6047199, 113.9960444 22.6049281, 113.9959357 22.6049404, 113.9958338 22.6049361, 113.9957564 22.6048297, 113.9956699 22.6047058, 113.9954921 22.6046353, 113.9953433 22.6044953, 113.9951146 22.6043386, 113.9948799 22.6042242, 113.9947099 22.6040512, 113.9946789 22.6039987, 113.9947289 22.6039078, 113.9948201 22.6038272, 113.9949797 22.6037177, 113.9950539 22.6038651, 113.9950928 22.604048, 113.9951462 22.6041958, 113.995257 22.6043028, 113.9954125 22.6044094, 113.9956913 22.6045886))",心湖,Mind Lake,心湖,,,,,,,
way,916169200,"[8509699554, 8509699555, 8509699556, 8509699557, 8509699558, 8509699559, 8509699560, 8552157940, 8509699561, 8509699562, 8509699563, 8509699564, 8509699565, 8509699566, 9049790371, 8509699567, 8509699568, 8509699569, 8509699570, 8509699571, 8509699572, 8509699573, 8509699574, 8509699575, 9049790398, 8509699576, 8509699577, 9049790399, 8509699578, 8509699579, 8509699580, 8509699581, 8509699582, 8509699583, 8509699584, 8509699585, 8509699586, 8509699587, 8509699554]",water,river,"POLYGON ((113.9902257 22.5969334, 113.9905267 22.5968437, 113.9909536 22.5968714, 113.9916251 22.5971203, 113.9918548 22.5971249, 113.9920944 22.5969797, 113.992374 22.5967239, 113.9925328 22.5965158, 113.9925762 22.5964589, 113.9927609 22.5959633, 113.9929731 22.5957421, 113.9933351 22.5956683, 113.9940812 22.5957737, 113.9948285 22.5961123, 113.9950821 22.596294, 113.9952771 22.596528, 113.9957427 22.597307, 113.9958673 22.5974521, 113.9960204 22.5974068, 113.995614 22.5968405, 113.9953109 22.5963077, 113.9950288 22.5960414, 113.9943116 22.5956915, 113.993728 22.5954635, 113.9930221 22.5952428, 113.9928498 22.5952466, 113.9927003 22.5953177, 113.9924669 22.5955103, 113.9923258 22.5957657, 113.9922576 22.595958, 113.9922576 22.5962259, 113.9921544 22.5963876, 113.9918098 22.5968155, 113.9916249 22.596864, 113.9913815 22.5968316, 113.9908772 22.5966573, 113.9904664 22.5966411, 113.9902397 22.5966825, 113.9902257 22.5969334))",,,,,,,,,,
way,916377055,"[8509699554, 8511215951, 8511215952, 8511215953, 8511215954, 8511215955, 8511215956, 8511215985, 8511215984, 10241669310, 8511215957, 8511215958, 8511215959, 8511215960, 8511215961, 8511215962, 8511215963, 8511215964, 8511215965, 8511215966, 6848874492, 6848874493, 8511215967, 8511215968, 8511215969, 8511215970, 8511215971, 8511215972, 8511215973, 8511215974, 8511215975, 8511215976, 8511215977, 8511215978, 8511215979, 8511215980, 8511215981, 8511215982, 8511215983, 8509699587, 8509699554]",water,river,"POLYGON ((113.9902257 22.5969334, 113.9898464 22.59726, 113.9895582 22.597457, 113.9892179 22.5975054, 113.9889343 22.597372, 113.9886718 22.5972806, 113.9883513 22.5970553, 113.9879889 22.5968569, 113.9876061 22.5967416, 113.9874496 22.5966815, 113.9873193 22.5965956, 113.9869344 22.5961552, 113.986495 22.5960355, 113.9853696 22.5960973, 113.9847754 22.5960123, 113.9842315 22.5958578, 113.9835914 22.5955179, 113.983127 22.5951007, 113.9821563 22.5940809, 113.9816626 22.5937487, 113.9810028 22.5935821, 113.9810066 22.5934396, 113.9817086 22.5936212, 113.9822232 22.593965, 113.9830391 22.5948148, 113.9836123 22.5953865, 113.9842775 22.5957535, 113.9850809 22.5959582, 113.985721 22.5959737, 113.9863653 22.5959196, 113.9866373 22.5959157, 113.9870006 22.5960281, 113.9874854 22.5965254, 113.9877167 22.5966381, 113.9880451 22.5967244, 113.9887965 22.5971862, 113.9891553 22.597346, 113.9893742 22.5973225, 113.9898196 22.597057, 113.9902397 22.5966825, 113.9902257 22.5969334))",,,,yes,,,,,,
way,916377056,"[8509699569, 8511215986, 8511215987, 8511215988, 8511215989, 8511215990, 8511215991, 8511215992, 8511248121, 8511248122, 8511215993, 8511215994, 8511215995, 8511215996, 8511215997, 8511215998, 8511215999, 8511216000, 8511216001, 8511216002, 8511216003, 8511216004, 8511216005, 8511216006, 8511216007, 8511216008, 8511216009, 8511216010, 8511216011, 8511216012, 8511216013, 8511216014, 8511216015, 8511216016, 8511248117, 8511248118, 8511248119, 8511248120, 8509699570, 8509699569]",water,river,"POLYGON ((113.9958673 22.5974521, 113.9961076 22.5978076, 113.9962313 22.5980649, 113.9964088 22.598235, 113.9969438 22.5986687, 113.9973754 22.5990672, 113.9976507 22.5996204, 113.9977645 22.5998214, 113.9978937 22.5998916, 113.9986588 22.600096, 113.9992365 22.600306, 114.000185 22.6005364, 114.0008279 22.6006692, 114.0012489 22.6008438, 114.0014715 22.600835, 114.0029307 22.6003321, 114.0034376 22.6004677, 114.0040961 22.6004895, 114.0038498 22.6001003, 114.0028217 22.6001046, 114.0026322 22.6001615, 114.0021585 22.6004502, 114.0014716 22.6006643, 114.0007193 22.6004591, 114.00009 22.6003326, 113.9996116 22.6002722, 113.9994865 22.600208, 113.9992563 22.60012, 113.9988831 22.6000394, 113.9986091 22.5998543, 113.9979918 22.5996674, 113.9977536 22.5994823, 113.9975491 22.5991506, 113.997434 22.5989178, 113.9970032 22.5985586, 113.9967193 22.5982691, 113.9963521 22.5979593, 113.9962767 22.5977083, 113.9960204 22.5974068, 113.9958673 22.5974521))",,,,,,,,,,
way,921132972,"[8552127816, 8552127815, 8552127814, 8552127813, 8552127812, 8552127811, 8552127816]",water,reflecting_pool,"POLYGON ((113.9930979 22.5983122, 113.9937899 22.5981803, 113.9938 22.5981556, 113.9935143 22.5981562, 113.9933541 22.5981822, 113.9930496 22.5982621, 113.9930979 22.5983122))",,,,,,,,,,
way,921139427,"[8552234708, 8552234707, 8552234706, 9181839862, 8552234705, 8552234704, 8552234703, 8552234708]",water,ditch,"POLYGON ((113.9935425 22.6005817, 113.9935385 22.6001966, 113.9935975 22.599762, 113.9936283 22.5997634, 113.9936525 22.5997645, 113.9935947 22.6001768, 113.9935975 22.6005767, 113.9935425 22.6005817))",,,,,,,,,,
way,955206099,"[8840959638, 8840959637, 8840959636, 8840959635, 9019493639, 5173029203, 5173029202, 8153829299, 9019493638, 9019493636, 8840959634, 8840959633, 8840959632, 8840959631, 8840959630, 8840959629, 9019493631, 9019493632, 9019493633, 8552234703, 8552234708, 9019493634, 9019493635, 8840959624, 8840959623, 8840959628, 8840959627, 8840959626, 8840959625, 8840959638]",water,,"POLYGON ((113.9933668 22.601535, 113.9934647 22.6015437, 113.9935626 22.6014991, 113.9936886 22.6016068, 113.9938858 22.6017096, 113.9939802 22.6017956, 113.9940018 22.601722, 113.9940521 22.6016142, 113.993967 22.6015784, 113.9938811 22.6014255, 113.9937799 22.6013406, 113.9938214 22.6012948, 113.9938214 22.6012466, 113.9937638 22.6011809, 113.9937249 22.6011066, 113.9937155 22.6010398, 113.9937168 22.6009804, 113.9936786 22.6009277, 113.9936085 22.6006662, 113.9935975 22.6005767, 113.9935425 22.6005817, 113.9935458 22.6006814, 113.9936283 22.600968, 113.9935653 22.6010559, 113.9933628 22.6011376, 113.9932702 22.6012391, 113.9932421 22.6013221, 113.9932729 22.6014298, 113.9933293 22.6015115, 113.9933668 22.601535))",,,,,resurvey,,,,,
way,978381341,"[9053069631, 9053069630, 9053069636, 9053069629, 9053069634, 9053069635, 9053069632, 9053069633, 9053069631]",water,reflecting_pool,"POLYGON ((113.9929316 22.5977236, 113.993762 22.5976122, 113.9937637 22.5976527, 113.9936302 22.5976885, 113.9934416 22.5977195, 113.99328 22.5977423, 113.9931263 22.5977517, 113.9929375 22.5977528, 113.9929316 22.5977236))",,,,,,,,,,
relation,7659064,"[[[5173029202, 5173029203, 5173029204, 5173029205, 5173029206, 5173029207, 5173029208, 5173029209, 5173029210, 7057414657, 5173029211, 7057414656, 8530803983, 7057414636], [7057414636, 5173029214, 7057414629, 7057414628, 7057414627, 7057414626, 7057414625, 5173029215, 5173029216, 5173029217, 5173029218, 5173029219, 5173029220, 5173029221, 5173029225, 5173029226, 6024420969, 5173029228, 5173029229, 5173029230, 5173029231, 5173029232, 5173029233, 5173029234, 6024420970, 5173029235, 5173029236, 5173029237, 5173029238, 6050673398, 6050673397, 5173029240, 5173029241, 8530804301, 5173029242, 5173029243, 5173029244, 5173029245, 5173029246, 5173029247, 5173029248, 5173029249, 5173029250, 5173029251, 5173029252, 5173029253, 5173029254, 5173029255, 5173029256, 5173029257, 8153829300], [8153829300, 8153829299], [8153829299, 5173029202], [5173029213, 7057414654, 7057414653, 7057414652, 7057414651, 7057414650, 7057414649, 7057414648, 7057414647, 7057414646, 7057414645, 8530804300, 7057414644, 7057414643, 7057414642, 7057414641, 7057414640, 7057414639, 7057414638, 7057414637, 7057414635, 5173029213]]]",water,pond,"POLYGON ((113.9939802 22.6017956, 113.9940427 22.6018535, 113.994102 22.6022135, 113.9941138 22.602635, 113.9939938 22.6028003, 113.9940528 22.603091, 113.9939505 22.6031855, 113.9943224 22.6033417, 113.9944158 22.6033776, 113.994605 22.6033878, 113.9947674 22.6033978, 113.9949093 22.6034042, 113.995003 22.6033286, 113.9951754 22.6031463, 113.9953479 22.6031246, 113.995393 22.6031889, 113.9953849 22.6032733, 113.9954202 22.6033006, 113.995586 22.6033284, 113.9957109 22.6033125, 113.9957873 22.6032634, 113.9958437 22.6032206, 113.995895 22.6031996, 113.9960181 22.6032349, 113.9961049 22.6032299, 113.9962204 22.6031952, 113.9963198 22.6031645, 113.9964646 22.6031733, 113.9965457 22.6032349, 113.996607 22.6032591, 113.9966927 22.6032873, 113.996718 22.6032677, 113.9966938 22.6032309, 113.9967135 22.6032, 113.9966697 22.6031705, 113.9965984 22.6031462, 113.996565 22.6031153, 113.9964999 22.6030664, 113.9963597 22.6030304, 113.9962056 22.6030575, 113.9960935 22.6030746, 113.9960093 22.6030459, 113.9959366 22.6030285, 113.9958649 22.6030219, 113.9957699 22.6030303, 113.9956892 22.603048, 113.9956407 22.6030586, 113.9955242 22.6030733, 113.9954639 22.6030165, 113.9953891 22.6029039, 113.9953064 22.6028276, 113.9952553 22.6027367, 113.9951844 22.6026695, 113.9950899 22.6026186, 113.9949915 22.6025641, 113.9948794 22.6025133, 113.9947023 22.6024042, 113.9945684 22.6022771, 113.9943874 22.6020772, 113.9942831 22.6019446, 113.9942083 22.6018719, 113.9941296 22.6017357, 113.9940703 22.6016349, 113.9940521 22.6016142, 113.9940018 22.601722, 113.9939802 22.6017956), (113.9947736 22.6033047, 113.9945634 22.6033061, 113.9944364 22.603257, 113.9943522 22.6031656, 113.9943522 22.6030619, 113.9944231 22.6029419, 113.994426 22.6028492, 113.9945014 22.6027564, 113.9945294 22.6026241, 113.9945368 22.6025096, 113.9946258 22.6024851, 113.9946698 22.6025437, 113.9948013 22.6025887, 113.9948722 22.6026337, 113.9949992 22.6026582, 113.9951056 22.6027114, 113.9951853 22.6027905, 113.9951883 22.6029419, 113.995141 22.6030619, 113.9950738 22.6031813, 113.9949266 22.6032619, 113.9947736 22.6033047))",阅湖,Reading Lake,阅湖,,,"[924871038, 533171014, 876065301, 876065300, 924871037]",no,阅湖,閱湖,multipolygon
