element_type,osmid,access,geometry,wheelchair,amenity,layer,nodes,building,building:levels,name,source,alt_name,name:en,leisure,sport,lit,fee,toilets:disposal,unisex,fast_food,operator,addr:city,addr:housenumber,addr:postcode,addr:street,emergency,height,opening_hours,shop,building:material,description,structure,historic,office,club,tourism,name_1,ways,type,internet_access
way,210254155,,"POLYGON ((106.4181807 29.8259003, 106.4182119 29.8258143, 106.4182571 29.8257435, 106.4183279 29.8256757, 106.4183893 29.8256228, 106.4184667 29.8255805, 106.4185495 29.8255474, 106.4186495 29.8255087, 106.4187598 29.8254992, 106.4188817 29.8255155, 106.4188235 29.8256307, 106.4187248 29.8257509, 106.4185649 29.825856, 106.4184681 29.8258872, 106.4183411 29.8259096, 106.4181807 29.8259003))",,,,"[2203453430, 7867913292, 2203453426, 7867913291, 2203453419, 7867913289, 2203453417, 7867913290, 2203453416, 2203453415, 2203453420, 2203453425, 2203453427, 7867913288, 2203453431, 2203453430]",university,4,27教学楼,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,210254156,,"POLYGON ((106.4175752 29.8251598, 106.4176535 29.8251047, 106.4177391 29.8250641, 106.4178839 29.8250274, 106.4180204 29.8250155, 106.4181576 29.8250169, 106.4182676 29.8250442, 106.4183843 29.8250814, 106.4184751 29.825119, 106.4186279 29.8252255, 106.4184923 29.8253122, 106.4184199 29.8252452, 106.418354 29.8252098, 106.4183295 29.8252441, 106.4183888 29.8252715, 106.4184541 29.8253264, 106.4183603 29.8253473, 106.4182322 29.8253759, 106.4180752 29.8253804, 106.4179366 29.825356, 106.4178289 29.8253236, 106.4177133 29.8252741, 106.4177704 29.8252468, 106.4177522 29.8252056, 106.417677 29.825244, 106.4175752 29.8251598))",,,,"[2203453409, 7867521445, 2203453407, 7867521442, 2203453405, 7867521443, 2203453406, 7867521444, 2203453408, 2203453410, 7867521449, 7867521450, 7867521452, 7867521453, 7867521451, 2203453412, 7867521446, 2203453413, 7867521447, 2203453414, 7867521448, 2203453411, 7867521456, 7867521455, 7867521454, 2203453409]",university,6,26教学楼,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,210254157,,"POLYGON ((106.418963 29.8261621, 106.4189409 29.8260334, 106.4189543 29.8259284, 106.4189852 29.8258367, 106.4190955 29.8257155, 106.4192321 29.8256416, 106.4192545 29.8257854, 106.4192363 29.825911, 106.4191838 29.8260138, 106.4190908 29.8260847, 106.418963 29.8261621))",,,,"[2203453436, 2203453433, 2203453429, 2203453424, 2203453422, 2203453418, 2203453423, 2203453428, 2203453432, 2203453434, 2203453436]",university,4,28教学楼,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,304932135,,"POLYGON ((106.4115931 29.8145422, 106.4114084 29.8140013, 106.4117025 29.8139257, 106.4117253 29.8139927, 106.4117922 29.8141886, 106.4120226 29.8141294, 106.4121177 29.814105, 106.4122125 29.814383, 106.4115931 29.8145422))",,,,"[3095013565, 3095013561, 3095013560, 7847004037, 3095013563, 7847004044, 3095013562, 3095013564, 3095013565]",university,7,西南大学资源与环境学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,304932137,,"POLYGON ((106.4123792 29.8155577, 106.413247 29.8153415, 106.4132158 29.8152474, 106.413268 29.8152344, 106.4132446 29.8151636, 106.4132173 29.8150812, 106.4131549 29.8150968, 106.4131409 29.8150548, 106.412917 29.8151106, 106.412939 29.8151772, 106.4129707 29.8151693, 106.4130004 29.815259, 106.4123352 29.8154247, 106.4123792 29.8155577))",,,,"[3095013569, 7847004016, 7847004015, 3095013567, 7847151672, 7847004014, 7847004013, 3106346052, 7847004012, 7847004011, 7847004010, 3095013566, 3095013568, 3095013569]",university,6,动物科技学院,西南大学,"西南大学37教学楼,宏朴楼",College of Animal Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,304932138,,"POLYGON ((106.4102786 29.8171134, 106.410843 29.8169512, 106.4106083 29.8163052, 106.4100457 29.8164718, 106.410119 29.8166633, 106.4100489 29.8167794, 106.4100655 29.8168184, 106.4100372 29.8168279, 106.4100467 29.8168818, 106.4100188 29.8169628, 106.4101321 29.8170015, 106.4101606 29.8170222, 106.4102406 29.8170068, 106.4102786 29.8171134))",,,,"[3095013603, 3095013600, 3095013587, 3095013591, 7847003922, 7847003930, 7847003929, 7847003923, 7847003924, 7847003925, 7847003926, 7847003927, 7847003928, 3095013603]",yes,,西南大学网球馆,,,"Tennis Centre, S.W.U",sports_centre,tennis,,,,,,,,,,,,,,,,,,,,,,,,,
way,304955278,,"POLYGON ((106.4118441 29.8181883, 106.411807 29.8181692, 106.4117984 29.8181435, 106.4114963 29.818215, 106.4114588 29.8180941, 106.4113368 29.8181199, 106.4113777 29.818242, 106.4112527 29.8182696, 106.4112386 29.8182274, 106.4110689 29.8182935, 106.4110664 29.8186064, 106.4110871 29.8186704, 106.4111412 29.8186593, 106.4111643 29.8187344, 106.4112068 29.8188729, 106.4113343 29.8188434, 106.4113717 29.8189757, 106.4114656 29.8188451, 106.4114171 29.8188273, 106.4116579 29.8184667, 106.4116983 29.818486, 106.4117366 29.8184308, 106.4117064 29.8183382, 106.4117869 29.8183199, 106.4118032 29.8183288, 106.411868 29.818232, 106.4118289 29.8182123, 106.4118441 29.8181883))",limited,,,"[3095257920, 8744634612, 3095257919, 3095257922, 3095257917, 3095257918, 3095257925, 3095257926, 3095257921, 3095257924, 8744634613, 8744634614, 7845760670, 7846863859, 7845760669, 7845760668, 3095257927, 7845760673, 7845776489, 7845760676, 7845776490, 7845776491, 8744634610, 8744634611, 7845776493, 7845760674, 3095257923, 3095257920]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,305935503,,"POLYGON ((106.4134516 29.815041, 106.4144836 29.8147762, 106.4144253 29.8146053, 106.4142898 29.8146401, 106.4143012 29.8146734, 106.4140065 29.8147491, 106.4139965 29.81472, 106.4138203 29.8147653, 106.4138274 29.8147861, 106.4135434 29.814859, 106.413533 29.8148286, 106.4133915 29.8148649, 106.4134516 29.815041))",,,,"[3106346053, 3106346044, 3106346037, 7861724576, 7861724579, 7861724578, 7861724577, 7861724583, 7861724582, 7861724581, 7861724580, 3106346049, 3106346053]",university,3,西南大学植物保护学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,305935504,,"POLYGON ((106.4140557 29.8158293, 106.4141101 29.8159975, 106.4146074 29.8158766, 106.4146715 29.8160748, 106.4142121 29.8161865, 106.4139758 29.816244, 106.4139243 29.8160848, 106.4137563 29.8155649, 106.4139699 29.8155129, 106.4140181 29.815662, 106.4144889 29.8155475, 106.4145418 29.815711, 106.4140557 29.8158293))",,,,"[3106346069, 3106346071, 3106346070, 3106346075, 3106346078, 3106346073, 3106346074, 3106346066, 3106346063, 7847151675, 7847151676, 3106346065, 3106346069]",university,7,西南大学33教学楼,,"33教学楼,同庆楼",No.33 Teaching Building,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,305935505,,"POLYGON ((106.4126551 29.81652, 106.4130037 29.8164273, 106.4129643 29.8163157, 106.4126157 29.8164085, 106.4126551 29.81652))",,,,"[3106346084, 3106346083, 3106346081, 3106346082, 3106346084]",university,6,蚕桑纺织与生物质科学学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
