u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service,maxspeed,lanes,bridge,width
3101507737,3106346045,0,306178750,学苑路,service,permissive,False,True,101.231,"LINESTRING (106.4129253 29.813945, 106.4132134 29.8148204)",,,,,
3101507737,7847004077,0,305512091,,service,,False,False,18.198999999999998,"LINESTRING (106.4129253 29.813945, 106.4128159 29.8139705, 106.4127922 29.8139761, 106.4127435 29.8139886)",,,,,
3101507738,3101507754,0,305512088,,service,permissive,False,True,86.371,"LINESTRING (106.4086319 29.8138791, 106.4085754 29.8146543)",,,,,
3101507738,7847004157,0,368597439,,service,,False,False,79.174,"LINESTRING (106.4086319 29.8138791, 106.4091893 29.8138614, 106.4094492 29.8138272)",driveway,,,,
3101507754,3101507738,0,305512088,,service,permissive,False,False,86.371,"LINESTRING (106.4085754 29.8146543, 106.4086319 29.8138791)",,,,,
3101507754,7847004163,0,305512088,,service,permissive,False,True,97.309,"LINESTRING (106.4085754 29.8146543, 106.4085491 29.8148607, 106.4085436 29.8150167, 106.4085413 29.8150845, 106.408664 29.8152723, 106.4087266 29.8153681, 106.4087667 29.8154804)",,,,,
3101507754,7847004159,0,840970014,,service,,False,False,88.22500000000001,"LINESTRING (106.4085754 29.8146543, 106.4091357 29.8146758, 106.4093133 29.8146695, 106.4094887 29.8146584)",driveway,,,,
3101507770,8601035081,0,305512092,,service,,False,False,65.341,"LINESTRING (106.4154351 29.8160296, 106.4147845 29.8161929)",,,,,
3101507770,3724339790,0,305512092,,service,,False,True,48.713,"LINESTRING (106.4154351 29.8160296, 106.4155775 29.8164499)",,,,,
3101507770,3106346045,0,305935496,乡建路,service,permissive,False,True,330.238,"LINESTRING (106.4154351 29.8160296, 106.4154801 29.8157282, 106.4154032 29.8154813, 106.4153195 29.8152568, 106.4152519 29.8151483, 106.4151504 29.8150619, 106.4150927 29.8150128, 106.4149689 29.814904, 106.4148695 29.8148238, 106.4145272 29.8145694, 106.4144356 29.8145298, 106.4143346 29.8145185, 106.4132134 29.8148204)",,,,,
3101507777,7847151619,0,305512083,,service,permissive,False,False,110.53,"LINESTRING (106.4136844 29.8164632, 106.4135113 29.816404, 106.4125965 29.8166555)",,,,,
3101507777,3101507795,0,305512092,,service,,False,False,124.84300000000002,"LINESTRING (106.4136844 29.8164632, 106.4136539 29.8165688, 106.4137135 29.8167399, 106.4139341 29.817408, 106.4140727 29.81748)",,,,,
3101507777,7847151668,0,"[305512092, 306178750]",学苑路,service,permissive,False,"[False, True]",120.29400000000001,"LINESTRING (106.4136844 29.8164632, 106.4137113 29.8163148, 106.4136369 29.8161034, 106.4135045 29.8157449, 106.4134202 29.8154773, 106.413403 29.8154226)",,,,,
3101507777,8601035081,0,305512092,,service,,False,True,110.31299999999999,"LINESTRING (106.4136844 29.8164632, 106.4137943 29.8164337, 106.414233 29.8163302, 106.4143299 29.8163066, 106.4143984 29.8162898, 106.4147845 29.8161929)",,,,,
3101507786,7847151630,0,305512083,,service,permissive,False,False,75.302,"LINESTRING (106.412198 29.8167427, 106.4119937 29.8160891)",,,,,
3101507786,7847151619,0,305512083,,service,permissive,False,True,39.649,"LINESTRING (106.412198 29.8167427, 106.4125965 29.8166555)",,,,,
3101507786,7847003946,0,840969984,,service,,False,False,45.748,"LINESTRING (106.412198 29.8167427, 106.4117393 29.816847)",driveway,,,,
3101507786,3101507805,0,305512088,,service,permissive,False,False,183.198,"LINESTRING (106.412198 29.8167427, 106.4123796 29.8172313, 106.4124933 29.817616, 106.4125046 29.8177541, 106.4124649 29.8178626, 106.412408 29.8179859, 106.4121088 29.8182235)",,,,,
3101507795,3724320462,0,305512092,,service,,False,False,5.765,"LINESTRING (106.4140727 29.81748, 106.4141322 29.8174752)",,,,,
3101507795,3101507777,0,305512092,,service,,False,True,124.843,"LINESTRING (106.4140727 29.81748, 106.4139341 29.817408, 106.4137135 29.8167399, 106.4136539 29.8165688, 106.4136844 29.8164632)",,,,,
3101507795,7935950732,0,368592198,,service,,False,False,64.001,"LINESTRING (106.4140727 29.81748, 106.4142142 29.8178982, 106.4142621 29.8180316)",,,,,
3101507799,3724123189,0,305512088,,service,permissive,False,True,15.451,"LINESTRING (106.4105321 29.8177443, 106.4106717 29.8178124)",,,,,
3101507799,7847151580,0,305512088,,service,permissive,False,False,198.77100000000002,"LINESTRING (106.4105321 29.8177443, 106.4103047 29.8176604, 106.4101114 29.8175815, 106.4099807 29.8175272, 106.4098064 29.8173921, 106.4095672 29.8171082, 106.4093757 29.8167602, 106.4092868 29.816543, 106.4092253 29.8164686)",,,,,
3101507799,7847151522,0,840987830,,service,,False,False,155.494,"LINESTRING (106.4105321 29.8177443, 106.4103141 29.8178517, 106.4090174 29.8182106)",driveway,,,,
3101507805,8744595872,0,305512088,,service,permissive,False,False,65.659,"LINESTRING (106.4121088 29.8182235, 106.4120582 29.8183004, 106.4117796 29.8187403)",,,,,
3101507805,3101507786,0,305512088,,service,permissive,False,True,183.198,"LINESTRING (106.4121088 29.8182235, 106.412408 29.8179859, 106.4124649 29.8178626, 106.4125046 29.8177541, 106.4124933 29.817616, 106.4123796 29.8172313, 106.412198 29.8167427)",,,,,
3101507805,8744595883,0,840830751,,service,,False,False,86.447,"LINESTRING (106.4121088 29.8182235, 106.4118608 29.8181112, 106.4116067 29.8180745, 106.411486 29.8180605, 106.4112955 29.8180977, 106.4112549 29.8181059)",driveway,,,,
3101507805,7847165266,0,840863404,,footway,,False,False,226.947,"LINESTRING (106.4121088 29.8182235, 106.4123703 29.818123, 106.4129453 29.8178974, 106.4129984 29.8178789, 106.4130673 29.8179051, 106.4134294 29.8181779, 106.4136018 29.8182423, 106.4137563 29.8182542, 106.4140815 29.8181727, 106.4142105 29.8181211)",,,,,
3101507810,8744634643,0,306178746,,service,,False,True,180.994,"LINESTRING (106.4113712 29.8192968, 106.412954 29.8201707)",,,,,
