osmid,y,x,street_count,highway,geometry
3101507737,29.813945,106.4129253,3,,POINT (106.4129253 29.813945)
3101507738,29.8138791,106.4086319,3,,POINT (106.4086319 29.8138791)
3101507754,29.8146543,106.4085754,3,,POINT (106.4085754 29.8146543)
3101507770,29.8160296,106.4154351,3,,POINT (106.4154351 29.8160296)
3101507777,29.8164632,106.4136844,4,mini_roundabout,POINT (106.4136844 29.8164632)
3101507786,29.8167427,106.412198,4,,POINT (106.412198 29.8167427)
3101507795,29.81748,106.4140727,3,,POINT (106.4140727 29.81748)
3101507799,29.8177443,106.4105321,3,,POINT (106.4105321 29.8177443)
3101507805,29.8182235,106.4121088,4,,POINT (106.4121088 29.8182235)
3101507810,29.8192968,106.4113712,3,,POINT (106.4113712 29.8192968)
3106346038,29.8146133,106.411447,3,,POINT (106.411447 29.8146133)
3106346045,29.8148204,106.4132134,3,,POINT (106.4132134 29.8148204)
3110234032,29.8194911,106.4174189,3,,POINT (106.4174189 29.8194911)
3110234039,29.8202546,106.4179126,3,,POINT (106.4179126 29.8202546)
3110234043,29.8205904,106.4137164,3,,POINT (106.4137164 29.8205904)
3110234053,29.8216604,106.418903,3,,POINT (106.418903 29.8216604)
3110234061,29.8224713,106.4189646,3,,POINT (106.4189646 29.8224713)
3110234068,29.823623,106.4199326,5,,POINT (106.4199326 29.823623)
3110234071,29.8242203,106.4198047,3,,POINT (106.4198047 29.8242203)
3110234075,29.8250959,106.4217789,4,,POINT (106.4217789 29.8250959)
3715906644,29.8265741,106.4253643,3,,POINT (106.4253643 29.8265741)
3724109290,29.8240765,106.4247296,3,,POINT (106.4247296 29.8240765)
3724109293,29.8246636,106.4247909,3,,POINT (106.4247909 29.8246636)
3724109299,29.824014,106.4248709,3,,POINT (106.4248709 29.824014)
3724109301,29.8246872,106.4247105,3,,POINT (106.4247105 29.8246872)
3724109302,29.825264,106.4245611,3,,POINT (106.4245611 29.825264)
3724109304,29.8256676,106.4241064,3,,POINT (106.4241064 29.8256676)
3724109306,29.8253331,106.4249091,3,,POINT (106.4249091 29.8253331)
3724109307,29.8254664,106.4241506,3,,POINT (106.4241506 29.8254664)
3724109308,29.8255898,106.4248388,3,,POINT (106.4248388 29.8255898)
3724109309,29.8260319,106.4238221,3,,POINT (106.4238221 29.8260319)
3724109314,29.8243444,106.4246738,3,,POINT (106.4246738 29.8243444)
3724109315,29.825795,106.4238926,3,,POINT (106.4238926 29.825795)
3724123189,29.8178124,106.4106717,4,,POINT (106.4106717 29.8178124)
3724141343,29.8232685,106.4236008,3,,POINT (106.4236008 29.8232685)
3724320462,29.8174752,106.4141322,3,,POINT (106.4141322 29.8174752)
3724320472,29.8198723,106.4167582,4,,POINT (106.4167582 29.8198723)
3724339770,29.8175245,106.4159334,3,,POINT (106.4159334 29.8175245)
3724339771,29.8174141,106.4163486,3,,POINT (106.4163486 29.8174141)
3724339772,29.8169513,106.416199,4,,POINT (106.416199 29.8169513)
3724339773,29.8168088,106.4167186,3,,POINT (106.4167186 29.8168088)
3724339781,29.8167158,106.4156569,3,,POINT (106.4156569 29.8167158)
3724339782,29.8165293,106.4157575,3,,POINT (106.4157575 29.8165293)
3724339783,29.8161058,106.4173964,3,,POINT (106.4173964 29.8161058)
3724339790,29.8164499,106.4155775,3,,POINT (106.4155775 29.8164499)
3724418671,29.8162294,106.4169486,3,,POINT (106.4169486 29.8162294)
3724418673,29.8175052,106.4172608,3,,POINT (106.4172608 29.8175052)
