element_type,osmid,amenity,layer,parking,geometry,nodes,capacity
node,7846353336,parking,-1,underground,POINT (106.415647 29.8177157),,
way,368599421,parking,,,"POLYGON ((106.4123842 29.8168471, 106.4125925 29.8167959, 106.4126682 29.8170274, 106.4130212 29.8169405, 106.4131131 29.8172218, 106.4125518 29.8173599, 106.4123842 29.8168471))","[3724521732, 7847151617, 7847151618, 3724521733, 3724521734, 3724521735, 3724521732]",
way,840953771,parking,,,"POLYGON ((106.4123585 29.8192926, 106.4125039 29.8193727, 106.4125336 29.8193322, 106.4123882 29.8192521, 106.4123585 29.8192926))","[7846825768, 7846825769, 7846825770, 7846825771, 7846825768]",7
way,840969986,parking,,,"POLYGON ((106.4110615 29.8149059, 106.4110853 29.8149377, 106.4113786 29.8148328, 106.4113379 29.8147128, 106.4112424 29.814734, 106.4111733 29.8147322, 106.4111103 29.8147164, 106.4110595 29.814697, 106.410905 29.8147358, 106.4109219 29.8148187, 106.410976 29.8148214, 106.4109963 29.8148848, 106.4110615 29.8149059))","[7847003961, 7847003972, 7847003963, 7847003964, 7847003965, 7847003966, 7847003967, 7847003968, 7847003969, 3724496356, 7847003970, 7847003971, 7847003961]",
way,840969999,parking,,,"POLYGON ((106.4116604 29.8138915, 106.4115967 29.8137051, 106.4119592 29.813618, 106.4122163 29.8135562, 106.4122592 29.8136632, 106.4126991 29.8135632, 106.412734 29.8136842, 106.4122887 29.8137866, 106.4122324 29.8138517, 106.4122968 29.8140379, 106.4123221 29.8140994, 106.4122218 29.8141204, 106.4120438 29.8138438, 106.4119422 29.8138607, 106.4118045 29.8138612, 106.4116604 29.8138915))","[7847004067, 7847004068, 7847004084, 7847004069, 7847004070, 7847004071, 7847004072, 7847004073, 7847004074, 7847004075, 7847004076, 3101507745, 3101507741, 3101507736, 3101507735, 7847004067]",
way,840970011,parking,,,"POLYGON ((106.4087562 29.8138532, 106.4087438 29.8136349, 106.4090706 29.8136209, 106.409083 29.8138393, 106.4087562 29.8138532))","[7847004149, 7847004150, 7847004151, 7847004152, 7847004149]",
way,840970015,parking,,rooftop,"POLYGON ((106.4085436 29.8150167, 106.4092821 29.8150168, 106.4093133 29.8146695, 106.4091357 29.8146758, 106.4085754 29.8146543, 106.4085436 29.8150167))","[7847004160, 7847004161, 7847004162, 7847004158, 3101507754, 7847004160]",
way,842727312,parking,,,"POLYGON ((106.4162158 29.8232677, 106.4169095 29.8234843, 106.4168051 29.8238067, 106.4164671 29.8236962, 106.4163984 29.8237487, 106.416321 29.8236769, 106.4161909 29.8234653, 106.4162158 29.8232677))","[7861724555, 7861724556, 7861724557, 7861724558, 7861724559, 7861724534, 7861724532, 7861724555]",
way,842727328,parking,,,"POLYGON ((106.4169429 29.8160135, 106.4168363 29.8156762, 106.4172584 29.8155758, 106.417365 29.8159131, 106.4169429 29.8160135))","[7861724679, 7861724680, 7861724681, 7861724682, 7861724679]",
way,843421801,parking,,,"POLYGON ((106.4270665 29.8293472, 106.4271833 29.8294283, 106.427342 29.8293857, 106.4274308 29.8294202, 106.4274751 29.8293878, 106.4271202 29.8290859, 106.4270922 29.8291649, 106.4270618 29.8291933, 106.4270665 29.8293472))","[7867521186, 7867521187, 7867521188, 7867521189, 7867521190, 7867521191, 7867521192, 7867521193, 7867521186]",
way,846878947,parking,,,"POLYGON ((106.417924 29.8214177, 106.4177193 29.8211421, 106.4181873 29.8208473, 106.4184078 29.8211031, 106.417924 29.8214177))","[7902519415, 7902519416, 7902519417, 7862085027, 7902519415]",
way,922378365,parking,,,"POLYGON ((106.4280925 29.8311102, 106.4292968 29.8315034, 106.42938 29.8315011, 106.4295651 29.831301, 106.4286773 29.8309636, 106.4283983 29.8309473, 106.4282964 29.8309636, 106.4282213 29.8309799, 106.4281247 29.8309776, 106.4280925 29.8311102))","[8562711466, 8562711467, 8562711468, 8562711469, 8562711470, 8562711471, 8562711472, 8562711473, 8562711474, 8562711466]",
way,926971482,parking,,,"POLYGON ((106.4151504 29.8150619, 106.414631 29.8151811, 106.4144356 29.8145298, 106.4145272 29.8145694, 106.4151504 29.8150619))","[8601035109, 8601035110, 7861724607, 3106346039, 8601035109]",
way,973994913,parking,,,"POLYGON ((106.4136394 29.8172483, 106.4138773 29.8171867, 106.4137933 29.8169428, 106.4135555 29.8170044, 106.4136394 29.8172483))","[9013816430, 9013816429, 9013816428, 9013816427, 9013816430]",
way,973994914,parking,,,"POLYGON ((106.4223577 29.8251301, 106.4229892 29.8251778, 106.4230092 29.8249779, 106.4228432 29.8249654, 106.42287 29.8246984, 106.4226083 29.8246786, 106.4225826 29.8249347, 106.4223788 29.8249193, 106.4223577 29.8251301))","[9013816438, 9013816437, 9013816436, 9013816435, 9013816434, 9013816433, 9013816432, 9013816431, 9013816438]",
