element_type,osmid,amenity,geometry,bicycle_parking,capacity,covered,check_date,access,nodes,lit,fee
node,612019947,bicycle_parking,POINT (-122.170817 37.4238453),,,,,,,,
node,612019961,bicycle_parking,POINT (-122.1656618 37.4237388),wall_loops,70,no,,,,,
node,612019962,bicycle_parking,POINT (-122.1654794 37.423922),,,,,,,,
node,612019963,bicycle_parking,POINT (-122.1651844 37.4250595),wall_loops,70,no,,,,,
node,612019964,bicycle_parking,POINT (-122.1649269 37.4244269),,,,,,,,
node,612019965,bicycle_parking,POINT (-122.1661714 37.4246292),,,,,,,,
node,612020036,bicycle_parking,POINT (-122.1702913 37.4248252),,,no,2022-10-03,,,,
node,612020065,bicycle_parking,POINT (-122.169771 37.4246888),,,,,,,,
node,612020211,bicycle_parking,POINT (-122.168977 37.4241308),,,,,,,,
node,612020212,bicycle_parking,POINT (-122.1691648 37.4247357),,,,,,,,
node,612020213,bicycle_parking,POINT (-122.1687459 37.4266313),,,,,,,,
node,1255957253,bicycle_parking,POINT (-122.164192 37.430492),,,,,,,,
node,1255982833,bicycle_parking,POINT (-122.164664 37.430368),,,,,,,,
node,3231954160,bicycle_parking,POINT (-122.1775897 37.4264324),stands,,no,,yes,,,
node,4216740693,bicycle_parking,POINT (-122.1665308 37.4278234),stands,17,no,,,,,
node,4216740694,bicycle_parking,POINT (-122.1671885 37.4279703),stands,8,no,,,,,
node,4742742360,bicycle_parking,POINT (-122.1695645 37.4253393),,,,,,,,
node,4742742464,bicycle_parking,POINT (-122.1704788 37.4240828),,,,,,,,
node,4742742465,bicycle_parking,POINT (-122.1703876 37.4246111),,,,,,,,
node,4742742466,bicycle_parking,POINT (-122.1715262 37.4246441),,,,,,,,
node,5553140606,bicycle_parking,POINT (-122.1721836 37.4269502),,,,,,,,
node,5553140607,bicycle_parking,POINT (-122.171792 37.4279812),,,,,,,,
node,5553140608,bicycle_parking,POINT (-122.1719207 37.4275466),,,,,,,,
node,5553140609,bicycle_parking,POINT (-122.1761452 37.4281729),,,,,,,,
node,5553140610,bicycle_parking,POINT (-122.1760245 37.4285243),,,,,,,,
node,5553140611,bicycle_parking,POINT (-122.1758207 37.429159),,,,,,,,
node,5553140612,bicycle_parking,POINT (-122.1759065 37.4288928),,,,,,,,
node,5553314733,bicycle_parking,POINT (-122.1701593 37.4269712),,,,,,,,
node,5553314734,bicycle_parking,POINT (-122.1694475 37.4263598),,,,,,,,
node,5553314735,bicycle_parking,POINT (-122.1716067 37.4268156),,,,,,,,
node,5553314736,bicycle_parking,POINT (-122.168999 37.4279078),rack,,no,,yes,,,
node,5553314737,bicycle_parking,POINT (-122.1692973 37.4281021),,,,,,,,
node,5555811954,bicycle_parking,POINT (-122.1683932 37.4260084),,,,,,,,
node,5555811995,bicycle_parking,POINT (-122.1659313 37.4256479),,,,,,,,
node,5555811996,bicycle_parking,POINT (-122.1650951 37.423938),,,,,,,,
node,5555812023,bicycle_parking,POINT (-122.168352 37.4277204),,,,,,,,
node,5555953363,bicycle_parking,POINT (-122.176699 37.428402),lockers,,,,,,,
node,5555953382,bicycle_parking,POINT (-122.1747643 37.4292108),,,,,,,,
node,5555953383,bicycle_parking,POINT (-122.1733883 37.4290021),,,,,,,,
node,5555999890,bicycle_parking,POINT (-122.1627427 37.4232608),,,,,,,,
node,5555999891,bicycle_parking,POINT (-122.1624986 37.4232118),wall_loops,80,no,,,,,
node,5969769894,bicycle_parking,POINT (-122.1726358 37.4288307),,,,,,,,
node,5969769895,bicycle_parking,POINT (-122.1725544 37.428821),,,,,,,,
node,6450451338,bicycle_parking,POINT (-122.1622497 37.4243576),stands,30,no,,,,,
node,6450624932,bicycle_parking,POINT (-122.1640614 37.4235935),stands,50,,,,,,
node,6461239790,bicycle_parking,POINT (-122.1674463 37.4243378),,,,,,,,
node,6461239793,bicycle_parking,POINT (-122.1711226 37.4258586),,,no,,,,,
node,6461239794,bicycle_parking,POINT (-122.1704361 37.4257289),,,no,,,,,
node,6486808385,bicycle_parking,POINT (-122.1636915 37.4246432),stands,100,no,,,,,
node,6604017519,bicycle_parking,POINT (-122.165692 37.4255595),,,,,,,,
node,6919493512,bicycle_parking,POINT (-122.1634063 37.428772),,,,,,,,
node,8246201539,bicycle_parking,POINT (-122.1702246 37.4255177),,,no,,,,,
node,8518728023,bicycle_parking,POINT (-122.1685284 37.4271906),,,,,,,,
node,8518728024,bicycle_parking,POINT (-122.1685033 37.4272818),,,,,,,,
node,8518728025,bicycle_parking,POINT (-122.1684745 37.4273621),,,,,,,,
node,8523489845,bicycle_parking,POINT (-122.178278 37.4252319),,,,,,,,
node,8523489846,bicycle_parking,POINT (-122.1782271 37.425037),,,,,,,,
node,8562609565,bicycle_parking,POINT (-122.1797691 37.424581),,,,,,,,
node,8562609566,bicycle_parking,POINT (-122.1795894 37.4245533),,,,,,,,
node,8574005700,bicycle_parking,POINT (-122.1692162 37.4236073),,,,,,,,
node,8574005701,bicycle_parking,POINT (-122.1683995 37.4238607),,,,,,,,
node,8908038707,bicycle_parking,POINT (-122.1762401 37.4316677),,,,,,,,
node,8908038708,bicycle_parking,POINT (-122.1766773 37.4324036),,,,,,,,
node,8908038709,bicycle_parking,POINT (-122.1765566 37.4324792),,,,,,,,
node,8908038710,bicycle_parking,POINT (-122.1754864 37.4315292),,,,,,,,
node,8908038711,bicycle_parking,POINT (-122.1749928 37.4310426),,,,,,,,
node,8910619103,bicycle_parking,POINT (-122.1604541 37.4271249),,,,,,,,
node,8910620628,bicycle_parking,POINT (-122.161523 37.4295616),,,,,,,,
node,9856587344,bicycle_parking,POINT (-122.1685949 37.422495),,,,,,,,
node,9856587345,bicycle_parking,POINT (-122.1688039 37.4228488),,,,,,,,
node,9856587346,bicycle_parking,POINT (-122.1690669 37.4232128),,,,,,,,
node,10269124657,bicycle_parking,POINT (-122.1791022 37.4317025),,,,,,,,
node,10731719369,bicycle_parking,POINT (-122.1631749 37.4324237),,,no,,,,,
node,10731731839,bicycle_parking,POINT (-122.1647006 37.429632),,,,,,,,
