u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,service,access,junction,width,tunnel,bridge
65381218,689482700,0,698085639,True,3,Campus Drive,tertiary,25 mph,False,18.61,"LINESTRING (-122.17246 37.4340414, -122.1722895 37.4341398)",,,,,,
65381218,847442370,0,698074123,True,2,Quarry Road,service,,False,37.801,"LINESTRING (-122.17246 37.4340414, -122.172379 37.4339496, -122.1722094 37.4337658)",,,,,,
65381219,689479196,0,596085802,True,2,Campus Drive,tertiary,25 mph,False,133.41500000000002,"LINESTRING (-122.172629 37.4342068, -122.1729111 37.4339572, -122.1729799 37.4338725, -122.1730465 37.4337667, -122.1731766 37.433543, -122.173322 37.4332134, -122.1733278 37.4331929, -122.173337 37.4331651)",,,,,,
65381219,65381218,0,596085803,True,2,Quarry Road,secondary,25 mph,False,23.684,"LINESTRING (-122.172629 37.4342068, -122.1724974 37.434078, -122.17246 37.4340414)",,,,,,
65384635,4886811235,0,8924130,True,1,,primary_link,25 mph,False,28.228,"LINESTRING (-122.1658339 37.4418915, -122.1656832 37.4417641, -122.1656359 37.4417259, -122.1656139 37.4417073)",,,,,,
65384635,1429242827,0,77842488,True,1,,primary_link,25 mph,False,30.186,"LINESTRING (-122.1658339 37.4418915, -122.1657339 37.4417531, -122.1657005 37.4416938, -122.1656854 37.4416484)",,,,,,
65384636,621397382,0,27833029,True,2,Palm Drive,secondary,25 mph,False,6.451,"LINESTRING (-122.1655664 37.4416644, -122.165601 37.4416133)",,,,,,
65384636,305587317,0,497135199,True,,,primary_link,25 mph,False,17.147,"LINESTRING (-122.1655664 37.4416644, -122.165439 37.441548)",,,,,,
65392047,2572379123,0,31705674,False,,Buckeye Lane,service,,True,30.168,"LINESTRING (-122.1630222 37.4264582, -122.1629131 37.4262011)",,,,,,
65392047,2572379123,1,250888360,False,,,service,,False,57.019999999999996,"LINESTRING (-122.1630222 37.4264582, -122.1630757 37.4264687, -122.1631634 37.4262171, -122.1629918 37.4261787, -122.1629131 37.4262011)",parking_aisle,,,,,
