element_type,osmid,geometry,amenity,name,source,opening_hours:url,addr:city,addr:housenumber,addr:state,addr:street,phone,website,operator,nodes,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,paloalto_ca:id,access,gnis:state,loc_name,wikidata,building:levels,old_name
node,1781829281,POINT (-122.1755 37.4327332),library,Lane Medical Library,personal visit,,,,,,,,,,,,,,,,,,,,,,
node,3445812317,POINT (-122.1726434 37.4264351),library,Branner Earth Sciences Library,,,,,,,,,,,,,,,,,,,,,,,
node,4732910085,POINT (-122.1714235 37.430686),library,Robin Li and Melissa Ma Science Library,,https://library.stanford.edu/science/using-library/hours-and-location,,,,,,,,,,,,,,,,,,,,,
node,4768549821,POINT (-122.167779 37.4268641),library,David Rumsey Map Center,,,Stanford,557,CA,Escondido Mall,+1-650-498-8698,http://rumseymapcenter.stanford.edu/,,,,,,,,,,,,,,,
node,4846515988,POINT (-122.1676434 37.4241944),library,Robert Crown Law Library,,,,,,,,,,,,,,,,,,,,,,,
node,4892917223,POINT (-122.1725183 37.426415),library,Stanford Geospatial Center,,,,,,,,,Stanford Libraries,,,,,,,,,,,,,,
node,5206903613,POINT (-122.1712335 37.4279242),library,Tanner Philosophy Library,,,,,,,,http://library.stanford.edu/libraries/philosophy/about,,,,,,,,,,,,,,,
node,5555953384,POINT (-122.1693194 37.4283546),library,Mendenhall Library,,,,,,,,,,,,,,,,,,,,,,,
node,7439173023,POINT (-122.1727583 37.4264593),library,Stanford Map Library,,,,,,,,,,,,,,,,,,,,,,,
node,9200317087,POINT (-122.172572 37.4264666),library,Stanford Geospatial Center,,,,,,,,,,,,,,,,,,,,,,,
way,232715643,"POLYGON ((-122.155354 37.429998, -122.155513 37.430138, -122.155348 37.430255, -122.155359 37.430265, -122.1553163 37.430302, -122.154967 37.430541, -122.154485 37.430113, -122.154678 37.429972, -122.154687 37.42998, -122.154983 37.429764, -122.155103 37.429871, -122.155044 37.429917, -122.155229 37.430084, -122.155354 37.429998))",library,Stanford Auxiliary Library,USGS Geonames,,Stanford,691,CA,Pampas Lane,,,,"[2410455690, 2410455761, 2410455786, 2410455787, 10784690735, 2410455827, 2410455746, 2410455679, 2410455682, 2410455570, 2410455628, 2410455654, 2410455733, 2410455690]",yes,16,Santa Clara,1669784,57871b70-0100-4405-bb30-88b2e001a944,no,29547,,,,,,
way,232805660,"POLYGON ((-122.1671076 37.4269374, -122.1671372 37.4269435, -122.167116 37.4270079, -122.1669502 37.4269735, -122.1669333 37.4270246, -122.1667406 37.4269846, -122.1667639 37.4269142, -122.166598 37.4268797, -122.1666208 37.4268106, -122.1664516 37.4267754, -122.1664866 37.4266693, -122.1664528 37.4266623, -122.1664803 37.426579, -122.1665586 37.4263412, -122.1665969 37.4263492, -122.1666226 37.4262713, -122.1667706 37.4263021, -122.1667936 37.4262322, -122.1670002 37.4262752, -122.1669562 37.4264089, -122.1671143 37.4264418, -122.1671212 37.4264432, -122.1670735 37.426588, -122.1671578 37.4266055, -122.1672341 37.4266214, -122.1672411 37.4266228, -122.1672105 37.4267158, -122.1671826 37.42671, -122.1671076 37.4269374))",library,Cecil H. Green Library,USGS Geonames,,Stanford,557,,Escondido Mall,,,SULAIR,"[2411240524, 2411240530, 2411240539, 2411240536, 2411240541, 2411240537, 2411240522, 2411240515, 2411240507, 2411240491, 2411240454, 2411240448, 354726373, 2411240390, 2411240392, 2411240384, 2411240388, 2411240380, 2411240386, 2411240396, 10881864195, 2411240398, 2411240427, 5555811989, 10881864196, 2411240444, 2411240472, 2411240476, 2411240524]",yes,21,Santa Clara,1669675,,,29638,permissive,CA,Green Library,Q4405931,,
way,232805685,"POLYGON ((-122.1676101 37.4293285, -122.1674757 37.4297322, -122.1669021 37.4296117, -122.1669067 37.4295978, -122.1668606 37.4295881, -122.1669872 37.4292081, -122.1671383 37.4292398, -122.1672355 37.4289477, -122.1670729 37.4289135, -122.1671545 37.4286685, -122.1677887 37.4288017, -122.1677086 37.4290422, -122.1676434 37.4290286, -122.1675479 37.4293155, -122.1676101 37.4293285))",library,Lathrop Library,City of Palo Alto CA 0713,,Stanford,518,,Memorial Way,,,,"[2411240809, 2411240821, 2411240816, 2411240815, 2411240814, 2411240800, 2411240802, 2411240771, 2411240770, 2411240730, 2411240754, 2411240782, 2411240780, 2411240806, 2411240809]",university,,,,,,29622,,,,Q18153439,4,Stanford Graduate School of Business
