osmid,y,x,street_count,highway,geometry
65381218,37.4340414,-122.17246,4,,POINT (-122.17246 37.4340414)
65381219,37.4342068,-122.172629,4,,POINT (-122.172629 37.4342068)
65384635,37.4418915,-122.1658339,3,,POINT (-122.1658339 37.4418915)
65384636,37.4416644,-122.1655664,4,,POINT (-122.1655664 37.4416644)
65392047,37.4264582,-122.1630222,4,,POINT (-122.1630222 37.4264582)
65404378,37.4295574,-122.1617768,4,crossing,POINT (-122.1617768 37.4295574)
65404381,37.4311932,-122.1594638,3,,POINT (-122.1594638 37.4311932)
65422311,37.4287341,-122.1831247,3,,POINT (-122.1831247 37.4287341)
65427080,37.4297486,-122.1677285,3,,POINT (-122.1677285 37.4297486)
65427081,37.4311019,-122.1672673,4,,POINT (-122.1672673 37.4311019)
65427082,37.4322179,-122.1668929,3,,POINT (-122.1668929 37.4322179)
65427084,37.4334672,-122.1664854,4,,POINT (-122.1664854 37.4334672)
65458552,37.4247623,-122.1711519,2,,POINT (-122.1711519 37.4247623)
65461959,37.4299195,-122.1741373,4,,POINT (-122.1741373 37.4299195)
65461960,37.4304624,-122.1753535,4,,POINT (-122.1753535 37.4304624)
65464351,37.4222626,-122.1669993,4,crossing,POINT (-122.1669993 37.4222626)
65473412,37.4314606,-122.1689362,5,,POINT (-122.1689362 37.4314606)
65473421,37.4294034,-122.16489,3,,POINT (-122.16489 37.4294034)
65476295,37.4413656,-122.1672328,3,priority,POINT (-122.1672328 37.4413656)
65476297,37.4403755,-122.1659495,3,priority,POINT (-122.1659495 37.4403755)
65480714,37.4231647,-122.1733421,3,,POINT (-122.1733421 37.4231647)
65480717,37.4235623,-122.1703344,3,,POINT (-122.1703344 37.4235623)
65484358,37.4280563,-122.1653563,4,mini_roundabout,POINT (-122.1653563 37.4280563)
65484362,37.4336304,-122.1634306,4,,POINT (-122.1634306 37.4336304)
65484368,37.4238663,-122.1666184,3,,POINT (-122.1666184 37.4238663)
65501975,37.4238278,-122.174153,3,,POINT (-122.174153 37.4238278)
65501977,37.425352,-122.1736931,3,,POINT (-122.1736931 37.425352)
65510924,37.4219708,-122.1675299,4,,POINT (-122.1675299 37.4219708)
65511047,37.4225512,-122.1664294,3,,POINT (-122.1664294 37.4225512)
65511122,37.4225603,-122.163833,3,,POINT (-122.163833 37.4225603)
65511125,37.4224636,-122.1638802,4,,POINT (-122.1638802 37.4224636)
