element_type,osmid,amenity,parking,geometry,maxstay,maxheight,layer,name,access,golf_cart,motor_vehicle,surface,nodes,fee:conditional,note,ref,building,capacity,source,fee,parking:orientation,authentication:app,payment:cash,payment:credit_cards,addr:city,addr:housenumber,addr:state,addr:street,building:levels,loc_name,maxspeed,paloalto_ca:id,roof:levels,location,ways,type
node,823273791,parking,surface,POINT (-122.1736507 37.4376428),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1255986280,parking,,POINT (-122.164736 37.429984),20 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4987408937,parking,underground,POINT (-122.1759606 37.4263375),,,-1,Roble Field Garage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6212884662,parking,,POINT (-122.1647622 37.4249569),,,,,permit,designated,no,,,,,,,,,,,,,,,,,,,,,,,,,
way,25841836,parking,underground,"POLYGON ((-122.1649121 37.4234926, -122.1635523 37.4231973, -122.1631773 37.423118, -122.163225 37.4229756, -122.1634506 37.4230233, -122.1634792 37.4229381, -122.1635045 37.4228658, -122.1632848 37.4228173, -122.1633354 37.422673, -122.1650051 37.423042, -122.1649906 37.4232681, -122.1649481 37.4233879, -122.1649121 37.4234926))",,,-1,Wilbur Field Garage,private,,,,"[281866258, 6212885392, 281867202, 287480550, 6212885395, 3316594110, 6212885394, 287480567, 281866260, 281867783, 281866262, 6212885393, 281866258]",yes @ (Mo-Fr 08:00-16:00),Also includes student permit parking,PS6,,,,,,,,,,,,,,,,,,,,
way,26249484,parking,,"POLYGON ((-122.1711085 37.4227189, -122.1710656 37.4235283, -122.1717305 37.4235439, -122.1716367 37.4227465, -122.1711085 37.4227189))",,,,,,,,,"[926083391, 926083392, 287468539, 287468540, 926083391]",,,,,,,,,,,,,,,,,,,,,,,
way,26249681,parking,surface,"POLYGON ((-122.1848726 37.4294918, -122.1848878 37.4291732, -122.18457 37.4291617, -122.1845741 37.428999, -122.1844776 37.4289994, -122.1844462 37.4294936, -122.1847506 37.4295098, -122.1848726 37.4294918))",,,,,,,,,"[287472065, 287472070, 8249775216, 8249775215, 287472067, 287472071, 8249799717, 287472065]",,,,,,,,,,,,,,,,,,,,,,,
way,26249768,parking,multi-storey,"POLYGON ((-122.1829094 37.4317991, -122.182345 37.4310591, -122.1820681 37.4311931, -122.1817122 37.4313685, -122.1812488 37.4315951, -122.1818558 37.4323725, -122.1821224 37.432236, -122.1824846 37.4320569, -122.1828837 37.4318538, -122.1828624 37.4318207, -122.1829094 37.4317991))",,,,Stock Farm Garage,,,,,"[287472884, 287472873, 7131526986, 7131526997, 287472885, 287472875, 6318792955, 540510207, 1330035236, 1330035421, 287472884]",,,,parking,,,,,,,,,,,,,,,,,,,
way,26250074,parking,surface,"POLYGON ((-122.1761732 37.4313251, -122.1761433 37.4314181, -122.1769787 37.4315873, -122.1770923 37.4312334, -122.1766482 37.4311434, -122.1765995 37.4312949, -122.1763641 37.4312472, -122.1763289 37.4313566, -122.1761732 37.4313251))",,,,LKSC Parking Lot,,,,,"[287475631, 354725238, 354725535, 354725536, 354725537, 287475633, 287475634, 287475636, 287475631]",,,,,60,Personal Visit,,,,,,,,,,,,,,,,,
way,26250622,parking,,"POLYGON ((-122.1609156 37.4327428, -122.1600648 37.4319643, -122.1588161 37.4328438, -122.1591339 37.4331269, -122.1592774 37.433133, -122.1600507 37.4328882, -122.1607531 37.4328781, -122.1609156 37.4327428))",,,,Varsity Lot,,,,,"[287481906, 287481907, 287481908, 4405808468, 287481909, 354734712, 4405808469, 287481906]",,,,,,,,,,,,,,,,,,,,,,,
way,26250624,parking,,"POLYGON ((-122.1633075 37.4333652, -122.1638101 37.4319386, -122.1636504 37.4319053, -122.1635495 37.431929, -122.162768 37.4325177, -122.162728 37.4324847, -122.1620122 37.4330056, -122.1621304 37.4331378, -122.1633075 37.4333652))",,,,,,,,,"[287481913, 287481914, 8143013111, 287481915, 8143013109, 8143013110, 287481916, 8143013108, 287481913]",,,,,,,,,,,,,,,,,,,,,,,
way,26308516,parking,,"POLYGON ((-122.1657258 37.4337836, -122.1651964 37.4341451, -122.1651262 37.4340945, -122.165077 37.4341398, -122.1649183 37.4341097, -122.1647239 37.4339941, -122.1640588 37.4336897, -122.1641107 37.4336367, -122.1640487 37.4336105, -122.1641365 37.4335085, -122.1644082 37.4331902, -122.1643488 37.433023, -122.1645385 37.4328765, -122.1644013 37.4327625, -122.1646389 37.4326173, -122.1647495 37.4327467, -122.1648929 37.432721, -122.1649367 37.4328879, -122.1650397 37.4330788, -122.1653573 37.4333309, -122.1657063 37.4335075, -122.1658264 37.4336171, -122.1656556 37.4337193, -122.1657258 37.4337836))",,,,Galvez Parking Lot (L-96),,,,,"[288211735, 9913605249, 9913605248, 288211736, 9913605247, 288211738, 288211739, 9913605246, 1255522054, 1255522051, 9913605245, 9913605244, 9913605243, 9913605241, 288211742, 9913605240, 1255520119, 288211743, 288211744, 288211745, 288211746, 9913605231, 9913605232, 288211735]",,,,,,,,,,,,,,,,,,,,,,,
way,28590891,parking,surface,"POLYGON ((-122.1818119 37.4233016, -122.1818093 37.4232934, -122.1818118 37.4232862, -122.1818183 37.4232811, -122.1818294 37.4232792, -122.1818754 37.4232916, -122.1819493 37.4231209, -122.1819619 37.4230852, -122.181968 37.4230489, -122.1819678 37.4230117, -122.1819596 37.42297, -122.1818846 37.4227101, -122.1818314 37.4227198, -122.1818048 37.4227116, -122.1817329 37.4227247, -122.1817235 37.4227427, -122.1816694 37.4227525, -122.1817061 37.4228796, -122.1817698 37.422868, -122.1817817 37.4229091, -122.1817199 37.4229204, -122.1817454 37.423009, -122.1817473 37.423023, -122.1817466 37.4230377, -122.1817436 37.4230509, -122.1817386 37.4230633, -122.1816564 37.4232529, -122.181713 37.4232684, -122.1817195 37.4232764, -122.1816934 37.423364, -122.1817281 37.4233439, -122.1817589 37.4233338, -122.1817955 37.4233288, -122.1818277 37.4233301, -122.1818163 37.4233157, -122.1818119 37.4233016))",,,,,,,,,"[10877834788, 10877834780, 10877834781, 10877834782, 314048881, 10877834783, 314048882, 10877834778, 10877834777, 10877834779, 314049024, 314048869, 10877834796, 314054343, 10877834794, 10877834795, 314048870, 314048871, 314048872, 8530996044, 8530996045, 314048874, 10877834776, 10877834775, 10877834774, 314048875, 8530996046, 10877834790, 8530996047, 10877834791, 10877834785, 10877834786, 10877834784, 10877834789, 10877834787, 10877834788]",,,,,,,,,,,,,,,,,,,,,,,
way,28590899,parking,surface,"POLYGON ((-122.1817149 37.4254131, -122.1818216 37.4250856, -122.1819807 37.4251174, -122.1818707 37.4254454, -122.1817149 37.4254131))",,,,,,,,,"[314049392, 314049395, 314049397, 314049402, 314049392]",,,,,,,,,,,,,,,,,,,,,,,
way,28591072,parking,,"POLYGON ((-122.1753304 37.4196653, -122.1753019 37.4197387, -122.175193 37.4200198, -122.1756737 37.420197, -122.175914 37.4199653, -122.1753304 37.4196653))",,,,,,,,,"[314051489, 522183648, 314051492, 314051494, 314051496, 314051489]",,,,,,,,,,,,,,,,,,,,,,,
way,31699729,parking,surface,"POLYGON ((-122.1604534 37.4368543, -122.1607897 37.4366275, -122.1609454 37.4364238, -122.1607898 37.4361688, -122.160814 37.4360511, -122.1604338 37.4358976, -122.1602359 37.435787, -122.1599543 37.4355943, -122.1595131 37.4352173, -122.1594185 37.4351348, -122.1593052 37.4350113, -122.1592086 37.4348948, -122.1590289 37.4345677, -122.1589069 37.4342547, -122.1586146 37.4336424, -122.1573814 37.4344421, -122.1574773 37.4346647, -122.1577536 37.4348691, -122.1578877 37.4350001, -122.1580888 37.4351098, -122.1588385 37.4356976, -122.1595547 37.4363312, -122.1598403 37.4366145, -122.1599905 37.4366123, -122.1601863 37.4367987, -122.1604534 37.4368543))",,,,,,,,compacted,"[354719241, 354719243, 7129243152, 7129243148, 7129243153, 354719245, 7129243154, 7129243155, 7129243156, 7129243149, 7129243147, 354725110, 7129243150, 7129243151, 354719246, 354719247, 7129243083, 7129243085, 7129243084, 7129243086, 7129243091, 7129243090, 7129243088, 7129243089, 7129243087, 354719241]",,,,,,,,,,,,,,,,,,,,,,,
way,31700001,parking,surface,"POLYGON ((-122.1680852 37.43259, -122.168147 37.4326028, -122.1681157 37.4326855, -122.1670466 37.432455, -122.1670723 37.4323765, -122.1671855 37.4323965, -122.1672074 37.4323352, -122.168108 37.4325247, -122.1680852 37.43259))",,,,,,,,,"[354719643, 6527889813, 6527889812, 354719644, 9913584210, 354719645, 9913584208, 354719646, 354719643]",,,,,,,,,,,,,,,,,,,,,,,
way,31700065,parking,surface,"POLYGON ((-122.1682806 37.4323702, -122.1681575 37.4323459, -122.1681373 37.4324012, -122.1672465 37.4322116, -122.16727 37.4321467, -122.1671527 37.4321235, -122.1671807 37.4320363, -122.1683135 37.4322785, -122.1682806 37.4323702))",,,,,,,,,"[354719657, 9913584214, 9913584213, 9913584211, 9913584212, 354719658, 354719659, 354719660, 354719657]",,,,,,,,,,,,,,,,,,,,,,,
way,31700183,parking,surface,"POLYGON ((-122.169943 37.4330756, -122.1687868 37.4328298, -122.1688191 37.4327361, -122.1689361 37.4327642, -122.1689547 37.4327062, -122.1698885 37.4329048, -122.1698681 37.4329645, -122.1699729 37.4329877, -122.169943 37.4330756))",,,,,yes,,,,"[354719686, 354719687, 9913584205, 9913584204, 354719688, 354719689, 9913584199, 9913584178, 354719686]",,,,,,,,,,,,,,,,,,,,,,,
way,31700246,parking,surface,"POLYGON ((-122.1699301 37.4327846, -122.1699522 37.4327163, -122.1700542 37.4327403, -122.1700821 37.4326561, -122.1689306 37.4324137, -122.1689056 37.432492, -122.1690189 37.4325165, -122.1689954 37.4325842, -122.1699301 37.4327846))",,,,,yes,,,,"[354719745, 9913584200, 9913584201, 354719746, 354719747, 9913584203, 9913584202, 354719748, 354719745]",,,,,,,,,,,,,,,,,,,,,,,
