element_type,osmid,amenity,geometry,access,female,male,toilets:disposal,unisex,wheelchair,opening_hours,level,nodes,building,fee,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name
node,1255960650,toilets,POINT (-122.164624 37.43088),,,,,,,,,,,,,,,,,
node,4756844620,toilets,POINT (-122.1709301 37.4268661),yes,yes,no,flush,no,no,,,,,,,,,,,
node,5111428534,toilets,POINT (-122.1626132 37.4309691),,,,,,,Mo-Su 07:30-21:00,,,,,,,,,,
node,5111443321,toilets,POINT (-122.1586137 37.4326582),,,,,,,,,,,,,,,,,
node,5555967473,toilets,POINT (-122.1708095 37.4242502),,,,,,,,0,,,,,,,,,
node,6394391909,toilets,POINT (-122.1636514 37.4314728),,,,,yes,yes,,,,,,,,,,,
node,6917985688,toilets,POINT (-122.1710913 37.4240387),,,,,,,,0,,,,,,,,,
node,6917985689,toilets,POINT (-122.1708177 37.4245467),,,,,,,,1,,,,,,,,,
way,338080122,toilets,"POLYGON ((-122.1696584 37.4267243, -122.1695149 37.4266966, -122.169541 37.426621, -122.1696852 37.4266508, -122.1696584 37.4267243))",,no,yes,,no,,,,"[3451446139, 3451446140, 3451446141, 3451446142, 3451446139]",yes,,,,,,,
way,482908287,toilets,"POLYGON ((-122.1716032 37.4270643, -122.1716243 37.427001, -122.1717189 37.4270206, -122.171696 37.4270852, -122.1716032 37.4270643))",yes,,,,yes,yes,,,"[4756848846, 4756848847, 4756848848, 4756848849, 4756848846]",yes,no,,,,,,
way,694964416,toilets,"POLYGON ((-122.1658348 37.4340328, -122.1657605 37.434083, -122.1657195 37.4340447, -122.1657023 37.4340563, -122.1657327 37.4340846, -122.1656785 37.4341212, -122.1656257 37.434072, -122.1657713 37.4339736, -122.1658348 37.4340328))",,,,,,,,,"[6527974086, 6527974087, 7300733220, 7300733222, 7300733221, 7300733223, 6527974088, 6527974089, 6527974086]",yes,,Stanford,291,94305,CA,Lasuen Street,Lasuen Restroom
