element_type,osmid,geometry,nodes,building,leisure,name,name:en,name:zh,building:levels,addr:city,amenity,addr:housenumber,elevator,office,website,wikidata,wikipedia,toilets,toilets:wheelchair,alt_name,alt_name:zh,tourism,addr:street,roof:levels,min_level,name:zh-Hans,name:zh-Hant,capacity,smoking,description,opening_hours:signed,ways,type,internet_access,addr:housename,toilets:access
way,262345161,"POLYGON ((113.2953158 23.0991097, 113.2959159 23.0991247, 113.2959299 23.0987896, 113.2953205 23.0987832, 113.2953158 23.0991097))","[2680174046, 2680174048, 2680174050, 2680174052, 2680174046]",yes,sports_centre,英东体育馆,Henry Fok Gymnasium,英东体育馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300917764,"POLYGON ((113.2941645 23.1026065, 113.2940184 23.1026324, 113.2940466 23.1027669, 113.2941112 23.1027554, 113.2941276 23.1028333, 113.294144 23.1029113, 113.2941737 23.1030532, 113.2944458 23.1030048, 113.294416 23.102863, 113.2942496 23.1028926, 113.2942142 23.1027241, 113.2944655 23.1026795, 113.2944337 23.1025282, 113.2941583 23.1025771, 113.2941645 23.1026065))","[3050204352, 3050204353, 3050204358, 3050204357, 9858397639, 3050204362, 3050204365, 3050204364, 3050204359, 3050204361, 3050204356, 3050204354, 3050204350, 3050204351, 3050204352]",university,,善衡堂,S.H. Ho Hall,善衡堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300957327,"POLYGON ((113.2941651 23.0998299, 113.294124 23.0996769, 113.2944804 23.0995959, 113.2945215 23.0997489, 113.2941651 23.0998299))","[3050650040, 3050650140, 3050650041, 3050649941, 3050650040]",university,,格兰堂,Grant Hall,格兰堂,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300957332,"POLYGON ((113.2939124 23.0998644, 113.293872 23.0996954, 113.293376 23.0997959, 113.2934165 23.0999649, 113.2939124 23.0998644))","[3050650042, 3050649942, 3050649943, 3050650234, 3050650042]",university,,马丁堂,Martin Hall,马丁堂,,guangzhou,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300957333,"POLYGON ((113.2923101 23.1001667, 113.2928402 23.1000679, 113.2928018 23.0998936, 113.2922717 23.0999924, 113.2923101 23.1001667))","[3050650235, 3050649944, 3050650141, 3050650043, 3050650235]",university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300957334,"POLYGON ((113.2917316 23.1009953, 113.2917201 23.1009505, 113.2915909 23.1009787, 113.2916505 23.1012099, 113.2921414 23.1011029, 113.2921585 23.1011695, 113.2922907 23.1011407, 113.2922117 23.1008339, 113.2920876 23.1008609, 113.2921014 23.1009148, 113.2917316 23.1009953))","[3050650238, 3050650142, 3050650239, 3050650333, 3050650334, 3050650335, 3050650236, 3050650336, 3050650337, 3050650237, 3050650238]",university,,物理科学与工程技术学院,School of Physical Science and Engineering,物理科学与工程技术学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300957335,"POLYGON ((113.2924376 23.1009217, 113.2924086 23.1007903, 113.2929751 23.1006846, 113.293004 23.1008159, 113.2924376 23.1009217))","[3050650143, 3050649945, 3050649946, 3050649947, 3050650143]",university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300957336,"POLYGON ((113.2927595 23.101694, 113.2927283 23.1015507, 113.2931466 23.1014737, 113.2931778 23.1016169, 113.2927595 23.101694))","[3050649948, 3050649949, 3050650240, 3050649950, 3050649948]",university,,激光光学大楼,Laser Physics and Optics Building,激光光学大楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300957337,"POLYGON ((113.2922866 23.1020928, 113.2922447 23.1019165, 113.2926574 23.1018336, 113.2926992 23.1020098, 113.2922866 23.1020928))","[3050649951, 3050649952, 3050649953, 3050650144, 3050649951]",university,,陆佑堂,Luk Yau Hall,陆佑堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,300957338,"POLYGON ((113.2930749 23.1031886, 113.2929804 23.1027926, 113.293319 23.1027243, 113.2933663 23.1029223, 113.2934135 23.1031203, 113.2930749 23.1031886))","[3050650145, 3050650241, 3050650242, 9308346399, 3050650146, 3050650145]",university,,伍舜德图书馆,S.T. Wu Library,伍舜德图书馆,,,library,,,,,,,,,,,,,,,,,,,,,,,,,
