osmid,y,x,street_count,geometry
2164964728,23.0971317,113.2924688,3,POINT (113.2924688 23.0971317)
3050560129,23.0956647,113.2921098,3,POINT (113.2921098 23.0956647)
3050560130,23.0961712,113.28951,3,POINT (113.28951 23.0961712)
3050561833,23.0969409,113.2935426,4,POINT (113.2935426 23.0969409)
3050561834,23.0970448,113.2894273,3,POINT (113.2894273 23.0970448)
3050561835,23.0970963,113.2927051,3,POINT (113.2927051 23.0970963)
3050561837,23.0971574,113.2922824,3,POINT (113.2922824 23.0971574)
3050561838,23.0971985,113.2909068,3,POINT (113.2909068 23.0971985)
3050561840,23.0972543,113.2913876,4,POINT (113.2913876 23.0972543)
3050561843,23.0983315,113.2925353,3,POINT (113.2925353 23.0983315)
3050561844,23.0984994,113.2916439,4,POINT (113.2916439 23.0984994)
3050561845,23.0985104,113.2930176,3,POINT (113.2930176 23.0985104)
3050561846,23.0987047,113.2905542,3,POINT (113.2905542 23.0987047)
3050561847,23.0987699,113.2902074,3,POINT (113.2902074 23.0987699)
3050561848,23.0988931,113.2889978,4,POINT (113.2889978 23.0988931)
3050561849,23.0991848,113.291801,3,POINT (113.291801 23.0991848)
3050561850,23.0992876,113.2927412,3,POINT (113.2927412 23.0992876)
3050561851,23.0993904,113.2907059,3,POINT (113.2907059 23.0993904)
3050561853,23.0995021,113.2945773,3,POINT (113.2945773 23.0995021)
3050561854,23.0997279,113.2932866,4,POINT (113.2932866 23.0997279)
3050561855,23.0998104,113.2928537,5,POINT (113.2928537 23.0998104)
3050561856,23.1001663,113.2903582,3,POINT (113.2903582 23.1001663)
3051265328,23.0946306,113.2925714,1,POINT (113.2925714 23.0946306)
3051265330,23.0947919,113.2918962,3,POINT (113.2918962 23.0947919)
3051265332,23.094981,113.2919424,3,POINT (113.2919424 23.094981)
3051268036,23.0950493,113.2932542,1,POINT (113.2932542 23.0950493)
3051268037,23.0950597,113.2902271,3,POINT (113.2902271 23.0950597)
3051268042,23.0952449,113.2907006,3,POINT (113.2907006 23.0952449)
3051268044,23.0953728,113.2920383,3,POINT (113.2920383 23.0953728)
3051268045,23.0953756,113.2907352,3,POINT (113.2907352 23.0953756)
3051268046,23.0954611,113.2932463,3,POINT (113.2932463 23.0954611)
3051268047,23.0954616,113.2903348,4,POINT (113.2903348 23.0954616)
3051268048,23.0955413,113.2903561,1,POINT (113.2903561 23.0955413)
3051268049,23.0955491,113.2899274,3,POINT (113.2899274 23.0955491)
3051268051,23.0957335,113.2867473,3,POINT (113.2867473 23.0957335)
3051268052,23.0958414,113.293239,3,POINT (113.293239 23.0958414)
