u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,maxspeed
2164964728,3050561837,0,300917758,逸仙路,unclassified,permissive,False,False,19.278,"LINESTRING (113.2924688 23.0971317, 113.2922824 23.0971574)",
2164964728,3050561835,0,300949482,逸仙路,unclassified,permissive,False,False,24.488,"LINESTRING (113.2924688 23.0971317, 113.2927051 23.0970963)",
2164964728,3051268062,0,539998327,逸仙路,unclassified,permissive,False,True,111.061,"LINESTRING (113.2924688 23.0971317, 113.2922303 23.0961573)",
3050560129,3051268053,0,301016544,园南路,service,permissive,False,True,111.652,"LINESTRING (113.2921098 23.0956647, 113.2910419 23.0958728)",
3050560129,3051268059,0,539998327,逸仙路,unclassified,permissive,False,False,43.653,"LINESTRING (113.2921098 23.0956647, 113.2922035 23.0960477)",
3050560129,3051268044,0,539998327,逸仙路,unclassified,permissive,False,True,33.272,"LINESTRING (113.2921098 23.0956647, 113.2920383 23.0953728)",
3050560130,3051268066,0,301016430,,service,permissive,False,True,31.721,"LINESTRING (113.28951 23.0961712, 113.2894831 23.0964554)",
3050560130,3051268060,0,301016544,园南路,service,permissive,False,False,55.999,"LINESTRING (113.28951 23.0961712, 113.2900456 23.0960668)",
3050560130,3051268055,0,301016544,园南路,service,permissive,False,True,92.356,"LINESTRING (113.28951 23.0961712, 113.2886638 23.0958814)",
3050561833,3050561835,0,300949476,,footway,,False,True,87.387,"LINESTRING (113.2935426 23.0969409, 113.2927051 23.0970963)",
3050561833,3051268080,0,301016494,,footway,,False,False,68.016,"LINESTRING (113.2935426 23.0969409, 113.2942057 23.0969869)",
3050561833,3051268109,0,301016494,,footway,,False,True,74.971,"LINESTRING (113.2935426 23.0969409, 113.2934732 23.0976121)",
3050561833,3051268052,0,300949476,,footway,,False,False,171.171,"LINESTRING (113.2935426 23.0969409, 113.2935983 23.096586, 113.2936903 23.0963758, 113.2937169 23.0959216, 113.2932428 23.0959042, 113.293239 23.0958414)",
3050561834,3051268079,0,301016430,,service,permissive,False,False,8.371,"LINESTRING (113.2894273 23.0970448, 113.2894344 23.0969698)",
3050561834,3051268088,0,301016430,,service,permissive,False,True,17.551,"LINESTRING (113.2894273 23.0970448, 113.2894178 23.0972024)",
3050561834,3050561838,0,300949481,,footway,,False,True,152.365,"LINESTRING (113.2894273 23.0970448, 113.2903691 23.0971216, 113.2909068 23.0971985)",
3050561835,3050561833,0,300949476,,footway,,False,False,87.387,"LINESTRING (113.2927051 23.0970963, 113.2935426 23.0969409)",
3050561835,3051268103,0,300949482,逸仙路,unclassified,permissive,False,False,52.468,"LINESTRING (113.2927051 23.0970963, 113.2928073 23.0975587)",
3050561835,2164964728,0,300949482,逸仙路,unclassified,permissive,False,True,24.488,"LINESTRING (113.2927051 23.0970963, 113.2924688 23.0971317)",
3050561837,3051268129,0,300917758,逸仙路,unclassified,permissive,False,False,106.714,"LINESTRING (113.2922824 23.0971574, 113.2924852 23.0980988)",
3050561837,2164964728,0,300917758,逸仙路,unclassified,permissive,False,True,19.278,"LINESTRING (113.2922824 23.0971574, 113.2924688 23.0971317)",
3050561837,3051268085,0,300949481,,footway,,False,False,8.536,"LINESTRING (113.2922824 23.0971574, 113.2921996 23.097167)",
3050561838,3050561840,0,300949481,,footway,,False,True,49.567,"LINESTRING (113.2909068 23.0971985, 113.2913876 23.0972543)",
3050561838,3051268104,0,301016475,,footway,,False,True,43.105,"LINESTRING (113.2909068 23.0971985, 113.2909828 23.0975798)",
3050561838,3050561834,0,300949481,,footway,,False,False,152.365,"LINESTRING (113.2909068 23.0971985, 113.2903691 23.0971216, 113.2894273 23.0970448)",
3050561840,3051268053,0,300949478,,footway,,False,False,157.633,"LINESTRING (113.2913876 23.0972543, 113.2910419 23.0958728)",
3050561840,3051268097,0,300949478,,footway,,False,True,28.503,"LINESTRING (113.2913876 23.0972543, 113.2914589 23.0975021)",
3050561840,3050561838,0,300949481,,footway,,False,False,49.567,"LINESTRING (113.2913876 23.0972543, 113.2909068 23.0971985)",
3050561840,3051268085,0,300949481,,footway,,False,True,83.622,"LINESTRING (113.2913876 23.0972543, 113.2917956 23.0972139, 113.2921996 23.097167)",
3050561843,3050561850,0,300917758,逸仙路,unclassified,permissive,False,False,108.379,"LINESTRING (113.2925353 23.0983315, 113.2927412 23.0992876)",
