element_type,osmid,geometry,name,name:en,name:zh,operator,railway,start_date,wheelchair,level,amenity,brand,brand:wikidata,brand:wikipedia,building,covered,cuisine,opening_hours,phone,takeaway,shop,parking,supervised,highway,access,nodes,building:levels,addr:street,wikidata,wikimedia_commons,layer,addr:housenumber,alt_name,alt_name:zh,fee,addr:city,building:levels:underground,smoking,area,lit,surface,addr:street:en,addr:street:zh,source,university,residential,addr:borough,addr:borough:en,addr:borough:zh,alt_name:en,email,heritage,old_name,ref:hk,website,brand:en,brand:zh,man_made,network,network:en,network:wikidata,network:zh,operator:en,operator:wikidata,operator:zh,owner,owner:en,owner:wikidata,owner:zh,service,subway,addr:quarter,addr:quarter:en,addr:quarter:zh,addr:suburb,addr:suburb:en,addr:suburb:zh,location,tunnel,ele,indoor,room,max_level,min_level,fixme,ways,type
node,5872358686,POINT (114.1383404 22.2826412),Subway,Subway,,,,,,0,fast_food,Subway,Q244457,en:Subway (restaurant),kiosk,yes,sandwich,Mo-Sa 08:30-20:30; PH Su 08:00-18:00,+852 2561 9002,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5872360694,POINT (114.1381314 22.2826519),iBakery,iBakery,,東華三院 Tung Wah Group Hospital,,,,0,,,,,kiosk,yes,,Mo-Fr 08:00-17:00; PH Sa-Su off,+852 5402 4546,,bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,181773515,"POLYGON ((114.1377007 22.2846094, 114.1375592 22.2846037, 114.1374921 22.2845788, 114.1374358 22.2845292, 114.1373956 22.2844821, 114.1374626 22.2844275, 114.137527 22.2844821, 114.1375608 22.2845143, 114.1375876 22.2845236, 114.1375887 22.2845069, 114.13763 22.2845069, 114.1376309 22.2845279, 114.137704 22.2845245, 114.1377007 22.2846094))",包兆龍樓 Pao Siu Loong Building,Pao Siu Loong Building,包兆龍樓,,,,,,,,,,university,,,,,,,,,,,"[1922027552, 1922027586, 1922027646, 1922027568, 1922027440, 1922027467, 1922027492, 1922027437, 1922027487, 1922027526, 1922027575, 1922027564, 1922027602, 1922027552]",,般咸道 Bonham Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,181773526,"POLYGON ((114.1377139 22.2846163, 114.1377101 22.284566, 114.1377281 22.2845676, 114.1377281 22.2845211, 114.1377415 22.2845085, 114.1377683 22.2845085, 114.1377844 22.2845248, 114.1377989 22.284509, 114.1378246 22.2845087, 114.1378461 22.2845285, 114.1378461 22.2844689, 114.1379078 22.2844689, 114.1379078 22.284531, 114.137926 22.28451, 114.137955 22.284509, 114.1379641 22.284531, 114.137984 22.284509, 114.1380153 22.2845087, 114.1380334 22.2845107, 114.1380359 22.2846152, 114.1379176 22.2846162, 114.1378906 22.284631, 114.1378595 22.2846303, 114.1378381 22.2846179, 114.1377139 22.2846163))",孔慶熒樓 Hung Hing Ying Building,Hung Hing Ying Building,孔慶熒樓,,,,,,,,,,university,,,,,,,,,,,"[1922027469, 1922027481, 1922027423, 1922027635, 1922027582, 1922027430, 1922027609, 1922027567, 1922027452, 1922027439, 1922027523, 1922027530, 1922027512, 1922027514, 1922027654, 1922027549, 1922027572, 1922027441, 1922027547, 1922027566, 1922027551, 1922027605, 1922027531, 1922027542, 1922027469]",,般咸道 Bonham Road,Q15503199,Category:Hung Hing Ying Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182023171,"POLYGON ((114.1382447 22.2834389, 114.138244 22.283419, 114.1382403 22.2833486, 114.1382383 22.2833106, 114.1382318 22.2830898, 114.1382287 22.2829739, 114.1382597 22.282973, 114.1382588 22.2829474, 114.1383914 22.2829435, 114.1386396 22.2829362, 114.1386406 22.2829662, 114.1386671 22.2829655, 114.1386804 22.283378, 114.138683 22.2834281, 114.1386479 22.283429, 114.138648 22.283457, 114.1386043 22.2834583, 114.1384917 22.2834616, 114.1382859 22.2834677, 114.1382849 22.2834377, 114.1382447 22.2834389))",鈕魯詩樓 Knowles Building,Knowles Building,鈕魯詩樓,,,,,,,,,,university,,,,,,,,,,,"[1923658168, 6580279810, 6593054198, 6593054196, 6593054201, 1923658005, 1923658037, 1923658147, 6580279811, 1923658149, 1923658101, 1923658104, 1923658179, 1923658054, 6320573927, 1923658066, 6327465404, 6563915357, 1923658000, 1923657995, 1923658168]",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182023173,"POLYGON ((114.1389048 22.2831458, 114.1389047 22.2831203, 114.1390135 22.2831155, 114.1391626 22.2831178, 114.1391631 22.2831525, 114.1391966 22.2831521, 114.1392003 22.283407, 114.1391692 22.2834074, 114.1391697 22.2834432, 114.1390758 22.2834466, 114.1390135 22.2834489, 114.1389434 22.2834473, 114.1389089 22.2834465, 114.1389084 22.2834151, 114.1388753 22.2834155, 114.1388736 22.2833694, 114.1388734 22.2831459, 114.1389048 22.2831458))",梁銶琚樓 K.K. Leung Building,K.K. Leung Building,梁銶琚樓,,,,,,,,,,university,,,,,,,,,,,"[1923658133, 1923658099, 4525548861, 1923658153, 1923658129, 1923658173, 1923658105, 1923658076, 1923658127, 6580279816, 6563915288, 6580279819, 1923658027, 1923658021, 1923658032, 1923658004, 1923658057, 1923658133]",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182023175,"POLYGON ((114.1375086 22.2831811, 114.1375054 22.2831163, 114.1375044 22.2830887, 114.1374734 22.2830898, 114.1374705 22.2830242, 114.1375024 22.2830231, 114.1375006 22.2829822, 114.137784 22.2829717, 114.1381014 22.2829599, 114.1381023 22.2829811, 114.1381305 22.28298, 114.1381335 22.2830481, 114.1380969 22.2830495, 114.1380983 22.283094, 114.1381016 22.283158, 114.1380542 22.2831598, 114.137855 22.2831672, 114.1378589 22.2832564, 114.137784 22.2832592, 114.1377802 22.2831708, 114.137572 22.2831785, 114.1375086 22.2831811))",本部圖書館大樓（舊翼）Main Library (Old Wing),Main Library (Old Wing),圖書館大樓（舊翼）,,,,,,,,,,civic,,,,,,,,,,private,"[1923668816, 1923668833, 5180139262, 1923658131, 1923658135, 1923658177, 1923658141, 1923658001, 1923658096, 1923658058, 1923658040, 1923658103, 1923658110, 6593054200, 1923658026, 1923658063, 1923658074, 1923658137, 1923658140, 1923658146, 1923658112, 1923668816]",8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182023178,"POLYGON ((114.1386859 22.2834724, 114.1386842 22.2834055, 114.1387769 22.2834035, 114.1387786 22.2834703, 114.1387327 22.2834713, 114.1386859 22.2834724))",,,,,,,,,,,,,yes,,,,,,,,,,,"[1923658078, 1923658069, 1923658007, 1923658060, 1923658022, 1923658078]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182023179,"POLYGON ((114.1380542 22.2831598, 114.137855 22.2831672, 114.1377802 22.2831708, 114.137572 22.2831785, 114.1375839 22.2834363, 114.1375872 22.2835073, 114.1375897 22.2835611, 114.1375963 22.2836943, 114.1378639 22.2836834, 114.1380788 22.2836746, 114.1380542 22.2831598))",圖書館新翼 Library Extension,Library Extension,圖書館新翼,,,,,,,,,,university,,,,,,,,,,private,"[1923658063, 1923658074, 1923658146, 1923658112, 6505344812, 9036874347, 1923658013, 5271737905, 4524783054, 1923658183, 1923658063]",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182024489,"POLYGON ((114.1375897 22.2835611, 114.1375461 22.2835628, 114.1373818 22.2835693, 114.1373377 22.2835302, 114.1373358 22.283513, 114.1373328 22.2834545, 114.1373227 22.2832605, 114.1373156 22.2831242, 114.1374172 22.28312, 114.1375054 22.2831163, 114.1375086 22.2831811, 114.137572 22.2831785, 114.1375839 22.2834363, 114.1375872 22.2835073, 114.1375897 22.2835611))",,,,,,,,,,,,,university,,,,,,,,,,,"[1923658013, 9036874344, 1923668799, 1923668854, 4525548847, 6580279791, 6593054194, 1923668839, 6505344811, 1923668833, 1923668816, 1923658112, 6505344812, 9036874347, 1923658013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
