u,v,key,osmid,lanes,name,highway,access,oneway,reversed,length,geometry,service,bridge,tunnel
293662411,1926490243,0,182298780,2,仲賢路 Lee Chung Yin Road,service,permissive,False,False,60.234,"LINESTRING (114.1351913 22.2837667, 114.1352647 22.2836838, 114.1352787 22.283668, 114.1353272 22.2836325, 114.1353759 22.2835951, 114.1355942 22.2834153, 114.1356184 22.2833987)",,,
293662411,1926490220,0,182298783,2,,service,permissive,False,True,22.759,"LINESTRING (114.1351913 22.2837667, 114.1351475 22.2837268, 114.135121 22.2837149, 114.1350947 22.283708, 114.1350785 22.2837038, 114.1349943 22.2836871)",,,
356625550,6563915337,0,"[31853938, 698990270]",,,service,permissive,False,False,67.097,"LINESTRING (114.140442 22.2827049, 114.1403205 22.282798, 114.1402131 22.2828421, 114.139883 22.2828636, 114.1398372 22.282867)",driveway,,
356625550,356626261,0,698990271,2,,service,permissive,False,False,45.785999999999994,"LINESTRING (114.140442 22.2827049, 114.1404372 22.2827975, 114.1404055 22.2831152)",,,
356626261,6327465406,0,"[698990272, 31853947]",2,,service,permissive,False,False,153.34199999999998,"LINESTRING (114.1404055 22.2831152, 114.1403814 22.2832175, 114.1403572 22.283287, 114.1402935 22.283346, 114.1402198 22.2833801, 114.1401413 22.283395, 114.1400079 22.2834117, 114.1398282 22.2834409, 114.1396954 22.283493, 114.1395673 22.2835142, 114.1394446 22.2835091, 114.1393065 22.2834856, 114.1391659 22.283481, 114.1391157 22.2834787)",,yes,
356626261,6563915347,0,"[182203585, 182208612, 182208620, 182203634, 31854002]",2,,service,permissive,False,False,202.371,"LINESTRING (114.1404055 22.2831152, 114.1401504 22.283158, 114.1400533 22.2831645, 114.1396439 22.2831815, 114.1395402 22.2831821, 114.1394572 22.2831574, 114.1393018 22.2830511, 114.1392475 22.2829782, 114.1392359 22.2829117, 114.1392218 22.2826818, 114.1392061 22.2825692, 114.1391801 22.2825162, 114.1391023 22.2824319, 114.1390508 22.2823747, 114.1390408 22.2823669)",,,building_passage
356626261,356625550,0,698990271,2,,service,permissive,False,True,45.785999999999994,"LINESTRING (114.1404055 22.2831152, 114.1404372 22.2827975, 114.140442 22.2827049)",,,
356626267,6580279820,0,543057658,2,,service,permissive,False,True,35.825,"LINESTRING (114.1386052 22.2835412, 114.1389486 22.283488)",,yes,
356626267,356626384,0,543057657,2,,service,permissive,False,False,17.104,"LINESTRING (114.1386052 22.2835412, 114.1384944 22.2835799, 114.1384535 22.2836028)",,,
356626267,6563915354,0,675660167,2,,service,permissive,False,False,2.3049999999999997,"LINESTRING (114.1386052 22.2835412, 114.1386091 22.2835337, 114.1386085 22.2835213)",driveway,,
356626267,6580279814,0,700710041,,,footway,,False,False,42.7,"LINESTRING (114.1386052 22.2835412, 114.1386294 22.2835535, 114.1390123 22.2834991)",,yes,
356626269,6580279787,0,675660164,,仲賢路 Lee Chung Yin Road,service,permissive,True,False,9.152,"LINESTRING (114.1374675 22.2836459, 114.1375487 22.2836123)",,,
356626269,1923658030,0,"[1009303032, 1009303033, 1009303031]",,仲賢路 Lee Chung Yin Road,service,permissive,True,False,71.268,"LINESTRING (114.1374675 22.2836459, 114.1375506 22.2836619, 114.1375878 22.283661, 114.1380835 22.2836388, 114.1381529 22.2836143)",,,
356626270,5566729018,0,182023176,,仲賢路 Lee Chung Yin Road,service,permissive,True,False,44.199000000000005,"LINESTRING (114.1371159 22.2840181, 114.1371841 22.2839519, 114.1372032 22.2839298, 114.1372212 22.2839004, 114.1373119 22.2837111, 114.1373343 22.2836806)",,,
356626270,4525548846,0,"[581918097, 182024490]",,,"['steps', 'footway']",,False,"[False, True]",55.028000000000006,"LINESTRING (114.1371159 22.2840181, 114.137094 22.2838423, 114.1370912 22.2835244)",,,
356626270,5271737904,0,"[639286553, 183784252]",1,,"['service', 'pedestrian']",permissive,False,"[False, True]",135.607,"LINESTRING (114.1371159 22.2840181, 114.1371261 22.284029, 114.1371687 22.2840745, 114.1373061 22.2842312, 114.1374645 22.2843809, 114.1375744 22.2844268, 114.1379907 22.2844153, 114.1382282 22.2844028, 114.1382461 22.2844026)",parking_aisle,,
356626383,1922027461,0,"[31853978, 181773524, 182023181]",2,仲賢路 Lee Chung Yin Road,service,permissive,False,False,84.078,"LINESTRING (114.1383146 22.283851, 114.1383118 22.2839419, 114.1383147 22.2839875, 114.1383355 22.2840546, 114.1383965 22.2841482, 114.1384359 22.2842111, 114.1384464 22.2842378, 114.1384478 22.2842588, 114.1384477 22.2842819, 114.1384437 22.2843118, 114.1384347 22.2843476, 114.138425 22.2843753, 114.1384154 22.2843967, 114.1383887 22.2844332, 114.1383653 22.2844469, 114.1383379 22.2844514, 114.1383061 22.2844496, 114.1382843 22.2844451, 114.1382679 22.284439, 114.1382576 22.2844287)",,yes,
356626383,1923658062,0,31853978,2,仲賢路 Lee Chung Yin Road,service,permissive,False,True,17.291,"LINESTRING (114.1383146 22.283851, 114.1383395 22.2837784, 114.1383701 22.2837043)",,,
356626383,1923658035,0,347465164,,,footway,,False,True,48.836,"LINESTRING (114.1383146 22.283851, 114.138449 22.2837822, 114.138622 22.2837672, 114.1387454 22.2836928)",,,
356626383,1834170476,0,681311334,,,footway,,False,False,54.874,"LINESTRING (114.1383146 22.283851, 114.1382866 22.2838548, 114.138288 22.2843221)",,,
356626384,356626267,0,543057657,2,,service,permissive,False,True,17.104,"LINESTRING (114.1384535 22.2836028, 114.1384944 22.2835799, 114.1386052 22.2835412)",,,
