u,v,key,osmid,highway,oneway,reversed,length,geometry,service
3169028710,3169028713,0,311299760,service,False,False,18.593,"LINESTRING (-2.2637836 53.48605, -2.2635026 53.4860516)",
3169028711,3170048790,0,311299760,service,False,True,7.593,"LINESTRING (-2.262529 53.4860582, -2.2626437 53.4860561)",
3169028713,9739968254,0,311299760,service,False,False,3.725,"LINESTRING (-2.2635026 53.4860516, -2.2634463 53.4860519)",
3169028713,3169028710,0,311299760,service,False,True,18.593,"LINESTRING (-2.2635026 53.4860516, -2.2637836 53.48605)",
3169028713,3169028738,0,311299761,service,False,True,14.683,"LINESTRING (-2.2635026 53.4860516, -2.2635084 53.4861836)",
3169028738,3169028713,0,311299761,service,False,False,14.683,"LINESTRING (-2.2635084 53.4861836, -2.2635026 53.4860516)",
3169028738,3169028742,0,311299761,service,False,True,14.952,"LINESTRING (-2.2635084 53.4861836, -2.2635126 53.4862767, -2.2635383 53.4863151)",
3169028738,3169028743,0,311299765,service,False,False,56.769999999999996,"LINESTRING (-2.2635084 53.4861836, -2.2641439 53.4861815, -2.2641421 53.4863139)",parking_aisle
3169028741,9739968259,0,311299761,service,False,True,16.697,"LINESTRING (-2.2635857 53.4864402, -2.2635927 53.4865903)",
3169028741,3169028742,0,311299761,service,False,False,14.26,"LINESTRING (-2.2635857 53.4864402, -2.2635612 53.4863742, -2.2635383 53.4863151)",
3169028741,3169028743,0,311299765,service,False,True,50.712,"LINESTRING (-2.2635857 53.4864402, -2.2641399 53.4864402, -2.2641421 53.4863139)",parking_aisle
3169028742,3169028743,0,311299766,service,False,False,39.949,"LINESTRING (-2.2635383 53.4863151, -2.2641421 53.4863139)",parking_aisle
3169028742,3169028738,0,311299761,service,False,False,14.952,"LINESTRING (-2.2635383 53.4863151, -2.2635126 53.4862767, -2.2635084 53.4861836)",
3169028742,3169028741,0,311299761,service,False,True,14.26,"LINESTRING (-2.2635383 53.4863151, -2.2635612 53.4863742, -2.2635857 53.4864402)",
3169028743,3169028742,0,311299766,service,False,True,39.949,"LINESTRING (-2.2641421 53.4863139, -2.2635383 53.4863151)",parking_aisle
3169028743,3169028741,0,311299765,service,False,False,50.712,"LINESTRING (-2.2641421 53.4863139, -2.2641399 53.4864402, -2.2635857 53.4864402)",parking_aisle
3169028743,3169028738,0,311299765,service,False,True,56.769999999999996,"LINESTRING (-2.2641421 53.4863139, -2.2641439 53.4861815, -2.2635084 53.4861836)",parking_aisle
3169028744,3169028745,0,311299798,footway,False,False,74.493,"LINESTRING (-2.2631318 53.4867243, -2.2631022 53.4860546)",
3169028745,3170048787,0,311299760,service,False,False,13.001,"LINESTRING (-2.2631022 53.4860546, -2.2629057 53.4860548)",
3169028745,9739968254,0,311299760,service,False,True,22.769,"LINESTRING (-2.2631022 53.4860546, -2.2634463 53.4860519)",
3169028745,3169028744,0,311299798,footway,False,True,74.493,"LINESTRING (-2.2631022 53.4860546, -2.2631318 53.4867243)",
3170048787,3170048790,0,311299760,service,False,False,17.335,"LINESTRING (-2.2629057 53.4860548, -2.2626437 53.4860561)",
3170048787,3170048790,1,311368551,service,False,False,142.196,"LINESTRING (-2.2629057 53.4860548, -2.26292 53.4866433, -2.2627669 53.4866469, -2.2626645 53.4864206, -2.2626437 53.4860561)",parking_aisle
3170048787,3169028745,0,311299760,service,False,True,13.001,"LINESTRING (-2.2629057 53.4860548, -2.2631022 53.4860546)",
3170048790,3169028711,0,311299760,service,False,False,7.593,"LINESTRING (-2.2626437 53.4860561, -2.262529 53.4860582)",
3170048790,3170048787,0,311299760,service,False,True,17.335,"LINESTRING (-2.2626437 53.4860561, -2.2629057 53.4860548)",
3170048790,3170048787,1,311368551,service,False,True,142.196,"LINESTRING (-2.2626437 53.4860561, -2.2626645 53.4864206, -2.2627669 53.4866469, -2.26292 53.4866433, -2.2629057 53.4860548)",parking_aisle
9739968254,3169028745,0,311299760,service,False,False,22.769,"LINESTRING (-2.2634463 53.4860519, -2.2631022 53.4860546)",
9739968254,3169028713,0,311299760,service,False,True,3.725,"LINESTRING (-2.2634463 53.4860519, -2.2635026 53.4860516)",
9739968259,3169028741,0,311299761,service,False,False,16.697,"LINESTRING (-2.2635927 53.4865903, -2.2635857 53.4864402)",
