osmid,y,x,street_count,geometry
3169028710,53.48605,-2.2637836,1,POINT (-2.2637836 53.48605)
3169028711,53.4860582,-2.262529,1,POINT (-2.262529 53.4860582)
3169028713,53.4860516,-2.2635026,3,POINT (-2.2635026 53.4860516)
3169028738,53.4861836,-2.2635084,3,POINT (-2.2635084 53.4861836)
3169028741,53.4864402,-2.2635857,3,POINT (-2.2635857 53.4864402)
3169028742,53.4863151,-2.2635383,3,POINT (-2.2635383 53.4863151)
3169028743,53.4863139,-2.2641421,3,POINT (-2.2641421 53.4863139)
3169028744,53.4867243,-2.2631318,1,POINT (-2.2631318 53.4867243)
3169028745,53.4860546,-2.2631022,3,POINT (-2.2631022 53.4860546)
3170048787,53.4860548,-2.2629057,3,POINT (-2.2629057 53.4860548)
3170048790,53.4860561,-2.2626437,3,POINT (-2.2626437 53.4860561)
9739968254,53.4860519,-2.2634463,3,POINT (-2.2634463 53.4860519)
9739968259,53.4865903,-2.2635927,1,POINT (-2.2635927 53.4865903)
