element_type,osmid,nodes,amenity,building,cuisine,name,geometry,name:en,leisure,int_name,building:levels,shop,ways,type
way,335224716,"[3423427972, 3423427973, 3423427974, 3423427975, 10942430155, 3423427972]",restaurant,yes,Human_Food,学五食堂,"POLYGON ((117.1615817 39.1105849, 117.1622069 39.1105784, 117.1622006 39.1102105, 117.1615755 39.1102169, 117.1615804 39.1103521, 117.1615817 39.1105849))",,,,,,,
way,335225865,"[3423428316, 3423428317, 3423428318, 3423428319, 3423428316]",,dormitory,,鹏翔3斋,"POLYGON ((117.1619482 39.1098171, 117.1614096 39.1098181, 117.1614089 39.1096163, 117.1619475 39.1096153, 117.1619482 39.1098171))",PengXiang Dormitory 3 Zhai,,,,,,
way,335229780,"[3423467605, 3423467606, 3423467607, 3423467608, 3423467605]",,yes,,土立方,"POLYGON ((117.1708558 39.1128786, 117.1722397 39.11287, 117.1722346 39.1123809, 117.1708508 39.1123895, 117.1708558 39.1128786))",,sports_hall,,,,,
way,335231659,"[3423481466, 3423481467, 3423481481, 3423481468, 3423481469, 8065802612, 3423481470, 9009736907, 8065802611, 8065802610, 8065802609, 8065802608, 8065802607, 8065802606, 3423481471, 3423481472, 3423481473, 8065802625, 3423481474, 9009736908, 3423481475, 3423481476, 3423481477, 3423481478, 3423481466]",university,yes,,天津大学26楼,"POLYGON ((117.1640874 39.1052936, 117.1643878 39.1057182, 117.1648845 39.1057205, 117.1662064 39.1057266, 117.1662067 39.1054596, 117.1664108 39.1054564, 117.1666279 39.1054734, 117.1667501 39.1056491, 117.1668499 39.1057927, 117.1667186 39.1058531, 117.1666392 39.1059332, 117.1666504 39.1060731, 117.1667384 39.1060786, 117.1668357 39.106039, 117.1669127 39.10598, 117.1677421 39.1059642, 117.1677513 39.1058138, 117.167694 39.1057789, 117.1670593 39.1057307, 117.1670137 39.1056556, 117.1669305 39.1055184, 117.1677835 39.1055143, 117.1679176 39.1054019, 117.1677781 39.105302, 117.1640874 39.1052936))",,,,,,,
way,335231660,"[3423481479, 3423481480, 3423481481, 3423481467, 3423481479]",,yes,,天津大学26楼,"POLYGON ((117.1645349 39.1059548, 117.1648926 39.1059548, 117.1648845 39.1057205, 117.1643878 39.1057182, 117.1645349 39.1059548))",,,,,,,
way,528008797,"[5132210092, 5132210094, 5132210101, 5132210053, 5132210092]",,yes,,东楼,"POLYGON ((117.160413 39.1054807, 117.1604103 39.1053225, 117.1613209 39.1053132, 117.1613236 39.1054714, 117.160413 39.1054807))",,,E. Bldg.,,,,
way,543815141,"[5256998859, 612050805, 5256998860, 8983189594, 5256998861, 6794880251, 5256998862, 8983189595, 5256998859]",,university,,天大南开联合实验楼,"POLYGON ((117.1685303 39.1055071, 117.1685313 39.105182, 117.1685323 39.1048589, 117.1688746 39.1048595, 117.1694002 39.1048605, 117.1693991 39.1052065, 117.1693982 39.1055088, 117.168863 39.1055078, 117.1685303 39.1055071))",,,,,,,
way,724531475,"[6794880119, 6794880185, 6794880123, 6794880210, 6794873284, 6794880152, 6794880110, 6794880192, 6794873278, 6794880146, 6794880216, 6794880139, 6794880145, 6794873257, 6794880119]",,yes,,,"POLYGON ((117.1682092 39.1070641, 117.168173 39.1070318, 117.1682025 39.1070183, 117.1682441 39.1070089, 117.168279 39.1070058, 117.1683165 39.1070048, 117.1683527 39.1070079, 117.1683849 39.1070152, 117.1684144 39.1070329, 117.1683822 39.107063, 117.1683474 39.1070526, 117.1683071 39.1070485, 117.1682709 39.1070485, 117.1682427 39.1070537, 117.1682092 39.1070641))",,,,,,,
way,724531477,"[6794880238, 6794880176, 6794880253, 6794880264, 6794873271, 6794880108, 6794880109, 6794880215, 6794880238]",,yes,,,"POLYGON ((117.1607633 39.107082, 117.1606965 39.1067534, 117.1608838 39.1067305, 117.1609239 39.1069276, 117.1612787 39.1068841, 117.1612082 39.1065376, 117.1613963 39.1065145, 117.1614936 39.1069925, 117.1607633 39.107082))",,,,,,,
way,724531480,"[6794880091, 6794880175, 6794873283, 6794880131, 6794880089, 6794880150, 6794880114, 6794880258, 6794880085, 6794880100, 6794880125, 6794880143, 6794880156, 6794880087, 6794873267, 6794880211, 6794880205, 6794880245, 6794880178, 6794880207, 6794880172, 6794880086, 6794880153, 6794880091]",,yes,,,"POLYGON ((117.1682379 39.1072642, 117.1682124 39.1072465, 117.168199 39.1072236, 117.168195 39.1072038, 117.1681923 39.1071799, 117.1681936 39.1071518, 117.1682044 39.1071247, 117.1682164 39.107107, 117.1682379 39.1070935, 117.168262 39.1070852, 117.1682996 39.1070852, 117.1683425 39.1070883, 117.1683693 39.1071029, 117.1683868 39.1071206, 117.1683921 39.1071435, 117.1683935 39.1071799, 117.1683921 39.1072194, 117.1683787 39.1072434, 117.168364 39.1072569, 117.1683479 39.1072652, 117.168317 39.1072735, 117.1682889 39.1072746, 117.1682647 39.1072735, 117.1682379 39.1072642))",,,,,,,
way,724531486,"[6794880141, 6794880127, 6794880103, 6794873265, 6794880232, 6794880181, 6794880117, 6794873256, 6794880104, 6794880212, 6794880170, 6794873281, 6794880093, 6794880107, 6794880141]",,yes,,,"POLYGON ((117.1596491 39.1051835, 117.1596491 39.1051159, 117.1596907 39.1051155, 117.1596913 39.1051457, 117.1598163 39.1051457, 117.1598163 39.1051051, 117.1599799 39.1051037, 117.1599794 39.1051428, 117.1600785 39.1051418, 117.1600774 39.10518, 117.159946 39.1051812, 117.1599466 39.1051425, 117.1598556 39.1051431, 117.1598549 39.1051823, 117.1596491 39.1051835))",,,,,,,
way,724531487,"[6794880121, 6794880183, 6794880244, 6794880228, 6794880142, 6794880208, 6794880206, 6794880101, 6794880246, 6794880120, 6794880204, 6794880213, 6794880243, 6794880090, 6794880136, 6794880148, 6794880121]",,yes,,,"POLYGON ((117.1684133 39.1072651, 117.1684294 39.1072443, 117.1684388 39.1072234, 117.1684415 39.1071953, 117.1684429 39.1071641, 117.1684388 39.107136, 117.1684294 39.1071142, 117.168408 39.1070871, 117.1684455 39.107059, 117.168463 39.107084, 117.1684791 39.1071194, 117.1684885 39.1071475, 117.1684898 39.1071891, 117.1684858 39.1072276, 117.1684724 39.1072661, 117.1684507 39.1072973, 117.1684133 39.1072651))",,,,,,,
way,724531489,"[6794880137, 6794880130, 6794880096, 6794873255, 6794880157, 6794880113, 6794880197, 6794873263, 6794880252, 6794880095, 6794880174, 6794880202, 6794880260, 6794880247, 6794880200, 6794880231, 6794880137]",,yes,,,"POLYGON ((117.1681682 39.1073257, 117.1682108 39.1072908, 117.1682367 39.1073011, 117.1682714 39.1073054, 117.168314 39.1073057, 117.1683468 39.1073, 117.1683696 39.1072906, 117.1683803 39.1072864, 117.1684206 39.1073218, 117.1683924 39.1073385, 117.1683643 39.1073458, 117.168324 39.1073499, 117.1682985 39.107352, 117.1682677 39.107351, 117.1682275 39.1073468, 117.1682033 39.1073385, 117.1681682 39.1073257))",,,,,,,
way,724531490,"[6794873259, 6794873264, 6794873274, 6794880226, 6794880154, 6794880169, 6794880173, 6794880163, 6794880166, 6794880259, 6794880254, 6794880261, 6794880230, 6794880233, 6794873260, 6794873259]",,yes,,,"POLYGON ((117.1681405 39.1072968, 117.1681782 39.1072688, 117.1681608 39.1072469, 117.1681531 39.1072247, 117.1681491 39.1072029, 117.168146 39.1071772, 117.16815 39.107146, 117.1681554 39.107121, 117.1681778 39.1070887, 117.1681326 39.1070565, 117.1681125 39.1071002, 117.1681004 39.107148, 117.1680991 39.1071917, 117.1681058 39.1072292, 117.1681206 39.1072677, 117.1681405 39.1072968))",,,,,,,
way,724534638,"[6794846373, 6794923769, 6794923735, 6794923800, 6794846373]",,yes,,,"POLYGON ((117.1594078 39.1051689, 117.1594083 39.1050987, 117.1595284 39.1050993, 117.1595278 39.1051695, 117.1594078 39.1051689))",,,,,,,
way,724534639,"[6794923755, 6794923726, 6794923749, 6794923725, 6794923761, 6794923804, 6794923755]",,yes,,,"POLYGON ((117.1609847 39.1068581, 117.1609607 39.1066989, 117.1608321 39.1067106, 117.1608036 39.1065213, 117.1611566 39.1064892, 117.1612092 39.1068377, 117.1609847 39.1068581))",,,,,,,
