element_type,osmid,amenity,name,geometry,fast_food,nodes,building,cuisine
node,2311188489,restaurant,学四食堂,POINT (117.1693214 39.1058664),,,,
node,2311188540,restaurant,学三食堂,POINT (117.1685919 39.1060204),cafeteria,,,
way,335224716,restaurant,学五食堂,"POLYGON ((117.1615817 39.1105849, 117.1622069 39.1105784, 117.1622006 39.1102105, 117.1615755 39.1102169, 117.1615804 39.1103521, 117.1615817 39.1105849))",,"[3423427972, 3423427973, 3423427974, 3423427975, 10942430155, 3423427972]",yes,Human_Food
way,865345217,restaurant,学一食堂,"POLYGON ((117.1645134 39.1126511, 117.1641929 39.1126496, 117.1641933 39.1126057, 117.1638445 39.112604, 117.1638476 39.1122132, 117.1643078 39.1122154, 117.1643081 39.1121657, 117.1641901 39.1121651, 117.1641905 39.1121167, 117.1642539 39.112117, 117.1642546 39.1120377, 117.1645184 39.112039, 117.1645134 39.1126511))",,"[8065802152, 8065802153, 8065802154, 8065802155, 8065802156, 8065802157, 8065802158, 8065802159, 8065802160, 8065802161, 8065802162, 8065802163, 8065802152]",yes,
way,891012618,restaurant,老魏餐厅,"POLYGON ((117.162671 39.1124928, 117.1626713 39.112405, 117.1629268 39.1124024, 117.1629265 39.1124715, 117.1629389 39.1124999, 117.162671 39.1124928))",,"[8281382283, 8281383848, 8281383191, 8590004502, 8281384755, 8281382283]",yes,
way,891012727,restaurant,,"POLYGON ((117.1628387 39.1123686, 117.1628405 39.1122998, 117.1629368 39.1123014, 117.1629365 39.1123128, 117.163013 39.112314, 117.1630115 39.1123714, 117.1628387 39.1123686))",,"[8281383545, 8281381070, 8281384455, 8590004505, 8590004504, 8590004503, 8281383545]",yes,
way,891012728,restaurant,,"POLYGON ((117.1632643 39.1103639, 117.1634792 39.1103637, 117.1634784 39.1099059, 117.1632635 39.1099061, 117.1632638 39.1101033, 117.163264 39.1102295, 117.1632643 39.1103639))",,"[8281383690, 8281381217, 8281380960, 8281382527, 8281380920, 8281384702, 8281383690]",yes,
way,891012905,restaurant,,"POLYGON ((117.1629265 39.1124715, 117.1631465 39.1125075, 117.1631184 39.1124201, 117.1629268 39.1124024, 117.1629265 39.1124715))",,"[10942430145, 8281381396, 8281381997, 8281383191, 10942430145]",yes,
way,891013003,restaurant,,"POLYGON ((117.1632476 39.1098466, 117.163249 39.1096187, 117.1633602 39.1096192, 117.1633592 39.1097691, 117.1633588 39.109847, 117.1632476 39.1098466))",,"[8281382487, 8281382743, 8281381177, 8590004493, 8281381833, 8281382487]",yes,
way,1177921707,restaurant,,"POLYGON ((117.1632266 39.1095624, 117.1633408 39.1095586, 117.1633291 39.1093469, 117.1632148 39.1093507, 117.1632266 39.1095624))",,"[10942430158, 10942430159, 10942430160, 10942430161, 10942430158]",yes,
