u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,bridge
5091926553,6794923787,0,522923441,tertiary,False,True,101.332,"LINESTRING (117.1627969 39.1073202, 117.1629036 39.1073378, 117.1630162 39.1073645, 117.1631179 39.1073918, 117.1637837 39.107641, 117.1638498 39.1076641, 117.1638779 39.1076666)",,,
5091926553,5771665468,0,528008811,tertiary,False,False,85.10600000000001,"LINESTRING (117.1627969 39.1073202, 117.1626964 39.1073245, 117.1618107 39.1073256)",北洋道,,
5091926553,6794923699,0,528008811,tertiary,False,True,111.19500000000001,"LINESTRING (117.1627969 39.1073202, 117.163719 39.1068209, 117.163819 39.1067757, 117.163862 39.1067582)",北洋道,,
5091926557,5091926578,0,522923441,tertiary,False,False,100.059,"LINESTRING (117.1688555 39.1067123, 117.168877 39.107612)",,,
5091926557,6794923727,0,522923441,tertiary,False,True,40.62,"LINESTRING (117.1688555 39.1067123, 117.1688569 39.106347)",,,
5091926557,6794923704,0,528008811,tertiary,False,False,90.006,"LINESTRING (117.1688555 39.1067123, 117.1678124 39.106719)",北洋道,,
5091926557,5362791060,0,528008811,tertiary,False,True,183.416,"LINESTRING (117.1688555 39.1067123, 117.1709812 39.1067049)",北洋道,,
5091926578,6794923752,0,522923441,tertiary,False,False,37.243,"LINESTRING (117.168877 39.107612, 117.1684454 39.1076162)",,,
5091926578,5091926557,0,522923441,tertiary,False,True,100.059,"LINESTRING (117.168877 39.107612, 117.1688555 39.1067123)",,,
5091926578,5319968772,0,528008813,tertiary,False,True,231.212,"LINESTRING (117.168877 39.107612, 117.1715558 39.1075586)",,3,
5091926578,5319968762,0,528008813,tertiary,False,False,114.93,"LINESTRING (117.168877 39.107612, 117.1689462 39.1076717, 117.1689762 39.1076941, 117.1689977 39.107718, 117.1690111 39.1077409, 117.1690151 39.1077784, 117.169058 39.1086068)",,3,
5256998857,5257095520,0,522923441,tertiary,False,False,174.11,"LINESTRING (117.1663696 39.107636, 117.1643521 39.1076666)",,,
5256998857,6794923752,0,522923441,tertiary,False,True,179.12,"LINESTRING (117.1663696 39.107636, 117.1684454 39.1076162)",,,
5256998857,5256998858,0,543815139,path,False,False,100.928,"LINESTRING (117.1663696 39.107636, 117.1663473 39.1067285)",,,yes
5256998858,6794923692,0,528008811,tertiary,False,False,3.253,"LINESTRING (117.1663473 39.1067285, 117.1663096 39.106729)",北洋道,,
5256998858,6794923704,0,528008811,tertiary,False,True,126.42,"LINESTRING (117.1663473 39.1067285, 117.1678124 39.106719)",北洋道,,
5256998858,5256998857,0,543815139,path,False,True,100.928,"LINESTRING (117.1663473 39.1067285, 117.1663696 39.107636)",,,yes
5257095520,5256998857,0,522923441,tertiary,False,True,174.11,"LINESTRING (117.1643521 39.1076666, 117.1663696 39.107636)",,,
5257095520,5257095521,0,543826767,service,False,False,114.269,"LINESTRING (117.1643521 39.1076666, 117.1643642 39.1086942)",,,
5257095520,6794923787,0,522923441,tertiary,False,False,40.942,"LINESTRING (117.1643521 39.1076666, 117.1639209 39.1076704, 117.1638779 39.1076666)",,,
5257095521,9009743285,0,543826767,service,False,False,36.248,"LINESTRING (117.1643642 39.1086942, 117.1643736 39.1090201)",,,
5257095521,5257095520,0,543826767,service,False,True,114.269,"LINESTRING (117.1643642 39.1086942, 117.1643521 39.1076666)",,,
5257095521,5362791244,0,550835728,service,False,False,309.629,"LINESTRING (117.1643642 39.1086942, 117.1654989 39.108684, 117.1665095 39.1086648, 117.167212 39.1086409, 117.1679516 39.1086306)",,,
5257095521,5362791265,0,555894510,service,False,False,199.427,"LINESTRING (117.1643642 39.1086942, 117.1637517 39.108701, 117.1632555 39.1087166, 117.1628594 39.1088158, 117.1626205 39.1088568, 117.1623072 39.1088666, 117.1620837 39.1088327)",,,
5257095522,5257095523,0,543826767,service,False,False,110.378,"LINESTRING (117.1644043 39.1104251, 117.164417 39.1114177)",,,
5257095522,5362791221,0,543826767,service,False,True,58.211,"LINESTRING (117.1644043 39.1104251, 117.1644026 39.1099016)",,,
5257095522,6794923744,0,555894510,service,False,True,98.672,"LINESTRING (117.1644043 39.1104251, 117.1632607 39.1104313)",,,
5257095523,6794923730,0,543826767,service,False,False,29.099,"LINESTRING (117.164417 39.1114177, 117.1646733 39.1115878)",,,
5257095523,5257095522,0,543826767,service,False,True,110.378,"LINESTRING (117.164417 39.1114177, 117.1644043 39.1104251)",,,
5257095523,6794923731,0,543826768,service,False,False,23.772000000000002,"LINESTRING (117.164417 39.1114177, 117.1642389 39.1115216, 117.1641992 39.1115485)",,,
