osmid,y,x,street_count,geometry
5091926553,39.1073202,117.1627969,3,POINT (117.1627969 39.1073202)
5091926557,39.1067123,117.1688555,4,POINT (117.1688555 39.1067123)
5091926578,39.107612,117.168877,4,POINT (117.168877 39.107612)
5256998857,39.107636,117.1663696,3,POINT (117.1663696 39.107636)
5256998858,39.1067285,117.1663473,3,POINT (117.1663473 39.1067285)
5257095520,39.1076666,117.1643521,3,POINT (117.1643521 39.1076666)
5257095521,39.1086942,117.1643642,4,POINT (117.1643642 39.1086942)
5257095522,39.1104251,117.1644043,3,POINT (117.1644043 39.1104251)
5257095523,39.1114177,117.164417,3,POINT (117.164417 39.1114177)
5257095528,39.1119414,117.1641651,3,POINT (117.1641651 39.1119414)
5257955121,39.105833,117.1678604,3,POINT (117.1678604 39.105833)
5257955124,39.1056808,117.1677671,3,POINT (117.1677671 39.1056808)
5319968762,39.1086068,117.169058,4,POINT (117.169058 39.1086068)
5319968768,39.1085516,117.1715498,3,POINT (117.1715498 39.1085516)
5319968770,39.1080531,117.1715632,3,POINT (117.1715632 39.1080531)
5319968772,39.1075586,117.1715558,3,POINT (117.1715558 39.1075586)
5362791060,39.1067049,117.1709812,3,POINT (117.1709812 39.1067049)
5362791061,39.1054077,117.1709769,1,POINT (117.1709769 39.1054077)
5362791062,39.1067074,117.1717359,3,POINT (117.1717359 39.1067074)
5362791063,39.1053851,117.1717517,1,POINT (117.1717517 39.1053851)
5362791064,39.1063623,117.1709802,3,POINT (117.1709802 39.1063623)
5362791065,39.1063643,117.1717492,4,POINT (117.1717492 39.1063643)
5362791066,39.1063599,117.1725636,3,POINT (117.1725636 39.1063599)
5362791067,39.105728,117.1709734,3,POINT (117.1709734 39.105728)
5362791069,39.1057258,117.1717504,4,POINT (117.1717504 39.1057258)
5362791070,39.1057315,117.1725117,1,POINT (117.1725117 39.1057315)
5362791113,39.1124008,117.1646839,3,POINT (117.1646839 39.1124008)
5362791114,39.1123955,117.1655523,4,POINT (117.1655523 39.1123955)
5362791120,39.112362,117.1691824,4,POINT (117.1691824 39.112362)
5362791221,39.1099016,117.1644026,3,POINT (117.1644026 39.1099016)
5362791243,39.1109797,117.1691366,3,POINT (117.1691366 39.1109797)
5362791244,39.1086306,117.1679516,3,POINT (117.1679516 39.1086306)
5362791252,39.1109398,117.1680549,4,POINT (117.1680549 39.1109398)
5362791253,39.1097064,117.1690944,3,POINT (117.1690944 39.1097064)
5362791258,39.109725,117.1680007,3,POINT (117.1680007 39.109725)
5362791265,39.1088327,117.1620837,4,POINT (117.1620837 39.1088327)
5771651777,39.109268,117.1643808,3,POINT (117.1643808 39.109268)
5771651778,39.1092084,117.1679796,3,POINT (117.1679796 39.1092084)
5771665468,39.1073256,117.1618107,4,POINT (117.1618107 39.1073256)
5771665470,39.1052283,117.1612621,4,POINT (117.1612621 39.1052283)
5771665471,39.1067338,117.1653289,3,POINT (117.1653289 39.1067338)
5771665474,39.1053145,117.163999,1,POINT (117.163999 39.1053145)
6794846379,39.1060189,117.1651757,3,POINT (117.1651757 39.1060189)
6794846380,39.1065635,117.1645857,3,POINT (117.1645857 39.1065635)
6794873282,39.1070822,117.1722044,3,POINT (117.1722044 39.1070822)
6794880128,39.1057016,117.1681887,3,POINT (117.1681887 39.1057016)
6794880138,39.1057018,117.1688595,3,POINT (117.1688595 39.1057018)
6794880203,39.1058121,117.1709743,3,POINT (117.1709743 39.1058121)
6794880214,39.105623,117.1688607,3,POINT (117.1688607 39.105623)
6794880248,39.1067808,117.1721709,3,POINT (117.1721709 39.1067808)
6794923685,39.1061077,117.1688578,3,POINT (117.1688578 39.1061077)
6794923686,39.106347,117.1678149,3,POINT (117.1678149 39.106347)
6794923688,39.1061139,117.1709775,4,POINT (117.1709775 39.1061139)
6794923691,39.1113877,117.1691501,3,POINT (117.1691501 39.1113877)
6794923692,39.106729,117.1663096,3,POINT (117.1663096 39.106729)
6794923696,39.1073575,117.1568395,3,POINT (117.1568395 39.1073575)
6794923697,39.1123672,117.168094,3,POINT (117.168094 39.1123672)
6794923699,39.1067582,117.163862,3,POINT (117.163862 39.1067582)
6794923702,39.108852,117.1604281,3,POINT (117.1604281 39.108852)
6794923704,39.106719,117.1678124,3,POINT (117.1678124 39.106719)
6794923721,39.1113837,117.1725948,1,POINT (117.1725948 39.1113837)
6794923727,39.106347,117.1688569,3,POINT (117.1688569 39.106347)
6794923729,39.1056144,117.156818,1,POINT (117.156818 39.1056144)
6794923730,39.1115878,117.1646733,3,POINT (117.1646733 39.1115878)
6794923731,39.1115485,117.1641992,3,POINT (117.1641992 39.1115485)
6794923734,39.1073359,117.1602138,4,POINT (117.1602138 39.1073359)
6794923741,39.1058288,117.166307,3,POINT (117.166307 39.1058288)
6794923742,39.1128912,117.1632946,4,POINT (117.1632946 39.1128912)
6794923744,39.1104313,117.1632607,3,POINT (117.1632607 39.1104313)
6794923746,39.1073407,117.1594681,3,POINT (117.1594681 39.1073407)
6794923751,39.1070047,117.156818,3,POINT (117.156818 39.1070047)
6794923752,39.1076162,117.1684454,3,POINT (117.1684454 39.1076162)
6794923753,39.1123035,117.1724982,1,POINT (117.1724982 39.1123035)
6794923754,39.1067386,117.1645777,3,POINT (117.1645777 39.1067386)
6794923760,39.1126994,117.1706298,3,POINT (117.1706298 39.1126994)
6794923763,39.1073447,117.1588458,3,POINT (117.1588458 39.1073447)
6794923765,39.1059079,117.1643738,3,POINT (117.1643738 39.1059079)
6794923770,39.1075621,117.1602457,3,POINT (117.1602457 39.1075621)
6794923776,39.1121568,117.1633009,3,POINT (117.1633009 39.1121568)
6794923787,39.1076666,117.1638779,3,POINT (117.1638779 39.1076666)
6794923793,39.1130153,117.1724982,1,POINT (117.1724982 39.1130153)
6794923798,39.1079808,117.1684481,1,POINT (117.1684481 39.1079808)
6794923803,39.1088392,117.1615227,3,POINT (117.1615227 39.1088392)
6794923806,39.1125782,117.1699179,3,POINT (117.1699179 39.1125782)
8281380824,39.1128941,117.1627224,1,POINT (117.1627224 39.1128941)
8318182195,39.107138,117.1722077,3,POINT (117.1722077 39.107138)
9009743219,39.1089002,117.1721359,1,POINT (117.1721359 39.1089002)
9009743220,39.1089017,117.1715724,3,POINT (117.1715724 39.1089017)
9009743221,39.1083277,117.1718795,3,POINT (117.1718795 39.1083277)
9009743225,39.1080513,117.1716596,3,POINT (117.1716596 39.1080513)
9009743226,39.1080473,117.1718689,3,POINT (117.1718689 39.1080473)
9009743227,39.1085889,117.1718893,3,POINT (117.1718893 39.1085889)
9009743228,39.1080437,117.1720541,3,POINT (117.1720541 39.1080437)
9009743229,39.1085848,117.1720569,3,POINT (117.1720569 39.1085848)
9009743232,39.1085973,117.1715458,3,POINT (117.1715458 39.1085973)
9009743237,39.109076,117.1721157,1,POINT (117.1721157 39.109076)
