osmid,y,x,highway,street_count,geometry
265972458,31.2825173,121.4957545,traffic_signals,4,POINT (121.4957545 31.2825173)
265972522,31.2852215,121.4972736,,4,POINT (121.4972736 31.2852215)
265972708,31.2844378,121.5019877,traffic_signals,4,POINT (121.5019877 31.2844378)
442028523,31.2858997,121.5016804,,4,POINT (121.5016804 31.2858997)
558631487,31.2843723,121.5021631,traffic_signals,4,POINT (121.5021631 31.2843723)
559837138,31.2848081,121.5011086,,3,POINT (121.5011086 31.2848081)
625187028,31.2834187,121.4962609,,3,POINT (121.4962609 31.2834187)
625187033,31.2839292,121.5006503,,3,POINT (121.5006503 31.2839292)
625190286,31.2853047,121.5013675,,3,POINT (121.5013675 31.2853047)
625190289,31.2843425,121.5008658,,3,POINT (121.5008658 31.2843425)
625190297,31.2846906,121.4986618,,3,POINT (121.4986618 31.2846906)
625190300,31.2850881,121.4988959,,4,POINT (121.4988959 31.2850881)
625190303,31.2847476,121.4997907,,4,POINT (121.4997907 31.2847476)
625196873,31.2851166,121.4949243,,3,POINT (121.4949243 31.2851166)
625196880,31.2848583,121.494812,,4,POINT (121.494812 31.2848583)
625196886,31.2846075,121.4953897,,3,POINT (121.4953897 31.2846075)
625196892,31.2847202,121.4954467,,3,POINT (121.4954467 31.2847202)
625196964,31.2840786,121.4944726,,3,POINT (121.4944726 31.2840786)
625196971,31.2849784,121.4928532,,3,POINT (121.4928532 31.2849784)
625196979,31.2862016,121.4935331,,3,POINT (121.4935331 31.2862016)
625196989,31.2842494,121.4967275,,4,POINT (121.4967275 31.2842494)
1393503406,31.2862642,121.4956795,,3,POINT (121.4956795 31.2862642)
1393503417,31.2860171,121.4955346,,3,POINT (121.4955346 31.2860171)
1393503425,31.287679,121.4951214,,3,POINT (121.4951214 31.287679)
1393503440,31.2870965,121.4967534,,3,POINT (121.4967534 31.2870965)
1393503442,31.2867913,121.4944322,,3,POINT (121.4944322 31.2867913)
1393503444,31.2865441,121.494935,,4,POINT (121.494935 31.2865441)
1393503446,31.2858254,121.4957328,,3,POINT (121.4957328 31.2858254)
1393503474,31.2869556,121.4946835,,3,POINT (121.4946835 31.2869556)
1393527022,31.2867246,121.5015494,,4,POINT (121.5015494 31.2867246)
1393527036,31.2866825,121.4995785,,3,POINT (121.4995785 31.2866825)
1393527037,31.2865512,121.5020176,,3,POINT (121.5020176 31.2865512)
1393527051,31.2878057,121.4972022,,4,POINT (121.4972022 31.2878057)
1393527076,31.2880585,121.4959427,,3,POINT (121.4959427 31.2880585)
1393536146,31.2828138,121.5000687,,3,POINT (121.5000687 31.2828138)
1895732210,31.2861776,121.4992646,,3,POINT (121.4992646 31.2861776)
1895732211,31.2857347,121.5003289,,4,POINT (121.5003289 31.2857347)
1895732213,31.2868872,121.4991455,,3,POINT (121.4991455 31.2868872)
1895732216,31.2875046,121.4978391,,4,POINT (121.4978391 31.2875046)
1895732218,31.2881455,121.49825,,3,POINT (121.49825 31.2881455)
1895732219,31.2873667,121.4994057,,3,POINT (121.4994057 31.2873667)
1895732222,31.2879662,121.4988205,,3,POINT (121.4988205 31.2879662)
1919676912,31.2870287,121.500591,,3,POINT (121.500591 31.2870287)
1919676919,31.2864254,121.5002687,,3,POINT (121.5002687 31.2864254)
1937554286,31.2837842,121.4952711,,3,POINT (121.4952711 31.2837842)
1937554294,31.2839838,121.4965783,,3,POINT (121.4965783 31.2839838)
1937554307,31.2843319,121.4955647,,3,POINT (121.4955647 31.2843319)
1937554314,31.2845945,121.4938562,,3,POINT (121.4938562 31.2845945)
1937554321,31.2848183,121.4983279,,3,POINT (121.4983279 31.2848183)
1937554322,31.2848631,121.4982108,,3,POINT (121.4982108 31.2848631)
1937554327,31.2849919,121.4952148,,3,POINT (121.4952148 31.2849919)
1937554351,31.2851381,121.4941561,,4,POINT (121.4941561 31.2851381)
1937554360,31.2851938,121.4986164,,3,POINT (121.4986164 31.2851938)
1937554388,31.2854672,121.498823,,3,POINT (121.498823 31.2854672)
1937554391,31.2855115,121.4988505,,3,POINT (121.4988505 31.2855115)
1937554399,31.2855476,121.5018313,,3,POINT (121.5018313 31.2855476)
1937554401,31.2855767,121.4987119,,3,POINT (121.4987119 31.2855767)
1937554402,31.2856029,121.4986569,,3,POINT (121.4986569 31.2856029)
1937554425,31.2857514,121.5020757,,1,POINT (121.5020757 31.2857514)
1937554429,31.2857949,121.5019641,,4,POINT (121.5019641 31.2857949)
1937554431,31.2857959,121.4990267,,3,POINT (121.4990267 31.2857959)
1937554435,31.2858282,121.4981839,,3,POINT (121.4981839 31.2858282)
1937554439,31.2858782,121.4988327,,3,POINT (121.4988327 31.2858782)
1937554447,31.2861022,121.5021291,,3,POINT (121.5021291 31.2861022)
1937554449,31.2860421,121.4977345,,3,POINT (121.4977345 31.2860421)
1937554451,31.2860711,121.5012257,,3,POINT (121.5012257 31.2860711)
1937554459,31.2860818,121.4983523,,3,POINT (121.4983523 31.2860818)
1937554466,31.2862167,121.4961288,,3,POINT (121.4961288 31.2862167)
1937554468,31.286205,121.4980618,,3,POINT (121.4980618 31.286205)
1937554473,31.2862857,121.4978714,,3,POINT (121.4978714 31.2862857)
1937554502,31.2865684,121.4972046,,4,POINT (121.4972046 31.2865684)
1937554512,31.2867896,121.4950551,,3,POINT (121.4950551 31.2867896)
1937554514,31.2868184,121.4965997,,3,POINT (121.4965997 31.2868184)
1937554537,31.2871147,121.498664,,3,POINT (121.498664 31.2871147)
1937606867,31.2878525,121.4989041,,3,POINT (121.4989041 31.2878525)
1937606868,31.2879181,121.4991574,,3,POINT (121.4991574 31.2879181)
1937615011,31.2847415,121.5010739,,3,POINT (121.5010739 31.2847415)
1937615016,31.2848702,121.501141,,3,POINT (121.501141 31.2848702)
1937615021,31.2851153,121.4999912,,3,POINT (121.4999912 31.2851153)
1937615023,31.2853341,121.5001105,,3,POINT (121.5001105 31.2853341)
