element_type,osmid,building,geometry,name,nodes,amenity,level,name:en,leisure,addr:city,addr:housenumber,addr:postcode,addr:street,building:levels,name:de,website,sport,shop,healthcare
node,1937554228,yes,POINT (121.5008979 31.2829039),,,,,,,,,,,,,,,,
way,49263174,yes,"POLYGON ((121.499631 31.2849345, 121.4991625 31.2851115, 121.4992364 31.2852545, 121.4991345 31.285293, 121.498996 31.2853453, 121.4992113 31.2857615, 121.4994231 31.2856815, 121.4994909 31.2858126, 121.4999881 31.2856247, 121.4998275 31.2853143, 121.499631 31.2849345))",同济图书馆,"[625766239, 625766244, 1919676921, 2024714403, 1919676926, 1919676934, 1919676918, 625766248, 625766252, 2024714404, 625766239]",library,4,The Library of Tongji University,,,,,,,,,,,
way,125456038,college,"POLYGON ((121.4925594 31.286598, 121.4926528 31.2867486, 121.4924662 31.2868331, 121.4925316 31.2869385, 121.4928313 31.2868027, 121.492811 31.2867699, 121.4931679 31.2866083, 121.4930812 31.2864686, 121.4926685 31.2866555, 121.4925962 31.286539, 121.4925389 31.2865649, 121.4925594 31.286598))",生态楼,"[1393473212, 1393473241, 1393473236, 1393473199, 1393473227, 1393473231, 1393473195, 1393473243, 1393473240, 1393473209, 1393473251, 1393473212]",,,Ecology Center,,,,,,,,,,,
way,125456039,college,"POLYGON ((121.4921682 31.286411, 121.4922354 31.2865037, 121.4923124 31.2864628, 121.4924371 31.2866346, 121.4923544 31.2866785, 121.4924275 31.2867791, 121.492553 31.2867125, 121.4925219 31.2866698, 121.4925593 31.28665, 121.4923252 31.2863277, 121.4921682 31.286411))",工程中心,"[1393473232, 1393473230, 1393473198, 1393473206, 1393473254, 1393473249, 1393473193, 1393473210, 1393473207, 1393473196, 1393473232]",,,Engineering Center,,,,,,,,,,,
way,125456040,college,"POLYGON ((121.4923668 31.2861656, 121.4924666 31.2863318, 121.4925138 31.2863111, 121.4925466 31.2863656, 121.4931904 31.2860834, 121.4930616 31.2858687, 121.4928562 31.2859587, 121.492831 31.2859169, 121.4923454 31.2861298, 121.4923668 31.2861656))",明净楼,"[1393473224, 1393473200, 1393473252, 1393473222, 1393473244, 1393473204, 1393473242, 1393473238, 1393473248, 1393473224]",,,Mingjing Building,,,,,,,,,,,
way,125465017,yes,"POLYGON ((121.4969633 31.2827013, 121.4975695 31.2825362, 121.4978056 31.2831322, 121.4971672 31.2833064, 121.4970009 31.2829488, 121.4969633 31.2827013))",同济大学游泳馆,"[1393527024, 1393527068, 1393527035, 1393527030, 1393527045, 1393527024]",,,Tongji Swimming Pool,swimming_pool,,,,,,,,,,
way,181555241,college,"POLYGON ((121.4955202 31.2834221, 121.4959601 31.2830829, 121.4960449 31.2832113, 121.4960262 31.2832309, 121.4960769 31.2833075, 121.4961 31.2832884, 121.4961748 31.2833924, 121.4955824 31.2836192, 121.495545 31.2835541, 121.4956994 31.2834761, 121.4956812 31.2834382, 121.4953905 31.2836319, 121.4953485 31.2835399, 121.4955202 31.2834221))",同济大学中德学部,"[1919676916, 1919676935, 4279564751, 4279564752, 4279564753, 4279564754, 1919676913, 4279564750, 4279564749, 4279564748, 1919676925, 4279564747, 4279564746, 1919676916]",,,Sino-German Department of Tongji University (CDH),,上海,50,200092,赤峰路,11,Chinesisch-Deutsche Hochschule (CDH) der Tongji-Universität,https://cdh.tongji.edu.cn/,,,
way,181555246,yes,"POLYGON ((121.4986955 31.2882392, 121.4986378 31.2881157, 121.4990932 31.2879604, 121.4991509 31.2880839, 121.4986955 31.2882392))",,"[1919676924, 1919676936, 1919676928, 1919676911, 1919676924]",,,International Student Building Two,,,,,,5,,,,,
way,181555253,yes,"POLYGON ((121.5021771 31.286628, 121.5019805 31.2862314, 121.5021655 31.2861644, 121.5024471 31.2860625, 121.5026437 31.2864591, 121.5021771 31.286628))",综合楼,"[1919676931, 1919676906, 2024714409, 1919676910, 1919676929, 1919676931]",,,Function Building of Tongji University,,,,,,21,,,,,
way,181555254,yes,"POLYGON ((121.4993096 31.287622, 121.4992545 31.2875214, 121.4997079 31.2873638, 121.4998221 31.2875844, 121.4996328 31.2876559, 121.499592 31.2875769, 121.4997184 31.2875291, 121.4996872 31.2874689, 121.4993096 31.287622))",三好坞餐厅,"[1919676933, 1919676905, 1919676922, 1919676909, 1919676920, 1919676937, 1919676903, 1919676915, 1919676933]",restaurant,,Sanhaowu Canteen,,,,,,3,,,,,
way,183383457,college,"POLYGON ((121.4952601 31.2830312, 121.4957913 31.2828092, 121.4958559 31.2828859, 121.4954996 31.2831206, 121.4954939 31.2831796, 121.4954548 31.2832238, 121.4953858 31.2832447, 121.4953153 31.2832276, 121.4952762 31.283191, 121.4952658 31.2831156, 121.4952601 31.2830312))",同济大学人文学院,"[1937554234, 1937554224, 1937554226, 1937554240, 1937554241, 1937554245, 1937554248, 1937554247, 1937554242, 1937554238, 1937554234]",,,Tongji University School of Humanities,,,,,,,,,,,
way,183383458,yes,"POLYGON ((121.4969114 31.2871577, 121.4967821 31.2869306, 121.4971981 31.2867576, 121.4973273 31.2869847, 121.4971757 31.2870478, 121.4972143 31.2871156, 121.4973971 31.2870396, 121.4975008 31.2872217, 121.4970537 31.2874076, 121.49695 31.2872255, 121.497137 31.2871478, 121.4970984 31.2870799, 121.4969114 31.2871577))",,"[1937554542, 1937554523, 1937554508, 1937554526, 1937554530, 1937554538, 1937554529, 1937554546, 1937554555, 1937554547, 1937554541, 1937554534, 1937554542]",,,,,,,,,,,,,,
way,183383459,yes,"POLYGON ((121.4952343 31.2879218, 121.4952523 31.2877714, 121.4957016 31.2878106, 121.4957279 31.2875908, 121.4961387 31.2876266, 121.4961634 31.2874199, 121.4967938 31.2874749, 121.4967751 31.2876315, 121.4963283 31.2875926, 121.4963037 31.2877993, 121.495885 31.2877628, 121.4958595 31.2879763, 121.4952343 31.2879218))",,"[1937554575, 1937554570, 1937554572, 1937554561, 1937554565, 1937554557, 1937554558, 1937554566, 1937554562, 1937554571, 1937554569, 1937554577, 1937554575]",,,,,,,,,,,,,,
way,183383460,college,"POLYGON ((121.5000795 31.2876141, 121.4999704 31.2874083, 121.5000459 31.2873791, 121.5000007 31.2872939, 121.5003934 31.2871419, 121.5004426 31.2872347, 121.5004938 31.2872148, 121.5004681 31.2871665, 121.5006278 31.2871047, 121.5006576 31.287161, 121.5008958 31.2870689, 121.5009967 31.2872592, 121.5000795 31.2876141))",红楼（B楼）,"[1937554563, 1937554556, 1937554554, 1937554552, 1937554540, 1937554549, 1937554545, 1937554544, 1937554536, 1937554543, 1937554532, 1937554550, 1937554563]",,,The Red Building(CAUP Building B),,,,,,,,,,,
way,183383461,dormitory,"POLYGON ((121.4950368 31.2864948, 121.4942647 31.2851721, 121.4947821 31.2849515, 121.4948528 31.2850727, 121.4944808 31.2852313, 121.4946219 31.2854732, 121.4947519 31.2856959, 121.495124 31.2855372, 121.4952063 31.2856782, 121.4948342 31.2858368, 121.4949695 31.2860685, 121.4950975 31.2862878, 121.4954695 31.2861292, 121.4955542 31.2862742, 121.4950368 31.2864948))",西南一楼,"[1937554497, 1937554354, 1937554326, 1937554345, 1937554365, 4279565294, 1937554422, 1937554395, 1937554420, 1937554437, 4279565295, 1937554475, 1937554461, 1937554471, 1937554497]",,,Xinan Apartments Building 1,,,,,,4,,,,,
way,183383462,college,"POLYGON ((121.4995028 31.2872319, 121.4994449 31.2871183, 121.4995792 31.2870683, 121.4995309 31.2869736, 121.499395 31.2870242, 121.4993383 31.2869128, 121.4997238 31.2867693, 121.499774 31.2868678, 121.4996083 31.2869294, 121.4996567 31.2870243, 121.5000858 31.2868645, 121.5000594 31.2868127, 121.5001597 31.2867754, 121.5001899 31.2868346, 121.5003717 31.286767, 121.5004323 31.2868859, 121.4995028 31.2872319))",文远楼（A楼）,"[1937554548, 1937554539, 1937554531, 1937554524, 1937554527, 1937554521, 1937554510, 1937554519, 1937554522, 1937554528, 1937554517, 1937554513, 1937554511, 1937554515, 1937554509, 1937554520, 1937554548]",,,Wenyuan Building(CAUP Building A),,,,,,,,,,,
way,183383463,yes,"POLYGON ((121.5016292 31.2855285, 121.501566 31.2854087, 121.5017012 31.2853567, 121.5016031 31.2851706, 121.5014724 31.2852209, 121.5014128 31.2851077, 121.501961 31.2848966, 121.5020227 31.2850136, 121.5017146 31.2851322, 121.5017398 31.28518, 121.5020148 31.2850741, 121.502065 31.2851694, 121.5017902 31.2852753, 121.5018135 31.2853196, 121.5021243 31.2852, 121.5021847 31.2853146, 121.5016292 31.2855285))",,"[1937554393, 1937554386, 1937554385, 1937554353, 1937554363, 1937554348, 1937554323, 1937554343, 1937554350, 1937554358, 1937554347, 1937554352, 1937554381, 1937554384, 1937554362, 1937554383, 1937554393]",,,,,,,,,,,,,,
way,183383464,yes,"POLYGON ((121.5008903 31.2834203, 121.5008091 31.2832663, 121.5009132 31.283225, 121.5008091 31.2830384, 121.5006008 31.2830427, 121.5006085 31.2831165, 121.5004053 31.2831947, 121.5003799 31.2830601, 121.5005069 31.2830124, 121.5004967 31.2829256, 121.5006796 31.2829147, 121.500611 31.2826912, 121.5004256 31.2827541, 121.5004637 31.2827975, 121.5002403 31.2828561, 121.5001615 31.2827693, 121.5002758 31.2826934, 121.5002682 31.2826283, 121.5007177 31.2825501, 121.5008218 31.2829039, 121.5008979 31.2829039, 121.5011239 31.2833335, 121.5008903 31.2834203))",同济大学中法中心,"[1937554253, 1937554249, 1937554246, 1937554235, 1937554236, 1937554239, 1937554243, 1937554237, 1937554232, 1937554230, 1937554229, 1937554219, 1937554221, 1937554223, 1937554225, 1937554222, 1937554220, 1937554218, 1937554217, 1937554227, 1937554228, 1937554252, 1937554253]",,,Tongji Sino-France Center,,,,,,,,,,,
way,183383465,yes,"POLYGON ((121.4975793 31.2882532, 121.4974967 31.2881182, 121.4979552 31.2879134, 121.4980378 31.2880484, 121.4975793 31.2882532))",,"[1937554584, 1937554580, 1937554574, 1937554578, 1937554584]",,,,,,,,,,,,,,
way,183383466,yes,"POLYGON ((121.5006586 31.283692, 121.5005778 31.2835289, 121.500792 31.2834514, 121.5008727 31.2836145, 121.5006586 31.283692))",,"[1937554280, 1937554264, 1937554255, 1937554270, 1937554280]",,,,,,,,,,,,,,
way,183383467,yes,"POLYGON ((121.4971975 31.2876805, 121.4971149 31.2875455, 121.4975733 31.2873407, 121.4976559 31.2874757, 121.4971975 31.2876805))",,"[1937554567, 1937554560, 1937554553, 1937554559, 1937554567]",,,,,,,,,,,,,,
way,183383468,yes,"POLYGON ((121.4988275 31.2841703, 121.4986744 31.2838812, 121.4989796 31.2837631, 121.4991327 31.2840522, 121.4988275 31.2841703))",,"[1937554309, 1937554289, 1937554285, 1937554306, 1937554309]",,,,pitch,,,,,,,,badminton,,
way,183383469,yes,"POLYGON ((121.49933 31.283485, 121.4993884 31.2835945, 121.4989823 31.2837527, 121.4989239 31.2836432, 121.49933 31.283485))",,"[1937554259, 1937554266, 8985076500, 1937554276, 1937554259]",,,,,,,,,,,,,,
way,183383470,yes,"POLYGON ((121.4973663 31.2879659, 121.4972837 31.2878309, 121.4977421 31.2876261, 121.4978247 31.2877611, 121.4973663 31.2879659))",,"[1937554576, 1937554573, 1937554564, 1937554568, 1937554576]",,,,,,,,,,,,,,
way,183383471,college,"POLYGON ((121.5010866 31.2872494, 121.5009759 31.2870313, 121.5015323 31.2868252, 121.501643 31.2870433, 121.5010866 31.2872494))",城规学院C楼,"[1937554551, 1937554533, 1937554518, 1937554535, 1937554551]",,,CAUP Building C,,,,,,,,,,,
way,183383472,college,"POLYGON ((121.4988654 31.284906, 121.4987816 31.284749, 121.5004598 31.2840948, 121.5005436 31.2842518, 121.4996991 31.2845795, 121.4988654 31.284906))",教学南楼,"[1937554324, 1937554319, 1937554299, 1937554304, 2024714400, 1937554324]",,,South Teaching Building,,,,,,,,,,,
way,183383473,residential,"POLYGON ((121.4954749 31.284635, 121.4953995 31.2844908, 121.4964475 31.2840906, 121.4965229 31.2842349, 121.4954749 31.284635))",西南二楼,"[1937554315, 1937554313, 1937554298, 1937554303, 1937554315]",,,Xinan Apartments Building 3,,,,,,,,,,,
