u,v,key,osmid,highway,access,oneway,reversed,length,name,geometry,bridge,tunnel,maxspeed,service,width
151994531,930076809,0,24691208,service,permissive,False,False,37.364,,"LINESTRING (116.3240773 40.0096237, 116.3240554 40.0099593)",,,,,
151994531,930118872,0,743191138,residential,permissive,False,False,102.184,新民路,"LINESTRING (116.3240773 40.0096237, 116.3241227 40.0087054)",,,,,
151994531,2354002509,0,743595611,residential,permissive,False,False,125.569,,"LINESTRING (116.3240773 40.0096237, 116.3226041 40.0095789)",,,,,
151994531,930118878,0,743595611,residential,permissive,False,True,140.84,,"LINESTRING (116.3240773 40.0096237, 116.3241801 40.009628, 116.3257285 40.0096929)",,,,,
151994535,371156207,0,79697524,unclassified,permissive,False,False,129.749,新民路,"LINESTRING (116.324442 40.002317, 116.3243713 40.0034826)",,,,,
151994535,371156207,1,981469700,footway,,False,False,135.294,,"LINESTRING (116.324442 40.002317, 116.3245382 40.002463, 116.3244883 40.0033765, 116.3243713 40.0034826)",,,,,
151994535,937644150,0,79697524,unclassified,permissive,False,True,23.042,新民路,"LINESTRING (116.324442 40.002317, 116.3244545 40.00211)",,,,,
151994535,941379442,0,80717412,service,permissive,False,False,63.285,,"LINESTRING (116.324442 40.002317, 116.3251843 40.0023413)",,,,,
151994535,10893676247,0,981469698,footway,,False,True,7.094,,"LINESTRING (116.324442 40.002317, 116.3244958 40.0022683)",,,,,
245130060,1363454894,0,83689302,unclassified,permissive,False,False,8.398,日新路,"LINESTRING (116.3265091 39.9962799, 116.3266074 39.9962856)",,,,,
245130060,10893634989,0,83689302,unclassified,permissive,False,True,16.518,日新路,"LINESTRING (116.3265091 39.9962799, 116.3263152 39.9962812)",,,,,
245131277,3736176211,0,743595608,residential,permissive,False,False,55.718,紫荆路,"LINESTRING (116.3204629 40.00815, 116.3211162 40.0081763)",,,,,
245131277,945107463,0,743595608,residential,permissive,False,True,12.904,紫荆路,"LINESTRING (116.3204629 40.00815, 116.3203116 40.0081439)",,,,,
245131277,2354000358,0,743595611,residential,permissive,False,True,78.583,,"LINESTRING (116.3204629 40.00815, 116.321082 40.008674)",,,,,
245131430,930076809,0,743191148,path,permissive,False,True,126.358,,"LINESTRING (116.3225732 40.0099093, 116.3240554 40.0099593)",,,,,
245131430,6956583368,0,743595604,service,permissive,False,False,20.484,,"LINESTRING (116.3225732 40.0099093, 116.322684 40.0100728)",,,,,
245131430,6956583376,0,743595605,service,permissive,False,True,21.964,,"LINESTRING (116.3225732 40.0099093, 116.3223914 40.0100494)",,,,,
245131430,2354002509,0,743595606,service,permissive,False,False,36.833,,"LINESTRING (116.3225732 40.0099093, 116.3226041 40.0095789)",,,,,
245131430,6956583379,0,743595607,path,permissive,False,True,187.73,,"LINESTRING (116.3225732 40.0099093, 116.3218152 40.0098914, 116.3209028 40.0090323)",,,,,
245131431,2354492910,0,80917648,residential,permissive,False,True,73.777,,"LINESTRING (116.3227252 40.0077082, 116.3226919 40.0083712)",,,,,
245131431,6956583325,0,743595608,residential,permissive,False,False,123.816,紫荆路,"LINESTRING (116.3227252 40.0077082, 116.3241767 40.0077699)",,,,,
245131431,10188912003,0,1059455089,service,,False,False,24.285,,"LINESTRING (116.3227252 40.0077082, 116.3227263 40.0074898)",,,,,
245131431,2354492909,0,743595608,residential,permissive,False,True,63.989000000000004,紫荆路,"LINESTRING (116.3227252 40.0077082, 116.3225019 40.0076953, 116.3223678 40.0077076, 116.3222015 40.0077569, 116.3220113 40.007832)",,,,,
245133700,9176512383,0,83689302,unclassified,permissive,False,False,5.034,日新路,"LINESTRING (116.3223681 39.9961362, 116.3224271 39.9961387)",,,,,
245133700,9176580584,0,743595613,unclassified,permissive,False,False,4.667,学堂路,"LINESTRING (116.3223681 39.9961362, 116.3223564 39.9961772)",,,,,
245133700,9176580590,0,743595613,unclassified,permissive,False,True,7.102,学堂路,"LINESTRING (116.3223681 39.9961362, 116.3223757 39.9960726)",,,,,
245133814,2354347998,0,993409173,unclassified,permissive,False,False,20.599,光华路,"LINESTRING (116.3291884 39.997792, 116.3291307 39.9979719)",,,,,
245133814,2354348002,0,1066880984,unclassified,permissive,False,True,41.46,光华路,"LINESTRING (116.3291884 39.997792, 116.3292065 39.9974194)",,,,,
245133814,9235441573,0,"[42415984, 757867530]",service,permissive,False,False,251.95999999999998,,"LINESTRING (116.3291884 39.997792, 116.3307075 39.9978398, 116.3306736 39.9989407)",,,,,
253721868,930076868,0,83800916,residential,permissive,False,False,26.089,紫荆路,"LINESTRING (116.3189477 40.0092487, 116.3189638 40.0090144)",,,,,
253721868,930076849,0,83892648,residential,permissive,False,True,33.993,,"LINESTRING (116.3189477 40.0092487, 116.319199 40.0094862)",,,,,
253721868,10198894128,0,742183490,service,permissive,False,False,16.216,,"LINESTRING (116.3189477 40.0092487, 116.3187575 40.009242)",,,,,
253721868,930076778,0,83688585,path,permissive,False,False,109.80199999999999,,"LINESTRING (116.3189477 40.0092487, 116.3200664 40.0092792, 116.3202182 40.0093375)",,,,,
253721870,253721871,0,84644274,service,permissive,False,False,17.815,,"LINESTRING (116.3204504 40.0094354, 116.3205043 40.0092806)",,,,,
253721870,943386823,0,84644274,service,permissive,False,True,9.694,,"LINESTRING (116.3204504 40.0094354, 116.3204229 40.00952)",,,,,
253721870,930076797,0,79696977,path,permissive,False,False,195.14,,"LINESTRING (116.3204504 40.0094354, 116.3214857 40.0104366, 116.3221091 40.0104526)",,,,,
253721871,983304896,0,83688586,service,permissive,False,False,10.475,,"LINESTRING (116.3205043 40.0092806, 116.320385 40.0093035)",,,,,
253721871,253721870,0,84644274,service,permissive,False,True,17.815,,"LINESTRING (116.3205043 40.0092806, 116.3204504 40.0094354)",,,,,
253721871,930076803,0,743191153,service,permissive,False,False,28.065,,"LINESTRING (116.3205043 40.0092806, 116.3207599 40.0091213)",,,,,
253721871,6956583373,0,743191151,path,permissive,False,False,198.157,,"LINESTRING (116.3205043 40.0092806, 116.3215685 40.0102756, 116.3222154 40.0102941)",,,,,
253721871,6956583383,0,743191152,path,permissive,False,True,148.94,,"LINESTRING (116.3205043 40.0092806, 116.3200772 40.0089115, 116.3189737 40.0088699)",,,,,
253721872,6956583379,0,743191153,service,permissive,False,True,36.832,,"LINESTRING (116.3212383 40.0088233, 116.3209028 40.0090323)",,,,,
253721872,2354000358,0,743595611,residential,permissive,False,False,21.279,,"LINESTRING (116.3212383 40.0088233, 116.321082 40.008674)",,,,,
253721872,2354492955,0,743595611,residential,permissive,False,True,23.901,,"LINESTRING (116.3212383 40.0088233, 116.321422 40.0089858)",,,,,
268389711,10188912029,0,83892648,residential,permissive,False,False,18.406,,"LINESTRING (116.3204912 40.0107772, 116.3203654 40.0106426)",,,,,
268389711,6956583371,0,83892649,residential,permissive,False,True,61.247,,"LINESTRING (116.3204912 40.0107772, 116.3212097 40.0108005)",,,,,
268389711,6948372543,0,743595610,service,permissive,False,True,33.521,,"LINESTRING (116.3204912 40.0107772, 116.3201618 40.0109422)",,,,,
268389711,10188912045,0,80342198,residential,permissive,False,False,74.604,,"LINESTRING (116.3204912 40.0107772, 116.320574 40.0109656, 116.3208406 40.0113913)",,,,,
371156178,978608491,0,32954651,service,permissive,False,False,62.782,,"LINESTRING (116.3177951 40.0047059, 116.3177607 40.0052699)",,,,,
371156178,10702086241,0,852646110,footway,,False,True,6.562,,"LINESTRING (116.3177951 40.0047059, 116.3177969 40.0046469)",,,,,
371156178,380421659,0,1010697355,unclassified,permissive,False,False,85.125,至善路,"LINESTRING (116.3177951 40.0047059, 116.3167986 40.0046474)",,,,,
371156178,941370094,0,1010697355,unclassified,permissive,False,True,34.933,至善路,"LINESTRING (116.3177951 40.0047059, 116.3182037 40.004733)",,,,,
371156179,371156340,0,79793754,service,permissive,False,True,109.293,,"LINESTRING (116.3176217 40.0091103, 116.3169238 40.0090747, 116.3163724 40.0089278)",,,,,
371156179,931404156,0,83800915,service,permissive,False,False,56.14,,"LINESTRING (116.3176217 40.0091103, 116.3180065 40.0091334, 116.3182576 40.0092158)",,,,,
371156180,937443577,0,544171509,unclassified,permissive,False,False,75.545,至善路,"LINESTRING (116.3213615 40.0048979, 116.3204758 40.0048619)",,,,,
371156180,8000890928,0,544171509,unclassified,permissive,False,True,7.53,至善路,"LINESTRING (116.3213615 40.0048979, 116.3214496 40.0049035)",,,,,
371156180,976492067,0,743595613,unclassified,permissive,False,False,84.956,学堂路,"LINESTRING (116.3213615 40.0048979, 116.3213073 40.0056608)",,,,,
371156180,10188911986,0,743595613,unclassified,permissive,False,True,29.396,学堂路,"LINESTRING (116.3213615 40.0048979, 116.3213859 40.0046342)",,,,,
