element_type,osmid,amenity,operator,operator:type,wheelchair,geometry,access,name,nodes,name:zh,name:zh-Hans,covered
node,992592626,parking,清华大学,government,yes,POINT (116.3127224 40.0045514),,,,,,
node,4503942715,parking,,,,POINT (116.3169387 40.0098173),,,,,,
node,4503942721,parking,,,,POINT (116.3182879 40.0098639),,,,,,
node,9787375492,parking,,,,POINT (116.3097265 40.0002803),private,清华大学车队停车场,,,,
node,10198894131,parking,,,,POINT (116.3228372 40.0033109),,,,,,
way,83892806,parking,清华大学,government,yes,"POLYGON ((116.327807 40.0069354, 116.3284067 40.0069449, 116.3284209 40.0064209, 116.3279735 40.0064138, 116.3278159 40.0067175, 116.327807 40.0069354))",private,汽研所广场,"[976494487, 976494489, 976494491, 976494493, 976494496, 976494487]",汽研所广场,汽研所广场,
way,226624113,parking,清华大学,government,yes,"POLYGON ((116.3256523 40.0026111, 116.3256649 40.0024083, 116.3269073 40.0024537, 116.3268947 40.0026567, 116.3256523 40.0026111))",private,,"[2354006256, 2354006258, 2354006260, 2354006262, 2354006256]",,,
way,226624915,parking,清华大学,government,,"POLYGON ((116.3126339 40.0020437, 116.3126632 40.0018579, 116.3130761 40.001896, 116.3130468 40.0020819, 116.3126339 40.0020437))",,,"[2354021115, 2354021118, 2354021121, 2354021123, 2354021115]",,,
way,226624950,parking,,,,"POLYGON ((116.311665 40.0022577, 116.3116719 40.0021919, 116.3123019 40.0022309, 116.312295 40.0022967, 116.311665 40.0022577))",,,"[2354022764, 2354022766, 2354022768, 2354022770, 2354022764]",,,
way,226625500,parking,,,,"POLYGON ((116.3179216 39.9970244, 116.3179216 39.9965196, 116.3181428 39.9965346, 116.3181273 39.9967425, 116.3184981 39.9969904, 116.3179216 39.9970244))",,,"[2354032558, 2354032561, 2354032563, 2354032565, 2354032567, 2354032558]",,,
way,226666870,parking,清华大学,government,,"POLYGON ((116.3148809 40.0013758, 116.3148943 40.0012007, 116.3152699 40.0012189, 116.3152495 40.0013896, 116.3148809 40.0013758))",private,,"[2354336599, 2354336600, 2354336601, 2354336602, 2354336599]",,,
way,226668211,parking,,,,"POLYGON ((116.3157609 39.998976, 116.3157749 39.9987911, 116.3161578 39.9988081, 116.3161438 39.998993, 116.3157609 39.998976))",,,"[2354350814, 2354350815, 2354350816, 2354350818, 2354350814]",,,
way,226681958,parking,,,,"POLYGON ((116.3121852 40.0010464, 116.3122013 40.0008138, 116.3124677 40.0008246, 116.3124516 40.0010572, 116.3121852 40.0010464))",,,"[2354480926, 2354480927, 2354480928, 2354480929, 2354480926]",,,
way,453690519,parking,,,,"POLYGON ((116.3137544 40.011335, 116.313808 40.0111953, 116.3148487 40.011335, 116.3148058 40.0114706, 116.3143457 40.0114113, 116.3137544 40.011335))",,,"[4503942732, 4503942730, 4503942733, 4503942734, 4503942731, 4503942732]",,,
way,453690521,parking,清华大学,government,yes,"POLYGON ((116.3177702 40.0090821, 116.3180494 40.0091025, 116.3182245 40.0091546, 116.3182301 40.0089303, 116.3177783 40.0089187, 116.3177702 40.0090821))",private,,"[4503942654, 7631857867, 4503942664, 4503942638, 4503942640, 4503942654]",,,
way,453690522,parking,清华大学,government,,"POLYGON ((116.3165207 40.0089163, 116.3168519 40.0090067, 116.3170384 40.0090262, 116.3175547 40.0090611, 116.3175734 40.0088578, 116.3169499 40.0088208, 116.3165918 40.0087355, 116.3165207 40.0089163))",private,,"[4503942634, 4503942643, 4503942645, 4503942647, 4503942633, 4503942630, 4503942625, 4503942634]",,,
way,993409175,parking,清华大学,government,yes,"POLYGON ((116.3285353 40.0009961, 116.3285434 40.000853, 116.3294957 40.0008845, 116.3294876 40.0010276, 116.3286943 40.0010014, 116.3285353 40.0009961))",private,,"[9177794388, 9177794389, 9177794390, 9177794391, 10279548750, 9177794388]",,,
way,993409182,parking,,,,"POLYGON ((116.3256389 40.0009228, 116.3256472 40.0007128, 116.326066 40.0007225, 116.3260577 40.0009325, 116.3256389 40.0009228))",,,"[9177807418, 9177807419, 9177807420, 9177807421, 9177807418]",,,
way,993409183,parking,,,,"POLYGON ((116.3266587 40.0009534, 116.3266665 40.0007381, 116.3270263 40.0007458, 116.3270184 40.0009611, 116.3266587 40.0009534))",,,"[9177807422, 9177807423, 9177807424, 9177807425, 9177807422]",,,
way,1113711560,parking,清华大学,government,yes,"POLYGON ((116.3164826 40.0050779, 116.3164996 40.0049014, 116.3158759 40.0048661, 116.3158589 40.0050427, 116.3164826 40.0050779))",private,,"[10188911943, 10188911942, 10188911941, 10188911940, 10188911943]",,,no
way,1113711596,parking,,,,"POLYGON ((116.3233067 40.00598, 116.3229823 40.0059653, 116.3229873 40.0059014, 116.3233116 40.0059162, 116.3233067 40.00598))",,,"[10188912123, 10188912122, 10188912121, 10188912120, 10188912123]",,,
way,1149696614,parking,,,,"POLYGON ((116.3251216 40.0058786, 116.3245008 40.0058608, 116.3245022 40.005771, 116.3251239 40.0057863, 116.3251216 40.0058786))",,,"[10695175603, 10695175604, 10695281105, 10695281106, 10695175603]",,,
way,1178530413,parking,,,,"POLYGON ((116.3177167 40.0030845, 116.317717 40.0030341, 116.318012 40.003035, 116.3180118 40.0030853, 116.3177167 40.0030845))",,,"[10948596784, 10948596783, 10948596782, 10948596781, 10948596784]",,,
way,1178530414,parking,,,,"POLYGON ((116.3181565 40.0030912, 116.3181569 40.0030419, 116.3184949 40.0030436, 116.3184945 40.0030929, 116.3181565 40.0030912))",,,"[10948596788, 10948596787, 10948596786, 10948596785, 10948596788]",,,
way,1196722214,parking,,,,"POLYGON ((116.3168177 40.0009519, 116.3168403 40.0006798, 116.3170544 40.0006882, 116.3170318 40.0009603, 116.3168177 40.0009519))",permit,,"[11104325957, 11104325958, 11104325959, 11104325960, 11104325957]",,,
way,1211983169,parking,,,,"POLYGON ((116.3248786 40.0057134, 116.3248928 40.0054236, 116.3254308 40.005439, 116.3254166 40.0057289, 116.3248786 40.0057134))",,,"[11228383712, 11228383713, 11228383714, 11228383715, 11228383712]",,,
