element_type,osmid,air_conditioning,amenity,highchair,internet_access,internet_access:fee,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,outdoor_seating,smoking,takeaway,wheelchair,geometry,cuisine,addr:district,addr:province,addr:street,bar,internet_access:ssid,opening_hours,addr:housenumber,branch,phone
node,937627546,yes,cafe,no,yes,customers,清青咖啡,Qing Qing Times Cafe,清青咖啡,清青咖啡,清青咖啡,yes,no,yes,yes,POINT (116.3160345 40.0054),,,,,,,,,,
node,984042402,,cafe,,,,1911咖啡,,1911咖啡,1911咖啡,1911咖啡,,,,,POINT (116.3138101 40.0004479),coffee_shop,,,,,,,,,
node,984204505,yes,cafe,,yes,customers,Jazz Cafe,Jazz Cafe,,,,,,,yes,POINT (116.3175297 40.0060533),,,,,,,,,,
node,1367469531,,cafe,,wlan,no,Paradiso Coffee,Paradiso Coffee,,,,,,,,POINT (116.32692 40.0092),coffee_shop,,,,,,,,,
node,2623020519,yes,cafe,,no,,Paradiso Coffee,Paradiso Coffee,,,,,no,,yes,POINT (116.3259084 39.9981646),coffee_shop,,,,,,,,,
node,2623020520,,cafe,,wlan,,Jazz Cafe,Jazz Cafe,,,,,,,,POINT (116.3245699 39.998366),,,,,,,,,,
node,4457321802,yes,cafe,,,,安家小厨,,安家小厨,安家小厨,安家小廚,,,,yes,POINT (116.3219967 40.0031627),,,,,,,,,,
node,4481648162,yes,cafe,,,,Hundred Years Cafe,Ten Years After Café,,,,,no,,yes,POINT (116.3213996 39.9991714),,,,,,,,,,
node,7072425643,,cafe,,,,79Bar,79Bar,,,,no,,,,POINT (116.3273789 39.9983263),,,,,,,,,,
node,7916566476,yes,cafe,no,wlan,customers,紫荆书咖,Zi Jing Book Cafe,紫荆书咖,紫荆书咖,紫荊書咖,,no,yes,yes,POINT (116.315973 40.0056159),,Haidian,Beijing,"Guan Chou Yuan (Level -1), Tsinghua University",no,紫荆书咖,09:00-次日05:00,,,
node,7916566477,,cafe,,,,仰望咖啡,,仰望咖啡,仰望咖啡,仰望咖啡,,,,,POINT (116.3180951 40.0040907),coffee_shop,Haidian,Beijing,"Li Wen Zheng (North) Library, Tsinghua University",,,,East Side F1,,
node,8639885943,yes,cafe,,,,蒙楼咖啡（新清华学堂店）,,蒙楼咖啡（新清华学堂店）,蒙楼咖啡（新清华学堂店）,蒙樓咖啡（新清華學堂店）,,no,,yes,POINT (116.3230765 40.0001009),coffee_shop,,,,,,,,新清华学堂店,
node,8639885944,,cafe,,,,蒙楼咖啡,,蒙楼咖啡,蒙楼咖啡,蒙樓咖啡,,,,,POINT (116.3152036 40.002937),coffee_shop,,,,,,,,,
node,9999449080,,cafe,,yes,no,有理咖（紫荆公寓店）,,有理咖（紫荆公寓店）,有理咖（紫荆公寓店）,有理咖（紫荊公寓店）,no,,,,POINT (116.3271405 40.0092044),coffee_shop,,,,,Tsinghua 5G,Mo-Su 11：00-13：30，17：00-20：30,,紫荆公寓店,+86 10 6279 4076
node,9999561498,,cafe,,,,七港九,seven-nine,,,,no,,only,,POINT (116.3229664 40.0041415),bubble_tea,,,,,,Mo-Su 10:00-22:00,,,
node,10188911948,,cafe,,,,艺博咖啡,,艺博咖啡,艺博咖啡,藝博咖啡,,,,,POINT (116.3295427 40.0003871),,,,,,,,,,
node,10198894135,yes,cafe,,yes,customers,iCenter创客咖啡,,iCenter创客咖啡,iCenter创客咖啡,iCenter創客咖啡,,no,yes,yes,POINT (116.3233066 39.9959345),,,,,,,,,,
