osmid,y,x,street_count,highway,geometry
151994531,40.0096237,116.3240773,4,,POINT (116.3240773 40.0096237)
151994535,40.002317,116.324442,5,,POINT (116.324442 40.002317)
245130060,39.9962799,116.3265091,3,,POINT (116.3265091 39.9962799)
245131277,40.00815,116.3204629,3,,POINT (116.3204629 40.00815)
245131430,40.0099093,116.3225732,5,,POINT (116.3225732 40.0099093)
245131431,40.0077082,116.3227252,4,,POINT (116.3227252 40.0077082)
245133700,39.9961362,116.3223681,3,,POINT (116.3223681 39.9961362)
245133814,39.997792,116.3291884,3,,POINT (116.3291884 39.997792)
253721868,40.0092487,116.3189477,4,,POINT (116.3189477 40.0092487)
253721870,40.0094354,116.3204504,3,,POINT (116.3204504 40.0094354)
253721871,40.0092806,116.3205043,5,,POINT (116.3205043 40.0092806)
253721872,40.0088233,116.3212383,3,,POINT (116.3212383 40.0088233)
268389711,40.0107772,116.3204912,4,,POINT (116.3204912 40.0107772)
371156178,40.0047059,116.3177951,4,,POINT (116.3177951 40.0047059)
371156179,40.0091103,116.3176217,3,,POINT (116.3176217 40.0091103)
371156180,40.0048979,116.3213615,4,,POINT (116.3213615 40.0048979)
371156195,40.0048468,116.3202213,4,,POINT (116.3202213 40.0048468)
371156197,40.0033784,116.3214917,4,,POINT (116.3214917 40.0033784)
371156207,40.0034826,116.3243713,6,,POINT (116.3243713 40.0034826)
371156304,40.0097067,116.3162178,4,,POINT (116.3162178 40.0097067)
371156332,40.0064027,116.3167014,3,,POINT (116.3167014 40.0064027)
371156340,40.0089278,116.3163724,3,,POINT (116.3163724 40.0089278)
371156376,40.0064188,116.3176896,4,,POINT (116.3176896 40.0064188)
371156382,40.0065743,116.3212417,3,,POINT (116.3212417 40.0065743)
371156463,39.9970584,116.3178163,3,,POINT (116.3178163 39.9970584)
371156465,39.994425,116.3181961,4,,POINT (116.3181961 39.994425)
371156466,39.9942717,116.316089,3,,POINT (116.316089 39.9942717)
371156467,39.9987335,116.3157305,4,,POINT (116.3157305 39.9987335)
371156930,39.9963161,116.3177845,4,,POINT (116.3177845 39.9963161)
371156933,39.9967959,116.3221798,3,,POINT (116.3221798 39.9967959)
371156965,39.9948336,116.3213074,4,,POINT (116.3213074 39.9948336)
371156966,39.9967545,116.3208322,3,,POINT (116.3208322 39.9967545)
371157143,40.0054625,116.3279533,4,,POINT (116.3279533 40.0054625)
371157144,40.0024372,116.3281108,3,,POINT (116.3281108 40.0024372)
380418504,39.9985445,116.3112505,3,,POINT (116.3112505 39.9985445)
380418800,40.0004019,116.3111785,4,,POINT (116.3111785 40.0004019)
380418838,39.9986084,116.3127872,4,,POINT (116.3127872 39.9986084)
380419120,40.0005396,116.3124274,3,,POINT (116.3124274 40.0005396)
380419121,40.0010802,116.3125271,4,,POINT (116.3125271 40.0010802)
380419123,40.0020529,116.3124938,4,,POINT (116.3124938 40.0020529)
380419127,40.0043962,116.3122763,4,,POINT (116.3122763 40.0043962)
380419142,40.0011149,116.3125748,3,,POINT (116.3125748 40.0011149)
380419150,40.0012955,116.3147588,4,,POINT (116.3147588 40.0012955)
380419175,40.0023542,116.3152404,3,,POINT (116.3152404 40.0023542)
380419281,39.9985484,116.3116547,3,,POINT (116.3116547 39.9985484)
380419321,40.0004242,116.3114315,4,,POINT (116.3114315 40.0004242)
380419322,40.0004828,116.3121766,3,,POINT (116.3121766 40.0004828)
380419872,40.0013013,116.3154192,3,,POINT (116.3154192 40.0013013)
380420422,40.0009286,116.315475,3,,POINT (116.315475 40.0009286)
380421561,40.0022437,116.3124785,4,,POINT (116.3124785 40.0022437)
380421628,40.0029717,116.3169332,3,,POINT (116.3169332 40.0029717)
380421659,40.0046474,116.3167986,4,,POINT (116.3167986 40.0046474)
380421660,40.0057489,116.3167467,4,,POINT (116.3167467 40.0057489)
380422185,40.0007009,116.3182093,3,,POINT (116.3182093 40.0007009)
380422527,40.0008912,116.3187941,3,,POINT (116.3187941 40.0008912)
380422646,39.9975417,116.3178368,3,,POINT (116.3178368 39.9975417)
380422648,39.9974427,116.3192745,3,,POINT (116.3192745 39.9974427)
380422691,39.9965673,116.3194247,3,,POINT (116.3194247 39.9965673)
380422714,39.9978115,116.3158019,3,,POINT (116.3158019 39.9978115)
380423315,39.9983733,116.3182453,3,,POINT (116.3182453 39.9983733)
380423674,39.9983345,116.319309,3,,POINT (116.319309 39.9983345)
380423856,39.9993585,116.3202132,1,,POINT (116.3202132 39.9993585)
380738748,40.0013677,116.3131913,3,,POINT (116.3131913 40.0013677)
380738806,40.0011127,116.3132659,3,,POINT (116.3132659 40.0011127)
380739645,39.9988853,116.3107884,3,,POINT (116.3107884 39.9988853)
380739646,40.0006889,116.3105294,1,,POINT (116.3105294 40.0006889)
380739709,39.9993338,116.3101348,4,,POINT (116.3101348 39.9993338)
380744565,39.9933529,116.321508,1,,POINT (116.321508 39.9933529)
380766297,40.0066806,116.324237,4,,POINT (116.324237 40.0066806)
529544155,40.005337,116.3242844,6,,POINT (116.3242844 40.005337)
529544190,39.9988995,116.329122,6,,POINT (116.329122 39.9988995)
529544191,40.0000752,116.3290667,3,,POINT (116.3290667 40.0000752)
529544192,39.9998992,116.328244,3,,POINT (116.328244 39.9998992)
529544520,39.9933456,116.3226948,3,,POINT (116.3226948 39.9933456)
537971602,39.9991365,116.3291146,3,,POINT (116.3291146 39.9991365)
537971644,39.9963517,116.3282432,3,,POINT (116.3282432 39.9963517)
593586552,39.99469,116.3202058,3,,POINT (116.3202058 39.99469)
930076778,40.0093375,116.3202182,4,,POINT (116.3202182 40.0093375)
930076789,40.0097381,116.3203005,3,,POINT (116.3203005 40.0097381)
930076792,40.0108097,116.3214811,3,,POINT (116.3214811 40.0108097)
930076797,40.0104526,116.3221091,3,,POINT (116.3221091 40.0104526)
930076803,40.0091213,116.3207599,4,,POINT (116.3207599 40.0091213)
930076809,40.0099593,116.3240554,4,,POINT (116.3240554 40.0099593)
930076810,40.0100162,116.3255847,3,,POINT (116.3255847 40.0100162)
930076818,40.010339,116.3228181,3,,POINT (116.3228181 40.010339)
930076821,40.0103809,116.3240279,4,,POINT (116.3240279 40.0103809)
930076823,40.0104175,116.3251297,3,,POINT (116.3251297 40.0104175)
930076849,40.0094862,116.319199,3,,POINT (116.319199 40.0094862)
930076854,40.0101522,116.3227333,3,,POINT (116.3227333 40.0101522)
930076856,40.0108626,116.323049,3,,POINT (116.323049 40.0108626)
930076860,40.0085897,116.318993,3,,POINT (116.318993 40.0085897)
930076868,40.0090144,116.3189638,3,,POINT (116.3189638 40.0090144)
930076921,40.0108225,116.3218618,3,,POINT (116.3218618 40.0108225)
930076935,40.0101371,116.3223208,3,,POINT (116.3223208 40.0101371)
930118872,40.0087054,116.3241227,3,,POINT (116.3241227 40.0087054)
930118874,40.008774,116.3257888,3,,POINT (116.3257888 40.008774)
930118876,40.0088224,116.3269494,4,,POINT (116.3269494 40.0088224)
930118878,40.0096929,116.3257285,3,,POINT (116.3257285 40.0096929)
931404156,40.0092158,116.3182576,3,,POINT (116.3182576 40.0092158)
931404158,40.0092323,116.3184856,4,,POINT (116.3184856 40.0092323)
937443577,40.0048619,116.3204758,4,,POINT (116.3204758 40.0048619)
937443579,40.0030057,116.317754,3,,POINT (116.317754 40.0030057)
937443581,40.0028262,116.3177709,4,,POINT (116.3177709 40.0028262)
937443582,40.0026694,116.3177876,4,,POINT (116.3177876 40.0026694)
937443584,40.0028997,116.3196341,4,,POINT (116.3196341 40.0028997)
937443585,40.0027028,116.3196441,3,,POINT (116.3196441 40.0027028)
937443588,40.0032538,116.3208104,3,,POINT (116.3208104 40.0032538)
937443590,40.0033624,116.3212638,3,,POINT (116.3212638 40.0033624)
937443591,40.0007425,116.3180331,3,,POINT (116.3180331 40.0007425)
937443592,40.0020781,116.3178969,3,,POINT (116.3178969 40.0020781)
937443593,40.0027023,116.318637,3,,POINT (116.318637 40.0027023)
937443595,40.0027259,116.3200407,3,,POINT (116.3200407 40.0027259)
937443596,40.0027342,116.3201941,3,,POINT (116.3201941 40.0027342)
937443599,40.0028666,116.3186288,4,,POINT (116.3186288 40.0028666)
937443603,40.0028784,116.3189797,3,,POINT (116.3189797 40.0028784)
937443621,40.003351,116.3208087,3,,POINT (116.3208087 40.003351)
937446518,40.0030153,116.3180763,3,,POINT (116.3180763 40.0030153)
937446560,40.0034326,116.3180346,3,,POINT (116.3180346 40.0034326)
937446561,40.003457,116.3185781,3,,POINT (116.3185781 40.003457)
937447906,40.0026654,116.3156374,4,,POINT (116.3156374 40.0026654)
937447907,40.0024568,116.3155976,3,,POINT (116.3155976 40.0024568)
937447908,40.0021951,116.3141213,3,,POINT (116.3141213 40.0021951)
937447910,40.002212,116.3135627,3,,POINT (116.3135627 40.002212)
937447914,40.0029106,116.3156584,3,,POINT (116.3156584 40.0029106)
937447919,40.0045797,116.3155204,4,,POINT (116.3155204 40.0045797)
937454340,40.0000442,116.3282346,3,,POINT (116.3282346 40.0000442)
937460781,40.0013037,116.3245034,5,,POINT (116.3245034 40.0013037)
937460782,40.0013259,116.3255649,3,,POINT (116.3255649 40.0013259)
937460783,40.0013663,116.3270616,3,,POINT (116.3270616 40.0013663)
937461938,39.9991833,116.3265252,3,,POINT (116.3265252 39.9991833)
937461939,39.9996227,116.3264919,3,,POINT (116.3264919 39.9996227)
937461941,39.9991807,116.3263068,3,,POINT (116.3263068 39.9991807)
937461942,39.9996155,116.32628,3,,POINT (116.32628 39.9996155)
937461944,39.9991844,116.3261065,3,,POINT (116.3261065 39.9991844)
937461945,39.9962814,116.3262893,5,,POINT (116.3262893 39.9962814)
937461946,39.9963005,116.3268223,5,,POINT (116.3268223 39.9963005)
937461947,39.9992068,116.3267057,3,,POINT (116.3267057 39.9992068)
937461954,40.0013968,116.328165,3,,POINT (116.328165 40.0013968)
937625112,40.0057908,116.3177304,3,,POINT (116.3177304 40.0057908)
937635055,40.0115205,116.3209215,3,,POINT (116.3209215 40.0115205)
937644146,40.0009992,116.321732,3,,POINT (116.321732 40.0009992)
937644147,40.0010982,116.3245159,3,,POINT (116.3245159 40.0010982)
937644149,40.0020527,116.3216009,3,,POINT (116.3216009 40.0020527)
937644150,40.00211,116.3244545,3,,POINT (116.3244545 40.00211)
941370093,40.0047771,116.3188383,3,,POINT (116.3188383 40.0047771)
941370094,40.004733,116.3182037,3,,POINT (116.3182037 40.004733)
941370096,40.0041262,116.3182505,3,,POINT (116.3182505 40.0041262)
941370097,40.0041541,116.3190054,3,,POINT (116.3190054 40.0041541)
941370109,40.0035997,116.3195999,3,,POINT (116.3195999 40.0035997)
941370117,40.0045547,116.3189497,3,,POINT (116.3189497 40.0045547)
941375120,40.002656,116.31864,3,,POINT (116.31864 40.002656)
941379442,40.0023413,116.3251843,4,,POINT (116.3251843 40.0023413)
941379443,40.0023539,116.3255687,3,,POINT (116.3255687 40.0023539)
941379445,40.0023908,116.3266935,3,,POINT (116.3266935 40.0023908)
941379454,40.0035169,116.3252806,3,,POINT (116.3252806 40.0035169)
941379461,40.0013572,116.3267441,3,,POINT (116.3267441 40.0013572)
942362873,40.0013687,116.32169,3,,POINT (116.32169 40.0013687)
942362885,40.0013307,116.3208974,3,,POINT (116.3208974 40.0013307)
943362689,39.9982932,116.3219414,4,,POINT (116.3219414 39.9982932)
