element_type,osmid,access,amenity,bicycle_parking,geometry,nodes,parking
node,8794836189,yes,bicycle_parking,building,POINT (103.9266841 30.7522229),,
node,8794836190,,bicycle_parking,building,POINT (103.9268577 30.7524527),,
way,787912708,,bicycle_parking,,"POLYGON ((103.9253247 30.7487147, 103.9257745 30.7484344, 103.9257293 30.7483848, 103.9252845 30.7486668, 103.9253247 30.7487147))","[7366368079, 7366368081, 7366368082, 7366368080, 7366368079]",surface
way,787912709,,bicycle_parking,,"POLYGON ((103.924626 30.7491524, 103.9245901 30.7491076, 103.9241593 30.7493799, 103.9241219 30.749404, 103.9241564 30.7494467, 103.924626 30.7491524))","[7366368083, 7366368084, 6443127389, 7366418185, 7366368074, 7366368083]",
way,797290190,,bicycle_parking,,"POLYGON ((103.9293688 30.7537775, 103.9293592 30.7538264, 103.9295187 30.7538495, 103.9295283 30.7538006, 103.9294715 30.7537924, 103.9293688 30.7537775))","[7456698991, 7456698992, 7456698993, 7456698999, 7456698990, 7456698991]",
way,797290191,,bicycle_parking,,"POLYGON ((103.9294252 30.7535138, 103.9294328 30.7534719, 103.9295939 30.7534936, 103.9295865 30.7535342, 103.9294252 30.7535138))","[7456698994, 7456698995, 7456698996, 7456698997, 7456698994]",
way,988857940,,bicycle_parking,,"POLYGON ((103.9231321 30.7464945, 103.9230777 30.746434, 103.9230882 30.7464265, 103.9230755 30.7462623, 103.9237201 30.745977, 103.9237529 30.7460351, 103.9231378 30.7463074, 103.9231321 30.7464945))","[7090253346, 9139793266, 7090253348, 6038544040, 6038544041, 7090253347, 2271614661, 7090253346]",
way,988857941,,bicycle_parking,,"POLYGON ((103.9227537 30.746653, 103.9228186 30.7467183, 103.9227936 30.74673, 103.9225699 30.7466582, 103.9220167 30.7470301, 103.9219867 30.7470006, 103.9225355 30.7466044, 103.9227311 30.7466673, 103.9227537 30.746653))","[6038544039, 9139793267, 7090253350, 2271614730, 2271614764, 9139793268, 6038544038, 9139793269, 6038544039]",
way,988865511,,bicycle_parking,,"POLYGON ((103.9258351 30.7483185, 103.9258805 30.7483718, 103.9263339 30.7480789, 103.9265404 30.7483302, 103.9266263 30.7482828, 103.9263698 30.7479806, 103.9258351 30.7483185))","[6443125781, 9139806079, 9139806080, 9139806081, 9139806082, 6443125780, 6443125781]",
way,988865513,,bicycle_parking,,"POLYGON ((103.9240673 30.7494407, 103.9241057 30.7494841, 103.923691 30.7497497, 103.9238943 30.750003, 103.9238491 30.7500291, 103.9235965 30.7497362, 103.9240673 30.7494407))","[6443127392, 9139806088, 9139806089, 9139806090, 9139806091, 5265110666, 6443127392]",
way,991512814,,bicycle_parking,,"POLYGON ((103.9218934 30.7549499, 103.9219387 30.7549198, 103.9220894 30.7550873, 103.9220441 30.7551174, 103.9218934 30.7549499))","[9160823853, 9160823854, 9160823855, 9160823856, 9160823853]",
way,1065537685,,bicycle_parking,,"POLYGON ((103.9200857 30.751405, 103.9196544 30.7516777, 103.9196428 30.7516658, 103.9200757 30.7513911, 103.9200857 30.751405))","[9785588396, 9785588399, 9785588398, 9785588397, 9785588396]",
