element_type,osmid,nodes,building,building:levels,name,name:zh,geometry,source,name:en,amenity,leisure,sport,alt_name,smoking,cuisine,diet:halal,office,shelter_type,layer,ref,height,museum,operator,operator:type,tourism,building:min_level,construction,ways,type,alt_name:en,alt_name:zh
way,217855207,"[2271615948, 2271615886, 2271615892, 2271615866, 2271615862, 6235289926, 6235289927, 2271615934, 2271615948]",dormitory,6,学知苑10栋,学知苑10栋,"POLYGON ((103.9308061 30.7576231, 103.9311727 30.7572552, 103.9317917 30.7572875, 103.931806 30.7571425, 103.9311327 30.7571016, 103.9310638 30.7571752, 103.9310318 30.7571601, 103.9306731 30.7575321, 103.9308061 30.7576231))",,,,,,,,,,,,,,,,,,,,,,,,
way,217855208,"[2271615898, 2271615872, 2271615873, 2271615899, 2271615898]",dormitory,6,学知苑11栋,学知苑11栋,"POLYGON ((103.9320149 30.7573205, 103.9320288 30.7571677, 103.9326608 30.7572101, 103.9326469 30.7573629, 103.9320149 30.7573205))",,,,,,,,,,,,,,,,,,,,,,,,
way,217855209,"[2271615837, 2271615820, 2271615827, 2271615840, 2271615837]",dormitory,6,学知苑12栋,学知苑12栋,"POLYGON ((103.9321366 30.7569061, 103.9321491 30.7567627, 103.9327845 30.7568036, 103.932772 30.756947, 103.9321366 30.7569061))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855210,"[2271615780, 2271615767, 2271615763, 2271615773, 2271615780]",dormitory,6,学知苑13栋,学知苑13栋,"POLYGON ((103.9321432 30.7565442, 103.9321212 30.7563957, 103.9327379 30.7563284, 103.9327599 30.7564769, 103.9321432 30.7565442))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855211,"[2271615734, 2271615718, 2271615704, 2271615713, 2271615734]",dormitory,6,学知苑14栋,学知苑14栋,"POLYGON ((103.9320928 30.7560873, 103.9320378 30.7559524, 103.9326307 30.7557739, 103.9326857 30.7559088, 103.9320928 30.7560873))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855212,"[2271615836, 6235289935, 6235289934, 6235289933, 6235289932, 2271615830, 6235289931, 6235289930, 2271615758, 6235289929, 6235289928, 2271615724, 2271615750, 2271615765, 2271615813, 6235289936, 2271615814, 2271615836]",dormitory,6,学知苑15栋,学知苑15栋,"POLYGON ((103.9319976 30.7569128, 103.9314714 30.7568828, 103.9314756 30.7568516, 103.9312981 30.7568408, 103.9312948 30.7568045, 103.9312612 30.7568019, 103.9311932 30.7564104, 103.9312253 30.7564082, 103.9312126 30.7562597, 103.9312562 30.7562496, 103.9312512 30.7562174, 103.9318788 30.7560252, 103.9319355 30.7561576, 103.9313724 30.75634, 103.9314254 30.7567259, 103.931485 30.7567333, 103.9320093 30.7567665, 103.9319976 30.7569128))",,,,,,,,,,,,,,,,,,,,,,,,
way,217855213,"[2271615844, 2271615829, 2271615834, 2271615847, 2271615844]",dormitory,,学知苑16栋,学知苑16栋,"POLYGON ((103.932949 30.7569478, 103.9329621 30.7568057, 103.9335862 30.7568482, 103.9335731 30.7569903, 103.932949 30.7569478))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855214,"[2271615784, 2271615775, 2271615774, 2271615786, 2271615784]",dormitory,,学知苑17栋,学知苑17栋,"POLYGON ((103.9330479 30.7565513, 103.9330444 30.7564077, 103.9336792 30.7563961, 103.9336827 30.7565398, 103.9330479 30.7565513))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855215,"[2271615749, 2271615730, 2271615717, 2271615731, 2271615749]",dormitory,,学知苑18栋,学知苑18栋,"POLYGON ((103.9330361 30.7561966, 103.9329959 30.7560588, 103.9336094 30.7559267, 103.9336497 30.7560645, 103.9330361 30.7561966))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855216,"[2271615710, 2271615697, 2271615676, 2271615691, 2271615710]",dormitory,,学知苑19栋,学知苑19栋,"POLYGON ((103.9328792 30.7558485, 103.9328241 30.755717, 103.9334213 30.7555322, 103.9334764 30.7556637, 103.9328792 30.7558485))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855217,"[2271616221, 2271616196, 7808583536, 2271616162, 2271616125, 2271616107, 2271616085, 2271616144, 2271616164, 2271616180, 2271616172, 2271616200, 2271616221]",dormitory,6,学知苑21栋,学知苑21栋,"POLYGON ((103.9296729 30.759197, 103.9295068 30.759086, 103.929346 30.758969, 103.9292298 30.7588691, 103.9291218 30.7587492, 103.9290418 30.7586562, 103.929173 30.7585713, 103.9294029 30.7588185, 103.9293459 30.7588546, 103.92944 30.7589381, 103.9294839 30.7588965, 103.9297811 30.7590801, 103.9296729 30.759197))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855218,"[2271615954, 2271615904, 2271615921, 2271615981, 2271615950, 2271615929, 2271615954]",apartments,6,学知苑1栋,学知苑1栋,"POLYGON ((103.9298908 30.7576396, 103.9301119 30.7573755, 103.9302757 30.757474, 103.9299809 30.7578329, 103.9294201 30.7576185, 103.9294835 30.7574883, 103.9298908 30.7576396))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855219,"[2271616121, 2271616132, 8213255366, 7808583493, 2271616069, 2271616046, 4466397015, 2271616011, 2271616004, 7808583535, 2271616035, 2271616075, 8213255358, 2271616121]",dormitory,6,学知苑20栋,学知苑20栋,"POLYGON ((103.9296841 30.7587308, 103.9298553 30.7587499, 103.9298694 30.7586666, 103.9298757 30.7586296, 103.9299003 30.7584464, 103.929931 30.7583607, 103.929981 30.7582558, 103.93008 30.7580509, 103.9299244 30.7579982, 103.9299007 30.7580368, 103.9297765 30.7582723, 103.9297176 30.7584724, 103.9296993 30.7586137, 103.9296841 30.7587308))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855220,"[2271615870, 2271615849, 2271615854, 2271615879, 2271615870]",apartments,6,学知苑2栋,学知苑2栋,"POLYGON ((103.9299712 30.7571716, 103.9299812 30.7570196, 103.9306192 30.7570505, 103.9306092 30.7572026, 103.9299712 30.7571716))",,,,,,,,,,,,,,,,,,,,,,,,
way,217855221,"[2271615869, 2271615846, 5736651289, 2271615848, 2271615876, 2271615869]",apartments,6,学知苑3栋,学知苑3栋,"POLYGON ((103.9295305 30.7571593, 103.9295429 30.7569937, 103.9298689 30.7570116, 103.9299274 30.7570148, 103.9299151 30.7571804, 103.9295305 30.7571593))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855222,"[2271616039, 2271615978, 2271615999, 2271616014, 2271616000, 8213255389, 2271616048, 2271616039]",dormitory,6,学知苑22栋,学知苑22栋,"POLYGON ((103.9289776 30.7583406, 103.9292507 30.7578052, 103.9297407 30.7579898, 103.9296728 30.758123, 103.9293398 30.7579975, 103.9292219 30.7582284, 103.9291345 30.7583997, 103.9289776 30.7583406))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855223,"[2271615818, 2271615796, 2271615795, 6235289915, 6235289916, 2271615772, 2271615777, 2271615802, 6235289917, 2271615801, 6235289918, 2271615817, 6235289919, 6235289920, 2271615818]",dormitory,6,学知苑4栋,学知苑4栋,"POLYGON ((103.9300839 30.7567891, 103.9300936 30.756636, 103.9295568 30.7566037, 103.9295538 30.7566239, 103.9294736 30.7566213, 103.9293375 30.7564254, 103.9291898 30.756495, 103.9293045 30.7566701, 103.9293446 30.7566535, 103.9293912 30.7567216, 103.929388 30.7567443, 103.9294094 30.7567459, 103.9294232 30.7567731, 103.9294744 30.7567515, 103.9300839 30.7567891))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855224,"[2271615822, 2271615800, 2271615808, 2271615826, 2271615822]",dormitory,6,学知苑5栋,学知苑5栋,"POLYGON ((103.9302571 30.7567971, 103.9302708 30.7566466, 103.9309103 30.7566898, 103.9308966 30.7568402, 103.9302571 30.7567971))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855225,"[2271615753, 2271615739, 2271615776, 2271615768, 2271615732, 6235289912, 6235289913, 2271615716, 6235289914, 2271615735, 2271615753]",dormitory,6,学知苑6栋,学知苑6栋,"POLYGON ((103.9301747 30.7562805, 103.9305341 30.756175, 103.9307735 30.7564929, 103.9309278 30.7564178, 103.9307271 30.7561415, 103.9306917 30.7561548, 103.9306313 30.7560705, 103.9305824 30.7560849, 103.930537 30.7560156, 103.9301122 30.756141, 103.9301747 30.7562805))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855226,"[2271615771, 2271615759, 2271615742, 2271615760, 2271615771]",dormitory,6,学知苑7栋,学知苑7栋,"POLYGON ((103.9296533 30.7564096, 103.9295962 30.7562738, 103.9299478 30.7561646, 103.9300049 30.7563005, 103.9296533 30.7564096))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855227,"[2271615956, 2271615933, 2271615937, 2271615955, 2271615956]",dormitory,6,学知苑8栋,学知苑8栋,"POLYGON ((103.9317426 30.7576283, 103.9317557 30.7574934, 103.9321419 30.7575136, 103.932121 30.7576486, 103.9317426 30.7576283))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855228,"[2271616017, 2271616031, 2271615942, 2271615931, 2271616006, 2271615998, 2271616017]",dormitory,6,学知苑9栋,学知苑9栋,"POLYGON ((103.9317733 30.7580931, 103.9322029 30.7582601, 103.9325689 30.7575645, 103.9324006 30.7574991, 103.932107 30.7580568, 103.9318459 30.7579553, 103.9317733 30.7580931))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855231,"[8791837738, 8791837774, 8791837739, 8791837740, 8791837769, 8791837741, 8791837770, 8791837742, 8791837771, 8791837743, 8791837772, 8791837744, 8794835931, 8794835930, 8794835932, 8794835929, 2271615426, 2271615422, 8794835927, 8794835926, 8794836051, 8794835928, 8794835925, 2271615274, 2271615267, 8794835923, 8794835922, 8794835924, 8794835921, 8791837745, 8791837746, 8791837777, 8791837776, 5261438371, 8791837747, 8791837748, 8791837749, 8794835917, 8794797616, 8791837750, 8791837775, 8791837751, 8794835936, 8794835935, 8794835934, 8791837752, 8791837778, 5260608575, 8791837759, 8791837738]",stadium,2,综合训练馆,综合训练馆,"POLYGON ((103.9334525 30.7535447, 103.9335008 30.7535491, 103.9335639 30.7535522, 103.9335579 30.7536439, 103.9335631 30.7536824, 103.9336129 30.7537177, 103.9336644 30.7537388, 103.9337856 30.7537842, 103.9338925 30.7537976, 103.934018 30.7537952, 103.9341535 30.753767, 103.9341635 30.7537548, 103.9341664 30.753744, 103.9343016 30.7537558, 103.934323 30.7536137, 103.9342044 30.753604, 103.9342247 30.7535291, 103.9343423 30.7535285, 103.9343947 30.753216, 103.934473 30.7532252, 103.9344901 30.7531196, 103.9345163 30.7529578, 103.9344393 30.7529504, 103.9344905 30.7526447, 103.9343775 30.7525985, 103.9343846 30.7525371, 103.9344994 30.7525496, 103.9345161 30.7524067, 103.9344012 30.7523937, 103.9344052 30.7523595, 103.9342917 30.7523025, 103.9342167 30.7522667, 103.9341354 30.7522442, 103.9341155 30.7522431, 103.9340454 30.7522392, 103.933982 30.752243, 103.9338847 30.7522594, 103.9338089 30.752282, 103.9337927 30.7522924, 103.9337833 30.7523062, 103.9337646 30.752418, 103.9337189 30.752411, 103.9336718 30.7524049, 103.9336529 30.752405, 103.9336403 30.7524163, 103.9336347 30.752429, 103.9335421 30.7529448, 103.9335354 30.7529894, 103.9335286 30.7530347, 103.9334525 30.7535447))",Bing,Multi-Sports Gym,,,,,,,,,,,,,,,,,,,,,,
way,217855232,"[2271615621, 2271615610, 2271615600, 2271615611, 5481830975, 2271615621]",dormitory,,博翰苑3栋,博翰苑3栋,"POLYGON ((103.9328957 30.7549497, 103.9327632 30.7548528, 103.9328663 30.7547569, 103.9329913 30.75485, 103.9329723 30.7548698, 103.9328957 30.7549497))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855233,"[2271615576, 2271615585, 2271615624, 2271615616, 2271615576]",dormitory,,博翰苑3栋,博翰苑3栋,"POLYGON ((103.93332 30.7545452, 103.9334075 30.7546132, 103.9330784 30.7549498, 103.9330034 30.7548925, 103.93332 30.7545452))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855234,"[2271615548, 2271615508, 2271615514, 2271615550, 2271615548]",dormitory,,博翰苑2栋,博翰苑2栋,"POLYGON ((103.9330164 30.7542549, 103.9331812 30.7539961, 103.9333018 30.7540529, 103.933137 30.7543116, 103.9330164 30.7542549))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855239,"[2271615597, 2271615590, 2271615555, 2271615564, 2271615597]",dormitory,,博翰苑6栋,博翰苑6栋,"POLYGON ((103.9339265 30.7547266, 103.9338307 30.7546693, 103.9341265 30.7543471, 103.9342348 30.7544258, 103.9339265 30.7547266))",Bing,,,,,,,,,,,,,,,,,,,,,,,
way,217855243,"[2271615594, 2271615557, 2271615563, 2271615603, 2271615594]",dormitory,,博翰苑1栋,博翰苑1栋,"POLYGON ((103.9325824 30.7546949, 103.9329163 30.7543472, 103.933008 30.7544152, 103.9326746 30.7547768, 103.9325824 30.7546949))",Bing,,,,,,,,,,,,,,,,,,,,,,,
