element_type,osmid,amenity,name,name:zh,geometry,nodes,area,access,operator,parking,ways,type
node,2271614410,parking,主楼停车场,主楼停车场,POINT (103.9247609 30.7486013),,,,,,,
way,544139937,parking,,,"POLYGON ((103.9258464 30.7468985, 103.925959 30.7469057, 103.9260352 30.7468865, 103.9261004 30.7468686, 103.9262156 30.7468316, 103.92627 30.7469049, 103.926307 30.7469514, 103.9262834 30.7469758, 103.9263672 30.7471071, 103.9260837 30.7472295, 103.9260273 30.747222, 103.9258074 30.7470883, 103.9258464 30.7468985))","[9139793316, 9139805317, 9139805318, 9139805319, 9139805320, 5261502072, 9139805321, 9139805322, 9139805323, 6443127443, 6443127451, 6443127453, 9139793316]",yes,,,,,
way,544167065,parking,科研楼停车场,科研楼停车场,"POLYGON ((103.9280827 30.7559013, 103.927713 30.7554763, 103.9277878 30.7550894, 103.927461 30.7550459, 103.9274094 30.7550377, 103.9274584 30.7547206, 103.9278844 30.7547691, 103.9278477 30.7550308, 103.927924 30.7550397, 103.9278723 30.7553268, 103.9286513 30.7554205, 103.9287158 30.7554283, 103.928734 30.7555096, 103.9280827 30.7559013))","[5260306605, 5260306600, 5260306603, 7736100146, 5260306602, 5260312672, 5260312673, 5260312674, 7736100147, 5260312676, 7878394893, 5260256740, 5260306606, 5260306605]",,,,,,
way,544278528,parking,,,"POLYGON ((103.9256854 30.7456891, 103.9257061 30.7456577, 103.9256813 30.7455157, 103.9256557 30.7454438, 103.9256154 30.7454222, 103.925488 30.7454706, 103.9246458 30.7457806, 103.9244188 30.7458601, 103.9243212 30.7459142, 103.9243269 30.7460573, 103.9244219 30.7460599, 103.9246333 30.7461827, 103.9246297 30.7462286, 103.9248439 30.7463589, 103.924847 30.7464121, 103.92518 30.7463644, 103.92518 30.7463121, 103.9251803 30.7462447, 103.9251961 30.7461361, 103.92524 30.7460306, 103.9253106 30.7459356, 103.9253932 30.7458531, 103.9254579 30.7457899, 103.9255601 30.7457391, 103.9256854 30.7456891))","[9139793275, 9139793310, 9139793309, 9139793308, 9139793276, 9139793277, 9139793278, 9139793279, 9139793280, 5261502078, 9139793290, 5261502080, 5261502081, 5261502082, 5261502083, 9139793281, 9139793282, 9139793283, 9139793284, 9139793285, 9139793286, 9139793287, 9139793288, 9139793289, 9139793275]",,,,,,
way,544278532,parking,,,"POLYGON ((103.9290468 30.7449511, 103.9287216 30.7443083, 103.928875 30.744251, 103.9292 30.7448939, 103.9290468 30.7449511))","[5261502118, 5261502119, 5261502120, 5261502221, 5261502118]",,,,,,
way,544278533,parking,,,"POLYGON ((103.9294414 30.7448018, 103.9295691 30.7447544, 103.9292891 30.7441979, 103.9291613 30.7442454, 103.9294414 30.7448018))","[5261502222, 5261502223, 5261502224, 5261502225, 5261502222]",,,,,,
way,544688584,parking,,,"POLYGON ((103.9239994 30.7505613, 103.9239509 30.7504965, 103.9244265 30.7501925, 103.924456 30.7502264, 103.9246237 30.7501191, 103.924645 30.7501441, 103.9239994 30.7505613))","[5265110668, 5265110669, 5265110670, 5265110677, 7090216282, 7090221385, 5265110668]",,,,,,
way,550365566,parking,,,"POLYGON ((103.9346362 30.7543484, 103.9343757 30.7543483, 103.9343792 30.754108, 103.9344785 30.7539399, 103.9346448 30.7540176, 103.9346362 30.7543484))","[5315834721, 5315834722, 5315834723, 5315834724, 5259972564, 5315834721]",,,,,,
way,574644719,parking,品学楼停车场,品学楼停车场,"POLYGON ((103.9319697 30.7540155, 103.932045 30.7540255, 103.9321339 30.7540373, 103.9321554 30.753906, 103.932268 30.7539129, 103.9322922 30.7537976, 103.9323861 30.7538091, 103.9324578 30.7535299, 103.9324641 30.753479, 103.9323816 30.7534239, 103.9322906 30.7534081, 103.9321931 30.7534196, 103.9321244 30.7534498, 103.9320579 30.7534871, 103.9319697 30.7540155))","[5515466553, 5515466551, 5515466544, 5515466543, 8791837725, 5515466541, 5515466540, 8791837732, 8791837726, 8791837733, 8791837727, 8791837728, 8791837729, 8791837730, 5515466553]",,,,,,
way,584727574,parking,立人楼停车场,立人楼停车场,"POLYGON ((103.9307709 30.7507549, 103.9311038 30.7507867, 103.931335 30.7508055, 103.931339 30.7507588, 103.9313513 30.7506957, 103.931365 30.750618, 103.9313988 30.7505245, 103.9308088 30.7504519, 103.9307709 30.7507549))","[6447660678, 5588787923, 7878394917, 7878394918, 9139841704, 7878394916, 6447660675, 5588787926, 6447660678]",,,,,,
