element_type,osmid,amenity,cuisine,name,name:zh,geometry,nodes,building,building:levels,diet:halal
node,5751791011,restaurant,chinese;sichuan,桃园餐厅,桃园餐厅,POINT (103.9265646 30.746008),,,,
node,6403469798,restaurant,noodle,兰州拉面,,POINT (103.9274429 30.7596014),,,,
node,6759019377,restaurant,,重庆鸡公煲,,POINT (103.9275793 30.7598292),,,,
node,6759019378,restaurant,,亮亮麻辣烫,,POINT (103.9275155 30.7596742),,,,
node,7457241339,restaurant,,朝阳餐厅,,POINT (103.9316692 30.7584813),,,,
node,7457241340,restaurant,,银桦餐厅,,POINT (103.9282826 30.7572166),,,,
node,7457241341,restaurant,,紫荆餐厅,,POINT (103.9285753 30.7571328),,,,
node,7457241342,restaurant,,学子餐厅,,POINT (103.9318643 30.7554803),,,,
node,7457241343,restaurant,,思源餐厅,,POINT (103.9315797 30.7555676),,,,
node,7457241344,restaurant,,家园餐厅,,POINT (103.9312748 30.7557528),,,,
node,7953414213,restaurant,,芙蓉餐厅,,POINT (103.9287693 30.7569201),,,,
way,544136506,restaurant,,春晖苑,春晖苑,"POLYGON ((103.9312166 30.7589387, 103.9313214 30.7587358, 103.9315341 30.758323, 103.9320325 30.7585127, 103.9318198 30.7589254, 103.9317149 30.7591285, 103.9312166 30.7589387))","[5259972589, 7913199880, 5259972590, 5259972591, 7913199881, 5259972592, 5259972589]",yes,1,
way,574644721,restaurant,,思学苑,思学苑,"POLYGON ((103.9309261 30.7557973, 103.9309833 30.7557609, 103.9310192 30.7557381, 103.9314936 30.7554367, 103.9315034 30.7554481, 103.9319591 30.7551575, 103.9320874 30.7553061, 103.9321167 30.7552874, 103.932137 30.7553109, 103.9322571 30.7552713, 103.9324326 30.7556695, 103.9319657 30.7558277, 103.9319437 30.7557784, 103.9318474 30.7558088, 103.9318243 30.7557606, 103.9312866 30.755944, 103.931257 30.7558874, 103.9311847 30.7559339, 103.9310956 30.7559913, 103.931045 30.7559333, 103.9309445 30.7558184, 103.9309261 30.7557973))","[8794835966, 8794836090, 8794835967, 8794835953, 8794835973, 8794835954, 8794835955, 8794835956, 8794835957, 8794835958, 8794835959, 8794835960, 8794835961, 8794835962, 8794835963, 8794835964, 8794835965, 5588803128, 5515466575, 5588803125, 8794835974, 8794835966]",yes,,
way,596973487,restaurant,,银杏苑,银杏苑,"POLYGON ((103.9285572 30.7568087, 103.9286331 30.7567837, 103.9288165 30.7566742, 103.9288559 30.7566506, 103.9288951 30.7567391, 103.9289198 30.7567952, 103.9289825 30.7569374, 103.9290322 30.75705, 103.9290787 30.7571554, 103.9291564 30.7573316, 103.9287855 30.7573171, 103.9286914 30.7573484, 103.9286697 30.7573001, 103.92829 30.7574265, 103.9283108 30.7574727, 103.9282312 30.7574992, 103.9281486 30.757316, 103.9280689 30.7573427, 103.9279468 30.7570702, 103.9285798 30.7568594, 103.9285572 30.7568087))","[5685329261, 5685329262, 8794836153, 5685329290, 8794836128, 8794836127, 8794836117, 8794836193, 8794836116, 5685329264, 5685329266, 5685329267, 5685329268, 5685329269, 5685329270, 5685329271, 5685329272, 5685329273, 5685329295, 5685329274, 5685329261]",yes,2,
way,596973492,restaurant,chinese,西北餐厅,西北餐厅,"POLYGON ((103.9280689 30.7573427, 103.9280248 30.7573574, 103.9280311 30.7573803, 103.9280319 30.7573974, 103.9280252 30.7574174, 103.9280099 30.7574562, 103.92798 30.757489, 103.9279419 30.7575159, 103.9278958 30.7575311, 103.9278465 30.757533, 103.9277927 30.7575235, 103.9277551 30.757507, 103.927732 30.7574883, 103.9277177 30.7574669, 103.9276807 30.7574796, 103.927675 30.7574678, 103.9275481 30.7572048, 103.9279468 30.7570702, 103.9280689 30.7573427))","[5685329273, 5685329276, 8794836095, 5685329277, 5685329278, 8794836099, 8794836098, 5685329279, 5685329280, 5685329281, 5685329282, 8794836094, 8794836093, 5685329283, 5685329286, 8794836092, 5685329287, 5685329295, 5685329273]",yes,1,yes
