element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,amenity,ways,type
way,632711504,"[5973765324, 5973765325, 5973765326, 5973765327, 5973765328, 5973765329, 5973765330, 5973765331, 5973765332, 5973765333, 5973765334, 5973765335, 5973765324]",university,行政楼,行政楼,行政楼,行政樓,"POLYGON ((116.4239801 39.9782195, 116.4239839 39.9780654, 116.424238 39.9780625, 116.4242456 39.9778736, 116.4239991 39.9778649, 116.4239953 39.9776817, 116.4242532 39.9776817, 116.4242532 39.9775219, 116.4240105 39.9775248, 116.4240105 39.9773824, 116.4244429 39.9773824, 116.4244277 39.9782166, 116.4239801 39.9782195))",,,
way,779016646,"[7273640686, 7273640687, 7273640688, 7273640689, 7273640690, 7273640691, 7273640686]",university,国际教育大厦,国际教育大厦,国际教育大厦,國際教育大廈,"POLYGON ((116.4184817 39.9810228, 116.4190468 39.9810228, 116.4190468 39.9815524, 116.4198721 39.9815524, 116.4198599 39.9818047, 116.4184817 39.9818016, 116.4184817 39.9810228))",,,
way,779016647,"[7273640692, 7273640693, 7273640694, 7273640695, 7273640692]",dormitory,汇康公寓,汇康公寓,汇康公寓,匯康公寓,"POLYGON ((116.420143 39.9792927, 116.4201418 39.9794173, 116.4211663 39.9794226, 116.4211674 39.9792981, 116.420143 39.9792927))",,,
way,779016648,"[7273640696, 7273640697, 7273640698, 7273640699, 7273640696]",university,,,,,"POLYGON ((116.4238318 39.9805337, 116.4238318 39.9802502, 116.4244782 39.9802595, 116.4244823 39.9805399, 116.4238318 39.9805337))",,,
way,779016649,"[7273640700, 7273640701, 7273640702, 7273640703, 7273640700]",dormitory,,,,,"POLYGON ((116.4201378 39.9796811, 116.4211357 39.9796838, 116.4211351 39.9798037, 116.4201373 39.979801, 116.4201378 39.9796811))",,,
way,779016650,"[7273640704, 7273640705, 7273640706, 7273640707, 7273640704]",dormitory,,,,,"POLYGON ((116.4201408 39.9800418, 116.4211469 39.9800552, 116.4211439 39.9801875, 116.4201378 39.9801743, 116.4201408 39.9800418))",,,
way,779016651,"[7273640708, 7273640709, 7273640710, 7273640711, 7273640708]",dormitory,,,,,"POLYGON ((116.4201712 39.9804197, 116.4211566 39.9804341, 116.4211529 39.9805838, 116.4201674 39.9805696, 116.4201712 39.9804197))",,,
way,779016652,"[7273640712, 7273640713, 7273640714, 7273640715, 7273640712]",yes,对外经济贸易大学图书馆,,,,"POLYGON ((116.4200251 39.9763085, 116.4205871 39.9763209, 116.4205545 39.9771889, 116.4199924 39.9771765, 116.4200251 39.9763085))",library,,
way,779016653,"[7273640716, 7273640717, 7273640718, 7273640719, 7273640716]",university,逸夫科研楼,逸夫科研楼,逸夫科研楼,逸夫科研樓,"POLYGON ((116.4239063 39.9784605, 116.423902 39.979076, 116.4244011 39.9790781, 116.4244056 39.9784626, 116.4239063 39.9784605))",,,
way,779016654,"[7273640720, 7273640721, 7273640722, 7273640723, 7273640724, 7273640725, 7273640720]",university,宁远楼,宁远楼,宁远楼,寧遠樓,"POLYGON ((116.4236695 39.9769414, 116.4236973 39.9764904, 116.4233948 39.9764795, 116.4234074 39.9762744, 116.4242941 39.9763064, 116.4242538 39.9769625, 116.4236695 39.9769414))",,,
way,779016655,"[7273640726, 7273640727, 7273640728, 7273640729, 7273640726]",university,诚信楼,诚信楼,诚信楼,誠信樓,"POLYGON ((116.4224486 39.9779106, 116.4224486 39.9782595, 116.4237089 39.9782658, 116.4237414 39.9778919, 116.4224486 39.9779106))",,,
