element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,addr:city,addr:postcode,leisure,sport,wikidata,wikimedia_commons,wikipedia,building:levels,amenity,shop,brand,brand:en,brand:wikidata,brand:zh,name:en,layer
way,264419927,"[2701032702, 2701032703, 2701032705, 2701032706, 2701032709, 2701032710, 2701032711, 5257127705, 2701032712, 2701032713, 2701032702]",commercial,科大天工大厦,科大天工大厦,科大天工大厦,科大天工大廈,"POLYGON ((116.3485875 39.9865259, 116.3495269 39.9865407, 116.3495103 39.9871586, 116.3489416 39.9871497, 116.3489298 39.9875907, 116.3482772 39.9875804, 116.3482822 39.9873939, 116.3483921 39.9873956, 116.3483985 39.9871599, 116.3485704 39.9871626, 116.3485875 39.9865259))",,,,,,,,,,,,,,,,
way,264420614,"[2701038261, 2701038263, 5257181232, 2701038265, 5257181233, 5257181279, 5257181280, 5257181281, 5257181282, 5257182972, 2701038267, 2701038269, 2701038271, 5257181242, 5257181243, 2701038274, 2701038276, 2701038278, 2701038280, 2701038281, 2701038283, 5257181244, 5257181245, 2701038261]",university,主楼,主楼,主楼,主樓,"POLYGON ((116.3492325 39.9894342, 116.3492401 39.9892549, 116.3493436 39.9892575, 116.3495698 39.9892626, 116.349578 39.9890467, 116.3495825 39.9888973, 116.3495267 39.9888963, 116.3495295 39.9888007, 116.3495919 39.9888018, 116.3495957 39.9886763, 116.3496088 39.9883728, 116.3493013 39.988365, 116.3493097 39.9881708, 116.3495079 39.9881758, 116.3495062 39.9882141, 116.3500173 39.988227, 116.3500098 39.9884016, 116.3498561 39.9883977, 116.3498179 39.9892829, 116.3499618 39.9892866, 116.3499558 39.9894244, 116.3494068 39.9894106, 116.3494056 39.9894385, 116.3492325 39.9894342))",,,,,,,,,,,,,,,,
way,264421511,"[2701042509, 2701042510, 5257055073, 5257055074, 2701042511, 5257055075, 5257055076, 2701042512, 2701042509]",yes,北京科技大学体育館,,,,"POLYGON ((116.3554269 39.9897174, 116.3554893 39.9883317, 116.3556351 39.9883355, 116.3556408 39.9882087, 116.3563632 39.9882277, 116.3563555 39.9883992, 116.3565703 39.9884049, 116.3565099 39.989746, 116.3554269 39.9897174))",北京市,100083,sports_centre,basketball;swimming;golf;table_tennis;badminton;jodo,Q2461201,Category:Beijing Science and Technology University Gymnasium,en:Beijing Science and Technology University Gymnasium,,,,,,,,,
way,292736298,"[2962668315, 2962668316, 2962668317, 4714342404, 5257163549, 5257163550, 5257163551, 4714342410, 2962668318, 5257163548, 2962668319, 4714342416, 4714342415, 4714342417, 2962668321, 2962668322, 4714342402, 4714342401, 2962668315]",school,北京科技大学逸夫楼,北京科技大学逸夫楼,北京科技大学逸夫楼,北京科技大學逸夫樓,"POLYGON ((116.3496941 39.990706, 116.349714 39.9900741, 116.3503247 39.9900854, 116.3503235 39.9901254, 116.3503546 39.9901436, 116.3503711 39.9901746, 116.3503658 39.9902185, 116.3503421 39.9902375, 116.3503411 39.9902822, 116.3499758 39.9902771, 116.3499316 39.9903166, 116.3499273 39.990449, 116.3500354 39.990451, 116.3500341 39.9904909, 116.3504765 39.9904993, 116.3504706 39.9906823, 116.3501066 39.9906754, 116.3501054 39.9907136, 116.3496941 39.990706))",,,,,,,,9,,,,,,,,
way,314355476,"[3204013838, 3204013839, 4719596916, 4719596917, 3204013840, 3204013841, 3204013842, 3204013843, 4719596919, 4719596918, 3204013844, 3204013845, 3204013838]",house,机电信息楼,机电信息楼,机电信息楼,機電資訊樓,"POLYGON ((116.3488486 39.9911743, 116.3488689 39.990737, 116.3490024 39.9907406, 116.3490035 39.990718, 116.3491449 39.9907218, 116.3491375 39.9908831, 116.3493061 39.9908877, 116.3493136 39.9907244, 116.3494382 39.9907278, 116.3494365 39.990763, 116.3495627 39.9907664, 116.3495429 39.9911932, 116.3488486 39.9911743))",,,,,,,,,,,,,,,,
way,314370865,"[3204203360, 3204203361, 3204203362, 3204203363, 3204203360]",apartments,北京科技大学3斋,北京科技大学3斋,北京科技大学3斋,北京科技大學3齋,"POLYGON ((116.3529311 39.9876894, 116.3541067 39.9877061, 116.35411 39.9875689, 116.3529344 39.9875523, 116.3529311 39.9876894))",,,,,,,,,,,,,,,,
way,314370866,"[3204203364, 3204203365, 3204203366, 3204203367, 3204203368, 3204203369, 3204203370, 10216172211, 3204203371, 3204203364]",dormitory,北京科技大学2斋,北京科技大学2斋,北京科技大学2斋,北京科技大學2齋,"POLYGON ((116.3521552 39.9871391, 116.3519938 39.9871371, 116.3519878 39.9874261, 116.3522451 39.9876416, 116.3527576 39.9876497, 116.352761 39.9875258, 116.3523162 39.9875187, 116.3522175 39.987428, 116.3521505 39.9873664, 116.3521552 39.9871391))",,,,,,,,,,,,,,,,
way,314370867,"[3204203372, 3204203373, 3204203374, 3204203375, 3204203376, 3204203377, 3204203378, 3204203379, 3204203372]",apartments,北京科技大学4斋,北京科技大学4斋,北京科技大学4斋,北京科技大學4齋,"POLYGON ((116.3542823 39.9875806, 116.3547158 39.9875942, 116.3549103 39.9874623, 116.3549196 39.9872358, 116.3550886 39.9872399, 116.3550759 39.9875518, 116.3548349 39.9877089, 116.3542763 39.9876914, 116.3542823 39.9875806))",,,,,,,,,,,,,,,,
way,314370868,"[3204203380, 3204203381, 3204203382, 3204203383, 3204203384, 3204203385, 3204203386, 3204203387, 3204203380]",apartments,北京科技大学5斋,北京科技大学5斋,北京科技大学5斋,北京科技大學5齋,"POLYGON ((116.3549229 39.9871271, 116.3549314 39.9868972, 116.3547637 39.9867703, 116.3543176 39.9867544, 116.354327 39.9866008, 116.3548736 39.9866203, 116.3551311 39.9868258, 116.3551198 39.9871313, 116.3549229 39.9871271))",,,,,,,,,,,,,,,,
way,314370869,"[3204203388, 3204203389, 3204203390, 3204203391, 3204203388]",apartments,北京科技大学6斋,北京科技大学6斋,北京科技大学6斋,北京科技大學6齋,"POLYGON ((116.3529927 39.9867122, 116.354157 39.9867458, 116.3541644 39.9865939, 116.3530002 39.9865603, 116.3529927 39.9867122))",,,,,,,,,,,,,,,,
way,314370870,"[3204203392, 3204203393, 3204203394, 3204203395, 3204203396, 3204203397, 3204203398, 3204203399, 3204203392]",apartments,北京科技大学1斋,北京科技大学1斋,北京科技大学1斋,北京科技大學1齋,"POLYGON ((116.3527975 39.9865558, 116.3522879 39.986537, 116.3520148 39.9867016, 116.3519897 39.9870089, 116.3521654 39.9870173, 116.3521829 39.9868036, 116.3523487 39.986673, 116.3527891 39.9866893, 116.3527975 39.9865558))",,,,,,,,,,,,,,,,
way,314370872,"[3204203400, 3204203401, 3204203402, 5257064612, 5257064613, 5257064614, 5257064615, 3204203403, 3204203404, 3204203405, 3204203406, 3204203407, 3204203408, 5257064619, 5257064618, 5257064617, 5257064616, 3204203409, 3204203410, 3204203411, 3204203400]",apartments,北京科技大学7斋,北京科技大学7斋,北京科技大学7斋,北京科技大學7齋,"POLYGON ((116.3529425 39.9872582, 116.3531191 39.9872648, 116.353123 39.9872023, 116.3532808 39.9872081, 116.3532745 39.9873079, 116.3538286 39.9873286, 116.3538353 39.9872224, 116.3539807 39.9872278, 116.3539756 39.9873073, 116.3541479 39.9873138, 116.3541679 39.9869996, 116.3539862 39.9869929, 116.3539805 39.9870818, 116.3538331 39.9870763, 116.353838 39.9869998, 116.3532936 39.9869795, 116.3532878 39.9870713, 116.3531235 39.9870652, 116.3531292 39.9869747, 116.3529609 39.9869684, 116.3529425 39.9872582))",,,,,,,,,,,,,,,,
