element_type,osmid,nodes,amenity,building,emergency,healthcare,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,operator,operator:type,wheelchair,geometry,building:levels,smoking,ref,leisure,air_conditioning,outdoor_seating,layer,note,access,sport,description,internet_access,internet_access:fee,addr:city,addr:housenumber,addr:postcode,addr:street,foot,start_date,addr:province,bicycle_parking,man_made
way,265032063,"[2706839920, 2894949809, 2706839921, 2768934148, 2768934149, 2706839923, 2706839924, 2706839925, 2706839926, 2706839927, 2706839928, 5006731310, 2706839929, 2894949805, 2894949801, 2706839930, 2894949808, 2706839920]",hospital,no,yes,hospital,中国科学技术大学医院,University of Science and Technology of China Hospital,中国科学技术大学医院,中国科学技术大学医院,中國科學技術大學醫院,中国科学技术大学,government,yes,"POLYGON ((117.2612645 31.8358168, 117.2609926 31.8358055, 117.2609751 31.8358048, 117.2609408 31.8358113, 117.2604606 31.8358404, 117.2604606 31.8358242, 117.2601808 31.8358522, 117.2601719 31.8358345, 117.2601243 31.8358396, 117.2601184 31.8358093, 117.2600854 31.8358096, 117.2600134 31.8351407, 117.2612452 31.8350195, 117.2612553 31.8351185, 117.2612688 31.8353032, 117.2612794 31.8354334, 117.2612744 31.8356595, 117.2612645 31.8358168))",,,,,,,,,,,,,,,,,,,,,,
way,265575547,"[2712228930, 2712228931, 2712228932, 2712228933, 2712228952, 2712228954, 2712228953, 2712228934, 2712228935, 2712228936, 2712228937, 2712228938, 2712228939, 2712228940, 2712228941, 2712228942, 2712228943, 2712228944, 2712228945, 2712228946, 2712228947, 2712228948, 2712228949, 2712228950, 2712228951, 2712228930]",,university,,,第五教学楼,,第五教学楼,第五教学楼,第五教學樓,中国科学技术大学,,yes,"POLYGON ((117.2653775 31.8429276, 117.2652907 31.8428874, 117.2652413 31.8429644, 117.2654813 31.8430755, 117.2658177 31.8430882, 117.2660332 31.8430678, 117.2661709 31.8430543, 117.2663904 31.8430661, 117.2663921 31.8430186, 117.2664542 31.8430187, 117.2664622 31.8428271, 117.2662647 31.842822, 117.2662607 31.8428591, 117.2662097 31.8428591, 117.2662126 31.8428205, 117.2660126 31.8428147, 117.266013 31.8428489, 117.2659608 31.8428481, 117.2659593 31.8428136, 117.2657598 31.8428068, 117.2657598 31.8428441, 117.2657038 31.8428425, 117.2657047 31.8428062, 117.2655078 31.8428029, 117.2655064 31.8428661, 117.2653775 31.8429276))",5,no,,,,,,,,,,,,,,,,,,,,
way,265575551,"[2712228958, 2712228959, 2712228960, 2712228987, 2712228989, 2712228988, 2712228986, 2712228961, 2712228962, 2712228963, 2712228964, 2712228965, 2712228966, 2712228967, 2712228968, 2712228969, 2712228970, 2712228971, 2712228972, 2712228973, 2712228974, 2712228975, 2712228976, 2712228977, 2712228978, 2712228979, 2712228980, 2712228981, 2712228982, 2712228983, 2712228984, 2712228985, 2712228958]",,yes,,,第一教学楼,,第一教学楼,第一教学楼,第一教學樓,中国科学技术大学,,yes,"POLYGON ((117.2629795 31.8411951, 117.2630855 31.8412012, 117.2630874 31.8411782, 117.2634638 31.8412, 117.2634625 31.8412164, 117.2638047 31.8412362, 117.2638061 31.8412189, 117.2641802 31.8412404, 117.2641785 31.841261, 117.264283 31.8412669, 117.2643216 31.8407777, 117.264112 31.8407657, 117.2641033 31.8408758, 117.264174 31.8408798, 117.2641568 31.8410976, 117.2638535 31.8410803, 117.2638502 31.8411219, 117.2638105 31.8411197, 117.2638171 31.8410361, 117.2637231 31.8410307, 117.2637209 31.8410581, 117.263581 31.8410501, 117.2635834 31.8410207, 117.2634735 31.8410144, 117.2634674 31.84109, 117.2634395 31.8410884, 117.2634423 31.8410532, 117.2631371 31.8410354, 117.2631537 31.8408293, 117.2632268 31.8408335, 117.2632358 31.8407218, 117.2630186 31.8407092, 117.2629795 31.8411951))",4,no,201#,,,,,,,,,,,,,,,,,,,
way,267624861,"[2730675529, 2730675530, 2730675531, 2730675532, 2730675533, 2730675534, 2730675535, 2730675536, 2730675529]",,yes,,,东区学生活动中心,,东区学生活动中心,东区学生活动中心,東區學生活動中心,中国科学技术大学,,yes,"POLYGON ((117.2652202 31.8383168, 117.265145 31.838313, 117.2651311 31.8385107, 117.2651981 31.8385141, 117.2651878 31.8386595, 117.2657521 31.8386885, 117.2657841 31.8382375, 117.2652278 31.838209, 117.2652202 31.8383168))",6,no,,,,,,,,,,,,,,,,,,,,
way,267624862,"[2730675537, 2730675538, 2730675539, 2730675540, 2730675541, 2730675542, 2730675543, 2712250471, 2730675537]",,grandstand,,,,,,,,,,,"POLYGON ((117.2609228 31.8390039, 117.2608565 31.8389973, 117.2608896 31.8385393, 117.2608318 31.8385363, 117.2608481 31.8383103, 117.2609132 31.8383137, 117.2609474 31.8378405, 117.2610113 31.8378395, 117.2609228 31.8390039))",,,,bleachers,,,,,,,,,,,,,,,,,,
way,267624863,"[2730675544, 2730675545, 2730675546, 2730675551, 2730675550, 2730675547, 2730675548, 2730675549, 2730675544]",,yes,,,320#,320#,320#,,,中国科学技术大学,,yes,"POLYGON ((117.2620221 31.8389771, 117.2628448 31.8390265, 117.2628576 31.838873, 117.2627212 31.8388648, 117.2627203 31.8388752, 117.2621786 31.8388427, 117.2621799 31.8388268, 117.2620354 31.8388181, 117.2620221 31.8389771))",,no,,,,,,,,,,,,,,,,,,,,
way,267624864,"[2730675552, 2730675553, 2730675554, 2730675555, 2730675556, 2730675557, 2730675558, 2730675559, 2730675560, 2730675561, 2730675562, 2730675563, 2730675564, 2730675565, 2730675566, 2730675567, 2730675552]",,yes,,,321#,321#,321#,,,中国科学技术大学,,yes,"POLYGON ((117.2620438 31.838581, 117.2620544 31.8384547, 117.2624439 31.8384783, 117.2624538 31.8384644, 117.2624916 31.8384658, 117.2624982 31.8384811, 117.2628794 31.8385029, 117.2628694 31.8386283, 117.2626902 31.8386181, 117.2626919 31.8385956, 117.2625267 31.8385862, 117.2625117 31.8386018, 117.2624078 31.8385928, 117.2623954 31.8385775, 117.2622237 31.8385671, 117.2622217 31.8385918, 117.2620438 31.838581))",,no,,,,,,,,,,,,,,,,,,,,
way,267624865,"[2730675568, 2730675569, 2730675570, 2730675571, 2730675572, 10713393246, 2730675573, 2730675574, 2730675575, 2730675576, 2730675577, 2730675578, 2730675579, 2730675568]",,yes,,,322#,322#,322#,,,中国科学技术大学,,yes,"POLYGON ((117.2621065 31.8382315, 117.2622691 31.8382399, 117.2622705 31.8382198, 117.2627374 31.8382438, 117.2627363 31.8382595, 117.2627778 31.8382616, 117.2628953 31.8382675, 117.2629034 31.838151, 117.2625702 31.8381342, 117.2625625 31.8381238, 117.2624633 31.8381199, 117.2624526 31.838129, 117.2621152 31.8381114, 117.2621065 31.8382315))",,no,,,,,,,,,,,,,,,,,,,,
way,267624866,"[2730675580, 2730675581, 2730675582, 2730675583, 2730675584, 2730675585, 2730675586, 2730675587, 2730675588, 2730675589, 2730675590, 2730675591, 2730675592, 2730675593, 2730675594, 2730675595, 2730675580]",,yes,,,323#,323#,323#,,,中国科学技术大学,,yes,"POLYGON ((117.2621039 31.8379208, 117.2622837 31.8379298, 117.2622854 31.8379064, 117.2624572 31.837915, 117.2624664 31.8379306, 117.2625763 31.8379358, 117.26259 31.8379228, 117.2627569 31.83793, 117.2627556 31.8379523, 117.2629263 31.8379596, 117.2629335 31.8378379, 117.2625549 31.8378217, 117.2625457 31.8378009, 117.262506 31.8377996, 117.2624923 31.8378152, 117.2621126 31.8377961, 117.2621039 31.8379208))",,no,,,,,,,,,,,,,,,,,,,,
way,267646978,"[2682745775, 10583324110, 2730842084, 2730842097, 2730842100, 2730842102, 2730842104, 2730842106, 2730842108, 2730842111, 2730842113, 2730842115, 2730842117, 2730842119, 2682745776, 2682745775]",,commercial,,,高科技广场（北区）,,高科技广场（北区）,高科技广场（北区）,高科技廣場（北區）,中国科学技术大学,,yes,"POLYGON ((117.2632133 31.8428201, 117.2633183 31.8427656, 117.2633367 31.842756, 117.2632899 31.8426909, 117.263266 31.8427033, 117.2630924 31.8424621, 117.2631245 31.8424455, 117.2630618 31.8423582, 117.2630293 31.8423751, 117.2628162 31.8420788, 117.2628512 31.8420606, 117.2627992 31.8419883, 117.2627604 31.8420085, 117.2625412 31.8417039, 117.2624457 31.8417535, 117.2632133 31.8428201))",,no,,,,,,,,,,,,,,,,,,,,
