u,v,key,osmid,oneway,name,highway,reversed,length,access,geometry,tunnel,width,bridge
2682745784,5006735983,0,513484691,True,太湖路,secondary,False,200.545,,"LINESTRING (117.2639438 31.8347332, 117.2618355 31.8349442)",,,
2705289518,3139668515,0,270792805,False,中直路,residential,False,9.023,permissive,"LINESTRING (117.2616357 31.8401414, 117.2617278 31.8401199)",,,
2705289518,3313384355,0,324628892,False,,footway,True,16.853,,"LINESTRING (117.2616357 31.8401414, 117.2616321 31.8402151, 117.2616241 31.8402926)",,,
2705289521,2705289533,0,265032055,False,郭沫若路,residential,False,48.776,permissive,"LINESTRING (117.2629009 31.8400871, 117.2629414 31.8396498)",,,
2705289521,3112589267,0,265032055,False,郭沫若路,residential,True,11.036,permissive,"LINESTRING (117.2629009 31.8400871, 117.2628911 31.840186)",,,
2705289521,3027583724,0,270792805,False,中直路,residential,True,95.956,permissive,"LINESTRING (117.2629009 31.8400871, 117.2620241 31.8400358, 117.2618877 31.840046)",,,
2705289522,3112589246,0,265032055,False,郭沫若路,residential,False,26.747,permissive,"LINESTRING (117.2628509 31.8405939, 117.2628745 31.8403542)",,,
2705289522,3112601122,0,268836529,False,勤奋路,service,True,40.408,permissive,"LINESTRING (117.2628509 31.8405939, 117.2632775 31.8406208)",,,
2705289522,2705289532,0,264872430,False,,residential,True,81.564,permissive,"LINESTRING (117.2628509 31.8405939, 117.2628235 31.84098, 117.262799 31.8413261)",,,
2705289522,3313384352,0,"[265032056, 264872429]",False,,residential,False,126.757,permissive,"LINESTRING (117.2628509 31.8405939, 117.2624551 31.8405488, 117.2623011 31.840524, 117.2620647 31.8404721, 117.2618814 31.8404134, 117.261645 31.840384, 117.2615383 31.8403883)",yes,,
2705289532,2705289522,0,264872430,False,,residential,False,81.564,permissive,"LINESTRING (117.262799 31.8413261, 117.2628235 31.84098, 117.2628509 31.8405939)",,,
2705289532,2936365065,0,264872431,False,瀚海路,residential,False,32.036,permissive,"LINESTRING (117.262799 31.8413261, 117.2629379 31.8413344, 117.2631373 31.8413464)",,,
2705289532,3112589845,0,306371645,False,,service,False,126.898,,"LINESTRING (117.262799 31.8413261, 117.2627183 31.8412702, 117.2625962 31.8412622, 117.2625828 31.841211, 117.2626123 31.8408168, 117.2625748 31.8407917, 117.262033 31.8407712)",,,
2705289533,3112589252,0,265032053,False,红专路,pedestrian,False,48.921,permissive,"LINESTRING (117.2629414 31.8396498, 117.2634575 31.8396863)",,,
2705289533,2705289534,0,265032055,False,郭沫若路,residential,False,61.82,permissive,"LINESTRING (117.2629414 31.8396498, 117.2629836 31.839095)",,,
2705289533,2705289521,0,265032055,False,郭沫若路,residential,True,48.776,permissive,"LINESTRING (117.2629414 31.8396498, 117.2629009 31.8400871)",,,
2705289534,2706839901,0,265032055,False,郭沫若路,residential,False,41.934,permissive,"LINESTRING (117.2629836 31.839095, 117.2630146 31.8387188)",,,
2705289534,2705289533,0,265032055,False,郭沫若路,residential,True,61.82,permissive,"LINESTRING (117.2629836 31.839095, 117.2629414 31.8396498)",,,
2705289534,3139668525,0,265575541,False,,service,False,106.514,permissive,"LINESTRING (117.2629836 31.839095, 117.2622847 31.83906, 117.2622042 31.8391318, 117.262083 31.8391851, 117.2619159 31.8392271)",,,
2705289535,10582890638,0,265032055,False,郭沫若路,residential,False,56.988,permissive,"LINESTRING (117.2630678 31.8378135, 117.2630995 31.8373017)",,,
2705289535,5323429993,0,265032055,False,郭沫若路,residential,True,24.253,permissive,"LINESTRING (117.2630678 31.8378135, 117.263054 31.8380313)",,,
2705289535,2706839905,0,265032058,False,绿茵路,service,False,95.603,permissive,"LINESTRING (117.2630678 31.8378135, 117.2620616 31.8377212)",,,
2705289536,2706839904,0,265032060,False,四牌楼路,residential,False,85.579,permissive,"LINESTRING (117.2631377 31.8366829, 117.264041 31.8367414)",,,
2705289536,3027002392,0,265032060,False,四牌楼路,residential,True,53.138,permissive,"LINESTRING (117.2631377 31.8366829, 117.2625762 31.8366543)",,,
2705289536,2705289537,0,265032055,False,郭沫若路,residential,False,83.414,permissive,"LINESTRING (117.2631377 31.8366829, 117.2631596 31.8363949, 117.2631946 31.8359343)",,,
2705289536,2706849471,0,265032055,False,郭沫若路,residential,True,45.998000000000005,permissive,"LINESTRING (117.2631377 31.8366829, 117.263121 31.8369533, 117.2631122 31.837096)",,,
2705289537,2710571990,0,265162182,False,理化路,service,False,32.404,permissive,"LINESTRING (117.2631946 31.8359343, 117.2635375 31.835942)",,,
2705289537,2710571995,0,369507587,False,理化路,residential,True,42.703,permissive,"LINESTRING (117.2631946 31.8359343, 117.2627437 31.835907)",,,
2705289537,2705289536,0,265032055,False,郭沫若路,residential,True,83.414,permissive,"LINESTRING (117.2631946 31.8359343, 117.2631596 31.8363949, 117.2631377 31.8366829)",,,
2705289539,2708347216,0,264872431,False,瀚海路,residential,False,77.681,permissive,"LINESTRING (117.2636165 31.8413751, 117.2644362 31.8414312)",,,
2705289539,2936365065,0,264872431,False,瀚海路,residential,True,45.378,permissive,"LINESTRING (117.2636165 31.8413751, 117.2631373 31.8413464)",,,
2705289539,3112603898,0,264872432,False,玉泉北路,service,False,11.507,permissive,"LINESTRING (117.2636165 31.8413751, 117.2636075 31.8414783)",,,
2705289543,3026593081,0,268206608,False,,residential,False,10.187,permissive,"LINESTRING (117.2645187 31.8430273, 117.2646129 31.8430719)",,,
2705289543,10583324151,0,"[266988252, 266988253, 265575543]",False,天使路,service,True,67.965,permissive,"LINESTRING (117.2645187 31.8430273, 117.2644869 31.8428896, 117.2644976 31.8427894, 117.2645164 31.8427347, 117.2645459 31.8426663, 117.2645512 31.8425889, 117.2645475 31.8424494, 117.2645375 31.8424276)",,,
2705289543,3112603871,0,"[268206608, 478776411, 345670547, 478776412]",False,玉泉北路,residential,True,126.2,permissive,"LINESTRING (117.2645187 31.8430273, 117.2644523 31.8429727, 117.263549 31.8427969, 117.2634979 31.8427261, 117.2635053 31.8426453, 117.2635095 31.8425994, 117.2635149 31.8425405)",,,
2706839896,3114546344,0,265032053,False,红专路,pedestrian,True,35.029,permissive,"LINESTRING (117.2645402 31.8397463, 117.26417 31.8397281)",,,
2706839896,2936366191,0,265583821,False,天使路,pedestrian,False,15.002,permissive,"LINESTRING (117.2645402 31.8397463, 117.2645526 31.8396118)",,,
2706839896,10586958109,0,265583821,False,天使路,pedestrian,True,20.592,permissive,"LINESTRING (117.2645402 31.8397463, 117.2645281 31.8399312)",,,
2706839901,2706839903,0,265032054,False,孺子牛路,residential,False,79.857,permissive,"LINESTRING (117.2630146 31.8387188, 117.2638582 31.8387652)",,,
2706839901,10582890636,0,265032055,False,郭沫若路,residential,False,28.421,permissive,"LINESTRING (117.2630146 31.8387188, 117.263029 31.8384635)",,,
2706839901,2705289534,0,265032055,False,郭沫若路,residential,True,41.934,permissive,"LINESTRING (117.2630146 31.8387188, 117.2629836 31.839095)",,,
2706839901,3064296110,0,302181056,False,,service,False,90.535,permissive,"LINESTRING (117.2630146 31.8387188, 117.2620584 31.8386636)",,,
2706839903,2724738770,0,265032054,False,孺子牛路,residential,False,72.6,permissive,"LINESTRING (117.2638582 31.8387652, 117.2646247 31.8388128)",,,
2706839903,2706839901,0,265032054,False,孺子牛路,residential,True,79.857,permissive,"LINESTRING (117.2638582 31.8387652, 117.2630146 31.8387188)",,,
2706839903,2894917873,0,265032057,False,玉泉南路,residential,False,53.878,permissive,"LINESTRING (117.2638582 31.8387652, 117.2638973 31.8382818)",,,
2706839904,3026997363,0,265032057,False,玉泉南路,residential,False,43.355,permissive,"LINESTRING (117.264041 31.8367414, 117.2640798 31.8363529)",,,
2706839904,2706849472,0,265032057,False,玉泉南路,residential,True,46.589,permissive,"LINESTRING (117.264041 31.8367414, 117.2640009 31.837159)",,,
2706839904,2706849475,0,265032060,False,四牌楼路,residential,False,86.535,permissive,"LINESTRING (117.264041 31.8367414, 117.2649558 31.8367819)",,,
2706839904,2705289536,0,265032060,False,四牌楼路,residential,True,85.579,permissive,"LINESTRING (117.264041 31.8367414, 117.2631377 31.8366829)",,,
2706839905,2705289535,0,265032058,False,绿茵路,service,True,95.603,permissive,"LINESTRING (117.2620616 31.8377212, 117.2630678 31.8378135)",,,
2706839905,3139668525,0,308701271,False,,footway,False,168.013,,"LINESTRING (117.2620616 31.8377212, 117.2619159 31.8392271)",,,
2706839905,2706839906,0,265032058,False,绿茵路,service,False,94.738,permissive,"LINESTRING (117.2620616 31.8377212, 117.261568 31.8376392, 117.2610691 31.8376118)",,,
2706839906,2706839905,0,265032058,False,绿茵路,service,True,94.738,permissive,"LINESTRING (117.2610691 31.8376118, 117.261568 31.8376392, 117.2620616 31.8377212)",,,
2706839906,2706839916,0,265033437,False,,residential,True,114.344,permissive,"LINESTRING (117.2610691 31.8376118, 117.2610734 31.8375636, 117.2611603 31.8365864)",,,
2706839906,2706849468,0,265575538,False,,service,False,51.566,permissive,"LINESTRING (117.2610691 31.8376118, 117.2609407 31.837765, 117.2609083 31.8380393)",,,
2706839909,2706839916,0,265032060,False,四牌楼路,residential,False,44.973,permissive,"LINESTRING (117.2606853 31.8365593, 117.2611603 31.8365864)",,,
2706839909,2706849469,0,265032060,False,四牌楼路,residential,True,19.46,permissive,"LINESTRING (117.2606853 31.8365593, 117.2604796 31.8365498)",,,
2706839909,2708347218,0,265032061,False,,service,False,133.33599999999998,permissive,"LINESTRING (117.2606853 31.8365593, 117.2607162 31.8359692, 117.2607733 31.8358806, 117.2608613 31.8358471, 117.260984 31.8358314, 117.2613606 31.8358405)",,,
2706839916,2706839948,0,265032060,False,四牌楼路,residential,False,95.973,permissive,"LINESTRING (117.2611603 31.8365864, 117.262175 31.8366292)",,,
2706839916,2706839909,0,265032060,False,四牌楼路,residential,True,44.973,permissive,"LINESTRING (117.2611603 31.8365864, 117.2606853 31.8365593)",,,
2706839916,2706839906,0,265033437,False,,residential,False,114.344,permissive,"LINESTRING (117.2611603 31.8365864, 117.2610734 31.8375636, 117.2610691 31.8376118)",,,
2706839932,2706839937,0,265032064,False,,service,False,73.431,permissive,"LINESTRING (117.261024 31.8353905, 117.2609943 31.8355394, 117.2609171 31.8356554, 117.2608429 31.8357487, 117.2606885 31.8357412, 117.260535 31.8357623)",,,
2706839932,2706839937,1,265032064,False,,service,True,194.21600000000004,permissive,"LINESTRING (117.261024 31.8353905, 117.2610003 31.835272, 117.2609511 31.8351919, 117.260831 31.8351913, 117.2603114 31.8352291, 117.2602639 31.8352795, 117.2601392 31.8352871, 117.2600857 31.8353678, 117.2601392 31.8357538, 117.2602372 31.835774, 117.260535 31.8357623)",,,
2706839932,2706839946,0,265032065,False,,service,False,33.423,permissive,"LINESTRING (117.261024 31.8353905, 117.2611606 31.8353653, 117.2613746 31.835368)",,,
2706839937,2706839932,0,265032064,False,,service,False,194.216,permissive,"LINESTRING (117.260535 31.8357623, 117.2602372 31.835774, 117.2601392 31.8357538, 117.2600857 31.8353678, 117.2601392 31.8352871, 117.2602639 31.8352795, 117.2603114 31.8352291, 117.260831 31.8351913, 117.2609511 31.8351919, 117.2610003 31.835272, 117.261024 31.8353905)",,,
2706839937,2706839932,1,265032064,False,,service,True,73.431,permissive,"LINESTRING (117.260535 31.8357623, 117.2606885 31.8357412, 117.2608429 31.8357487, 117.2609171 31.8356554, 117.2609943 31.8355394, 117.261024 31.8353905)",,,
2706839937,2706849469,0,265033438,False,,service,True,87.724,permissive,"LINESTRING (117.260535 31.8357623, 117.2605261 31.8358624, 117.2604796 31.8365498)",,,
2706839946,2708347218,0,265032059,False,,residential,False,52.556,permissive,"LINESTRING (117.2613746 31.835368, 117.2613606 31.8358405)",,,
2706839946,5006731309,0,265032059,False,,residential,True,40.275,permissive,"LINESTRING (117.2613746 31.835368, 117.2613837 31.8350829, 117.2613838 31.8350059)",,,
2706839946,2706839932,0,265032065,False,,service,True,33.423,permissive,"LINESTRING (117.2613746 31.835368, 117.2611606 31.8353653, 117.261024 31.8353905)",,,
2706839947,2710571995,0,369507587,False,理化路,residential,False,49.736,permissive,"LINESTRING (117.2622179 31.8358841, 117.2627437 31.835907)",,,
2706839947,2894949810,0,369507587,False,理化路,residential,True,13.768,permissive,"LINESTRING (117.2622179 31.8358841, 117.2620729 31.8358716)",,,
