element_type,osmid,amenity,geometry,bicycle_parking,covered,capacity,fee,check_date,access,type,nodes,building,area
node,282872710,bicycle_parking,POINT (-122.2654093 37.8737972),,,,,,,,,,
node,286081408,bicycle_parking,POINT (-122.265392 37.8736762),,,,,,,,,,
node,286081720,bicycle_parking,POINT (-122.259475 37.8737694),,,,,,,,,,
node,286633044,bicycle_parking,POINT (-122.25455 37.87194),,,,,,,,,,
node,286633280,bicycle_parking,POINT (-122.25609 37.8732994),stands,no,,,,,,,,
node,462694082,bicycle_parking,POINT (-122.2591745 37.8702597),,,81,,,,,,,
node,1419797122,bicycle_parking,POINT (-122.2639356 37.8726202),stands,no,34,,,,,,,
node,1419797123,bicycle_parking,POINT (-122.263202 37.8718654),,,,,,,,,,
node,1674148378,bicycle_parking,POINT (-122.2649461 37.8727172),,,,,,,,,,
node,2195108792,bicycle_parking,POINT (-122.2665325 37.8743591),wave,no,6,no,,,,,,
node,2195115194,bicycle_parking,POINT (-122.259958 37.874583),stands,no,18,no,2024-02-18,,,,,
node,2195115330,bicycle_parking,POINT (-122.260005 37.874398),stands,no,10,no,2024-02-18,,,,,
node,2195119891,bicycle_parking,POINT (-122.259393 37.870867),stands,,20,,,,,,,
node,2637690062,bicycle_parking,POINT (-122.2606944 37.8698212),stands,yes,56,,,,,,,
node,2637690085,bicycle_parking,POINT (-122.2612488 37.873955),,,,,,,,,,
node,4027079988,bicycle_parking,POINT (-122.266609 37.871222),stands,no,44,,,yes,,,,
node,7065572207,bicycle_parking,POINT (-122.2683576 37.8737831),stands,yes,28,,,,,,,
node,7065572208,bicycle_parking,POINT (-122.2681134 37.8738153),stands,yes,8,,,,,,,
node,7818246372,bicycle_parking,POINT (-122.2441473 37.8803339),,,,,,,,,,
node,7898917828,bicycle_parking,POINT (-122.2645389 37.8735024),,,,,,,,,,
node,8395357155,bicycle_parking,POINT (-122.2565871 37.8740446),wave,,,,,,,,,
node,8395357156,bicycle_parking,POINT (-122.2569615 37.8741518),wave,no,,,,,,,,
node,8395357157,bicycle_parking,POINT (-122.2582427 37.8736539),wave,,,,,,,,,
node,8395357158,bicycle_parking,POINT (-122.2582347 37.8736236),wave,,,,,,,,,
node,8395357159,bicycle_parking,POINT (-122.258228 37.8735972),wave,,,,,,,,,
node,8395357160,bicycle_parking,POINT (-122.2582144 37.8735685),wave,,,,,,,,,
node,8395357161,bicycle_parking,POINT (-122.2582039 37.873542),wave,,,,,,,,,
node,8395357162,bicycle_parking,POINT (-122.2581943 37.8735173),wave,,,,,,,,,
node,8395357163,bicycle_parking,POINT (-122.2581846 37.8734913),wave,,,,,,,,,
node,8395357164,bicycle_parking,POINT (-122.2581748 37.8734649),wave,,,,,,,,,
node,8395357165,bicycle_parking,POINT (-122.2581654 37.873439),wave,,,,,,,,,
node,9336411713,bicycle_parking,POINT (-122.2603501 37.8723672),stands,,,,,,,,,
node,9336411714,bicycle_parking,POINT (-122.2607823 37.8735221),stands,,,,,,,,,
node,9438441529,bicycle_parking,POINT (-122.261493 37.8711201),stands,,,,,,,,,
node,9526101018,bicycle_parking,POINT (-122.2586998 37.8742061),,,,,,,,,,
node,9526101019,bicycle_parking,POINT (-122.2587099 37.8742378),,,,,,,,,,
node,9526101020,bicycle_parking,POINT (-122.2587233 37.8742706),,,,,,,,,,
node,9531600075,bicycle_parking,POINT (-122.2600629 37.8708263),stands,no,,,,,,,,
node,9553418869,bicycle_parking,POINT (-122.2575706 37.8693304),wave,no,,,,,,,,
node,9553418870,bicycle_parking,POINT (-122.2575867 37.8693723),wave,no,,,,,,,,
node,9555501348,bicycle_parking,POINT (-122.2575592 37.8719655),,no,,,,,stands,,,
node,9916647323,bicycle_parking,POINT (-122.2674851 37.8737773),stands,,32,,,,,,,
node,10057049288,bicycle_parking,POINT (-122.2593661 37.8737116),rack,,,,,,,,,
node,11008170803,bicycle_parking,POINT (-122.2519866 37.8763912),rack,no,7,no,,private,,,,
node,11008170804,bicycle_parking,POINT (-122.251785 37.8765164),rack,no,13,no,,private,,,,
node,11008353805,bicycle_parking,POINT (-122.2438487 37.876532),stands,no,6,no,,private,,,,
node,11247775512,bicycle_parking,POINT (-122.2458547 37.8630943),,,,,,,,,,
node,11461462537,bicycle_parking,POINT (-122.2468038 37.8717844),,,,,,,,,,
node,11461462538,bicycle_parking,POINT (-122.2467978 37.8718111),,,,,,,,,,
way,761100305,bicycle_parking,"POLYGON ((-122.2600953 37.8695151, -122.2599077 37.869537, -122.2599136 37.8695686, -122.2601013 37.8695466, -122.2600953 37.8695151))",stands,,,,,,,"[7110875474, 7110875475, 7110875476, 7110875477, 7110875474]",,
