element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:state,addr:street,access,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,note,amenity,operator,wheelchair,layer,parking,website,addr:postcode,description,fixme,tourism,nodes,building:levels,name:etymology:wikidata,name:etymology:wikipedia,wikidata,old_name,alt_name,architect,contact:yelp,display,faces,height,man_made,opening_hours,start_date,support,tower:construction,tower:type,visibility,wikipedia,internet_access,addr:housename,disused:museum,disused:tourism,historic,occupant,comment,air_conditioning,phone,heritage,leisure,sport,is_in:state_code,toilets:wheelchair,healthcare,contact:facebook,contact:instagram,museum,wikimedia_commons,cooperative,heritage:operator,name_1,landuse,plant:output:electricity,plant:source,power,brand,brand:wikidata,cuisine,outdoor_seating,roof:levels,covered,historic:note,ref:nrhp,shop,official_name,operator:type,operator:wikidata,short_name,email,location,designation,survey:date,wheelchair:description,bridge,building:use,disused,min_height,smoking,drinking_water,bar,fax,internet_access:fee,payment:cash,payment:credit_cards,rooms,guest_house,reservation,telescope:type,alt_name_1,content,material,bicycle_parking,branch,cooling:method,memorial,ways,type,architect:wikidata,building:material,contact:foursquare,url,really_has_a_road_through_it
node,368166320,POINT (-122.2555244 37.8738147),,,,CA,,,yes,116,Alameda,1656693,57871b70-0100-4405-bb30-88b2e001a944,no,East Gate,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,368166329,POINT (-122.2655224 37.8736627),,,,CA,,,yes,69,Alameda,1656749,57871b70-0100-4405-bb30-88b2e001a944,no,Northwest Animal Facility,USGS Geonames,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8921809667,POINT (-122.2616417 37.8715308),,,,,,,university,,,,,,Chan Shun Auditorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024292,"POLYGON ((-122.2594126 37.8760025, -122.2595014 37.8759912, -122.2593654 37.8753309, -122.2592839 37.8753421, -122.2592812 37.8753291, -122.2591214 37.8753497, -122.2591243 37.875364, -122.2590534 37.8753737, -122.2591889 37.8760312, -122.2592668 37.8760212, -122.2592711 37.8760421, -122.2594169 37.8760234, -122.2594126 37.8760025))",,,2521,CA,Hearst Avenue,,university,102,Alameda,1656697,57871b70-0100-4405-bb30-88b2e001a944,,Etcheverry Hall,USGS Geonames,,,,,,,,,,,,"[260541692, 1954530511, 260541693, 1954530495, 1954530491, 1954530493, 1954530508, 260541694, 1954530548, 260541695, 1954530489, 1954530520, 260541692]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024349,"POLYGON ((-122.2607086 37.8735825, -122.2606227 37.8733487, -122.2599782 37.8734962, -122.2600059 37.8735717, -122.2600342 37.8736487, -122.2600641 37.8737301, -122.2602893 37.8736785, -122.2607086 37.8735825))",,,,,,,yes,,,,,,C V Starr East Asian Library,,,library,,,,,https://www.lib.berkeley.edu/libraries/east-asian-library,,,,,"[260542068, 260542069, 260542070, 9438441526, 9438441525, 260542071, 10067810908, 260542068]",3,Q183340,en:Cornelius Vander Starr,Q118903541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024350,"POLYGON ((-122.2585168 37.8751298, -122.2584423 37.8749088, -122.2584783 37.8749007, -122.2587663 37.8748364, -122.2586695 37.8745761, -122.2580606 37.8747101, -122.2580736 37.8747467, -122.2580764 37.8747561, -122.2580336 37.8747683, -122.2580483 37.8748076, -122.2581003 37.8749482, -122.2581128 37.8749458, -122.2581919 37.875157, -122.2582452 37.8752189, -122.25835 37.8751803, -122.2583485 37.8751722, -122.2584534 37.875155, -122.2584504 37.8751399, -122.2585168 37.8751298))",,,,,,,university,,,,,,Sutardja Dai Hall (CITRIS),,,,,,,,,,,,,"[260542072, 260547596, 9509603415, 260547598, 260542073, 260542074, 560215478, 8499177747, 8499177746, 560215252, 8499177745, 8499177744, 8499177743, 260542075, 8499177742, 8499177741, 8499177740, 8499177739, 260542072]",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024351,"POLYGON ((-122.2586695 37.8745761, -122.2586054 37.8744073, -122.258568 37.8743042, -122.2578846 37.8744573, -122.2579829 37.8747272, -122.2579935 37.8747249, -122.2580606 37.8747101, -122.2586695 37.8745761))",,,,CA,,,university,108,Alameda,1656686,57871b70-0100-4405-bb30-88b2e001a944,,Davis Hall,USGS Geonames,,,,,,,,,,,,"[260542073, 8395357175, 260542077, 260542078, 560215240, 560215490, 260542074, 260542073]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024353,"POLYGON ((-122.2576581 37.8746011, -122.2575641 37.8743527, -122.2574624 37.8740905, -122.2573245 37.8741228, -122.2573217 37.8741154, -122.2571642 37.8741529, -122.2570179 37.8741848, -122.2570212 37.8741959, -122.2568716 37.8742277, -122.2570533 37.8747359, -122.2571241 37.8747211, -122.257161 37.8748185, -122.2575963 37.8747158, -122.2575615 37.8746239, -122.2576581 37.8746011))",,,,CA,,,university,106,Alameda,1656716,57871b70-0100-4405-bb30-88b2e001a944,,Hearst Memorial Mining Building,USGS Geonames,,,,,,,,,,,,"[260542084, 4301522691, 260542085, 8451378069, 8451378068, 3038365538, 8451378067, 8451378066, 260542086, 260542087, 260557105, 260557107, 260557106, 260557104, 260542084]",4,,,Q5691716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024499,"POLYGON ((-122.2572997 37.8730994, -122.2572663 37.8730129, -122.2573089 37.8730026, -122.2572406 37.8728255, -122.2571913 37.8728373, -122.2571719 37.872787, -122.2569869 37.8728315, -122.2568654 37.8728607, -122.2569866 37.8731746, -122.2572997 37.8730994))",,,,CA,,,yes,101,Alameda,1656678,57871b70-0100-4405-bb30-88b2e001a944,,Campbell Hall,USGS Geonames,,,,,,,,,,,,"[260543399, 3256170947, 3256170946, 3256170944, 3256170945, 260543400, 4301518095, 260543401, 260543402, 260543399]",6,,,Q16890063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024500,"POLYGON ((-122.2573759 37.8729812, -122.2574873 37.8729546, -122.2576542 37.8729152, -122.25756 37.8726685, -122.2574673 37.8724222, -122.2572941 37.8724629, -122.257178 37.8724895, -122.2571928 37.8725297, -122.2570508 37.8725622, -122.2569662 37.8723317, -122.2569216 37.8722111, -122.2566081 37.8722832, -122.256654 37.8724095, -122.2567545 37.8726815, -122.2567968 37.8727942, -122.2569586 37.8727569, -122.2571075 37.8727223, -122.2572632 37.8726853, -122.2573759 37.8729812))",,,,CA,,,university,100,Alameda,1656730,57871b70-0100-4405-bb30-88b2e001a944,,Physics North & Physics South,USGS Geonames,building renamed Physics North & Physics South in Nov 2020 as temporary names until new name can be determined,,,,,,,,,,,"[260543403, 8436435859, 260543404, 4301518133, 260543405, 4301518126, 260915497, 260915499, 260543406, 4301518152, 260543407, 260543408, 8436435884, 8436435886, 260543409, 4301518184, 8140269093, 260543410, 260543403]",4,,,Q14683062,LeConte Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024501,"POLYGON ((-122.2570651 37.8723953, -122.2572525 37.8723535, -122.2575032 37.8722977, -122.2574094 37.8720353, -122.2569713 37.8721329, -122.2570357 37.8723131, -122.2570651 37.8723953))",,,,CA,,,university,99,Alameda,1656671,57871b70-0100-4405-bb30-88b2e001a944,,Birge Hall,USGS Geonames,,,,,,,,,,,,"[260543411, 4301518165, 260543412, 260543413, 260543414, 4301518114, 260543411]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024502,"POLYGON ((-122.2562885 37.87319, -122.2561845 37.8729012, -122.2555465 37.8730437, -122.2555935 37.8731732, -122.2556094 37.8732196, -122.2556265 37.8732666, -122.2556505 37.8733325, -122.2562885 37.87319))",,,,CA,,,yes,106,Alameda,1656729,57871b70-0100-4405-bb30-88b2e001a944,,Latimer Hall,USGS Geonames,,,,,,,,,,,,"[260543415, 260543416, 260543417, 1419636757, 9553234205, 1419636751, 260543418, 260543415]",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024503,"POLYGON ((-122.2566357 37.8732312, -122.2566683 37.8732239, -122.2565605 37.8729214, -122.256516 37.8729317, -122.2565046 37.8729013, -122.2562338 37.8729642, -122.256347 37.8732928, -122.2563796 37.8732858, -122.2563976 37.8733265, -122.2566471 37.8732686, -122.2566357 37.8732312))",,,,,,,yes,,,,,,Tan Hall,,,,,,,,,,,,,"[260543419, 260543467, 260543465, 260543420, 260543466, 260543421, 260543470, 260543422, 260543469, 260543468, 260543419]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
