element_type,osmid,amenity,cuisine,internet_access,internet_access:fee,name,outdoor_seating,takeaway,terrace,wheelchair,geometry,brand,brand:wikidata,diet:vegetarian,shop,website,drink:coffee,drink:espresso,food,old_name,wifi,description,access,nodes,building
node,286632968,cafe,asian,,,Rice & Bones,yes,yes,,,POINT (-122.2549676 37.8704779),,,,,,yes,yes,yes,,,,,,
node,354639996,cafe,coffee_shop,,,Free Speech Movement Cafe,yes,,yes,,POINT (-122.2609337 37.8723672),,,,,,,,,,no,,,,
node,366352408,cafe,coffee_shop,,,Peet's Coffee,,yes,,,POINT (-122.2563428 37.8669676),Peet's Coffee,Q1094101,yes,,,,,,Peet's Coffee and Tea,,,,,
node,1421340713,cafe,coffee_shop,,,Yali's Cafe,,,,yes,POINT (-122.2564732 37.87392),,,,,,,,,,,,,,
node,1954723361,cafe,coffee_shop,,,Yali's Cafe,,,,,POINT (-122.2587029 37.8747988),,,,,,,,,Qualcomm Cafe,no,,,,
node,2055073966,cafe,sandwich,,,Café Zeb,,,,,POINT (-122.2529679 37.8698032),,,,,,,,,,,,,,
node,3180274141,cafe,,,,,,,,,POINT (-122.2519432 37.8697156),,,,,,,,,,,,,,
node,4121802638,cafe,,,,Mini Babette,,,,,POINT (-122.2586184 37.8713302),,,,,,,,,,,,,,
node,4121837397,cafe,,,,Micro Yali's,,,,,POINT (-122.2620616 37.8715093),,,,,,,,,,,,,,
node,4124184026,cafe,,,,The Coffee Lab,,,,yes,POINT (-122.2558516 37.8727947),,,,,,,,,,,,,,
node,4181862717,cafe,,,,Equator Coffee,,,,,POINT (-122.2594983 37.8690481),,,,,,,,,,,,,,
node,5443857083,cafe,,yes,no,Cafe Think,,,,,POINT (-122.254149 37.872303),,,,,https://www.cafethinkberkeley.com/,,,,,,,,,
node,7918021237,cafe,coffee_shop,,,V&A Cafe,yes,,,,POINT (-122.2591244 37.8755331),,,,,,,,,,,,,,
node,7967433253,cafe,,,,Peet's,,,,,POINT (-122.2562458 37.8668672),,,,,,,,,,,,,,
node,9347384608,cafe,,,,Portable Peet's Stand,,,,,POINT (-122.2515784 37.8717763),,,,,,,,,,,,customers,,
node,9347384619,cafe,,,,Peet's & Lighter Side,,,,,POINT (-122.250134 37.8701266),,,,,,,,,,,,customers,,
way,1098756727,cafe,coffee_shop,,,Press Coffee,yes,,,,"POLYGON ((-122.2603722 37.8728055, -122.2603598 37.8727729, -122.2604513 37.8727512, -122.2604637 37.8727838, -122.2603722 37.8728055))",,,,coffee,,,,,,,Permanent outdoor snack kiosk/coffee shop.,,"[5950269734, 10060379537, 10060379538, 10060379539, 5950269734]",yes
