u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,access,width,service,bridge,tunnel,junction
33947244,33947347,0,5050933,path,False,False,9.648,,"LINESTRING (-122.2332068 37.8696, -122.2332111 37.8696867)",,,,,,,,
33947244,10562148334,0,5149042,track,False,False,27.205,East West Trail,"LINESTRING (-122.2332068 37.8696, -122.2329122 37.869524)",,,,,,,,
33947244,10562148362,0,5149042,track,False,True,131.615,East West Trail,"LINESTRING (-122.2332068 37.8696, -122.2333742 37.8696002, -122.2335594 37.8695811, -122.2339254 37.8695282, -122.2341144 37.869493, -122.2342969 37.8694689, -122.2346485 37.8693287)",,,,,,,,
33947297,34351251,0,5149025,track,False,False,135.42700000000002,Upper Jordan Fire Trail,"LINESTRING (-122.2310635 37.8706885, -122.2312112 37.8706414, -122.23134 37.8706192, -122.2314499 37.8706276, -122.2316538 37.8706774, -122.2317463 37.8706901, -122.2318415 37.870689, -122.2319354 37.8706679, -122.232154 37.8706086, -122.2322211 37.8705768, -122.2323002 37.870526, -122.2324636 37.8703985)",,,,,,,,
33947297,35706545,0,5149025,track,False,True,653.745,Upper Jordan Fire Trail,"LINESTRING (-122.2310635 37.8706885, -122.231008 37.8707255, -122.2308947 37.8708245, -122.2308008 37.8708817, -122.2307096 37.8709431, -122.23066 37.8709971, -122.2306171 37.8710776, -122.2306131 37.8711548, -122.2306265 37.8712078, -122.2306902 37.8713739, -122.2307499 37.8715476, -122.230762 37.871627, -122.230762 37.8718059, -122.2307378 37.871862, -122.2306292 37.8719975, -122.2305179 37.8720918, -122.2304495 37.8721436, -122.2303476 37.8721944, -122.2302349 37.8722283, -122.2298648 37.8723225, -122.2297534 37.8723617, -122.2296783 37.8723924, -122.2295871 37.8724369, -122.2294973 37.8724887, -122.2294289 37.8725194, -122.2293256 37.8725385, -122.2291446 37.8725576, -122.2287007 37.8725883, -122.2285599 37.8726063, -122.2284646 37.8726317, -122.2283815 37.8726729, -122.2283319 37.8727227, -122.2282916 37.8727894, -122.2282527 37.8728783, -122.2282326 37.8730096, -122.2282125 37.8731409, -122.2281803 37.8732605, -122.2281414 37.8733579, -122.2280945 37.873432, -122.2280368 37.8734997, -122.2280167 37.87354, -122.228014 37.8735855, -122.2280449 37.8736575, -122.2280677 37.8737348, -122.2280795 37.8738344, -122.2280864 37.8740121, -122.2281025 37.8740598, -122.2281481 37.8741169, -122.2282753 37.8742028, -122.2283292 37.8742609, -122.2283627 37.8743392, -122.2283721 37.8744006, -122.2283788 37.8745054, -122.2283694 37.8745562, -122.2283439 37.8745965, -122.2282997 37.8746356, -122.228234 37.8746674, -122.2281516 37.8746979, -122.2279993 37.8747542, -122.227955 37.8747807)",,,,,,,,
33947347,33947244,0,5050933,path,False,True,9.648,,"LINESTRING (-122.2332111 37.8696867, -122.2332068 37.8696)",,,,,,,,
33947370,10562148362,0,5050925,track,False,True,201.966,,"LINESTRING (-122.2361921 37.8697606, -122.2361344 37.8697256, -122.2360806 37.869673, -122.2360457 37.8696127, -122.2360283 37.8695566, -122.2360242 37.8694867, -122.2360055 37.8694518, -122.2359639 37.8694295, -122.2359196 37.8694274, -122.2358901 37.8694444, -122.235866 37.869492, -122.2358392 37.8695894, -122.2357775 37.8696889, -122.235697 37.8697292, -122.2355779 37.8697426, -122.235366 37.8697182, -122.235264 37.8697151, -122.2351366 37.8697034, -122.2350642 37.8696854, -122.2349674 37.8696445, -122.2348105 37.8695629, -122.2347462 37.8695174, -122.2346939 37.8694708, -122.2346644 37.8694147, -122.2346485 37.8693287)",,,,,,,,
33947370,33947401,0,5149025,track,False,False,426.2519999999999,Upper Jordan Fire Trail,"LINESTRING (-122.2361921 37.8697606, -122.2362479 37.8696213, -122.2362752 37.8695531, -122.2363128 37.8694927, -122.2363933 37.869426, -122.2364831 37.8693847, -122.2367486 37.8692672, -122.2368117 37.8692101, -122.23686 37.8691455, -122.2368895 37.8690756, -122.2369069 37.8689592, -122.2369324 37.8688363, -122.2369686 37.8687495, -122.2370075 37.8687051, -122.2370571 37.8686775, -122.2371242 37.868668, -122.2372194 37.8686902, -122.2374259 37.8687855, -122.2374661 37.8687982, -122.2375238 37.8688025, -122.2376048 37.8688047, -122.2377572 37.8688088, -122.2378537 37.8688215, -122.2380442 37.8688565, -122.2381756 37.8688713, -122.2383446 37.868866, -122.2384612 37.8688469, -122.2385484 37.8688427, -122.2386141 37.8688649, -122.2386597 37.868903, -122.2387 37.8689486, -122.2387831 37.8691084, -122.2388233 37.8691698, -122.2388689 37.8692101, -122.2390258 37.8692789, -122.2390808 37.8693128, -122.2391345 37.8693625, -122.2391801 37.8694334, -122.2393222 37.8696155, -122.2395301 37.8697913)",,,,,,,,
33947370,11002337303,0,5149025,track,False,True,100.464,Upper Jordan Fire Trail,"LINESTRING (-122.2361921 37.8697606, -122.2361371 37.8698844, -122.2360741 37.8699384, -122.2359963 37.8699691, -122.2358488 37.8699766, -122.2354813 37.8699607, -122.2353338 37.8699935, -122.2352192 37.8700407)",,,,,,,,
33947401,33947406,0,7785392,path,False,False,10.764,,"LINESTRING (-122.2395301 37.8697913, -122.2395413 37.8696949)",,,,,,,,
33947401,33947370,0,5149025,track,False,True,426.252,Upper Jordan Fire Trail,"LINESTRING (-122.2395301 37.8697913, -122.2393222 37.8696155, -122.2391801 37.8694334, -122.2391345 37.8693625, -122.2390808 37.8693128, -122.2390258 37.8692789, -122.2388689 37.8692101, -122.2388233 37.8691698, -122.2387831 37.8691084, -122.2387 37.8689486, -122.2386597 37.868903, -122.2386141 37.8688649, -122.2385484 37.8688427, -122.2384612 37.8688469, -122.2383446 37.868866, -122.2381756 37.8688713, -122.2380442 37.8688565, -122.2378537 37.8688215, -122.2377572 37.8688088, -122.2376048 37.8688047, -122.2375238 37.8688025, -122.2374661 37.8687982, -122.2374259 37.8687855, -122.2372194 37.8686902, -122.2371242 37.868668, -122.2370571 37.8686775, -122.2370075 37.8687051, -122.2369686 37.8687495, -122.2369324 37.8688363, -122.2369069 37.8689592, -122.2368895 37.8690756, -122.23686 37.8691455, -122.2368117 37.8692101, -122.2367486 37.8692672, -122.2364831 37.8693847, -122.2363933 37.869426, -122.2363128 37.8694927, -122.2362752 37.8695531, -122.2362479 37.8696213, -122.2361921 37.8697606)",,,,,,,,
33947401,34351312,0,6318467,track,False,False,100.96500000000003,Upper Jordan Fire Trail,"LINESTRING (-122.2395301 37.8697913, -122.2396132 37.8698103, -122.2396937 37.8698082, -122.2397836 37.8697828, -122.2399324 37.8697024, -122.240029 37.8696695, -122.2401322 37.8696484, -122.2402503 37.8696452, -122.2404125 37.86966, -122.2405104 37.8696727, -122.2406218 37.8696949)",,,,,,,,
33947401,251225753,0,852197202,path,False,False,437.345,Sherwood Forest,"LINESTRING (-122.2395301 37.8697913, -122.2394353 37.8698331, -122.2393428 37.8697783, -122.2391992 37.8697839, -122.2390513 37.8697142, -122.2388929 37.8696762, -122.2385703 37.8696042, -122.2384915 37.8695737, -122.238457 37.869535, -122.238432 37.86936, -122.23834 37.869304, -122.238243 37.869302, -122.23776 37.869445, -122.237714 37.869476, -122.237699 37.869556, -122.237787 37.869692, -122.237844 37.869841, -122.237816 37.870147, -122.237872 37.870381, -122.238022 37.870727, -122.238153 37.870916, -122.238263 37.870955, -122.238321 37.871005, -122.238519 37.87106, -122.2385608 37.871087, -122.2386081 37.8711072, -122.238637 37.871138, -122.2386413 37.8711371, -122.2386533 37.8711138, -122.23866 37.871071, -122.2386922 37.8710794, -122.2386983 37.8711027, -122.2386919 37.8711254, -122.2386983 37.8711663, -122.2387254 37.8712014)",,,,,,,,
33947406,33947401,0,7785392,path,False,True,10.764,,"LINESTRING (-122.2395413 37.8696949, -122.2395301 37.8697913)",,,,,,,,
33947406,33947416,0,7785390,path,False,False,37.229,,"LINESTRING (-122.2395413 37.8696949, -122.2395713 37.8696401, -122.2396223 37.8696074, -122.239685 37.8694912, -122.2396954 37.8693946)",,,,,,,,
33947406,33947423,0,7785392,path,False,False,78.517,,"LINESTRING (-122.2395413 37.8696949, -122.2394476 37.8695748, -122.2393771 37.8693663, -122.2394042 37.8692147, -122.2394592 37.8690234)",,,,,,,,
33947416,33947530,0,"[1136638288, 5050929]",path,False,False,68.354,,"LINESTRING (-122.2396954 37.8693946, -122.2398468 37.8692712, -122.2400856 37.8691723, -122.2403687 37.8691177)",,,,,,,,
33947416,33947423,0,7785390,path,False,False,46.839,,"LINESTRING (-122.2396954 37.8693946, -122.239651 37.8692509, -122.239506 37.8690824, -122.2394592 37.8690234)",,,,,,,,
33947416,33947406,0,7785390,path,False,True,37.229,,"LINESTRING (-122.2396954 37.8693946, -122.239685 37.8694912, -122.2396223 37.8696074, -122.2395713 37.8696401, -122.2395413 37.8696949)",,,,,,,,
33947423,34351343,0,5072898,path,False,False,17.71,,"LINESTRING (-122.2394592 37.8690234, -122.2394892 37.8689446, -122.2395487 37.8688836)",,,,,,,,
33947423,33947416,0,7785390,path,False,True,46.839,,"LINESTRING (-122.2394592 37.8690234, -122.239506 37.8690824, -122.239651 37.8692509, -122.2396954 37.8693946)",,,,,,,,
33947423,33947436,0,7785392,path,False,False,59.154,,"LINESTRING (-122.2394592 37.8690234, -122.2393363 37.8688474, -122.2392553 37.8687246, -122.2392932 37.8686371, -122.2393073 37.8686027, -122.2392979 37.8685392)",,,,,,,,
33947423,33947406,0,7785392,path,False,True,78.517,,"LINESTRING (-122.2394592 37.8690234, -122.2394042 37.8692147, -122.2393771 37.8693663, -122.2394476 37.8695748, -122.2395413 37.8696949)",,,,,,,,
33947436,34351343,0,27780357,path,False,True,44.173,,"LINESTRING (-122.2392979 37.8685392, -122.2395487 37.8688836)",,,,,,,,
33947436,33947423,0,7785392,path,False,True,59.154,,"LINESTRING (-122.2392979 37.8685392, -122.2393073 37.8686027, -122.2392932 37.8686371, -122.2392553 37.8687246, -122.2393363 37.8688474, -122.2394592 37.8690234)",,,,,,,,
33947436,33947459,0,27780353,path,False,False,122.05799999999998,,"LINESTRING (-122.2392979 37.8685392, -122.2391825 37.8684259, -122.2390698 37.8683916, -122.2388962 37.8683145, -122.2388049 37.8682081, -122.2386984 37.8681115, -122.2385482 37.8680204, -122.2384382 37.8679685, -122.2382076 37.8679061)",,,,,,,,
33947459,33947477,0,5050927,path,False,False,155.343,,"LINESTRING (-122.2382076 37.8679061, -122.2379957 37.8678881, -122.2377489 37.8679167, -122.237474 37.8679495, -122.237136 37.8679463, -122.236845 37.8678299, -122.2366137 37.8677716, -122.2364956 37.8677473)",,,,,,,,
33947459,10562148486,0,5050927,path,False,True,16.076999999999998,,"LINESTRING (-122.2382076 37.8679061, -122.2382725 37.8678199, -122.2383162 37.8677921)",,,,,,,,
33947459,33947436,0,27780353,path,False,True,122.05799999999999,,"LINESTRING (-122.2382076 37.8679061, -122.2384382 37.8679685, -122.2385482 37.8680204, -122.2386984 37.8681115, -122.2388049 37.8682081, -122.2388962 37.8683145, -122.2390698 37.8683916, -122.2391825 37.8684259, -122.2392979 37.8685392)",,,,,,,,
33947477,33947459,0,5050927,path,False,True,155.343,,"LINESTRING (-122.2364956 37.8677473, -122.2366137 37.8677716, -122.236845 37.8678299, -122.237136 37.8679463, -122.237474 37.8679495, -122.2377489 37.8679167, -122.2379957 37.8678881, -122.2382076 37.8679061)",,,,,,,,
33947477,10562148367,0,5149042,track,False,False,82.963,East West Trail,"LINESTRING (-122.2364956 37.8677473, -122.2363481 37.8678203, -122.2362033 37.8679103, -122.2361094 37.8680374, -122.2359482 37.8683267)",,,,,,,,
33947530,34351371,0,1136638289,path,False,True,24.179,,"LINESTRING (-122.2403687 37.8691177, -122.2406169 37.869212)",,,,,,,,
33947530,33947416,0,"[1136638288, 5050929]",path,False,True,68.354,,"LINESTRING (-122.2403687 37.8691177, -122.2400856 37.8691723, -122.2398468 37.8692712, -122.2396954 37.8693946)",,,,,,,,
33947530,34351343,0,"[1136638289, 27780357]",path,False,False,79.511,,"LINESTRING (-122.2403687 37.8691177, -122.2400891 37.8689906, -122.2397997 37.8690034, -122.2395487 37.8688836)",,,,,,,,
34351251,34351399,0,7989173,path,False,False,18.533,,"LINESTRING (-122.2324636 37.8703985, -122.2325485 37.8702459)",,,,,,,,
