element_type,osmid,amenity,layer,location,name,official_name,geometry,addr:housenumber,addr:street,alt_name,level,source,wikidata,addr:city,addr:postcode,internet_access,internet_access:fee,website,operator,toilets:wheelchair,wheelchair,nodes,building,building:levels,name:etymology:wikidata,name:etymology:wikipedia,addr:state,ele,gnis:county_name,gnis:feature_id,access,air_conditioning,phone
node,1250624743,library,-1,underground,Main Stacks,David Pierpont Gardner Stacks,POINT (-122.259322 37.8729501),,,,,,,,,,,,,,,,,,,,,,,,,,
node,1328041811,library,,,Harmer E. Davis Transportation Library,,POINT (-122.2589305 37.8738174),412,McLaughlin Hall,Institute of Transportation Studies Library,4,Bing,Q7835174,,,,,,,,,,,,,,,,,,,,
node,1328042658,library,,,Earth Sciences and Map Library,,POINT (-122.259657 37.8740281),50,McCone Hall,,,,,Berkeley,94720,yes,no,https://www.lib.berkeley.edu/visit/earth-sciences,,,,,,,,,,,,,,,
node,1633459013,library,,,Berkeley Law Library,,POINT (-122.2533729 37.8697651),,,,,,,,,,,,,,,,,,,,,,,,,,
node,2286104937,library,,,Sheldon Marten Public Health Library,,POINT (-122.26671 37.872072),,,,,,,,,,,,,,,,,,,,,,,,,,
node,2427751948,library,1,,Environmental Design Library,,POINT (-122.2545822 37.8708019),,,,2,,,,,,,,"University of California, Berkeley",yes,yes,,,,,,,,,,,,
node,2427751968,library,,,Anthropology Library,,POINT (-122.2550952 37.8698095),,,,,,,,,,,,"University of California, Berkeley",,,,,,,,,,,,,,
node,4121837398,library,,,Marian Koshland Bioscience & Natural Resources Library,,POINT (-122.2626838 37.8713738),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4121844989,library,,,Environmental Design Archives,,POINT (-122.2544214 37.8702308),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4124184017,library,-1,,Kresge Engineering Library,,POINT (-122.258186 37.8739952),,,,1,,,,,,,,,,,,,,,,,,,,,,
node,4124184018,library,,,Chemistry and Chemical Engineering Library,,POINT (-122.2558076 37.8725411),100,Hildebrand Hall,,,,,,,,,https://www.lib.berkeley.edu/libraries/chemistry-library,,,limited,,,,,,,,,,,,
node,4124184019,library,,,Physics-Astronomy Library,,POINT (-122.2569047 37.8726634),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4124184020,library,,,Institute for Research on Labor and Employment Library,,POINT (-122.2578435 37.8671753),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4124184021,library,,,Ethnic Studies Library,,POINT (-122.2574305 37.8715709),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4124184022,library,,,Mathematics Statistics Library,,POINT (-122.2576719 37.8736458),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4124184024,library,,,Social Research Library,,POINT (-122.2611426 37.873883),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4124184025,library,,,Institute of Governmental Studies Library,,POINT (-122.2579066 37.8710437),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4124184027,library,,,Optometry and Health Sciences Library,,POINT (-122.2547533 37.871681),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4124184028,library,,,Thomas J. Long Business Library,,POINT (-122.2534393 37.8713766),,,,,,,,,,,,,,,,,,,,,,,,,,
node,4253128648,library,,,Howison Philosophy Library,,POINT (-122.2579691 37.8708584),,,,,,,,,,,,,,,,,,,,,,,,,,
node,9445868663,library,,,Berkeley Art Museum and Pacific Film Archive Film Library,,POINT (-122.2661288 37.8711131),,,,,,,,,,,https://bampfa.org/visit/library-study-centers,,,,,,,,,,,,,,,
