osmid,y,x,street_count,highway,geometry
33947244,37.8696,-122.2332068,3,,POINT (-122.2332068 37.8696)
33947297,37.8706885,-122.2310635,3,,POINT (-122.2310635 37.8706885)
33947347,37.8696867,-122.2332111,1,,POINT (-122.2332111 37.8696867)
33947370,37.8697606,-122.2361921,3,,POINT (-122.2361921 37.8697606)
33947401,37.8697913,-122.2395301,4,,POINT (-122.2395301 37.8697913)
33947406,37.8696949,-122.2395413,3,,POINT (-122.2395413 37.8696949)
33947416,37.8693946,-122.2396954,3,,POINT (-122.2396954 37.8693946)
33947423,37.8690234,-122.2394592,4,,POINT (-122.2394592 37.8690234)
33947436,37.8685392,-122.2392979,3,,POINT (-122.2392979 37.8685392)
33947459,37.8679061,-122.2382076,3,,POINT (-122.2382076 37.8679061)
33947477,37.8677473,-122.2364956,3,,POINT (-122.2364956 37.8677473)
33947530,37.8691177,-122.2403687,3,,POINT (-122.2403687 37.8691177)
34351251,37.8703985,-122.2324636,4,,POINT (-122.2324636 37.8703985)
34351312,37.8696949,-122.2406218,3,,POINT (-122.2406218 37.8696949)
34351336,37.8697802,-122.2431026,3,,POINT (-122.2431026 37.8697802)
34351343,37.8688836,-122.2395487,3,,POINT (-122.2395487 37.8688836)
34351354,37.8696849,-122.2430972,3,,POINT (-122.2430972 37.8696849)
34351371,37.869212,-122.2406169,3,,POINT (-122.2406169 37.869212)
34351399,37.8702459,-122.2325485,1,,POINT (-122.2325485 37.8702459)
35706118,37.8719389,-122.2289137,3,,POINT (-122.2289137 37.8719389)
35706170,37.8734339,-122.2268625,4,,POINT (-122.2268625 37.8734339)
35706185,37.8738723,-122.2268299,3,,POINT (-122.2268299 37.8738723)
35706271,37.8757359,-122.2218906,3,,POINT (-122.2218906 37.8757359)
35706305,37.8769175,-122.2224067,3,,POINT (-122.2224067 37.8769175)
35706309,37.8772791,-122.2230503,3,,POINT (-122.2230503 37.8772791)
35706316,37.8779186,-122.2226336,3,,POINT (-122.2226336 37.8779186)
35706337,37.8769204,-122.2236499,3,,POINT (-122.2236499 37.8769204)
35706339,37.8773426,-122.2234661,4,,POINT (-122.2234661 37.8773426)
35706354,37.8785896,-122.2246275,4,,POINT (-122.2246275 37.8785896)
35706357,37.8784922,-122.2240365,3,,POINT (-122.2240365 37.8784922)
35706370,37.8780454,-122.2227577,3,,POINT (-122.2227577 37.8780454)
35706427,37.8779883,-122.2261697,3,,POINT (-122.2261697 37.8779883)
35706430,37.8784583,-122.2265721,3,,POINT (-122.2265721 37.8784583)
35706444,37.8778779,-122.2266676,1,,POINT (-122.2266676 37.8778779)
35706458,37.8768085,-122.2250801,1,,POINT (-122.2250801 37.8768085)
35706545,37.8747807,-122.227955,3,,POINT (-122.227955 37.8747807)
35719112,37.8702597,-122.2495982,3,,POINT (-122.2495982 37.8702597)
35719113,37.8707429,-122.2493802,3,crossing,POINT (-122.2493802 37.8707429)
35719115,37.8713999,-122.2496515,3,stop,POINT (-122.2496515 37.8713999)
35719120,37.8721779,-122.2477037,4,crossing,POINT (-122.2477037 37.8721779)
35719148,37.8798588,-122.2460506,4,crossing,POINT (-122.2460506 37.8798588)
35719150,37.8804591,-122.2468503,4,crossing,POINT (-122.2468503 37.8804591)
35719160,37.8819951,-122.2448516,3,,POINT (-122.2448516 37.8819951)
52978764,37.8696085,-122.2450445,4,,POINT (-122.2450445 37.8696085)
52980317,37.8729497,-122.2528725,3,stop,POINT (-122.2528725 37.8729497)
52980578,37.8712036,-122.2544156,4,,POINT (-122.2544156 37.8712036)
52980653,37.8738506,-122.2574619,3,,POINT (-122.2574619 37.8738506)
52980669,37.8732499,-122.2572892,3,,POINT (-122.2572892 37.8732499)
52987667,37.8733702,-122.2598888,5,crossing,POINT (-122.2598888 37.8733702)
52987668,37.8739081,-122.2599958,3,,POINT (-122.2599958 37.8739081)
52987672,37.8746059,-122.2600538,4,,POINT (-122.2600538 37.8746059)
52987674,37.8749595,-122.2601304,3,,POINT (-122.2601304 37.8749595)
52991818,37.8713007,-122.2544648,4,crossing,POINT (-122.2544648 37.8713007)
52991825,37.872299,-122.2564749,3,,POINT (-122.2564749 37.872299)
52991827,37.8720918,-122.256879,4,crossing,POINT (-122.256879 37.8720918)
52991829,37.8718208,-122.2574512,4,,POINT (-122.2574512 37.8718208)
52991832,37.8712562,-122.2580568,3,,POINT (-122.2580568 37.8712562)
52991834,37.8707314,-122.2596192,3,,POINT (-122.2596192 37.8707314)
52996303,37.8778998,-122.2435606,3,,POINT (-122.2435606 37.8778998)
52996307,37.8766174,-122.2461152,3,,POINT (-122.2461152 37.8766174)
52996308,37.8769444,-122.2474132,3,,POINT (-122.2474132 37.8769444)
52996310,37.877599,-122.2484072,3,,POINT (-122.2484072 37.877599)
52996313,37.8789076,-122.2496708,3,,POINT (-122.2496708 37.8789076)
52996323,37.8767622,-122.2509454,3,,POINT (-122.2509454 37.8767622)
52996328,37.8775369,-122.2518231,3,,POINT (-122.2518231 37.8775369)
52996330,37.8776417,-122.251962,3,,POINT (-122.251962 37.8776417)
52996336,37.8721991,-122.2618656,4,,POINT (-122.2618656 37.8721991)
53006318,37.8702461,-122.2620664,3,,POINT (-122.2620664 37.8702461)
53006319,37.8699769,-122.2617708,4,,POINT (-122.2617708 37.8699769)
53010160,37.8703296,-122.2586363,3,,POINT (-122.2586363 37.8703296)
53010615,37.8745459,-122.2628627,3,,POINT (-122.2628627 37.8745459)
53011953,37.8717976,-122.2528602,3,,POINT (-122.2528602 37.8717976)
53013898,37.8741009,-122.2621588,4,turning_circle,POINT (-122.2621588 37.8741009)
53013906,37.8727947,-122.262091,4,,POINT (-122.262091 37.8727947)
53013929,37.8739975,-122.256841,3,,POINT (-122.256841 37.8739975)
53013944,37.8735649,-122.2566153,4,,POINT (-122.2566153 37.8735649)
53013951,37.8725081,-122.2577124,4,crossing,POINT (-122.2577124 37.8725081)
53024385,37.8713386,-122.2608751,3,,POINT (-122.2608751 37.8713386)
53034136,37.872648,-122.2629823,4,crossing,POINT (-122.2629823 37.872648)
53034140,37.8726743,-122.2615743,4,crossing,POINT (-122.2615743 37.8726743)
53034144,37.8731429,-122.2609863,4,,POINT (-122.2609863 37.8731429)
