element_type,osmid,nodes,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,addr:street:name,addr:street:prefix,addr:street:type,building,chicago:building_id,name,geometry,wikidata,wikipedia,building:levels,layer
way,143841712,"[1574086340, 1574086293, 1574086309, 1574086294, 1574086307, 1574086319, 1574086301, 1574086322, 1574086330, 1574086351, 1574086344, 1574086303, 1574086317, 1574086299, 1574086316, 1574086346, 1574086348, 1574086315, 1574086350, 1574086329, 1574086337, 1574086297, 1574086355, 1574086325, 1574086340]",Chicago,1427,60637,IL,East 60th Street,60th,East,Street,university,815679,University Press Building,"POLYGON ((-87.5906681 41.7859035, -87.5903721 41.7859074, -87.5903711 41.7858647, -87.5903643 41.7858648, -87.5903647 41.7858793, -87.5902853 41.7858804, -87.5902849 41.7858651, -87.5902762 41.7858652, -87.5902772 41.7859068, -87.5899705 41.7859109, -87.5899697 41.785874, -87.5899145 41.7858748, -87.5899088 41.7856368, -87.5899674 41.785636, -87.5899664 41.7855922, -87.5902699 41.7855882, -87.5902709 41.7856305, -87.5903604 41.7856293, -87.5903594 41.7855872, -87.5906589 41.7855832, -87.59066 41.7856286, -87.5907169 41.7856279, -87.5907224 41.785858, -87.590667 41.7858587, -87.5906681 41.7859035))",,,,
way,144636084,"[1581591937, 1581591718, 1581591877, 1581591777, 1581591937]",Chicago,1407,60637,IL,East 60th Street,,,,school,,Chicago Theological Seminary,"POLYGON ((-87.5912874 41.7859029, -87.5908313 41.7859102, -87.5908199 41.7855144, -87.5912759 41.7855071, -87.5912874 41.7859029))",Q5095808,en:Chicago Theological Seminary,,
way,144636085,"[1581591986, 1581591883, 1581591874, 1581591888, 1581591986]",Chicago,6053,60637,IL,South Blackstone Avenue,Blackstone,South,Avenue,industrial,513755,University of Chicago Steam Plant,"POLYGON ((-87.5902255 41.7847181, -87.5898772 41.7847243, -87.5898684 41.7844513, -87.5902167 41.7844451, -87.5902255 41.7847181))",,,3,
way,144636088,"[1581591855, 1581591973, 1581591740, 1581591769, 1581591855]",Chicago,6055,60637,IL,South Blackstone Avenue,Blackstone,South,Avenue,industrial,514843,Steam Plant Auxiliary Building,"POLYGON ((-87.5902005 41.7844324, -87.5899397 41.7844359, -87.5899373 41.7843351, -87.5901981 41.7843317, -87.5902005 41.7844324))",,,,
way,211212920,"[2212234616, 2212234656, 2212234657, 2212234617, 2212234616]",Chicago,6041,60637,IL,South Blackstone Avenue,Blackstone,South,Avenue,yes,512875,,"POLYGON ((-87.5901526 41.7848572, -87.5901553 41.7849423, -87.5900233 41.7849442, -87.5900206 41.7848591, -87.5901526 41.7848572))",,,,
way,211213310,"[2212233904, 2212233907, 2212233945, 2212233940, 2212234024, 2212234023, 2212234479, 2212234482, 2212234500, 2212234499, 2212234553, 2212234550, 2212233904]",Chicago,,60637,,,,,,yes,514878,,"POLYGON ((-87.5899732 41.7838832, -87.5900519 41.7838933, -87.5900443 41.7839235, -87.5900315 41.7839207, -87.5900218 41.7839618, -87.5900053 41.7839603, -87.5899533 41.7841822, -87.5899972 41.7841894, -87.5899895 41.7842236, -87.5899437 41.7842178, -87.5898954 41.7844275, -87.5898442 41.7844216, -87.5899732 41.7838832))",,,,
way,211213730,"[2212234342, 2212234350, 2212234481, 2212234480, 2212234342]",Chicago,,60637,,,,,,yes,515741,,"POLYGON ((-87.5899876 41.7840713, -87.5901305 41.7840722, -87.5901293 41.7841834, -87.5899863 41.7841824, -87.5899876 41.7840713))",,,,
way,211213753,"[2212234610, 2212234618, 2212234623, 2212234611, 2212234610]",Chicago,,60637,IL,South Blackstone Avenue,,,,yes,513177,,"POLYGON ((-87.5899038 41.7848131, -87.589905 41.7848652, -87.5897547 41.784867, -87.5897535 41.7848149, -87.5899038 41.7848131))",,,,
way,533422554,"[5175102979, 5175102976, 5175102988, 5175102964, 5175102975, 5175102970, 5175102967, 5175102977, 5175102974, 5175102968, 5175102982, 5175102990, 5175102969, 5175102983, 5175102962, 5175102971, 5175102992, 5175102978, 5175102980, 5175102965, 5175102986, 5175102993, 5175102987, 5175102989, 5175102985, 5175102961, 5175102981, 5175102963, 5175102979]",Chicago,6033,60637,IL,South Blackstone Avenue,,,,industrial,889246,South Campus Chiller Plant,"POLYGON ((-87.5902725 41.7852355, -87.5902563 41.7852441, -87.5902365 41.7852471, -87.5902246 41.7852474, -87.5898488 41.7852524, -87.589835 41.7852522, -87.5898179 41.7852497, -87.5897946 41.7852414, -87.589781 41.7852258, -87.5897746 41.7852119, -87.5897744 41.785201, -87.5897708 41.7850469, -87.5897722 41.7850352, -87.5897762 41.7850222, -87.589789 41.7850064, -87.5898092 41.7849963, -87.5898278 41.7849917, -87.5898453 41.78499, -87.5902167 41.7849854, -87.5902337 41.7849866, -87.5902497 41.7849903, -87.5902686 41.7849975, -87.590283 41.7850115, -87.5902901 41.7850262, -87.5902917 41.7850375, -87.5902954 41.7851973, -87.5902941 41.7852091, -87.5902866 41.7852248, -87.5902725 41.7852355))",,,,1
way,663674229,"[6211946276, 6211946281, 6211946269, 6211947486, 6211946268, 6211947485, 6211946275, 6211946270, 6211946271, 6211947491, 6211946272, 6211946282, 6211947488, 6211946277, 6211946279, 6211946278, 6211947490, 6211947492, 6211946273, 6211946283, 6211947487, 6211946267, 6211946274, 6211946284, 6211946280, 6211947489, 6211946276]",,,,,,,,,school,,,"POLYGON ((-87.5909996 41.7858248, -87.5910514 41.7858354, -87.5911054 41.7858305, -87.5911396 41.7858204, -87.5911697 41.7858109, -87.5911934 41.7857962, -87.5912186 41.7857731, -87.5912357 41.7857462, -87.5912335 41.7856947, -87.591224 41.7856629, -87.5912037 41.7856301, -87.5911758 41.7856103, -87.5911424 41.7855933, -87.5911119 41.785584, -87.591038 41.7855801, -87.590975 41.7855969, -87.5909302 41.785626, -87.5909105 41.7856486, -87.5908986 41.7856845, -87.5909025 41.785722, -87.5909165 41.7857433, -87.5908916 41.7857495, -87.5909177 41.7857844, -87.5909504 41.7858103, -87.5909704 41.7857986, -87.5909967 41.7858143, -87.5909996 41.7858248))",,,,
