u,v,key,osmid,highway,service,oneway,reversed,length,geometry
1678146192,9258025204,0,155418361,service,driveway,False,False,35.84,"LINESTRING (-87.5907372 41.7853587, -87.590305 41.7853641)"
1678146192,1985537151,0,155418361,service,driveway,False,True,17.15,"LINESTRING (-87.5907372 41.7853587, -87.590944 41.7853556)"
1678146192,1985537115,0,155418359,service,parking_aisle,False,False,15.529,"LINESTRING (-87.5907372 41.7853587, -87.5907329 41.7852534, -87.5907318 41.7852191)"
1678146278,7927440391,0,155418361,service,driveway,False,True,15.391,"LINESTRING (-87.5896584 41.7853721, -87.589844 41.7853698)"
1985537111,1985537151,0,155418361,service,driveway,False,False,18.576,"LINESTRING (-87.591168 41.7853524, -87.590944 41.7853556)"
1985537111,9258024097,0,155418361,service,driveway,False,True,15.806,"LINESTRING (-87.591168 41.7853524, -87.5913586 41.7853495)"
1985537111,1985537117,0,187916116,service,parking_aisle,True,False,15.059,"LINESTRING (-87.591168 41.7853524, -87.591164 41.785217)"
1985537115,1985537115,0,155418359,service,parking_aisle,False,False,88.44800000000001,"LINESTRING (-87.5907318 41.7852191, -87.5907245 41.7849871, -87.5905019 41.7849911, -87.5905101 41.785223, -87.5907318 41.7852191)"
1985537115,1985537115,1,155418359,service,parking_aisle,False,True,88.44800000000001,"LINESTRING (-87.5907318 41.7852191, -87.5905101 41.785223, -87.5905019 41.7849911, -87.5907245 41.7849871, -87.5907318 41.7852191)"
1985537115,1678146192,0,155418359,service,parking_aisle,False,True,15.529,"LINESTRING (-87.5907318 41.7852191, -87.5907329 41.7852534, -87.5907372 41.7853587)"
1985537117,1985537121,0,187916116,service,parking_aisle,True,False,71.62,"LINESTRING (-87.591164 41.785217, -87.5911569 41.7849796, -87.5909284 41.7849831, -87.5909383 41.7852192)"
1985537121,1985537117,0,187916113,service,parking_aisle,True,False,18.715,"LINESTRING (-87.5909383 41.7852192, -87.591164 41.785217)"
1985537121,1985537151,0,187916116,service,parking_aisle,True,False,15.174,"LINESTRING (-87.5909383 41.7852192, -87.590944 41.7853556)"
1985537151,1678146192,0,155418361,service,driveway,False,False,17.15,"LINESTRING (-87.590944 41.7853556, -87.5907372 41.7853587)"
1985537151,1985537111,0,155418361,service,driveway,False,True,18.576,"LINESTRING (-87.590944 41.7853556, -87.591168 41.7853524)"
5394546294,5394546302,0,981060740,footway,,False,False,79.707,"LINESTRING (-87.5913724 41.7860097, -87.5904111 41.786017)"
5394546294,9258025198,0,1003207074,footway,,False,True,62.432,"LINESTRING (-87.5913724 41.7860097, -87.5913607 41.7854483)"
5394546302,5394546294,0,981060740,footway,,False,True,79.707,"LINESTRING (-87.5904111 41.786017, -87.5913724 41.7860097)"
7927440391,1678146278,0,155418361,service,driveway,False,False,15.391,"LINESTRING (-87.589844 41.7853698, -87.5896584 41.7853721)"
7927440391,9258025204,0,155418361,service,driveway,False,True,38.228,"LINESTRING (-87.589844 41.7853698, -87.590305 41.7853641)"
7927440391,7927440392,0,849695202,service,driveway,False,False,29.765,"LINESTRING (-87.589844 41.7853698, -87.5898527 41.7856374)"
7927440392,7927440391,0,849695202,service,driveway,False,True,29.765,"LINESTRING (-87.5898527 41.7856374, -87.589844 41.7853698)"
9258024096,9258025136,0,1003207074,footway,,False,False,2.024,"LINESTRING (-87.5913362 41.7842719, -87.5913366 41.7842901)"
9258024097,1985537111,0,155418361,service,driveway,False,False,15.806,"LINESTRING (-87.5913586 41.7853495, -87.591168 41.7853524)"
9258024097,9258025198,0,1003207074,footway,,False,False,10.987,"LINESTRING (-87.5913586 41.7853495, -87.5913607 41.7854483)"
9258024097,9258025136,0,1003207074,footway,,False,True,117.814,"LINESTRING (-87.5913586 41.7853495, -87.5913366 41.7842901)"
9258025136,9258024097,0,1003207074,footway,,False,False,117.814,"LINESTRING (-87.5913366 41.7842901, -87.5913586 41.7853495)"
9258025136,9258024096,0,1003207074,footway,,False,True,2.024,"LINESTRING (-87.5913366 41.7842901, -87.5913362 41.7842719)"
9258025197,9258025203,0,1003207106,footway,,False,True,6.621,"LINESTRING (-87.5902062 41.7849253, -87.590286 41.7849232)"
9258025198,5394546294,0,1003207074,footway,,False,False,62.432,"LINESTRING (-87.5913607 41.7854483, -87.5913724 41.7860097)"
9258025198,9258024097,0,1003207074,footway,,False,True,10.987,"LINESTRING (-87.5913607 41.7854483, -87.5913586 41.7853495)"
9258025198,9258025202,0,"[1003207107, 1003207108, 1003207109]",footway,,False,False,90.336,"LINESTRING (-87.5913607 41.7854483, -87.5908313 41.7854558, -87.5908333 41.7854834, -87.5903104 41.78549)"
