osmid,y,x,street_count,highway,geometry
1678146192,41.7853587,-87.5907372,3,,POINT (-87.5907372 41.7853587)
1678146278,41.7853721,-87.5896584,1,,POINT (-87.5896584 41.7853721)
1985537111,41.7853524,-87.591168,3,,POINT (-87.591168 41.7853524)
1985537115,41.7852191,-87.5907318,3,,POINT (-87.5907318 41.7852191)
1985537117,41.785217,-87.591164,2,,POINT (-87.591164 41.785217)
1985537121,41.7852192,-87.5909383,2,,POINT (-87.5909383 41.7852192)
1985537151,41.7853556,-87.590944,3,,POINT (-87.590944 41.7853556)
5394546294,41.7860097,-87.5913724,4,,POINT (-87.5913724 41.7860097)
5394546302,41.786017,-87.5904111,3,,POINT (-87.5904111 41.786017)
7927440391,41.7853698,-87.589844,3,,POINT (-87.589844 41.7853698)
7927440392,41.7856374,-87.5898527,1,,POINT (-87.5898527 41.7856374)
9258024096,41.7842719,-87.5913362,3,,POINT (-87.5913362 41.7842719)
9258024097,41.7853495,-87.5913586,4,crossing,POINT (-87.5913586 41.7853495)
9258025136,41.7842901,-87.5913366,3,,POINT (-87.5913366 41.7842901)
9258025197,41.7849253,-87.5902062,1,,POINT (-87.5902062 41.7849253)
9258025198,41.7854483,-87.5913607,3,,POINT (-87.5913607 41.7854483)
9258025199,41.7854952,-87.5899067,1,,POINT (-87.5899067 41.7854952)
9258025202,41.78549,-87.5903104,3,,POINT (-87.5903104 41.78549)
9258025203,41.7849232,-87.590286,3,,POINT (-87.590286 41.7849232)
9258025204,41.7853641,-87.590305,4,crossing,POINT (-87.590305 41.7853641)
