u,v,key,osmid,highway,oneway,reversed,length,geometry,name,tunnel,bridge,service
2271614763,2271614816,0,978102531,residential,False,True,126.303,"LINESTRING (103.9231521 30.7468228, 103.9239314 30.7477402)",,,,
2271614763,5261502088,0,217855082,residential,False,False,125.401,"LINESTRING (103.9231521 30.7468228, 103.923396 30.7466661, 103.9236686 30.7464784, 103.9238665 30.7463187, 103.9239946 30.7461887, 103.9241134 30.7460627)",,,,
2271614763,2271614975,0,217855082,residential,False,True,345.81899999999996,"LINESTRING (103.9231521 30.7468228, 103.9228757 30.7470027, 103.9226904 30.7471162, 103.9224868 30.7472157, 103.9222998 30.7472968, 103.9221975 30.747342, 103.9221473 30.7473731, 103.9221317 30.747434, 103.9221374 30.7474943, 103.9221721 30.7475975, 103.9228655 30.7493519)",,,,
2271614816,2271614763,0,978102531,residential,False,False,126.303,"LINESTRING (103.9239314 30.7477402, 103.9231521 30.7468228)",,,,
2271614816,2271614926,0,604615489,residential,False,False,146.33700000000002,"LINESTRING (103.9239314 30.7477402, 103.9238294 30.7478152, 103.9237155 30.7479025, 103.9236292 30.7479774, 103.9235579 30.7480675, 103.9235164 30.7481431, 103.9234775 30.7482255, 103.9234502 30.7483179, 103.923438 30.7484153, 103.923445 30.7485193, 103.9234586 30.7486153, 103.9234848 30.7486967, 103.9235216 30.7487758, 103.9235953 30.7488763)",,,,
2271614816,2271614823,0,604615489,residential,False,True,146.459,"LINESTRING (103.9239314 30.7477402, 103.9241518 30.7476155, 103.9242713 30.747562, 103.9243824 30.7475338, 103.9245328 30.747515, 103.9246398 30.7475141, 103.9247718 30.7475241, 103.9248785 30.747549, 103.924977 30.7475826, 103.9250539 30.7476175, 103.9251835 30.7477118, 103.9252849 30.7478106)",,,,
2271614823,5515470578,0,217855049,residential,False,True,93.914,"LINESTRING (103.9252849 30.7478106, 103.9260629 30.7472946)",,,,
2271614823,5467635368,0,217855304,residential,False,False,39.64,"LINESTRING (103.9252849 30.7478106, 103.9255434 30.7480894)",,,,
2271614823,5848171203,0,217855052,cycleway,False,True,59.628,"LINESTRING (103.9252849 30.7478106, 103.9247999 30.7481165, 103.9247819 30.7481279)",,,,
2271614823,2271614816,0,604615489,residential,False,False,146.459,"LINESTRING (103.9252849 30.7478106, 103.9251835 30.7477118, 103.9250539 30.7476175, 103.924977 30.7475826, 103.9248785 30.747549, 103.9247718 30.7475241, 103.9246398 30.7475141, 103.9245328 30.747515, 103.9243824 30.7475338, 103.9242713 30.747562, 103.9241518 30.7476155, 103.9239314 30.7477402)",,,,
2271614887,2271614911,0,544688571,residential,False,False,30.295,"LINESTRING (103.9258354 30.7484412, 103.9260216 30.7486617)",银杏大道,,,
2271614887,2271614911,1,217855144,cycleway,False,True,139.44,"LINESTRING (103.9258354 30.7484412, 103.9262891 30.7481483, 103.9264828 30.7483536, 103.9260216 30.7486617)",,,,
2271614887,5515470575,0,217855043,cycleway,False,False,59.51,"LINESTRING (103.9258354 30.7484412, 103.9257993 30.7484644, 103.9253366 30.7487616)",,,,
2271614887,5467635368,0,"[217855304, 544688571, 544688572]",residential,False,True,48.052,"LINESTRING (103.9258354 30.7484412, 103.925755 30.7483423, 103.9256171 30.7481787, 103.9255434 30.7480894)",银杏大道,building_passage,,
2271614911,2271614887,0,544688571,residential,False,True,30.295,"LINESTRING (103.9260216 30.7486617, 103.9258354 30.7484412)",银杏大道,,,
2271614911,2271614887,1,217855144,cycleway,False,False,139.44,"LINESTRING (103.9260216 30.7486617, 103.9264828 30.7483536, 103.9262891 30.7481483, 103.9258354 30.7484412)",,,,
2271614911,2271614954,0,544688571,residential,False,False,49.833,"LINESTRING (103.9260216 30.7486617, 103.9261466 30.748808, 103.9261918 30.748861, 103.9263254 30.7490259)",银杏大道,,,
2271614926,2271614975,0,544277135,residential,False,False,87.525,"LINESTRING (103.9235953 30.7488763, 103.9228655 30.7493519)",,,,
2271614926,5265110656,0,687370095,residential,False,True,35.798,"LINESTRING (103.9235953 30.7488763, 103.9238319 30.7491259)",,,,
2271614926,6443127406,0,217855052,cycleway,False,False,64.149,"LINESTRING (103.9235953 30.7488763, 103.9240884 30.7485653, 103.9241365 30.748535)",,,,
2271614926,2271614816,0,604615489,residential,False,True,146.33700000000002,"LINESTRING (103.9235953 30.7488763, 103.9235216 30.7487758, 103.9234848 30.7486967, 103.9234586 30.7486153, 103.923445 30.7485193, 103.923438 30.7484153, 103.9234502 30.7483179, 103.9234775 30.7482255, 103.9235164 30.7481431, 103.9235579 30.7480675, 103.9236292 30.7479774, 103.9237155 30.7479025, 103.9238294 30.7478152, 103.9239314 30.7477402)",,,,
2271614954,5260256711,0,217855042,service,False,False,12.482,"LINESTRING (103.9263254 30.7490259, 103.9264495 30.7489909)",,,,
2271614954,5260256677,0,217855042,service,False,True,10.25,"LINESTRING (103.9263254 30.7490259, 103.9262374 30.7490786)",,,,
2271614954,5259941787,0,544688571,residential,False,False,254.231,"LINESTRING (103.9263254 30.7490259, 103.9279006 30.7508684)",银杏大道,,,
2271614954,2271614911,0,544688571,residential,False,True,49.833,"LINESTRING (103.9263254 30.7490259, 103.9261918 30.748861, 103.9261466 30.748808, 103.9260216 30.7486617)",银杏大道,,,
2271614975,5260008990,0,544277135,residential,False,False,5.407,"LINESTRING (103.9228655 30.7493519, 103.9228222 30.7493832)",,,,
2271614975,2271614926,0,544277135,residential,False,True,87.525,"LINESTRING (103.9228655 30.7493519, 103.9235953 30.7488763)",,,,
2271614975,2271614763,0,217855082,residential,False,False,345.81899999999996,"LINESTRING (103.9228655 30.7493519, 103.9221721 30.7475975, 103.9221374 30.7474943, 103.9221317 30.747434, 103.9221473 30.7473731, 103.9221975 30.747342, 103.9222998 30.7472968, 103.9224868 30.7472157, 103.9226904 30.7471162, 103.9228757 30.7470027, 103.9231521 30.7468228)",,,,
2271614990,2271615009,0,544688579,residential,False,True,32.774,"LINESTRING (103.9241563 30.7495006, 103.9243514 30.749743)",,,,
2271614990,2271615009,1,217855150,cycleway,False,True,131.808,"LINESTRING (103.9241563 30.7495006, 103.9237402 30.7497716, 103.9239386 30.7500097, 103.9243514 30.749743)",,,,
2271614990,7366368075,0,217855043,cycleway,False,True,61.927,"LINESTRING (103.9241563 30.7495006, 103.9241883 30.7494841, 103.9246811 30.7491741)",,,,
2271614990,5265110656,0,"[544688579, 687370094, 687370095]",residential,False,False,52.003,"LINESTRING (103.9241563 30.7495006, 103.9240804 30.7493969, 103.9239448 30.7492412, 103.9238319 30.7491259)",,yes,,
2271615000,8794836073,0,544142685,residential,False,False,13.267,"LINESTRING (103.9225446 30.7495585, 103.9224357 30.7496325)",,,,
2271615000,6511004682,0,544277137,residential,False,False,148.857,"LINESTRING (103.9225446 30.7495585, 103.9225945 30.7496331, 103.9230619 30.7508196)",水杉路,,,
2271615000,5260008990,0,"[692240857, 692240858, 544277135]",residential,False,True,32.945,"LINESTRING (103.9225446 30.7495585, 103.9226039 30.7495158, 103.9227732 30.7494154, 103.9228222 30.7493832)",,,yes,
2271615000,9751988480,0,1061419166,residential,False,True,30.343000000000004,"LINESTRING (103.9225446 30.7495585, 103.9224899 30.7494848, 103.9224181 30.7493099)",,,,
2271615000,9847487816,0,1073485903,footway,False,True,41.72,"LINESTRING (103.9225446 30.7495585, 103.9224418 30.7495237, 103.9221383 30.7494212)",,,,
2271615009,2271614990,0,544688579,residential,False,False,32.774,"LINESTRING (103.9243514 30.749743, 103.9241563 30.7495006)",,,,
2271615009,2271614990,1,217855150,cycleway,False,False,131.808,"LINESTRING (103.9243514 30.749743, 103.9239386 30.7500097, 103.9237402 30.7497716, 103.9241563 30.7495006)",,,,
2271615009,5265110657,0,544688579,residential,False,True,24.278,"LINESTRING (103.9243514 30.749743, 103.9244982 30.7499212)",,,,
2271615036,7090221388,0,217855042,service,False,False,65.404,"LINESTRING (103.9246518 30.7500938, 103.9252028 30.7497449)",,,,
2271615036,5265110657,0,544688579,residential,False,False,24.162,"LINESTRING (103.9246518 30.7500938, 103.9244982 30.7499212)",,,,
2271615036,2271615074,0,217855042,service,False,True,82.85,"LINESTRING (103.9246518 30.7500938, 103.9246237 30.7501191, 103.9239582 30.75054)",,,,
2271615036,2271615078,0,217855194,path,False,True,112.683,"LINESTRING (103.9246518 30.7500938, 103.9247714 30.7501559, 103.9250093 30.7505508, 103.9252734 30.7505287, 103.9255225 30.7505818)",,,,
2271615040,2271615081,0,217855142,path,False,True,64.66399999999999,"LINESTRING (103.9254314 30.750125, 103.925469 30.7502172, 103.9256138 30.7503786, 103.9257426 30.7505537, 103.9257256 30.7506251)",,,,
2271615040,2271615078,0,217855171,path,False,False,52.305,"LINESTRING (103.9254314 30.750125, 103.9254153 30.7502587, 103.9255225 30.7505818)",,,,
2271615040,7090221388,0,217855171,path,False,True,47.693,"LINESTRING (103.9254314 30.750125, 103.9253563 30.7499683, 103.9252028 30.7497449)",,,,
2271615074,5501552739,0,544139932,footway,False,False,12.829,"LINESTRING (103.9239582 30.75054, 103.9238703 30.7506272)",,,,
2271615074,2271615036,0,217855042,service,False,False,82.85,"LINESTRING (103.9239582 30.75054, 103.9246237 30.7501191, 103.9246518 30.7500938)",,,,
2271615074,5260008990,0,217855085,service,False,True,168.87199999999999,"LINESTRING (103.9239582 30.75054, 103.9238697 30.750494, 103.9231324 30.7497099, 103.9231094 30.749685, 103.9229075 30.7494759, 103.9228222 30.7493832)",,,,
2271615078,2271615081,0,217855194,path,False,True,19.997,"LINESTRING (103.9255225 30.7505818, 103.9257256 30.7506251)",,,,
2271615078,2271615040,0,217855171,path,False,True,52.305,"LINESTRING (103.9255225 30.7505818, 103.9254153 30.7502587, 103.9254314 30.750125)",,,,
2271615078,2271615036,0,217855194,path,False,False,112.68299999999999,"LINESTRING (103.9255225 30.7505818, 103.9252734 30.7505287, 103.9250093 30.7505508, 103.9247714 30.7501559, 103.9246518 30.7500938)",,,,
2271615081,2271615078,0,217855194,path,False,False,19.997,"LINESTRING (103.9257256 30.7506251, 103.9255225 30.7505818)",,,,
2271615081,2271615040,0,217855142,path,False,False,64.664,"LINESTRING (103.9257256 30.7506251, 103.9257426 30.7505537, 103.9256138 30.7503786, 103.925469 30.7502172, 103.9254314 30.750125)",,,,
2271615081,2271615140,0,217855194,path,False,True,148.76,"LINESTRING (103.9257256 30.7506251, 103.9259529 30.7508301, 103.9261759 30.7511344, 103.9262978 30.7512476, 103.9263479 30.7514268, 103.9264829 30.7517639)",,,,
2271615127,5336767823,0,552968520,residential,False,False,47.797,"LINESTRING (103.9311227 30.751394, 103.931092 30.7516934, 103.9310636 30.7517514, 103.9310311 30.7518116)",,,,
2271615127,3824109101,0,552968520,residential,False,True,79.864,"LINESTRING (103.9311227 30.751394, 103.9313615 30.7509964, 103.9313874 30.7509446, 103.9313999 30.7508869, 103.931401 30.7507906, 103.9313994 30.7507312)",,,,
2271615127,5502448056,0,572770087,service,False,True,155.706,"LINESTRING (103.9311227 30.751394, 103.9311223 30.7513542, 103.931122 30.7513251, 103.9311215 30.7512826, 103.9311589 30.7510157, 103.9311589 30.7509776, 103.9311332 30.7509334, 103.9310421 30.7508431, 103.9310217 30.7508287, 103.9310024 30.750815, 103.9309441 30.750799, 103.9309024 30.7507934, 103.9308596 30.7507876, 103.93078 30.7507768, 103.9301943 30.7507023, 103.9301563 30.7507015, 103.9301223 30.7507145)",,,,
