element_type,osmid,amenity,bicycle_parking,capacity,covered,geometry,access,fee,lit,operator,surface,nodes,building,description,layer
node,2263788962,bicycle_parking,stands,40,no,POINT (-83.7394499 42.2805413),,,,,,,,,
node,3116773345,bicycle_parking,stands,14,no,POINT (-83.7347913 42.2769809),,,,,,,,,
node,5545985302,bicycle_parking,,,yes,POINT (-83.7205189 42.2936166),,,,,,,,,
node,5912207113,bicycle_parking,stands,8,no,POINT (-83.6761358 42.3108761),destination,no,yes,University of Michigan,concrete,,,,
node,5912207114,bicycle_parking,stands,8,no,POINT (-83.6759722 42.3107452),destination,no,yes,University of Michigan,concrete,,,,
node,6431771530,bicycle_parking,stands,28,yes,POINT (-83.7151463 42.2915541),,,,,,,,,
node,6431771533,bicycle_parking,stands,126,no,POINT (-83.7148882 42.2923243),,,,,,,,,
node,6433545897,bicycle_parking,loops,9,no,POINT (-83.7162669 42.2933219),,,,,,,,,
node,6433545899,bicycle_parking,loops,16,no,POINT (-83.7156217 42.2933766),,,,,,,,,
node,6433545908,bicycle_parking,stands,64,no,POINT (-83.7139195 42.2933258),,,,,,,,,
node,6433545909,bicycle_parking,,,,POINT (-83.7133844 42.2939092),,,,,,,,,
node,6433545918,bicycle_parking,stands,14,no,POINT (-83.7132906 42.293493),,,,,,,,,
node,6434752272,bicycle_parking,loops,,,POINT (-83.713688 42.2926249),,,,,,,,,
node,6797081647,bicycle_parking,stands,50,yes,POINT (-83.7164789 42.289679),,yes,,,,,,,
node,6801054627,bicycle_parking,,,no,POINT (-83.7165351 42.2879877),,,,,,,,,
node,8917652422,bicycle_parking,stands,10,no,POINT (-83.7409038 42.2771188),,,,,,,,,
node,9071554703,bicycle_parking,stands,36,no,POINT (-83.737272 42.2776402),,,,,,,,,
node,9071554704,bicycle_parking,stands,32,no,POINT (-83.7377873 42.2776469),,,,,,,,,
node,9071554705,bicycle_parking,stands,8,no,POINT (-83.7391202 42.2774663),,,,,,,,,
node,9071728049,bicycle_parking,stands,64,no,POINT (-83.7347966 42.2763644),,,,,,,,,
node,9092310160,bicycle_parking,stands,12,no,POINT (-83.735721 42.2775258),,,,,,,,,
node,9098936102,bicycle_parking,stands,26,no,POINT (-83.7369762 42.2774482),,,,,,,,,
node,9098936105,bicycle_parking,stands,20,no,POINT (-83.7392481 42.2777424),,,,,,,,,
node,9099007300,bicycle_parking,stands,64,no,POINT (-83.7365598 42.2787942),,no,,,,,,,
node,9111965901,bicycle_parking,stands,12,no,POINT (-83.7390194 42.2777124),,,,,,,,,
node,9403957519,bicycle_parking,stands,,yes,POINT (-83.734912 42.2791421),,,,,,,,,
node,9404054864,bicycle_parking,stands,8,no,POINT (-83.7349425 42.2821077),,,,,,,,,
node,9429603576,bicycle_parking,stands,,yes,POINT (-83.7344949 42.2790852),,,,,,,,,
node,9429629839,bicycle_parking,stands,6,no,POINT (-83.7384582 42.2781135),,,,,,,,,
node,9429629840,bicycle_parking,stands,8,no,POINT (-83.7379941 42.2780292),,,,,,,,,
node,9429629841,bicycle_parking,stands,16,no,POINT (-83.7379968 42.2781016),,,,,,,,,
node,9868327552,bicycle_parking,stands,10,no,POINT (-83.7116117 42.2946998),yes,no,,University of Michigan,brick,,,,
node,9868327570,bicycle_parking,stands,9,no,POINT (-83.7140468 42.2976297),yes,no,,University of Michigan,brick,,,,
node,9875646093,bicycle_parking,stands,16,no,POINT (-83.7121323 42.2943831),yes,no,yes,University of Michigan,brick,,,,
node,9875646094,bicycle_parking,stands,2,no,POINT (-83.7111848 42.2944258),yes,no,,University of Michigan,brick,,,,
node,9875646095,bicycle_parking,lockers,6,,POINT (-83.7112103 42.2944253),,,,,,,,,
node,10804650184,bicycle_parking,,8,no,POINT (-83.7127405 42.2895335),,,,University of Michigan,,,,,
node,10816473287,bicycle_parking,stands,4,yes,POINT (-83.7135458 42.2892011),yes,,yes,,,,,,
node,10816473288,bicycle_parking,stands,10,no,POINT (-83.7139676 42.2892105),yes,,yes,,,,,,
node,10816473295,bicycle_parking,stands,6,no,POINT (-83.7135243 42.2886961),yes,,yes,,,,,,
node,10816473296,bicycle_parking,stands,10,no,POINT (-83.7134821 42.2886351),yes,,yes,,,,,,
node,10819879992,bicycle_parking,stands,20,no,POINT (-83.7147313 42.2900325),yes,,yes,,,,,,
node,10819879995,bicycle_parking,stands,8,no,POINT (-83.7141761 42.2893618),yes,,yes,,,,,,
node,10836193450,bicycle_parking,stands,4,no,POINT (-83.7061684 42.2892487),,,,University of Michigan,,,,,
node,10836193451,bicycle_parking,stands,8,no,POINT (-83.7049761 42.2887676),,,,University of Michigan,,,,,
