element_type,osmid,amenity,geometry,access,description,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:state,addr:street,email,phone,operator,parking,fee,building,maxheight,name,opening_hours,layer,emergency,nodes,alt_name,building:levels,roof:levels,capacity,leisure,loc_name,name:zh,sport,start_date,wikidata,wikipedia,roof:shape,image,short_name,building:material,height,man_made,tower:construction,tower:type,internet_access,toilets:wheelchair,website,old_name,source,museum,tourism,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,healthcare,operator:wikidata,operator:wikipedia,official_name,smoking,architect,contact:website,landuse,plant:method,plant:output:electricity,plant:output:hot_water,plant:output:steam,plant:source,power,ref:US:EIA,designation,contact:phone,shop,supervised,clock,access:conditional,note,building:levels:underground,max_level,min_level,cuisine,building:use,ref,craft,laundry_service,self_service,check_date,operator:type,shelter,residential,historic,observatory:type,voltage,disused:shop,healthcare:speciality,bus,public_transport,addr:county,building:min_level,surface,substation,construction,ways,type,old_name:1925--2018-03-29,old_name:1964-1975
way,82245561,community_centre,"POLYGON ((-83.7178478 42.291054, -83.7178478 42.2911236, -83.7177221 42.2911235, -83.717722 42.291223, -83.717722 42.2912892, -83.7176598 42.2912892, -83.7176052 42.2912892, -83.717605 42.2915634, -83.7171778 42.2915632, -83.7171779 42.2915142, -83.717055 42.2915141, -83.7170322 42.2915141, -83.7170305 42.2912593, -83.7170297 42.2911659, -83.7170325 42.2911351, -83.7174761 42.2911353, -83.7174762 42.2910589, -83.7173884 42.2910588, -83.7173887 42.29077, -83.7174732 42.29077, -83.7174733 42.2907085, -83.7178 42.2907087, -83.7178476 42.2907087, -83.7178476 42.2907642, -83.7179636 42.2907643, -83.7179737 42.2910541, -83.7178478 42.291054))",,,,Ann Arbor,,2101,48109,,Bonisteel Boulevard,,,,,,university,,Pierpont Commons,"Mo-Fr 07:00-24:00; Sa,Su 08:00-24:00",,,"[957666172, 957758312, 2623053251, 6787313481, 2623053252, 6787313482, 2623053253, 2623053254, 2623053255, 2623053257, 6787323486, 2623053258, 2746735320, 2746735321, 2623053256, 957666174, 957666175, 957666176, 957666177, 957666179, 957666181, 9435459972, 957666183, 957666186, 957666189, 957758335, 957666172]",,2,,,,,皮尔朋特公共楼,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,82246736,,"POLYGON ((-83.7157866 42.2928988, -83.7158134 42.292899, -83.7158133 42.292914, -83.7158517 42.2929141, -83.7158842 42.2929143, -83.7161347 42.2929155, -83.7161329 42.2931186, -83.7161328 42.2931373, -83.7160405 42.2931369, -83.7160391 42.2933007, -83.7161113 42.2933011, -83.7161108 42.2933567, -83.7161826 42.293357, -83.7161841 42.2931865, -83.7162226 42.2931867, -83.7163603 42.2931874, -83.7163588 42.2933505, -83.7165546 42.2933514, -83.7165604 42.2926723, -83.7162583 42.2926709, -83.716197 42.2926706, -83.7160982 42.2926701, -83.7160972 42.2927905, -83.7159159 42.2927897, -83.7159168 42.2926802, -83.7158524 42.2926799, -83.7157884 42.2926796, -83.7157876 42.2927737, -83.7157866 42.2928988))",,This building is occupied by the Computer Science & Engineering Department.,,Ann Arbor,,2260,48109,MI,Hayward Street,,,University of Michigan,,,university,,Bob and Betty Beyster Building,Mo-Fr 07:00-19:00; PH off,,,"[957753358, 9284814149, 9284814150, 4393371210, 9284814018, 957753359, 9284814020, 957753360, 957698431, 957698433, 957753370, 957753371, 957698435, 957698438, 6431757218, 957698441, 957698444, 957698422, 957698424, 6431771497, 4646122816, 957698427, 957698428, 957753377, 957753381, 4393371209, 957753386, 3063648004, 957753358]",,4,,,,,鲍勃和贝蒂贝斯特楼,,,,,,https://cse.engin.umich.edu/wp-content/uploads/sites/3/2021/12/beyster-2021-09-1536x778.jpg,BBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,82246737,arts_centre,"POLYGON ((-83.716774 42.2921611, -83.7167751 42.292031, -83.7167286 42.2920307, -83.7167304 42.2918281, -83.7177004 42.2918329, -83.7177019 42.2916689, -83.7177676 42.2916692, -83.7177678 42.2916473, -83.7178071 42.2916475, -83.7181606 42.2916491, -83.7181588 42.2918608, -83.7181248 42.2918607, -83.7181246 42.2918828, -83.7181233 42.2920439, -83.7177083 42.292042, -83.717708 42.2920708, -83.71705 42.2920676, -83.7170492 42.2921624, -83.716774 42.2921611))",,,,Ann Arbor,,1226,48109,,Murfin Avenue,,,,,,university,,Walgreen Drama Center,,,,"[957698458, 4646118230, 4646118231, 957698460, 957698462, 4646118233, 4646118232, 957698463, 6787313450, 957698464, 4646118223, 4646118224, 4646118227, 957698465, 4646118228, 4646118229, 957698467, 957698469, 957698458]",,3,0,,,,沃尔格林表演中心,,,,,flat,,WDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,82246798,,"POLYGON ((-83.7157676 42.2933381, -83.7156938 42.2933378, -83.7150819 42.2933349, -83.7150821 42.2933123, -83.7150831 42.293188, -83.715091 42.293188, -83.7150951 42.2927048, -83.7151606 42.2927051, -83.7151818 42.2927052, -83.715182 42.2926853, -83.7156687 42.2926875, -83.7156685 42.2927114, -83.7157334 42.2927117, -83.7157729 42.2927119, -83.7157724 42.2927736, -83.7157876 42.2927737, -83.7157866 42.2928988, -83.715773 42.2928988, -83.7157707 42.2931638, -83.7158148 42.293164, -83.7158138 42.293285, -83.7157681 42.2932848, -83.7157676 42.2933381))",,This building is occupied by the Materials Science & Engineering Department.,,Ann Arbor,,2300,,MI,Hayward Street,,,University of Michigan,,,university,,Herbert H. Dow Building,Mo-Fr 07:00-19:00; PH off,,,"[957703577, 6431757262, 957703578, 957753429, 3063648008, 9284814143, 957703579, 6190364473, 3063648001, 3063648002, 6431771499, 3063648003, 6431771500, 9284814152, 9284814151, 3063648004, 957753358, 9284814148, 9284814147, 9284814144, 9284814145, 9284814146, 957703577]",,3,2,,,,大分子工程系,,,,,flat,,DOW,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,82249123,,"POLYGON ((-83.7162653 42.2920596, -83.7162657 42.2919348, -83.7161811 42.2919347, -83.7160962 42.2919345, -83.716096 42.291996, -83.7160958 42.2920593, -83.7161777 42.2920595, -83.7162653 42.2920596))",,,,,,,,,,,,University of Michigan,,,yes,,Ann and Robert H. Lurie Tower,,,,"[957742267, 957742269, 9284813840, 957742270, 955407158, 957742272, 9284813839, 957742267]",,,,,,,卢琳钟楼,,,Q6704939,en:Lurie Tower,,,,,50.3,tower,tower,bell_tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,82249280,,"POLYGON ((-83.7129025 42.292958, -83.7132955 42.2929509, -83.7135031 42.2929519, -83.7137235 42.2929492, -83.7137678 42.2929487, -83.7137684 42.292925, -83.7137684 42.2928182, -83.7137993 42.292818, -83.7140213 42.2928178, -83.7140238 42.2929355, -83.7140241 42.2929503, -83.7140757 42.2929504, -83.7145507 42.2929528, -83.7147247 42.2929534, -83.7147267 42.2931076, -83.7148106 42.2931083, -83.7150109 42.2931095, -83.7150375 42.2931106, -83.7150384 42.2931872, -83.7150831 42.293188, -83.7150821 42.2933123, -83.7150538 42.2933127, -83.7147737 42.2933174, -83.7147737 42.2936072, -83.7147415 42.2936072, -83.7140496 42.2936062, -83.7140966 42.2933539, -83.7141036 42.2933164, -83.7136504 42.2933189, -83.7136512 42.2933929, -83.7135841 42.2933932, -83.7135834 42.2933193, -83.7132231 42.2933213, -83.7132252 42.2936401, -83.7132437 42.29364, -83.7132439 42.2936712, -83.7132446 42.2937719, -83.7131682 42.2937722, -83.7131522 42.2937723, -83.7131521 42.2937571, -83.7129078 42.293758, -83.7129033 42.2930796, -83.7129025 42.292958))",,This building is occupied by the Mechanical Engineering Department and the Civil & Environmental Engineering Department.,,Ann Arbor,,2350,,MI,Hayward Street,,,University of Michigan,,,university,,G. G. Brown Building,Mo-Fr 07:00-18:00; PH off,,,"[957748923, 2764493447, 2764493446, 6434753494, 6431757261, 6431771506, 6431757260, 6434752276, 6431757259, 6431771502, 6431757258, 6434752278, 2764489043, 2764489041, 3063648005, 6190364436, 6190364437, 3063648006, 9284814142, 3063648008, 957753429, 2037452735, 4026794293, 4026794295, 4026794297, 4026794294, 6431757257, 4026794292, 9848568689, 9848568687, 9848568686, 9848568688, 957753420, 9848568702, 9848568703, 9848568698, 957748920, 2037452733, 9848568704, 9848568705, 957748922, 6431757264, 957748923]",G. G. Brown Laboratory,3,,,,,环境工程系,,,,,flat,,GGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,97181955,parking,"POLYGON ((-83.7372136 42.2725085, -83.7363718 42.2725179, -83.7363711 42.2724827, -83.7363194 42.2724833, -83.7363139 42.2722111, -83.736363 42.2722106, -83.7363623 42.2721791, -83.7371942 42.2721698, -83.7372139 42.2721696, -83.7372146 42.2722044, -83.7372563 42.2722039, -83.7372619 42.2724802, -83.737213 42.2724808, -83.7372136 42.2725085))",private,,,,,,,,,,,,multi-storey,,yes,,Hill Structure,,,,"[1125730840, 1125730844, 5406246228, 5406246227, 5406246229, 5406246230, 1125730821, 9190805683, 1125730798, 5406246223, 5406246224, 5406246226, 5406246225, 1125730840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99883661,,"POLYGON ((-83.7367778 42.2754959, -83.7367756 42.2754065, -83.7367743 42.275303, -83.7365813 42.2753046, -83.736569 42.275313, -83.7362887 42.2753066, -83.7362611 42.2752853, -83.7361741 42.2753503, -83.7360802 42.2754128, -83.7361063 42.2754324, -83.7361279 42.2763029, -83.7361009 42.2763037, -83.736108 42.2764938, -83.7362308 42.2764916, -83.7362328 42.276537, -83.7362388 42.276537, -83.7362404 42.2765828, -83.7363002 42.2765817, -83.7362983 42.2765361, -83.7363051 42.2765359, -83.7363038 42.2764902, -83.7366012 42.2764852, -83.7366217 42.2764849, -83.736621 42.2764697, -83.7366662 42.2764694, -83.7366635 42.2763635, -83.7366187 42.2763639, -83.736617 42.2762965, -83.7363888 42.2762976, -83.736384 42.2760894, -83.7364381 42.2760889, -83.7364394 42.2761459, -83.7365917 42.2761439, -83.7365883 42.2760509, -83.7366012 42.2760509, -83.7366001 42.2759521, -83.7365992 42.2758643, -83.7363852 42.2758682, -83.7363769 42.2758683, -83.7363767 42.2758625, -83.736371 42.2755761, -83.7363385 42.2755333, -83.7363815 42.2755031, -83.7364478 42.2754565, -83.736503 42.2754995, -83.7367778 42.2754959))",,,,Ann Arbor,,1085,48109,,South University Avenue,,,University of Michigan,,,university,,West Hall,,,,"[9172826497, 9172826495, 1154756229, 5481488634, 5481488635, 2376721710, 5481488636, 2376721707, 1154755985, 5481488637, 2595758356, 2595758357, 1154756297, 5614353425, 5614353426, 5614353431, 5614353429, 5614353430, 5614353428, 5614353427, 5614353424, 5614353440, 1154756052, 5481488638, 2595758367, 5481488645, 5481488644, 2595758368, 1154756131, 5645173325, 5645173324, 5645173323, 5645173322, 5645173321, 1154756262, 5645173335, 1154756199, 5645173329, 1154756342, 5645173320, 1154756239, 2376721708, 2376721706, 2376721705, 2376721709, 9172826497]",,4,,,,,西厅,,,,,,,WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99883665,library,"POLYGON ((-83.7374448 42.275337, -83.7374249 42.2753372, -83.737394 42.2753376, -83.7373934 42.2753016, -83.737352 42.275302, -83.7373514 42.2752657, -83.7373513 42.2752621, -83.7372096 42.2752636, -83.7372103 42.2752988, -83.73714 42.2752996, -83.7371393 42.275264, -83.7369964 42.2752655, -83.7369965 42.2752694, -83.7369971 42.2753018, -83.7369533 42.2753017, -83.7369536 42.2753353, -83.7369171 42.2753358, -83.7368948 42.275336, -83.7368963 42.2754057, -83.7368978 42.275472, -83.7368821 42.2754722, -83.7368826 42.2754947, -83.7368983 42.2754945, -83.7368987 42.2755144, -83.7368992 42.2755356, -83.7368842 42.2755357, -83.7368848 42.275561, -83.7368998 42.2755608, -83.7369014 42.2756348, -83.7368863 42.275635, -83.7368869 42.2756618, -83.736902 42.2756616, -83.7369029 42.2757013, -83.7368889 42.2757014, -83.7368894 42.2757272, -83.7369034 42.2757271, -83.7369043 42.275766, -83.7368895 42.2757662, -83.7368901 42.275792, -83.7369049 42.2757918, -83.7369056 42.275825, -83.7369065 42.2758646, -83.7369318 42.2758643, -83.7369623 42.2758639, -83.7369631 42.2759004, -83.7370062 42.2758998, -83.7370069 42.2759306, -83.7370503 42.27593, -83.7370511 42.2759647, -83.7370962 42.2759642, -83.7370982 42.2759968, -83.7371088 42.2759967, -83.737117 42.2759996, -83.7371247 42.2760014, -83.7371344 42.2760028, -83.7371436 42.2760031, -83.7371524 42.2760025, -83.7371607 42.2760012, -83.7371681 42.275999, -83.7371756 42.2759961, -83.7371886 42.2759958, -83.7371877 42.2759618, -83.7372282 42.275961, -83.7372727 42.2759606, -83.7372734 42.2759934, -83.7372858 42.2759933, -83.7372925 42.2759961, -83.7373003 42.2759981, -83.7373097 42.2759994, -83.7373195 42.2759996, -83.7373282 42.2759993, -83.7373366 42.275998, -83.7373445 42.2759957, -83.737352 42.2759926, -83.7373645 42.2759925, -83.7373638 42.2759578, -83.7374069 42.2759574, -83.7374063 42.2759252, -83.7374391 42.2759249, -83.7374556 42.2759247, -83.737455 42.2758945, -83.7374549 42.2758873, -83.7374543 42.2758546, -83.7374797 42.2758543, -83.7374792 42.275828, -83.7374538 42.2758283, -83.7374531 42.2757868, -83.7374781 42.2757866, -83.7374776 42.2757613, -83.7374526 42.2757615, -83.7374519 42.2757221, -83.7374779 42.2757218, -83.7374775 42.2756958, -83.7374514 42.2756961, -83.7374507 42.2756561, -83.7374765 42.2756559, -83.737476 42.2756296, -83.7374502 42.2756298, -83.7374488 42.2755576, -83.7374733 42.2755574, -83.7374728 42.2755298, -83.7374483 42.2755301, -83.7374476 42.2754916, -83.7374743 42.2754914, -83.7374738 42.2754648, -83.7374472 42.2754651, -83.7374464 42.2754259, -83.7374736 42.2754256, -83.7374731 42.2753993, -83.7374459 42.2753996, -83.7374448 42.275337))",,,yes,Ann Arbor,,919,48109,,South University Avenue,,,University of Michigan,,,yes,,Shapiro Undergraduate Library,24/7,,,"[1154756095, 6787304003, 3047834697, 3047834698, 3047834699, 9173086138, 1154756197, 3047834703, 3047834705, 3047834706, 3047834704, 1154756340, 9173086137, 3047834700, 3047834701, 3047834702, 3091510781, 1154756287, 9172826496, 9172826490, 9172826481, 9172826480, 3091516566, 6787305751, 9172826489, 9172826479, 9172826478, 9172826488, 9172826487, 9172826477, 9172826476, 9172826486, 9172826485, 9172826475, 9172826474, 9172826484, 9172826483, 9172826473, 9172826472, 9172826482, 5645173360, 1154756035, 3091510780, 3047834696, 3047834695, 3047834694, 3047834693, 3047834692, 3047834691, 3047834690, 1154756321, 5645173306, 5645173314, 5645173309, 5645173312, 5645173308, 5645173311, 5645173310, 5645173313, 5645173307, 3047834683, 3047834686, 5577776282, 3047834685, 3047834684, 5645173297, 5645173305, 5645173300, 5645173303, 5645173299, 5645173302, 5645173301, 5645173304, 5645173298, 1154756065, 3047834687, 3047834688, 3047834689, 5645173271, 1154756014, 9172826471, 9072200691, 9173086125, 9173086123, 9173086122, 9173086124, 9173086121, 9172826509, 9172826508, 9173086120, 9173086119, 9172826507, 9172826506, 9173086118, 9173086117, 9172826505, 9172826504, 9172826516, 9172826515, 9172826503, 9172826502, 9172826514, 9172826513, 9172826501, 9172826500, 9172826512, 9172826511, 9172826499, 9172826498, 9172826510, 1154756095]",,4,,,,The Ugli,夏碧珞图书馆,,,,,,,The UGLI,,,,,,wlan,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99883671,library,"POLYGON ((-83.7381715 42.275568, -83.7378376 42.2755705, -83.7378345 42.275346, -83.7381683 42.2753434, -83.7381715 42.275568))",,,,Ann Arbor,,909,48109,,South University Avenue,,,University of Michigan,,,yes,,William L. Clements Library,Mo-We 09:00-04:45; Th 09:00-07:45,,,"[1154756306, 1154756122, 1154756235, 1154756193, 1154756306]",,2,,,,,克莱门斯图书馆,,,Q8014152,en:William L. Clements Library,,,,,,,,,wlan,,https://clements.umich.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
