u,v,key,osmid,highway,oneway,reversed,length,width,geometry,lanes,name,access,bridge,service,maxspeed,junction,tunnel
9784188992,9784188994,0,1122955056,footway,False,True,2.43,,"LINESTRING (-83.7103482 42.2946032, -83.7103366 42.2946233)",,,,,,,,
9784188993,9784188994,0,1065370129,footway,False,True,21.722,11',"LINESTRING (-83.7106007 42.2946235, -83.7103366 42.2946233)",,,,,,,,
9784188994,9784188993,0,1065370129,footway,False,False,21.722,11',"LINESTRING (-83.7103366 42.2946233, -83.7106007 42.2946235)",,,,,,,,
9784188994,9784188995,0,1065370129,footway,False,True,11.498,11',"LINESTRING (-83.7103366 42.2946233, -83.7103365 42.2947267)",,,,,,,,
9784188994,9784188992,0,1122955056,footway,False,False,2.43,,"LINESTRING (-83.7103366 42.2946233, -83.7103482 42.2946032)",,,,,,,,
9784188995,9868327572,0,686198462,footway,False,False,38.831,,"LINESTRING (-83.7103365 42.2947267, -83.7108086 42.2947278)",,,,,,,,
9784188995,9784188994,0,1065370129,footway,False,False,11.498,11',"LINESTRING (-83.7103365 42.2947267, -83.7103366 42.2946233)",,,,,,,,
9784188995,6893107684,0,686198462,footway,False,True,86.73599999999999,,"LINESTRING (-83.7103365 42.2947267, -83.710249 42.2947265, -83.7102251 42.294723, -83.7102068 42.2947141, -83.71019 42.294697, -83.7101844 42.2946722, -83.7101903 42.2940374)",,,,,,,,
9784189000,62523900,0,222786844,residential,False,False,6.58,,"LINESTRING (-83.7102174 42.2939787, -83.7101374 42.2939785)",2,Hayward Street,,,,,,
9784189000,6431757248,0,222786844,residential,False,True,181.611,,"LINESTRING (-83.7102174 42.2939787, -83.7124254 42.2939768)",2,Hayward Street,,,,,,
9784189000,6431757247,0,1062651613,footway,False,False,5.23,,"LINESTRING (-83.7102174 42.2939787, -83.7102198 42.2939317)",,,,,,,,
9784189000,6431757242,0,1062651613,footway,False,True,4.841,,"LINESTRING (-83.7102174 42.2939787, -83.7102151 42.2940222)",,,,,,,,
4505452620,4505452639,0,453870099,service,False,False,33.755,,"LINESTRING (-83.697917 42.3017726, -83.6979255 42.3014691)",,Wolverine Avenue,private,,,,,
4505452620,4446649298,0,447542431,service,False,False,21.21,,"LINESTRING (-83.697917 42.3017726, -83.6978892 42.3017725, -83.6978072 42.3017725, -83.6976591 42.3017727)",,Pontiac Trail,private,,,,,
4505452620,4505474876,0,447542431,service,False,True,12.007,,"LINESTRING (-83.697917 42.3017726, -83.6979363 42.3017727, -83.6980122 42.3017728, -83.698063 42.3017728)",,Pontiac Trail,private,,,,,
4505452620,4505474871,0,453870099,service,False,True,13.834,,"LINESTRING (-83.697917 42.3017726, -83.6979182 42.3018195, -83.6979182 42.301897)",,Wolverine Avenue,private,,,,,
4505452639,4505452620,0,453870099,service,False,True,33.755,,"LINESTRING (-83.6979255 42.3014691, -83.697917 42.3017726)",,Wolverine Avenue,private,,,,,
4505452639,4505452640,0,453870099,service,False,False,54.388000000000005,,"LINESTRING (-83.6979255 42.3014691, -83.6979287 42.3012741, -83.6979313 42.30098)",,Wolverine Avenue,private,,,,,
4505452639,4446649298,0,453870100,service,False,False,43.787,,"LINESTRING (-83.6979255 42.3014691, -83.6978982 42.3014886, -83.6978624 42.3015088, -83.6978021 42.3015326, -83.6977586 42.3015506, -83.6977238 42.3015693, -83.6977024 42.301591, -83.697689 42.3016117, -83.6976746 42.3016486, -83.6976629 42.3016944, -83.697661 42.3017269, -83.6976591 42.3017727)",,Carrier & Gable Drive,private,,,,,
4505452639,4446388963,0,453870100,service,False,True,30.179,,"LINESTRING (-83.6979255 42.3014691, -83.697949 42.3014451, -83.6979691 42.3014292, -83.6979946 42.3014124, -83.6980388 42.3013955, -83.6981206 42.3013672, -83.698233 42.3013298)",,Carrier & Gable Drive,private,,,,,
4505452640,4462397633,0,447515380,service,True,False,58.624,,"LINESTRING (-83.6979313 42.30098, -83.6986441 42.3009838)",,Main Street,private,,,,,
4505452640,4505452641,0,453870099,service,False,False,11.631,,"LINESTRING (-83.6979313 42.30098, -83.6979323 42.3008754)",,Wolverine Avenue,private,,,,,
4505452640,4505452639,0,453870099,service,False,True,54.388000000000005,,"LINESTRING (-83.6979313 42.30098, -83.6979287 42.3012741, -83.6979255 42.3014691)",,Wolverine Avenue,private,,,,,
4505452641,4505452640,0,453870099,service,False,True,11.631,,"LINESTRING (-83.6979323 42.3008754, -83.6979313 42.30098)",,Wolverine Avenue,private,,,,,
4505452641,4446651557,0,"[453872610, 453872611, 447515380]",service,True,False,33.631,,"LINESTRING (-83.6979323 42.3008754, -83.6978271 42.3008742, -83.6977733 42.3008738, -83.6975234 42.3008723)",,Main Street,private,yes,,,,
4505452641,4446648388,0,453870099,service,False,False,54.72,,"LINESTRING (-83.6979323 42.3008754, -83.6979352 42.3005599, -83.6979336 42.3003833)",,Wolverine Avenue,private,,,,,
2984591462,62485848,0,294837497,service,False,True,5.903,,"LINESTRING (-83.7002515 42.2932304, -83.7001879 42.293255)",,,,,parking_aisle,,,
2984591462,2984591465,0,294837497,service,False,False,174.723,,"LINESTRING (-83.7002515 42.2932304, -83.7012398 42.2932322, -83.7012417 42.2933945, -83.7003252 42.2933988)",,,,,parking_aisle,,,
2984591462,2984591465,1,"[924838627, 924838628, 924838629]",footway,False,True,19.776000000000003,,"LINESTRING (-83.7002515 42.2932304, -83.7002783 42.2932696, -83.7003198 42.2933747, -83.7003252 42.2933988)",,,,,,,,
2984591462,2984591466,0,"[924838642, 924838627, 924838634]",footway,False,False,70.285,,"LINESTRING (-83.7002515 42.2932304, -83.7002273 42.2932031, -83.7001629 42.2931505, -83.7000999 42.2931029, -83.7000261 42.2930612, -83.6999269 42.2930225, -83.6998209 42.2929987, -83.6997204 42.2929878, -83.6996412 42.2929858, -83.6995594 42.2929918, -83.6995141 42.2929954)",,,,,,,,
4505452647,4505452646,0,453870099,service,False,True,4.883,,"LINESTRING (-83.6980739 42.2999579, -83.6980249 42.2999827)",,Wolverine Avenue,private,,,,,
4505452647,4444313587,0,453870094,service,True,False,32.822,,"LINESTRING (-83.6980739 42.2999579, -83.6982 42.2999302, -83.6982992 42.2999103, -83.6983877 42.2999004, -83.6984625 42.2998943)",,Wolverine Avenue,private,,,,,
4505452646,4505452647,0,453870099,service,False,False,4.883,,"LINESTRING (-83.6980249 42.2999827, -83.6980739 42.2999579)",,Wolverine Avenue,private,,,,,
4505452646,8662401320,0,934714686,footway,False,False,10.245,,"LINESTRING (-83.6980249 42.2999827, -83.6981192 42.3000429)",,,,,,,,
4505452646,8662401319,0,934714686,footway,False,True,7.917,,"LINESTRING (-83.6980249 42.2999827, -83.697952 42.2999362)",,,,,,,,
4505452646,4446648388,0,453870099,service,False,True,46.653999999999996,,"LINESTRING (-83.6980249 42.2999827, -83.6979774 42.3000174, -83.6979532 42.3000651, -83.6979398 42.3001166, -83.6979344 42.3002019, -83.6979336 42.3003833)",,Wolverine Avenue,private,,,,,
2984591465,62485843,0,294837497,service,False,False,5.658,,"LINESTRING (-83.7003252 42.2933988, -83.7002588 42.2934121)",,,,,parking_aisle,,,
2984591465,2984591462,0,294837497,service,False,True,174.723,,"LINESTRING (-83.7003252 42.2933988, -83.7012417 42.2933945, -83.7012398 42.2932322, -83.7002515 42.2932304)",,,,,parking_aisle,,,
2984591465,2984591462,1,"[924838627, 924838628, 924838629]",footway,False,False,19.776000000000003,,"LINESTRING (-83.7003252 42.2933988, -83.7003198 42.2933747, -83.7002783 42.2932696, -83.7002515 42.2932304)",,,,,,,,
2984591465,8583116107,0,"[924838629, 924838630]",footway,False,True,76.68400000000001,,"LINESTRING (-83.7003252 42.2933988, -83.7003332 42.2934392, -83.7003346 42.2940622, -83.7003345 42.294088)",,,,,,,,
2984591466,62485860,0,294837498,service,False,True,5.378,,"LINESTRING (-83.6995141 42.2929954, -83.6995351 42.2930412)",,,,,parking_aisle,,,
2984591466,8583116072,0,294837498,service,False,False,175.576,,"LINESTRING (-83.6995141 42.2929954, -83.6991164 42.2923562, -83.6989093 42.292425, -83.6993074 42.2930682)",,,,,parking_aisle,,,
2984591466,8583116072,1,"[924838632, 924838633, 924838634]",footway,False,False,18.922,,"LINESTRING (-83.6995141 42.2929954, -83.6994749 42.2930047, -83.6994039 42.2930295, -83.6993381 42.2930513, -83.6993074 42.2930682)",,,,,,,,
2984591466,2984591462,0,"[924838634, 924838627, 924838642]",footway,False,True,70.28500000000001,,"LINESTRING (-83.6995141 42.2929954, -83.6995594 42.2929918, -83.6996412 42.2929858, -83.6997204 42.2929878, -83.6998209 42.2929987, -83.6999269 42.2930225, -83.7000261 42.2930612, -83.7000999 42.2931029, -83.7001629 42.2931505, -83.7002273 42.2932031, -83.7002515 42.2932304)",,,,,,,,
2984591471,62485865,0,294837499,service,False,False,4.902,,"LINESTRING (-83.699026 42.2933845, -83.6990854 42.2933881)",,,,,parking_aisle,,,
2984591471,7767825003,0,294837499,service,False,True,171.88600000000002,,"LINESTRING (-83.699026 42.2933845, -83.6980983 42.2933922, -83.6981012 42.2935663, -83.6990277 42.2935558)",,,,,parking_aisle,,,
2984591471,7767825003,1,"[924838636, 924838637, 924838638]",footway,False,False,19.098,,"LINESTRING (-83.699026 42.2933845, -83.699023 42.2934223, -83.6990216 42.2935295, -83.6990277 42.2935558)",,,,,,,,
2984591471,8583116072,0,"[924838632, 924838638, 924838631]",footway,False,True,42.964,,"LINESTRING (-83.699026 42.2933845, -83.6990391 42.2933529, -83.6990713 42.2932854, -83.6991128 42.2932289, -83.699141 42.2931932, -83.6991973 42.2931426, -83.6992711 42.293088, -83.6993074 42.2930682)",,,,,,,,
4505452658,4505474871,0,453870099,service,False,False,35.552,,"LINESTRING (-83.6979304 42.3022166, -83.6979182 42.301897)",,Wolverine Avenue,private,,,,,
4505452658,4505505966,0,"[453870099, 453877326]",service,False,True,103.708,,"LINESTRING (-83.6979304 42.3022166, -83.6979318 42.3022626, -83.6979331 42.3023777, -83.6979291 42.3024521, -83.6979197 42.3024917, -83.6978929 42.3025334, -83.6978379 42.302585, -83.6977708 42.3026306, -83.6977199 42.3026534, -83.6976649 42.3026623, -83.6976045 42.3026633, -83.6974476 42.3026475, -83.6973537 42.3026361, -83.6972702 42.3026274, -83.697142 42.302605)",,Wolverine Avenue,private,,,,,
4505452658,4446649298,0,453870100,service,False,True,54.88400000000001,,"LINESTRING (-83.6979304 42.3022166, -83.6979023 42.3021461, -83.697854 42.3020687, -83.6977896 42.3019913, -83.6977078 42.3019021, -83.6976743 42.3018515, -83.6976635 42.3018168, -83.6976591 42.3017727)",,Carrier & Gable Drive,private,,,,,
6784131188,3025096187,0,8733802,residential,False,False,42.334,,"LINESTRING (-83.7221967 42.2924017, -83.7217658 42.2926099)",2,Duffield Street,,,,,,
6784131188,62540997,0,8733802,residential,False,True,6.399,,"LINESTRING (-83.7221967 42.2924017, -83.7222618 42.2923702)",2,Duffield Street,,,,,,
6784131188,9423595951,0,"[723285298, 723285299]",footway,False,False,91.943,,"LINESTRING (-83.7221967 42.2924017, -83.7220673 42.2922733, -83.7220526 42.2922019, -83.7219804 42.2920533, -83.7219491 42.2919502, -83.7219143 42.2918371, -83.7218937 42.2917155, -83.721889 42.2916232)",,,,,,,,
6784131188,6775917372,0,"[723285297, 723285298]",footway,False,True,233.131,,"LINESTRING (-83.7221967 42.2924017, -83.7222577 42.2924688, -83.7223094 42.2924936, -83.722363 42.2925467, -83.7227447 42.2928413, -83.7231548 42.2930878, -83.7237061 42.2933611, -83.7243134 42.2936014, -83.724449 42.293631)",,,,,,,,
6784131199,6784131202,0,723285300,footway,False,False,4.537,,"LINESTRING (-83.7214793 42.2901672, -83.7214798 42.2901264)",,,,,,,,
6784131199,11012499200,0,1185535308,footway,False,False,22.464,,"LINESTRING (-83.7214793 42.2901672, -83.7212062 42.290168)",,,,,,,,
6784131199,6784131204,0,1185535308,footway,False,True,64.91199999999999,,"LINESTRING (-83.7214793 42.2901672, -83.7219084 42.2901668, -83.7219428 42.290177, -83.7219446 42.2902017, -83.7219177 42.2902142, -83.7217039 42.2903025, -83.7217026 42.290312)",,,,,,,,
6784131199,6784131205,0,"[1186536865, 1186536866, 723285301]","['steps', 'footway']",False,False,16.145,20',"LINESTRING (-83.7214793 42.2901672, -83.7214793 42.2901833, -83.7214797 42.2902815, -83.7214799 42.2903124)",,,,,,,,
