osmid,y,x,street_count,highway,geometry
9784188992,42.2946032,-83.7103482,1,,POINT (-83.7103482 42.2946032)
9784188993,42.2946235,-83.7106007,1,,POINT (-83.7106007 42.2946235)
9784188994,42.2946233,-83.7103366,3,,POINT (-83.7103366 42.2946233)
9784188995,42.2947267,-83.7103365,3,,POINT (-83.7103365 42.2947267)
9784189000,42.2939787,-83.7102174,4,crossing,POINT (-83.7102174 42.2939787)
4505452620,42.3017726,-83.697917,4,,POINT (-83.697917 42.3017726)
4505452639,42.3014691,-83.6979255,4,,POINT (-83.6979255 42.3014691)
4505452640,42.30098,-83.6979313,4,traffic_signals,POINT (-83.6979313 42.30098)
4505452641,42.3008754,-83.6979323,4,traffic_signals,POINT (-83.6979323 42.3008754)
2984591462,42.2932304,-83.7002515,4,crossing,POINT (-83.7002515 42.2932304)
4505452647,42.2999579,-83.6980739,3,,POINT (-83.6980739 42.2999579)
4505452646,42.2999827,-83.6980249,4,crossing,POINT (-83.6980249 42.2999827)
2984591465,42.2933988,-83.7003252,4,crossing,POINT (-83.7003252 42.2933988)
2984591466,42.2929954,-83.6995141,4,crossing,POINT (-83.6995141 42.2929954)
2984591471,42.2933845,-83.699026,4,crossing,POINT (-83.699026 42.2933845)
4505452658,42.3022166,-83.6979304,3,,POINT (-83.6979304 42.3022166)
6784131188,42.2924017,-83.7221967,4,crossing,POINT (-83.7221967 42.2924017)
6784131199,42.2901672,-83.7214793,4,,POINT (-83.7214793 42.2901672)
6784131202,42.2901264,-83.7214798,4,crossing,POINT (-83.7214798 42.2901264)
6784131203,42.2905282,-83.7214807,3,,POINT (-83.7214807 42.2905282)
6784131204,42.290312,-83.7217026,3,,POINT (-83.7217026 42.290312)
6784131205,42.2903124,-83.7214799,3,,POINT (-83.7214799 42.2903124)
6784131207,42.2905293,-83.7212602,1,,POINT (-83.7212602 42.2905293)
6784131218,42.2897987,-83.7214214,3,,POINT (-83.7214214 42.2897987)
6784131219,42.2897992,-83.7211915,3,,POINT (-83.7211915 42.2897992)
6784131222,42.2899618,-83.7214463,3,,POINT (-83.7214463 42.2899618)
6784131223,42.2899863,-83.7212069,3,,POINT (-83.7212069 42.2899863)
6784131225,42.289798,-83.7211115,1,,POINT (-83.7211115 42.289798)
6784131227,42.2917967,-83.7229088,3,,POINT (-83.7229088 42.2917967)
6784131231,42.2913623,-83.7224162,3,,POINT (-83.7224162 42.2913623)
6784131234,42.291523,-83.7220881,3,,POINT (-83.7220881 42.291523)
6784131236,42.2916129,-83.7219431,4,crossing,POINT (-83.7219431 42.2916129)
6784131238,42.2914185,-83.7219411,4,crossing,POINT (-83.7219411 42.2914185)
6784131246,42.2911853,-83.7227676,4,,POINT (-83.7227676 42.2911853)
6784131251,42.29092,-83.7229434,1,,POINT (-83.7229434 42.29092)
6784131252,42.2909383,-83.7230828,1,,POINT (-83.7230828 42.2909383)
6784131253,42.2909806,-83.7229906,4,,POINT (-83.7229906 42.2909806)
6784131254,42.2910247,-83.7227532,1,,POINT (-83.7227532 42.2910247)
7199088820,42.2975194,-83.7155955,3,,POINT (-83.7155955 42.2975194)
6784131256,42.2916741,-83.723133,3,,POINT (-83.723133 42.2916741)
6784131260,42.2915066,-83.7235237,3,,POINT (-83.7235237 42.2915066)
6784131261,42.2913787,-83.7234225,1,,POINT (-83.7234225 42.2913787)
6784131264,42.2910568,-83.7229967,3,,POINT (-83.7229967 42.2910568)
6784131265,42.2915029,-83.7233379,3,,POINT (-83.7233379 42.2915029)
6784131266,42.2915287,-83.7232585,3,,POINT (-83.7232585 42.2915287)
6784131267,42.2915227,-83.7230176,3,,POINT (-83.7230176 42.2915227)
6784131268,42.2911866,-83.7231212,3,,POINT (-83.7231212 42.2911866)
6784131269,42.2911509,-83.723197,1,,POINT (-83.723197 42.2911509)
6784131270,42.2917534,-83.7228836,3,,POINT (-83.7228836 42.2917534)
6784131271,42.2917754,-83.7228215,1,,POINT (-83.7228215 42.2917754)
6784131272,42.2926346,-83.7236049,3,,POINT (-83.7236049 42.2926346)
6784131273,42.2926788,-83.723505,1,,POINT (-83.723505 42.2926788)
6784131274,42.2924739,-83.7233909,1,,POINT (-83.7233909 42.2924739)
6784131275,42.2924463,-83.7234598,3,,POINT (-83.7234598 42.2924463)
6784131276,42.292334,-83.7232601,1,,POINT (-83.7232601 42.292334)
10804650189,42.2895937,-83.7127215,1,,POINT (-83.7127215 42.2895937)
10804650190,42.2895927,-83.7129432,3,,POINT (-83.7129432 42.2895927)
10804650191,42.2892698,-83.7127534,3,,POINT (-83.7127534 42.2892698)
6784131277,42.292299,-83.7233464,3,,POINT (-83.7233464 42.292299)
6784131278,42.2922865,-83.7230675,1,,POINT (-83.7230675 42.2922865)
6784131279,42.2921978,-83.7232684,3,,POINT (-83.7232684 42.2921978)
6784131280,42.2921475,-83.7229928,1,,POINT (-83.7229928 42.2921475)
6784131281,42.2921164,-83.7230651,3,,POINT (-83.7230651 42.2921164)
10804650192,42.2895935,-83.712756,3,,POINT (-83.712756 42.2895935)
6784131284,42.2921039,-83.723196,3,,POINT (-83.723196 42.2921039)
6784131285,42.2920819,-83.7230441,3,,POINT (-83.7230441 42.2920819)
6784131287,42.2919944,-83.7231117,3,,POINT (-83.7231117 42.2919944)
6784131290,42.2919022,-83.7229239,3,,POINT (-83.7229239 42.2919022)
6784131291,42.2918559,-83.723005,3,,POINT (-83.723005 42.2918559)
6784131295,42.2939064,-83.7213123,3,,POINT (-83.7213123 42.2939064)
6784131297,42.2937596,-83.7215968,3,,POINT (-83.7215968 42.2937596)
6784131305,42.2937134,-83.7217742,4,,POINT (-83.7217742 42.2937134)
