element_type,osmid,amenity,geometry,created_by,bicycle_parking,capacity,covered,check_date,access,fee,nodes
node,360361485,bicycle_parking,POINT (-75.1917304 39.9532708),,,,,,,,
node,360363159,bicycle_parking,POINT (-75.1995966 39.9526577),Potlatch 0.10f,,,,,,,
node,360363433,bicycle_parking,POINT (-75.2017247 39.9529267),,stands,26,no,,,,
node,360364561,bicycle_parking,POINT (-75.1984284 39.9496165),,,,,,,,
node,360367782,bicycle_parking,POINT (-75.1987321 39.9495458),Potlatch 0.10f,,,,,,,
node,360367791,bicycle_parking,POINT (-75.1967197 39.9498758),,,,,,,,
node,360477397,bicycle_parking,POINT (-75.2010728 39.9535986),Potlatch 0.10f,,,,,,,
node,360477726,bicycle_parking,POINT (-75.2014333 39.9521313),Potlatch 0.10f,,,,,,,
node,360477835,bicycle_parking,POINT (-75.1982696 39.9517654),,,,,,,,
node,360477844,bicycle_parking,POINT (-75.1980688 39.9514931),Potlatch 0.10f,,,,,,,
node,360477895,bicycle_parking,POINT (-75.1974765 39.9514536),Potlatch 0.10f,,,,,,,
node,360478017,bicycle_parking,POINT (-75.1978113 39.9524998),Potlatch 0.10f,,,,,,,
node,360478073,bicycle_parking,POINT (-75.1974422 39.9526314),Potlatch 0.10f,,,,,,,
node,360480556,bicycle_parking,POINT (-75.1962406 39.9515852),Potlatch 0.10f,,,,,,,
node,360480577,bicycle_parking,POINT (-75.1937687 39.9523814),Potlatch 0.10f,stands,18,no,,,,
node,360480584,bicycle_parking,POINT (-75.1933137 39.9523748),Potlatch 0.10f,,,,,,,
node,360487507,bicycle_parking,POINT (-75.1946685 39.9515871),,,24,,,,,
node,360492823,bicycle_parking,POINT (-75.1925162 39.952002),Potlatch 0.10f,,,,,,,
node,360497064,bicycle_parking,POINT (-75.1972626 39.9486924),Potlatch 0.10f,,12,,2023-03-12,,,
node,360728181,bicycle_parking,POINT (-75.1923706 39.9509421),Potlatch 0.10f,,,,,,,
node,1612613259,bicycle_parking,POINT (-75.1950414 39.9514046),,,,,,,,
node,1612613270,bicycle_parking,POINT (-75.1950495 39.9511497),,,,,,,,
node,2022187396,bicycle_parking,POINT (-75.1907239 39.949478),,,,,,,,
node,2022187409,bicycle_parking,POINT (-75.1977299 39.9531524),,,,,,,,
node,2022187410,bicycle_parking,POINT (-75.190791 39.9486823),,,,,,,,
node,5515173157,bicycle_parking,POINT (-75.196996 39.9524741),,,20,,,,,
node,5515173165,bicycle_parking,POINT (-75.1950247 39.9532427),,stands,9,,,,,
node,5515173167,bicycle_parking,POINT (-75.1975641 39.9521274),,stands,10,,,,,
node,5515173171,bicycle_parking,POINT (-75.1930874 39.9528007),,stands,15,,,,,
node,6602761578,bicycle_parking,POINT (-75.1949521 39.9506224),,,15,,,,,
node,6646853100,bicycle_parking,POINT (-75.2027756 39.9520442),,stands,34,no,,,,
node,6652049086,bicycle_parking,POINT (-75.2030405 39.9524961),,stands,52,no,,,,
node,6657598278,bicycle_parking,POINT (-75.1981824 39.9507873),,,8,,,,,
node,6657661247,bicycle_parking,POINT (-75.1955916 39.9518443),,,32,,,,,
node,6769850556,bicycle_parking,POINT (-75.196067 39.9528331),,,7,,,,,
node,6769850558,bicycle_parking,POINT (-75.196102 39.9528358),,,7,,,,,
node,6769850559,bicycle_parking,POINT (-75.1957226 39.9527008),,,7,,,,,
node,6769850562,bicycle_parking,POINT (-75.1956882 39.9527364),,,7,,,,,
node,6790498352,bicycle_parking,POINT (-75.1963217 39.9546164),,,10,,,,,
node,6790498353,bicycle_parking,POINT (-75.19624 39.9546091),,,8,,,,,
node,6790498354,bicycle_parking,POINT (-75.1961706 39.9546087),,,15,,,,,
node,6919004464,bicycle_parking,POINT (-75.2026223 39.9546207),,rack,20,no,,customers,no,
node,7434300479,bicycle_parking,POINT (-75.1934045 39.9504485),,,70,no,,,,
node,9453204569,bicycle_parking,POINT (-75.1938389 39.9506893),,stands,10,no,,,,
node,9453210183,bicycle_parking,POINT (-75.1944767 39.9509149),,,14,no,,,,
node,9453210184,bicycle_parking,POINT (-75.1930513 39.9504253),,,20,no,,,,
node,9453213440,bicycle_parking,POINT (-75.1939772 39.9507008),,stands,10,no,,,,
node,9453218636,bicycle_parking,POINT (-75.1924361 39.9505357),,,,,,,,
node,9453220583,bicycle_parking,POINT (-75.1944492 39.951034),,,10,no,,,,
way,631153377,bicycle_parking,"POLYGON ((-75.1985036 39.941543, -75.1984941 39.9415281, -75.1983746 39.9415729, -75.1983841 39.9415878, -75.1985036 39.941543))",,stands,,,,,,"[5960299158, 5960299159, 5960299160, 5960299161, 5960299158]"
way,631153378,bicycle_parking,"POLYGON ((-75.1983939 39.9418291, -75.1983117 39.9417618, -75.1982987 39.9417711, -75.198381 39.9418384, -75.1983939 39.9418291))",,stands,,,,,,"[5960299162, 5960299163, 5960299164, 5960299165, 5960299162]"
