u,v,key,osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,ref,service,tunnel,access
109837855,5947653539,0,12116864,Chancellor Walk,pedestrian,False,False,5.217,,,"LINESTRING (-75.1921906 39.9523283, -75.1921302 39.9523207)",,,,,
109837855,1684000583,0,388533145,South 34th Street,secondary,True,False,62.108000000000004,2,25 mph,"LINESTRING (-75.1921906 39.9523283, -75.1922742 39.9519252, -75.1922879 39.9518593, -75.1923052 39.9517767)",,,,,
109849382,4477512920,0,279870835,South 30th Street,residential,False,True,9.865,2,,"LINESTRING (-75.1837389 39.9533398, -75.183758 39.9532523)",yes,,,,
109849382,4477512922,0,856813195,Chestnut Street,primary,True,False,9.295,4,30 mph,"LINESTRING (-75.1837389 39.9533398, -75.183632 39.9533233)",yes,PA 3,,,
109849780,4477512956,0,194358833,South 37th Street,residential,False,False,8.275,,,"LINESTRING (-75.1964466 39.954907, -75.1964618 39.9548335)",,,,,
109849780,4477512957,0,1222833872,Chestnut Street,primary,True,False,7.494,2,30 mph,"LINESTRING (-75.1964466 39.954907, -75.1963599 39.9548958)",,PA 3,,,
109906663,5950302383,0,12122468,Convention Avenue,tertiary,False,False,12.239,4,,"LINESTRING (-75.1896804 39.9488884, -75.189775 39.9488056)",,,,,
109906663,3355718452,0,30953025,South Street,secondary,False,False,11.127,,25 mph,"LINESTRING (-75.1896804 39.9488884, -75.1897758 39.9489567)",,,,,
109906663,5960376710,0,424081469,South Street,secondary,False,True,11.886,4,25 mph,"LINESTRING (-75.1896804 39.9488884, -75.1895777 39.9488161)",,,,,
109906697,10213696953,0,1028899539,Convention Avenue,secondary,True,False,32.72,2,,"LINESTRING (-75.1913499 39.9474114, -75.1913859 39.9474301, -75.1914232 39.9474524, -75.1914576 39.9474777, -75.1914793 39.9475007, -75.191501 39.9475269, -75.1915855 39.9476381)",,,,,
109906697,2022187413,0,1222396695,Convention Avenue,tertiary,False,True,93.299,4,,"LINESTRING (-75.1913499 39.9474114, -75.1912375 39.947507, -75.1906329 39.9480453)",,,,,
109906810,3551813859,0,626805924,Civic Center Boulevard,secondary,True,False,9.881,,,"LINESTRING (-75.1948678 39.9473247, -75.1949682 39.9472803)",,,,,
109906824,635437805,0,"[859156280, 1030406711]",Civic Center Boulevard,secondary,True,False,76.311,"['3', '2']",,"LINESTRING (-75.1978662 39.9460292, -75.1977334 39.9460346, -75.1976691 39.9460403, -75.1976099 39.9460493, -75.1975548 39.9460614, -75.1975085 39.9460801, -75.1971666 39.9462384, -75.1971429 39.9462479, -75.197112 39.9462565, -75.1970814 39.9462627, -75.1970455 39.9462688)",,,,,
109922181,1644860054,0,"[12190010, 792354085, 792354086]",East Service Drive,service,False,False,192.958,,,"LINESTRING (-75.1950726 39.9492447, -75.1947584 39.9488608, -75.1943534 39.948359, -75.1939742 39.9478594, -75.1939026 39.9477595)",,,,,
109922181,7009033803,0,"[531500274, 531500278]",Guardian Drive,service,False,"[False, True]",148.39100000000002,,,"LINESTRING (-75.1950726 39.9492447, -75.195269 39.9492694, -75.196034 39.9493656, -75.1967034 39.9490793)",,,,,
109922181,7874146347,0,626805929,Curie Boulevard,service,False,True,33.696,,,"LINESTRING (-75.1950726 39.9492447, -75.1952896 39.9491385, -75.1954087 39.9490853)",,,,,
109922181,7409112200,0,792354091,,footway,False,True,54.481,,,"LINESTRING (-75.1950726 39.9492447, -75.1948367 39.949212, -75.194724 39.9491331, -75.1945586 39.9489927)",,,,,
109986312,4476162733,0,12134222,South 39th Street,residential,False,True,8.846,,25 mph,"LINESTRING (-75.2002703 39.9538415, -75.2002437 39.9539184)",,,,,
109986312,7874128486,0,32119001,Samuel S. Fels 39th Street Walk,pedestrian,False,False,10.564,,,"LINESTRING (-75.2002703 39.9538415, -75.2003022 39.9537497)",,,,,
109986312,4476162732,0,137364609,Walnut Street,primary,True,False,7.889,2,30 mph,"LINESTRING (-75.2002703 39.9538415, -75.2003615 39.9538536)",,PA 3,,,
109986319,4682320385,0,12155139,Locust Walk,pedestrian,False,False,53.582,,,"LINESTRING (-75.2005217 39.9526894, -75.199902 39.9526086)",,,,,
109986319,360477527,0,12155139,Locust Walk,pedestrian,False,True,5.721,,,"LINESTRING (-75.2005217 39.9526894, -75.2005878 39.9526983)",,,,,
109986319,3563991857,0,32119001,Samuel S. Fels 39th Street Walk,pedestrian,False,True,35.554,,,"LINESTRING (-75.2005217 39.9526894, -75.2004564 39.9530052)",,,,,
109986319,1155472827,0,1222839569,Samuel S. Fels 39th Street Walk,pedestrian,False,False,57.431,,,"LINESTRING (-75.2005217 39.9526894, -75.2006223 39.9521787)",,,,,
109986329,1155473114,0,32120160,Irving Street,footway,False,True,32.001,,,"LINESTRING (-75.2006313 39.9521332, -75.2006778 39.9521389, -75.201002 39.9521787)",,,,,
109986329,360487939,0,157763240,Irving Street,service,False,False,76.12,,,"LINESTRING (-75.2006313 39.9521332, -75.2005708 39.9521275, -75.2005155 39.9521238, -75.2004476 39.9521164, -75.2003579 39.9521042, -75.2002484 39.9520896, -75.1997511 39.9520192)",,,,,
109986329,11342268136,0,310184620,South 39th Street,service,False,False,36.18900000000001,,,"LINESTRING (-75.2006313 39.9521332, -75.2006366 39.9521133, -75.2006437 39.952092, -75.200655 39.9520704, -75.2006681 39.9520509, -75.2006806 39.9520335, -75.2006876 39.9520178, -75.200696 39.9519981, -75.2007069 39.9519442, -75.2007092 39.9519228, -75.2007075 39.951901, -75.2007018 39.9518416, -75.2007037 39.9518183)",,,,,
