osmid,y,x,street_count,highway,ref,geometry
109837855,39.9523283,-75.1921906,3,,,POINT (-75.1921906 39.9523283)
109849382,39.9533398,-75.1837389,4,traffic_signals,,POINT (-75.1837389 39.9533398)
109849780,39.954907,-75.1964466,4,traffic_signals,,POINT (-75.1964466 39.954907)
109906663,39.9488884,-75.1896804,3,traffic_signals,,POINT (-75.1896804 39.9488884)
109906697,39.9474114,-75.1913499,3,traffic_signals,,POINT (-75.1913499 39.9474114)
109906810,39.9473247,-75.1948678,4,traffic_signals,,POINT (-75.1948678 39.9473247)
109906824,39.9460292,-75.1978662,3,,,POINT (-75.1978662 39.9460292)
109922181,39.9492447,-75.1950726,4,,,POINT (-75.1950726 39.9492447)
109986312,39.9538415,-75.2002703,4,traffic_signals,,POINT (-75.2002703 39.9538415)
109986319,39.9526894,-75.2005217,4,,,POINT (-75.2005217 39.9526894)
109986329,39.9521332,-75.2006313,4,,,POINT (-75.2006313 39.9521332)
109987913,39.952571,-75.1900377,4,traffic_signals,,POINT (-75.1900377 39.952571)
109987918,39.9528283,-75.1920844,4,traffic_signals,,POINT (-75.1920844 39.9528283)
109987942,39.9531619,-75.1947857,4,traffic_signals,,POINT (-75.1947857 39.9531619)
109987964,39.9534048,-75.1967591,4,traffic_signals,,POINT (-75.1967591 39.9534048)
109987975,39.9541292,-75.202605,4,traffic_signals,,POINT (-75.202605 39.9541292)
109988671,39.9518251,-75.1840675,5,traffic_signals,,POINT (-75.1840675 39.9518251)
110060705,39.9535791,-75.1919544,3,,,POINT (-75.1919544 39.9535791)
110060711,39.9532828,-75.1919974,3,,,POINT (-75.1919974 39.9532828)
110060722,39.9512167,-75.1924256,3,,,POINT (-75.1924256 39.9512167)
110060729,39.9504554,-75.1925847,4,traffic_signals,,POINT (-75.1925847 39.9504554)
110142236,39.9554188,-75.1943127,4,,,POINT (-75.1943127 39.9554188)
110142269,39.9539029,-75.1946293,4,traffic_signals,,POINT (-75.1946293 39.9539029)
110142290,39.9520049,-75.1950364,4,,,POINT (-75.1950364 39.9520049)
110142306,39.9507932,-75.1952991,4,traffic_signals,,POINT (-75.1952991 39.9507932)
110153531,39.954149,-75.196603,4,,,POINT (-75.196603 39.954149)
110153566,39.9522444,-75.1969955,4,,,POINT (-75.1969955 39.9522444)
110191773,39.9529811,-75.202847,4,stop,,POINT (-75.202847 39.9529811)
110191777,39.9517468,-75.193136,3,,,POINT (-75.193136 39.9517468)
110214028,39.9534694,-75.1934769,3,,,POINT (-75.1934769 39.9534694)
110214032,39.9537608,-75.1934163,3,,,POINT (-75.1934163 39.9537608)
110317698,39.95402,-75.1956282,3,,,POINT (-75.1956282 39.95402)
110338978,39.9503249,-75.1917251,4,traffic_signals,,POINT (-75.1917251 39.9503249)
110338993,39.9517593,-75.2031026,4,traffic_signals,,POINT (-75.2031026 39.9517593)
110371709,39.9497236,-75.1955342,3,,,POINT (-75.1955342 39.9497236)
110371718,39.9496391,-75.1948879,1,,,POINT (-75.1948879 39.9496391)
110380367,39.943683,-75.1958574,3,,,POINT (-75.1958574 39.943683)
110432579,39.951371,-75.19047,4,crossing,,POINT (-75.19047 39.951371)
110436069,39.9492189,-75.1995269,3,,,POINT (-75.1995269 39.9492189)
110546675,39.9531375,-75.1876295,3,,,POINT (-75.1876295 39.9531375)
110552309,39.9513155,-75.1932193,3,,,POINT (-75.1932193 39.9513155)
360347097,39.9531635,-75.1916266,4,,,POINT (-75.1916266 39.9531635)
360347522,39.9521197,-75.1938616,4,,,POINT (-75.1938616 39.9521197)
360347524,39.9516485,-75.1951137,4,,,POINT (-75.1951137 39.9516485)
360347795,39.9525659,-75.1995646,4,,,POINT (-75.1995646 39.9525659)
360348555,39.9501874,-75.1992796,3,,,POINT (-75.1992796 39.9501874)
360364561,39.9496165,-75.1984284,3,,,POINT (-75.1984284 39.9496165)
360371019,39.9490128,-75.1987321,1,,,POINT (-75.1987321 39.9490128)
360371023,39.9492364,-75.198695,3,,,POINT (-75.198695 39.9492364)
360371032,39.9493747,-75.1986806,3,,,POINT (-75.1986806 39.9493747)
360371042,39.9494268,-75.1989798,3,,,POINT (-75.1989798 39.9494268)
360371415,39.9491773,-75.1980454,1,,,POINT (-75.1980454 39.9491773)
360371447,39.949197,-75.1981741,1,,,POINT (-75.1981741 39.949197)
360473658,39.9501386,-75.1880225,3,,,POINT (-75.1880225 39.9501386)
360477055,39.9536581,-75.2017295,3,crossing,,POINT (-75.2017295 39.9536581)
360477465,39.9527731,-75.2012023,3,,,POINT (-75.2012023 39.9527731)
360477522,39.953093,-75.2004382,3,,,POINT (-75.2004382 39.953093)
360477527,39.9526983,-75.2005878,4,,,POINT (-75.2005878 39.9526983)
360477563,39.9535168,-75.2009548,3,,,POINT (-75.2009548 39.9535168)
360477574,39.9531924,-75.2004177,3,,,POINT (-75.2004177 39.9531924)
360480427,39.9516381,-75.197118,3,,,POINT (-75.197118 39.9516381)
360480505,39.9517366,-75.1979744,3,,,POINT (-75.1979744 39.9517366)
360480506,39.9517671,-75.1982725,3,,,POINT (-75.1982725 39.9517671)
360480514,39.9514997,-75.197468,3,,,POINT (-75.197468 39.9514997)
360480515,39.9516743,-75.1974329,3,,,POINT (-75.1974329 39.9516743)
360480532,39.9514596,-75.197154,3,,,POINT (-75.197154 39.9514596)
360480642,39.9523954,-75.1949517,3,,,POINT (-75.1949517 39.9523954)
360480708,39.9523397,-75.1944758,3,,,POINT (-75.1944758 39.9523397)
360480710,39.9516936,-75.1943059,4,,,POINT (-75.1943059 39.9516936)
360480987,39.9505588,-75.1933742,3,,,POINT (-75.1933742 39.9505588)
360481482,39.952092,-75.193066,3,,,POINT (-75.193066 39.952092)
360481589,39.9519991,-75.1930855,4,,,POINT (-75.1930855 39.9519991)
360481653,39.9517179,-75.1937158,4,,,POINT (-75.1937158 39.9517179)
360481654,39.9516442,-75.1931572,3,,,POINT (-75.1931572 39.9516442)
360481732,39.9517878,-75.1941797,4,,,POINT (-75.1941797 39.9517878)
360481965,39.9520663,-75.1955524,3,,,POINT (-75.1955524 39.9520663)
360482018,39.9506978,-75.1944743,3,,,POINT (-75.1944743 39.9506978)
360482820,39.9507199,-75.1912489,3,,,POINT (-75.1912489 39.9507199)
360482899,39.9513629,-75.1917314,4,,,POINT (-75.1917314 39.9513629)
360482900,39.951026,-75.1918718,1,,,POINT (-75.1918718 39.951026)
360484025,39.9532198,-75.1920065,3,,,POINT (-75.1920065 39.9532198)
360487042,39.9525971,-75.194908,3,,,POINT (-75.194908 39.9525971)
360487939,39.9520192,-75.1997511,3,,,POINT (-75.1997511 39.9520192)
360487941,39.9513601,-75.1998891,3,,,POINT (-75.1998891 39.9513601)
360488334,39.9530976,-75.203774,3,,,POINT (-75.203774 39.9530976)
360494570,39.9494622,-75.1975287,1,,,POINT (-75.1975287 39.9494622)
360494580,39.948824,-75.1979235,3,,,POINT (-75.1979235 39.948824)
360494582,39.9485567,-75.1978639,3,,,POINT (-75.1978639 39.9485567)
360494716,39.9497219,-75.1986051,3,,,POINT (-75.1986051 39.9497219)
360494781,39.9495149,-75.1983269,3,,,POINT (-75.1983269 39.9495149)
360494784,39.9492316,-75.1975878,3,,,POINT (-75.1975878 39.9492316)
360494997,39.948903,-75.198387,3,,,POINT (-75.198387 39.948903)
360494998,39.9488701,-75.1981381,3,,,POINT (-75.1981381 39.9488701)
360498296,39.9503634,-75.1992876,3,,,POINT (-75.1992876 39.9503634)
360501414,39.9540337,-75.1957375,3,,,POINT (-75.1957375 39.9540337)
362763083,39.9523743,-75.1884586,3,,,POINT (-75.1884586 39.9523743)
362769249,39.9503624,-75.1890878,3,,,POINT (-75.1890878 39.9503624)
635029122,39.9512689,-75.1991429,4,,,POINT (-75.1991429 39.9512689)
635029219,39.9438492,-75.1964649,3,traffic_signals,,POINT (-75.1964649 39.9438492)
635029561,39.9496624,-75.2004539,3,,,POINT (-75.2004539 39.9496624)
635029621,39.9503093,-75.1993178,3,,,POINT (-75.1993178 39.9503093)
635029649,39.9502238,-75.1993643,3,,,POINT (-75.1993643 39.9502238)
635029879,39.9516245,-75.1880359,3,,,POINT (-75.1880359 39.9516245)
635436816,39.9533161,-75.1898799,3,,,POINT (-75.1898799 39.9533161)
635436837,39.943969,-75.1924027,3,,,POINT (-75.1924027 39.943969)
635436851,39.9444226,-75.197712,3,,,POINT (-75.197712 39.9444226)
635436854,39.9452874,-75.1982681,3,,,POINT (-75.1982681 39.9452874)
635436869,39.9459224,-75.1980917,4,crossing,,POINT (-75.1980917 39.9459224)
635436878,39.9478093,-75.1937946,3,traffic_signals,,POINT (-75.1937946 39.9478093)
635436885,39.9487007,-75.1929281,4,traffic_signals,,POINT (-75.1929281 39.9487007)
635436891,39.9492573,-75.1930148,1,,,POINT (-75.1930148 39.9492573)
635436915,39.9477292,-75.1986925,4,traffic_signals,,POINT (-75.1986925 39.9477292)
635436927,39.9514672,-75.200773,4,traffic_signals,,POINT (-75.200773 39.9514672)
635436978,39.9488189,-75.1959955,3,,,POINT (-75.1959955 39.9488189)
635437339,39.949846,-75.1926339,3,,,POINT (-75.1926339 39.949846)
635437614,39.9466241,-75.1929058,3,traffic_signals,,POINT (-75.1929058 39.9466241)
635437635,39.9485907,-75.1924684,3,,,POINT (-75.1924684 39.9485907)
635437656,39.9479617,-75.1934566,3,,,POINT (-75.1934566 39.9479617)
635437805,39.9462688,-75.1970455,3,traffic_signals,,POINT (-75.1970455 39.9462688)
635438204,39.9494411,-75.1926666,3,,,POINT (-75.1926666 39.9494411)
635438209,39.9496392,-75.1925224,3,,,POINT (-75.1925224 39.9496392)
635438229,39.9502699,-75.1919365,3,,,POINT (-75.1919365 39.9502699)
635438230,39.9503582,-75.19252,4,,,POINT (-75.19252 39.9503582)
637595514,39.9444487,-75.1948032,3,,,POINT (-75.1948032 39.9444487)
736999569,39.9456985,-75.1952006,3,traffic_signals,,POINT (-75.1952006 39.9456985)
737009378,39.9495937,-75.1996707,4,,,POINT (-75.1996707 39.9495937)
780922531,39.9518485,-75.1856209,4,stop,,POINT (-75.1856209 39.9518485)
780922534,39.951659,-75.1841024,3,,,POINT (-75.1841024 39.951659)
842936954,39.9500889,-75.1985222,3,,,POINT (-75.1985222 39.9500889)
1155472612,39.9521963,-75.2011469,3,,,POINT (-75.2011469 39.9521963)
1155472629,39.9540194,-75.2017236,3,,,POINT (-75.2017236 39.9540194)
1155472699,39.9524356,-75.2009351,4,,,POINT (-75.2009351 39.9524356)
1155472825,39.9528281,-75.2010653,3,,,POINT (-75.2010653 39.9528281)
1155472827,39.9521787,-75.2006223,3,,,POINT (-75.2006223 39.9521787)
1155472910,39.9534754,-75.2009354,3,,,POINT (-75.2009354 39.9534754)
1155472924,39.9529764,-75.2007007,4,,,POINT (-75.2007007 39.9529764)
1155472949,39.9523074,-75.2011598,4,,,POINT (-75.2011598 39.9523074)
1155472965,39.9527784,-75.2012448,3,,,POINT (-75.2012448 39.9527784)
1155473014,39.952597,-75.200657,3,,,POINT (-75.200657 39.952597)
1155473018,39.9522152,-75.2013027,4,,,POINT (-75.2013027 39.9522152)
1155473114,39.9521787,-75.201002,3,,,POINT (-75.201002 39.9521787)
1155473163,39.952212,-75.2014094,4,,,POINT (-75.2014094 39.952212)
1155473165,39.9527146,-75.2012432,3,,,POINT (-75.2012432 39.9527146)
1155473170,39.9523618,-75.2008483,4,,,POINT (-75.2008483 39.9523618)
1473110104,39.953507,-75.2036448,3,,,POINT (-75.2036448 39.953507)
1612613251,39.9511295,-75.1945775,3,,,POINT (-75.1945775 39.9511295)
1612613263,39.9522671,-75.1934681,4,,,POINT (-75.1934681 39.9522671)
1612613267,39.9523841,-75.193156,3,,,POINT (-75.193156 39.9523841)
1612652954,39.9495211,-75.1868638,3,,,POINT (-75.1868638 39.9495211)
