element_type,osmid,amenity,geometry,parking,access,nodes,alt_name,building,building:levels,fee,name,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,capacity,operator,wheelchair,addr:state,source,layer,supervised,building:levels:underground
way,50032990,parking,"POLYGON ((-75.1971195 39.9461636, -75.1978276 39.9458429, -75.1979832 39.9457688, -75.1980476 39.9456784, -75.1978176 39.9454324, -75.1976916 39.9454036, -75.1974502 39.9453892, -75.1965758 39.9454776, -75.1971195 39.9461636))",multi-storey,private,"[635436617, 635436619, 635436622, 635436624, 635436626, 635436628, 635436632, 635436637, 635436617]",Parking Garage 51,yes,10,yes,3499 Civic Center Boulevard,,,,,,,,,,,,,
way,51469576,parking,"POLYGON ((-75.1909447 39.9484205, -75.1909823 39.9484468, -75.1902304 39.9490793, -75.1899056 39.9488524, -75.1902656 39.9485495, -75.1902972 39.9485716, -75.1903822 39.9485002, -75.1903514 39.9484787, -75.1907049 39.9481815, -75.1907901 39.948241, -75.1909526 39.9483546, -75.190991 39.9483815, -75.1909447 39.9484205))",multi-storey,,"[657219887, 5947511639, 657219890, 657219893, 5947511644, 5947511646, 5947511645, 5947511643, 657219895, 7408566983, 5947511642, 5947511641, 657219887]",,yes,6,,Penn Museum Garage,,,,,,,,,,,,,
way,164656844,parking,"POLYGON ((-75.2003801 39.9509636, -75.2007315 39.9510068, -75.2006644 39.9513543, -75.2003157 39.9513091, -75.2003801 39.9509636))",surface,,"[1762669007, 1762669010, 1762669009, 1762669006, 1762669007]",,,,,,,,,,,,,,,,,,
way,190327557,parking,"POLYGON ((-75.1979823 39.9478087, -75.1979394 39.9476792, -75.1979743 39.9475846, -75.1978428 39.9470808, -75.1976942 39.9470272, -75.197668 39.9471158, -75.1976211 39.9471343, -75.1975983 39.9471343, -75.1975768 39.9471898, -75.1974521 39.9471651, -75.1974347 39.9472196, -75.1971249 39.9471585, -75.1970881 39.9472908, -75.1970784 39.9473255, -75.1971857 39.9473584, -75.1972152 39.9474057, -75.1976291 39.9479592, -75.1979823 39.9478087))",,,"[2009387527, 2009387884, 2009387687, 2009388032, 2009387659, 635437949, 635437947, 846607016, 635437945, 635437942, 635437940, 2009387480, 9838958876, 2009388169, 2009387566, 2009387615, 2009387457, 2009387527]",,,,,,,,,,,,,,,,,,
way,190327564,parking,"POLYGON ((-75.1969277 39.9482856, -75.1976291 39.9479592, -75.1972152 39.9474057, -75.1968131 39.9475813, -75.1967753 39.9475978, -75.1967549 39.9476067, -75.1966531 39.9476512, -75.1966348 39.9476592, -75.1964866 39.9477239, -75.1969277 39.9482856))",multi-storey,,"[2009484550, 2009387457, 2009387615, 9838958861, 7409112194, 9838958877, 9838958882, 7409112186, 2009484553, 2009484550]",,parking,8,,Curie Garage,,,,,,,,,,,,,
way,190331378,parking,"POLYGON ((-75.1984384 39.9478874, -75.1982024 39.9479841, -75.1984327 39.9483146, -75.1985595 39.9482726, -75.1987061 39.9482239, -75.1984384 39.9478874))",surface,,"[2009472898, 2009472893, 2009472902, 2009472896, 1155472873, 2009472898]",,,,,,,,,,,,,,,,,,
way,190511111,parking,"POLYGON ((-75.1982969 39.9543112, -75.1975307 39.954212, -75.1976345 39.9537409, -75.1975623 39.9537315, -75.1975905 39.9536034, -75.1977309 39.9536212, -75.1984295 39.95371, -75.1983864 39.9539056, -75.1983747 39.9539583, -75.1982969 39.9543112))",multi-storey,,"[2011490630, 2011490635, 2011490631, 2011490637, 2011490634, 7409074661, 2011490640, 7409074664, 7409074665, 2011490630]",,yes,7,yes,,Philadelphia,119,19104,North 38th Street,06:00-23:00,,,,,,,,
way,191305131,parking,"POLYGON ((-75.2023014 39.9525165, -75.2022548 39.9527476, -75.2021725 39.9527379, -75.2021673 39.9527639, -75.202086 39.9527542, -75.2021385 39.9524971, -75.2023014 39.9525165))",,,"[1688839898, 1688839881, 1688839879, 1688839939, 1688839911, 2018949453, 1688839898]",,,,,,,,,,,,,,,,,,
way,198801316,parking,"POLYGON ((-75.1872972 39.9510723, -75.186988 39.9510385, -75.1869933 39.9510059, -75.1869427 39.950917, -75.1870721 39.9507879, -75.187101 39.9507692, -75.18716 39.9507548, -75.1872297 39.9507569, -75.1872914 39.9507898, -75.1873236 39.9508412, -75.1873317 39.9508841, -75.1872972 39.9510723))",,,"[2088893612, 2088893594, 5947512988, 2088893608, 5947512989, 2088893620, 2088893617, 2088893618, 2088893606, 2088893624, 2088893610, 2088893612]",,,,,,,,,,,,,,,,,,
way,202984658,parking,"POLYGON ((-75.2023184 39.9549213, -75.2019565 39.9548711, -75.201903 39.9551356, -75.2022597 39.9551849, -75.2023184 39.9549213))",,,"[2129462776, 2129462713, 655426260, 655426261, 2129462776]",,,,,,,,,,,,,,,,,,
way,202984665,parking,"POLYGON ((-75.2013524 39.9547932, -75.2019565 39.9548711, -75.201903 39.9551356, -75.2018225 39.955481, -75.2016789 39.9554602, -75.2017433 39.9551857, -75.2017513 39.9551446, -75.2016977 39.9551366, -75.2017184 39.9550101, -75.2013226 39.9549626, -75.2013347 39.954895, -75.2013524 39.9547932))",,,"[2129462802, 2129462713, 655426260, 655426259, 2129462743, 2129462718, 2129462803, 2129462769, 2129462731, 2129462787, 2129462811, 2129462802]",,,,,,,,,,,,,,,,,,
way,202984670,parking,"POLYGON ((-75.2009474 39.9553553, -75.2011307 39.9553774, -75.2012401 39.9548427, -75.2010594 39.9548209, -75.2010409 39.9549112, -75.2009568 39.9553091, -75.2009474 39.9553553))",,,"[2129462755, 2129462720, 2129462799, 2129462819, 2129462842, 2129462775, 2129462755]",,,,,,,,,,,,,,,,,,
way,217382365,parking,"POLYGON ((-75.189748 39.9533773, -75.1894488 39.9533399, -75.1894702 39.9532391, -75.1897695 39.9532765, -75.189748 39.9533773))",,,"[2266555857, 2266555856, 2266555855, 2266555858, 2266555857]",,,,,E - Lot,,,,,,10,Drexel University,,,,,,
way,255683909,parking,"POLYGON ((-75.1874942 39.9482458, -75.1873068 39.9480224, -75.1877232 39.9476651, -75.1881973 39.9480138, -75.1874942 39.9482458))",,,"[2613559859, 2613559862, 2613559864, 2613559866, 2613559859]",,,,,,,,,,,,,,,,,,
way,264354467,parking,"POLYGON ((-75.191604 39.9545983, -75.1915313 39.9545893, -75.1915119 39.9546812, -75.1907605 39.954588, -75.1907315 39.9545844, -75.1906222 39.9545709, -75.1905577 39.954876, -75.1915201 39.9549955, -75.191604 39.9545983))",multi-storey,,"[2700430848, 2700430850, 2700430853, 2700434265, 2700434267, 2700430855, 2700430857, 2700430859, 2700430848]",Chestnut 34 Garage ,yes,,,Lot 37,,,,,,,,,,,,,
way,264354732,parking,"POLYGON ((-75.1905153 39.9548885, -75.1901333 39.9548436, -75.1901918 39.9545862, -75.1901484 39.9545818, -75.1902237 39.9542337, -75.190634 39.9542804, -75.1905781 39.954567, -75.1905153 39.9548885))",,,"[2700434249, 2700434250, 2700434251, 2700434253, 2700434254, 2700434255, 10946120597, 2700434249]",,,,,Lot 39,,,,,,,,,,,,,
way,298214499,parking,"POLYGON ((-75.184109 39.951495, -75.1841932 39.9510948, -75.1855316 39.9512655, -75.1855263 39.9513189, -75.1855515 39.9513228, -75.1856067 39.9513313, -75.18553 39.9516954, -75.1854602 39.9516893, -75.1854444 39.9517659, -75.1841989 39.9515909, -75.1842091 39.9515459, -75.184109 39.951495))",surface,,"[3021180087, 3021180088, 3355718406, 3355718405, 5960640991, 3021180089, 3355718407, 3021180090, 3355718408, 5947653577, 5947653576, 3021180087]",,,,,,,,,,,,,,,,,,
way,334057570,parking,"POLYGON ((-75.1838408 39.952378, -75.183829 39.9524363, -75.1838258 39.9524522, -75.1837785 39.9526857, -75.1837044 39.9530512, -75.1834234 39.9530178, -75.1829842 39.9529654, -75.1829913 39.9529302, -75.1829016 39.9529195, -75.1830309 39.9522815, -75.1830456 39.9522833, -75.1832442 39.9523069, -75.1833013 39.9523137, -75.1838408 39.952378))",multi-storey,,"[2152141068, 7003388884, 9490967282, 9490967281, 3411369492, 7003427097, 3404380823, 3411372995, 3411372996, 3411372997, 10634709657, 3404380821, 10634709653, 2152141068]",,yes,9,,Cira Centre South Garage,Philadelphia,,,,,,,yes,,,,,
way,334057572,parking,"POLYGON ((-75.186671 39.9535879, -75.1864542 39.9535641, -75.1864724 39.9534747, -75.186535 39.9531665, -75.1866635 39.9525966, -75.1867191 39.9526025, -75.1868149 39.9526143, -75.1868734 39.9526215, -75.186671 39.9535879))",surface,yes,"[657227151, 361009224, 8931883794, 8931883803, 3559047641, 3559047645, 3559047643, 3411373004, 657227151]",,yes,,yes,,,,,,,,,,,,,,
way,335523305,parking,"POLYGON ((-75.1853187 39.9528234, -75.1852726 39.9530402, -75.1848361 39.9529857, -75.1848822 39.9527689, -75.1853187 39.9528234))",,,"[2152141086, 2152141039, 2152140981, 2152141116, 2152141086]",,,,,,,,,,,,,,,,,,
