element_type,osmid,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,website,geometry,addr:city,delivery,addr:state,phone,addr:country,email,operator,takeaway,wheelchair,description,diet:vegan,diet:vegetarian,outdoor_seating,smoking,internet_access,internet_access:description,internet_access:fee,internet_access:ssid,nodes,building
node,2078663667,222,19104,S. 40th St.,restaurant,greek,Greek Lady,Mo-Su 09:00-23:00,https://greeklady.com/,POINT (-75.202905 39.9533602),,,,,,,,,,,,,,,,,,,,
node,2100751399,4034,19104,Walnut Street,restaurant,fried_chicken,Wishbone Restaurant,"Mo-We 08:00-22:00; Th 08:00-24:00; Fr 00:00-03:00,08:00-24:00; Sa 00:00-03:00,11:00-24:00; Su 00:00-03:00,11:00-22:00",http://wishbonephilly.com/,POINT (-75.2042721 39.9541781),Philadelphia,yes,,,,,,,,,,,,,,,,,,
node,2125322041,,,,restaurant,sushi,Mizu Sushi Bar,,,POINT (-75.2022203 39.9552548),,,,,,,,,,,,,,,,,,,,
node,2158088061,3611,19104,Walnut Street,restaurant,,Louie Louie,,https://www.louielouie.restaurant,POINT (-75.1960572 39.9534649),Philadelphia,,PA,267=805-8585,,,,,,,,,,,,,,,,
node,2256040033,3131,19104,Walnut Street,restaurant,,Tipsy Bistro,,https://www.tipsybistro.com,POINT (-75.1875235 39.9523838),Philadelphia,,,(215) 921-8551,,,,,,,,,,,,,,,,
node,2256040059,,,,restaurant,,Picnic,,,POINT (-75.187309 39.9523632),,,,,,,,,,,,,,,,,,,,
node,2572010838,3636,19104,Sansom Street,restaurant,asian,Pod,Mo-Th 11:30-22:00; Fr 11:30-23:00; Sa 17:00-23:00; Su 17:00-22:00,https://www.podrestaurant.com/,POINT (-75.1963833 39.9539673),Philadelphia,,PA,+1-215-387-1803,US,pod.info@starr-restaurants.com,Starr Restarants,,,,,,,,,,,,,
node,2700416545,20,19104,South 36th Street,restaurant,pizza,The Axis Pizza,24/7,https://www.axispizza.com/,POINT (-75.1945212 39.9551651),Philadelphia,yes,,215-382-2199,,,,yes,no,,,,,,,,,,,
node,5595471757,214,19104,South 40th Street,restaurant,american;burger;sandwich;wrap;milkshake;salad,HipCityVeg,Mo-Su 11:00-23:00,https://hipcityveg.com/,POINT (-75.2028717 39.9535587),Philadelphia,yes,PA,+1 267-244-4342,,,,yes,,"Contemporary counter-serve cafe serving vegan burgers, sandwiches & salads, plus smoothies.",only,only,no,no,,,,,,
node,6100313802,3401,19104,Walnut Street,restaurant,falafel;mediterranean;milkshake,Goldie,Mo-Fr 11:00-20:00; Sa 11:00-19:00; Su 11:00-17:00,http://goldiefalafel.com,POINT (-75.1925145 39.9530359),Philadelphia,,PA,,,,,,,,only,,,,,,,,,
node,6585420252,3925,19104,Walnut Street,restaurant,pizza,&Pizza,Su-Th 11:00-21:00; Fr-Sa 11:00-22:00,https://andpizza.com/,POINT (-75.2014747 39.954157),Philadelphia,,PA,,,,,,,,,,,,,,,,,
node,6956530320,3602,19104,Chestnut Street,restaurant,bagel,Spread Bagelry,Mo-Su 06:00-16:00,https://www.spreadbagelry.com/,POINT (-75.1947958 39.9545518),Philadelphia,,PA,+1-215-222-0283,US,,,,,,,yes,yes,,wlan,opensesame,customers,Spread The Word,,
