osmid,y,x,street_count,geometry
1343383491,39.9900516,116.3516449,4,POINT (116.3516449 39.9900516)
2962668323,39.9907514,116.351603,3,POINT (116.351603 39.9907514)
2962668325,39.9899851,116.348068,3,POINT (116.348068 39.9899851)
3204185595,39.9877423,116.3517672,4,POINT (116.3517672 39.9877423)
3204185599,39.9888222,116.3479081,3,POINT (116.3479081 39.9888222)
3204185600,39.9899902,116.3478589,3,POINT (116.3478589 39.9899902)
3204190455,39.9878463,116.3552914,4,POINT (116.3552914 39.9878463)
5257128126,39.987144,116.351805,3,POINT (116.351805 39.987144)
5257128133,39.987476,116.3497984,3,POINT (116.3497984 39.987476)
5257128134,39.9877173,116.3497791,4,POINT (116.3497791 39.9877173)
5257128136,39.9864384,116.3518455,4,POINT (116.3518455 39.9864384)
5257128137,39.9865182,116.3553231,4,POINT (116.3553231 39.9865182)
5257128352,39.9878972,116.3566451,3,POINT (116.3566451 39.9878972)
5257128353,39.9902266,116.3565894,3,POINT (116.3565894 39.9902266)
5257128354,39.9902632,116.3575233,3,POINT (116.3575233 39.9902632)
5257128355,39.9879343,116.35763,3,POINT (116.35763 39.9879343)
5257181232,39.9892575,116.3493436,1,POINT (116.3493436 39.9892575)
5277649446,39.9889523,116.3479066,3,POINT (116.3479066 39.9889523)
5277649447,39.9889772,116.3487522,4,POINT (116.3487522 39.9889772)
5277649450,39.9900188,116.3496387,4,POINT (116.3496387 39.9900188)
5277649451,39.9887158,116.34792,3,POINT (116.34792 39.9887158)
5277649452,39.9887352,116.3487586,4,POINT (116.3487586 39.9887352)
5277649454,39.9881731,116.3497474,3,POINT (116.3497474 39.9881731)
5277649457,39.9887129,116.3492724,3,POINT (116.3492724 39.9887129)
5277649462,39.9890039,116.3493632,3,POINT (116.3493632 39.9890039)
5277649463,39.9895061,116.3491797,3,POINT (116.3491797 39.9895061)
5277649465,39.9890014,116.3493025,3,POINT (116.3493025 39.9890014)
5277649468,39.9881604,116.3492939,3,POINT (116.3492939 39.9881604)
5277662731,39.9900263,116.3499874,3,POINT (116.3499874 39.9900263)
5277662733,39.989384,116.3500168,3,POINT (116.3500168 39.989384)
5277662734,39.9894014,116.3516793,3,POINT (116.3516793 39.9894014)
5277662735,39.9893913,116.3504893,3,POINT (116.3504893 39.9893913)
5277662737,39.9882337,116.3500693,3,POINT (116.3500693 39.9882337)
5277662738,39.988345,116.3505257,3,POINT (116.3505257 39.988345)
5277662739,39.9883557,116.3517347,3,POINT (116.3517347 39.9883557)
5277662747,39.9888871,116.3500395,3,POINT (116.3500395 39.9888871)
5277662748,39.9888854,116.3502221,3,POINT (116.3502221 39.9888854)
5277662749,39.9888881,116.3505068,3,POINT (116.3505068 39.9888881)
5277662750,39.9888867,116.3502736,3,POINT (116.3502736 39.9888867)
5277671494,39.9899985,116.3486923,3,POINT (116.3486923 39.9899985)
5277671495,39.9906864,116.3486729,3,POINT (116.3486729 39.9906864)
5277671496,39.990715,116.3496079,3,POINT (116.3496079 39.990715)
5277671497,39.9901714,116.3551592,4,POINT (116.3551592 39.9901714)
7110874211,39.9910302,116.3540071,3,POINT (116.3540071 39.9910302)
7110874212,39.9910753,116.355106,3,POINT (116.355106 39.9910753)
7110874214,39.9910014,116.3531708,3,POINT (116.3531708 39.9910014)
7110874215,39.9909727,116.3522274,1,POINT (116.3522274 39.9909727)
7110874218,39.9913587,116.3531548,1,POINT (116.3531548 39.9913587)
7110874219,39.9916502,116.3550738,1,POINT (116.3550738 39.9916502)
10024800175,39.9872572,116.3553055,3,POINT (116.3553055 39.9872572)
10024800176,39.9872932,116.3562686,3,POINT (116.3562686 39.9872932)
10024800178,39.9873734,116.3575749,3,POINT (116.3575749 39.9873734)
10024800179,39.9879315,116.3575567,3,POINT (116.3575567 39.9879315)
10024800180,39.9873495,116.3568933,3,POINT (116.3568933 39.9873495)
10024800181,39.9875945,116.3568748,3,POINT (116.3568748 39.9875945)
10024800182,39.9876139,116.3574342,1,POINT (116.3574342 39.9876139)
10024800183,39.9875626,116.356123,3,POINT (116.356123 39.9875626)
10024800184,39.9872911,116.3561355,3,POINT (116.3561355 39.9872911)
10024800185,39.9878842,116.3560987,3,POINT (116.3560987 39.9878842)
10024800187,39.9867708,116.3562956,3,POINT (116.3562956 39.9867708)
10024800188,39.9866499,116.3566992,1,POINT (116.3566992 39.9866499)
10024800190,39.9865134,116.3563998,3,POINT (116.3563998 39.9865134)
10024800191,39.9882394,116.3503471,3,POINT (116.3503471 39.9882394)
10024800192,39.9877248,116.3503773,3,POINT (116.3503773 39.9877248)
10024800193,39.9883516,116.3512696,3,POINT (116.3512696 39.9883516)
10024800194,39.9877362,116.3512847,3,POINT (116.3512847 39.9877362)
10024800199,39.9877299,116.3507799,3,POINT (116.3507799 39.9877299)
10024800200,39.9871223,116.3508004,3,POINT (116.3508004 39.9871223)
10024800201,39.9871877,116.350391,3,POINT (116.350391 39.9871877)
10024800202,39.9864191,116.3504226,3,POINT (116.3504226 39.9864191)
10024829166,39.987968,116.358526,3,POINT (116.358526 39.987968)
10024829169,39.9871671,116.3553076,3,POINT (116.3553076 39.9871671)
10024829170,39.9871811,116.3548213,3,POINT (116.3548213 39.9871811)
10024829174,39.9873903,116.3528428,4,POINT (116.3528428 39.9873903)
10024829177,39.9871067,116.3523239,3,POINT (116.3523239 39.9871067)
10024829178,39.9871045,116.3518073,3,POINT (116.3518073 39.9871045)
10024829183,39.9877743,116.3528521,3,POINT (116.3528521 39.9877743)
10024829184,39.9878138,116.3541901,3,POINT (116.3541901 39.9878138)
10024829185,39.9875015,116.3542054,4,POINT (116.3542054 39.9875015)
10024829186,39.9868344,116.3528403,4,POINT (116.3528403 39.9868344)
10024829187,39.9864618,116.3528641,3,POINT (116.3528641 39.9864618)
10024829188,39.9868761,116.354248,4,POINT (116.354248 39.9868761)
10024829189,39.9864939,116.3542631,3,POINT (116.3542631 39.9864939)
10024838559,39.9904942,116.3477061,1,POINT (116.3477061 39.9904942)
10024838564,39.9902694,116.3480606,3,POINT (116.3480606 39.9902694)
10024838565,39.9902974,116.3486839,4,POINT (116.3486839 39.9902974)
10024838566,39.99034,116.3496245,3,POINT (116.3496245 39.99034)
10024838567,39.9903943,116.3502945,1,POINT (116.3502945 39.9903943)
10024838569,39.9900337,116.3504704,3,POINT (116.3504704 39.9900337)
