osmid,y,x,street_count,geometry
2682745784,31.8347332,117.2639438,3,POINT (117.2639438 31.8347332)
2705289518,31.8401414,117.2616357,3,POINT (117.2616357 31.8401414)
2705289521,31.8400871,117.2629009,3,POINT (117.2629009 31.8400871)
2705289522,31.8405939,117.2628509,4,POINT (117.2628509 31.8405939)
2705289532,31.8413261,117.262799,3,POINT (117.262799 31.8413261)
2705289533,31.8396498,117.2629414,3,POINT (117.2629414 31.8396498)
2705289534,31.839095,117.2629836,3,POINT (117.2629836 31.839095)
2705289535,31.8378135,117.2630678,3,POINT (117.2630678 31.8378135)
2705289536,31.8366829,117.2631377,4,POINT (117.2631377 31.8366829)
2705289537,31.8359343,117.2631946,3,POINT (117.2631946 31.8359343)
2705289539,31.8413751,117.2636165,3,POINT (117.2636165 31.8413751)
2705289543,31.8430273,117.2645187,3,POINT (117.2645187 31.8430273)
2706839896,31.8397463,117.2645402,3,POINT (117.2645402 31.8397463)
2706839901,31.8387188,117.2630146,4,POINT (117.2630146 31.8387188)
2706839903,31.8387652,117.2638582,3,POINT (117.2638582 31.8387652)
2706839904,31.8367414,117.264041,4,POINT (117.264041 31.8367414)
2706839905,31.8377212,117.2620616,3,POINT (117.2620616 31.8377212)
2706839906,31.8376118,117.2610691,3,POINT (117.2610691 31.8376118)
2706839909,31.8365593,117.2606853,3,POINT (117.2606853 31.8365593)
2706839916,31.8365864,117.2611603,3,POINT (117.2611603 31.8365864)
2706839932,31.8353905,117.261024,3,POINT (117.261024 31.8353905)
2706839937,31.8357623,117.260535,3,POINT (117.260535 31.8357623)
2706839946,31.835368,117.2613746,3,POINT (117.2613746 31.835368)
2706839947,31.8358841,117.2622179,4,POINT (117.2622179 31.8358841)
2706839948,31.8366292,117.262175,3,POINT (117.262175 31.8366292)
2706849468,31.8380393,117.2609083,1,POINT (117.2609083 31.8380393)
2706849469,31.8365498,117.2604796,3,POINT (117.2604796 31.8365498)
2706849471,31.837096,117.2631122,3,POINT (117.2631122 31.837096)
2706849472,31.837159,117.2640009,4,POINT (117.2640009 31.837159)
2706849473,31.8372079,117.2649204,4,POINT (117.2649204 31.8372079)
2706849475,31.8367819,117.2649558,3,POINT (117.2649558 31.8367819)
2706849478,31.8387992,117.2649294,3,POINT (117.2649294 31.8387992)
2706849480,31.8369322,117.2657975,3,POINT (117.2657975 31.8369322)
2706849481,31.83809,117.2658421,3,POINT (117.2658421 31.83809)
2706849482,31.8388455,117.2658003,3,POINT (117.2658003 31.8388455)
2706849483,31.8396582,117.2657395,3,POINT (117.2657395 31.8396582)
2706849485,31.8397077,117.2670787,3,POINT (117.2670787 31.8397077)
2706849486,31.8396318,117.2665973,3,POINT (117.2665973 31.8396318)
2706849487,31.8397044,117.2665042,3,POINT (117.2665042 31.8397044)
2706849489,31.8395659,117.2657395,3,POINT (117.2657395 31.8395659)
2706849490,31.8394834,117.2645633,3,POINT (117.2645633 31.8394834)
2706849493,31.8427218,117.2666232,3,POINT (117.2666232 31.8427218)
2708347213,31.8414897,117.2654444,3,POINT (117.2654444 31.8414897)
2708347216,31.8414312,117.2644362,4,POINT (117.2644362 31.8414312)
2708347218,31.8358405,117.2613606,3,POINT (117.2613606 31.8358405)
2708347226,31.8359609,117.2639369,3,POINT (117.2639369 31.8359609)
2710571989,31.8353784,117.2627809,3,POINT (117.2627809 31.8353784)
2710571990,31.835942,117.2635375,3,POINT (117.2635375 31.835942)
2710571991,31.8355725,117.2635555,3,POINT (117.2635555 31.8355725)
2710571992,31.8354115,117.2636187,3,POINT (117.2636187 31.8354115)
2710571993,31.8352014,117.2636686,3,POINT (117.2636686 31.8352014)
2710571995,31.835907,117.2627437,3,POINT (117.2627437 31.835907)
2712228922,31.8393321,117.2614597,3,POINT (117.2614597 31.8393321)
2712228955,31.8410037,117.2636498,1,POINT (117.2636498 31.8410037)
2712228956,31.8406443,117.2636708,3,POINT (117.2636708 31.8406443)
2724738770,31.8388128,117.2646247,3,POINT (117.2646247 31.8388128)
2735666646,31.840683,117.2644754,4,POINT (117.2644754 31.840683)
2735666648,31.8408015,117.2655081,3,POINT (117.2655081 31.8408015)
2755623221,31.8427282,117.2674312,3,POINT (117.2674312 31.8427282)
2755623225,31.8434444,117.2646226,3,POINT (117.2646226 31.8434444)
2758031713,31.8392649,117.2645816,3,POINT (117.2645816 31.8392649)
2768927314,31.8400318,117.2648351,3,POINT (117.2648351 31.8400318)
2768927317,31.8401554,117.264823,1,POINT (117.264823 31.8401554)
2894917848,31.8383822,117.264472,3,POINT (117.264472 31.8383822)
2894917850,31.8382649,117.2644853,3,POINT (117.2644853 31.8382649)
2894917862,31.8383293,117.2645494,3,POINT (117.2645494 31.8383293)
2894917867,31.8383418,117.2647653,4,POINT (117.2647653 31.8383418)
2894917870,31.8385874,117.2644494,1,POINT (117.2644494 31.8385874)
2894917871,31.838057,117.2644986,1,POINT (117.2644986 31.838057)
2894917872,31.8383185,117.2644123,3,POINT (117.2644123 31.8383185)
2894917873,31.8382818,117.2638973,3,POINT (117.2638973 31.8382818)
2894917874,31.8384974,117.2649004,1,POINT (117.2649004 31.8384974)
2894917875,31.8383493,117.2649123,1,POINT (117.2649123 31.8383493)
2894917876,31.8382064,117.2649236,1,POINT (117.2649236 31.8382064)
2894949810,31.8358716,117.2620729,3,POINT (117.2620729 31.8358716)
2894949813,31.8355598,117.2620673,3,POINT (117.2620673 31.8355598)
2896638821,31.8380529,117.2649847,3,POINT (117.2649847 31.8380529)
2896638822,31.8395186,117.2650956,4,POINT (117.2650956 31.8395186)
2896638824,31.8427547,117.2653774,4,POINT (117.2653774 31.8427547)
2896638825,31.8431701,117.2665701,3,POINT (117.2665701 31.8431701)
2896638826,31.8427808,117.2665726,3,POINT (117.2665726 31.8427808)
2936365052,31.8418541,117.2635745,3,POINT (117.2635745 31.8418541)
2936365065,31.8413464,117.2631373,3,POINT (117.2631373 31.8413464)
2936365066,31.841693,117.2631498,3,POINT (117.2631498 31.841693)
2936365067,31.841711,117.2631108,1,POINT (117.2631108 31.841711)
2936366180,31.8427694,117.2666048,3,POINT (117.2666048 31.8427694)
2936366181,31.8434725,117.2657626,3,POINT (117.2657626 31.8434725)
2936366183,31.8431434,117.265793,3,POINT (117.265793 31.8431434)
2936366185,31.843504,117.2670364,3,POINT (117.2670364 31.843504)
2936366187,31.8396319,117.265092,3,POINT (117.265092 31.8396319)
2936366189,31.839618,117.2648671,3,POINT (117.2648671 31.839618)
2936366191,31.8396118,117.2645526,3,POINT (117.2645526 31.8396118)
2936366192,31.8397766,117.264856,3,POINT (117.264856 31.8397766)
2936366196,31.8398518,117.2651188,3,POINT (117.2651188 31.8398518)
3026584403,31.8386827,117.2649423,1,POINT (117.2649423 31.8386827)
3026584404,31.8381463,117.2649782,1,POINT (117.2649782 31.8381463)
3026584616,31.8381081,117.2630491,3,POINT (117.2630491 31.8381081)
3026584617,31.8381598,117.2639086,3,POINT (117.2639086 31.8381598)
3026593081,31.8430719,117.2646129,3,POINT (117.2646129 31.8430719)
3026597036,31.8412809,117.2667389,1,POINT (117.2667389 31.8412809)
3026597038,31.8408674,117.2655024,3,POINT (117.2655024 31.8408674)
3026597041,31.8427682,117.265994,3,POINT (117.265994 31.8427682)
3026597042,31.8422845,117.2660134,3,POINT (117.2660134 31.8422845)
3026597043,31.842268,117.2659514,3,POINT (117.2659514 31.842268)
3026597044,31.8409039,117.2660952,3,POINT (117.2660952 31.8409039)
3026597045,31.8415969,117.2654441,3,POINT (117.2654441 31.8415969)
3026597046,31.8416561,117.2666369,3,POINT (117.2666369 31.8416561)
3026597047,31.8409221,117.2664197,3,POINT (117.2664197 31.8409221)
3026997355,31.8363586,117.2641784,3,POINT (117.2641784 31.8363586)
3026997363,31.8363529,117.2640798,3,POINT (117.2640798 31.8363529)
3026997366,31.8355204,117.2635667,3,POINT (117.2635667 31.8355204)
3026997370,31.8355427,117.2627693,3,POINT (117.2627693 31.8355427)
3027002391,31.8372018,117.2625147,1,POINT (117.2625147 31.8372018)
3027002392,31.8366543,117.2625762,3,POINT (117.2625762 31.8366543)
3027002422,31.8399376,117.2636105,1,POINT (117.2636105 31.8399376)
3027583724,31.840046,117.2618877,3,POINT (117.2618877 31.840046)
3027585749,31.8398578,117.263813,3,POINT (117.263813 31.8398578)
3027585751,31.8397008,117.2637127,4,POINT (117.2637127 31.8397008)
3027585752,31.8397065,117.2637999,4,POINT (117.2637999 31.8397065)
3027585758,31.8398532,117.2636812,3,POINT (117.2636812 31.8398532)
3027585761,31.8398916,117.2636515,1,POINT (117.2636515 31.8398916)
3027585763,31.839898,117.2638344,1,POINT (117.2638344 31.839898)
3027585766,31.8430745,117.2651399,3,POINT (117.2651399 31.8430745)
3064296110,31.8386636,117.2620584,1,POINT (117.2620584 31.8386636)
3112589246,31.8403542,117.2628745,3,POINT (117.2628745 31.8403542)
